Plat Number,Plat Name,Section/Township/Range,Volume,First Page,Last Page,Plat Type
000773,FOX BOROUGH 1ST AMENDMENT CONDO,1262505,080,072,074,C
000700,DONATION CLAIM THOMPSON # 39,0232204,905,034,000,D
000765,COMPTON WOODS NO. 02 CONDO,4192605,025,075,078,C
398801,LAKE BOREN TOWNHOMES PH 5 CONDO,4282405,278,016,019,C
269330,GARAGETOWN FEDERAL WAY 1ST AMENDMENT CONDO,2212104,255,010,011,C
276820,GILMAN PARK ADD BLKS 121 THRU 125,0122503,906,006,000,
154180,CHELSEA COURT CONDO,4092104,040,011,020,C
549146,MEWS AT LAKE WILDERNESS THE,0222206,203,018,023,
386290,KIMBALL PARK,0272505,103,087,000,
327697,HIGH MEADOW,0172205,120,008,000,
541525,MEADOW VALLEY PH 03 CONDO,3192105,159,012,014,C
951090,WOOD VALE,0132103,085,025,026,
866917,TRAIL RUN TOWNHOMES PH 15 CONDO,1312205,277,020,024,C
807810,SUMMER GLEN EAST,0092205,155,098,102,
355880,IDYLWOOD DIV NO. 01,0292605,084,082,083,
724330,REVO 225 1ST AMENDMENT CONDO,4182305,253,018,019,C
430650,LIBERTY LANE,0142305,113,020,021,
930200,WESTLING ADD,0192604,065,091,000,
794100,SPRINGBROOK RANCHETTES ADD,0062205,073,028,029,
179637,COVINGTON PARK DIV NO. 03,0302206,114,095,097,
894627,VILLAS AT MONDAVIO THE PH 9 CONDO,4352605,277,045,049,C
507165,MANHATTAN PLAZA CONDO,3332504,046,030,034,C
765200,SEASIDE CONDO,1222403,155,055,057,C
771810,SHARP ALBIN TR THE,0032604,050,018,000,
383125,KENTARA,0322205,238,036,039,
722935,RENTON RIDGE CONDO,1082305,108,023,033,C
210270,DOWNINGS A V 1ST ADD,0152403,017,058,000,
934693,WHISPERING HEIGHTS DIV NO. 04,0142405,099,009,010,
128530,CABLE LINE ADD,0042404,003,013,000,
894300,VIKING CORNERS ADD,0302605,068,055,000,
954522,WOODS AT ISSAQUAH DIV NO. 03A THE,0282406,125,098,099,
255865,FIRLOCH NO. 06,0212605,096,033,000,
780427,6200-24TH N W CONDO,1112503,015,013,014,C
130700,CALLISTO CONDO,3182504,231,051,054,C
025138,APREA VIEW CONDO,4292504,248,075,078,C
202555,DIAMOND CREEK,0202605,164,043,045,
368590,JEFFREY HEIGHTS ADD,0132405,065,079,000,
714830,RANCHO VISTA DIV NO. 06,0342304,061,086,000,
306430,HAMLIN VILLAGE CONDO,4082604,188,077,082,C
769700,SETTLER'S POINTE,0282206,254,086,091,
357020,INDIAN GROVE UNREC,0192306,902,113,000,
321180,HEATHFIELD COUNTRY ESTATES NO. 02,0122405,063,020,000,
749101,SAARELA DIV 2,0192605,180,083,086,
932340,WESTWOOD HEIGHTS,0032604,095,077,000,
785656,SOMERSET EAST DIV NO. 02,0222405,107,020,022,
506840,MALTBYS SUBDIV OF GOVT LOT 2 UNREC,0292204,902,163,000,
158700,CHRYSALIS ESTATES PLAT ALTERATION NO. 2,0172506,248,010,011,
239710,EVANS & BLEWETTS ADD,0242503,004,036,000,
445230,LUCAS ADD,0182504,020,017,000,
414180,LAKESIDE ADD,0342504,007,083,000,
108131,BRIARWOOD SOUTH NO. 04,0232305,091,074,000,
432520,LINDA LOU ADD,0092204,057,054,000,
106650,BREVA CONDO,1262505,290,004,005,C
864421,TIBBETT'S STATION DIV NO. 02,0112406,149,030,032,
390200,KIRKWOOD PH 04 CONDO,4052505,079,030,032,C
140250,CARRIAGE SQUARE PH 03 (0005) CONDO,3082105,068,081,088,C
432421,LINDA CREST DIV NO. 02,0042205,137,070,072,
733070,RIVER RIDGE TOWNHOMES 1ST AMENDMENT CONDO,4072105,122,075,083,C
116900,BRUEN & BESTS NORTH BROADWAY ADD,0202504,013,063,000,
780439,1623 CONDO,4222504,242,034,036,C
256970,FIVE CORNERS PROFESSIONAL CENTER CONDO,4192304,265,094,096,C
364650,JACKSON SQUARE BUILDING 1ST AMEND CONDO,1062404,241,043,045,C
131094,CAMBRIDGE TOWNHOMES CONDO,2162605,149,061,065,C
