Reported By,Number Reported,Date Reported,Total Amount,Date From,Date To,View Report,Report_ID
"The Real Estate Council of Austin, Inc. Advancing Democracy PAC",6 contributions,04/06/2020,8543.97,02/27/2020,03/25/2020,View Report (http://www.austintexas.gov/edims/document.cfm?id=338437),R20200429081956-Contribution
"The Real Estate Council of Austin, Inc. Advancing Democracy PAC",3 expenditures,04/06/2020,54725.84,03/04/2020,03/19/2020,View Report (http://www.austintexas.gov/edims/document.cfm?id=338437),R20200429081956-Expenditure
