Levy Year,County,County Code,Number of Basic Exemptions,Amount of Basic Reimbursement,Number of Enhanced Exemptions,Amount of  Enhanced Reimbursement,Total Amount of Reimbursement ,Data Preparation Date
2013,Rensselaer,38,29721,15078527,7954,8134542,23213069,03/14/2019
2013,Rockland,39,50938,64726147,10157,26338275,91064422,03/14/2019
2013,St. Lawrence,40,20838,11317430,7454,7423055,18740485,03/14/2019
2013,Saratoga,41,46875,28871444,10471,12713244,41584688,03/14/2019
2013,Schenectady,42,29801,16409192,8360,9323196,25732388,03/14/2019
2013,Schoharie,43,6204,3355726,2421,2490337,5846063,03/14/2019
2013,Schuyler,44,3958,1727488,1519,1275444,3002932,03/14/2019
2013,Seneca,45,6509,4001338,2319,2806897,6808235,03/14/2019
2013,Steuben,46,19683,11508911,6916,7492928,19001839,03/14/2019
2013,Suffolk,47,288744,299148695,60573,123534811,422683506,03/14/2019
2013,Sullivan,48,12128,5980591,4171,4057017,10037608,03/14/2019
2013,Tioga,49,10382,5353744,3643,3680901,9034645,03/14/2019
2013,Tompkins,50,15630,8750724,3653,3838803,12589527,03/14/2019
2013,Ulster,51,32550,20390419,10019,12292473,32682892,03/14/2019
2013,Warren,52,12803,4780030,4613,3384276,8164306,03/14/2019
2013,Washington,53,11946,4946189,4487,3740145,8686334,03/14/2019
2013,Wayne,54,19458,12788042,6024,7630444,20418486,03/14/2019
2013,Westchester,55,133085,237580632,24544,79167089,316747721,03/14/2019
2013,Wyoming,56,8333,4224817,2524,2607042,6831859,03/14/2019
2013,Yates,57,4841,1620447,1840,1236067,2856514,03/14/2019
2013,New York City,65,566695,161293055,111917,63347458,224640513,03/14/2019
2012,Albany,01,53561,28718462,13223,14273897,42992359,03/14/2019
2012,Allegany,02,9101,5175281,3570,3526329,8701610,03/14/2019
2012,Broome,03,35774,22708523,13165,16430368,39138891,03/14/2019
2012,Cattaraugus,04,15337,7851570,5587,4978215,12829785,03/14/2019
2012,Cayuga,05,15130,7854038,5062,5068650,12922688,03/14/2019
2012,Chautauqua,06,24995,14085463,9541,9801577,23887040,03/14/2019
2012,Chemung,07,16250,9385952,6004,6626395,16012347,03/14/2019
2012,Chenango,08,9892,4835497,3704,3442705,8278202,03/14/2019
2012,Clinton,09,15220,8025604,4563,4552837,12578441,03/14/2019
2012,Columbia,10,11098,4810574,3736,3243494,8054068,03/14/2019
2012,Cortland,11,8545,4452998,2776,2866876,7319874,03/14/2019
2012,Delaware,12,8700,3315877,4006,2998018,6313895,03/14/2019
2012,Dutchess,13,53760,41487806,12256,18590142,60077948,03/14/2019
2012,Erie,14,173657,85695888,54710,53001505,138697393,03/14/2019
2012,Essex,15,7531,2552008,3106,2002322,4554330,03/14/2019
2012,Franklin,16,8756,3444199,2997,2215624,5659823,03/14/2019
2012,Fulton,17,10579,5234806,4083,3731549,8966355,03/14/2019
2012,Genesee,18,11826,7895667,3986,5184631,13080298,03/14/2019
2012,Greene,19,8717,3592669,3338,2672387,6265056,03/14/2019
2012,Hamilton,20,1160,223576,632,241634,465210,03/14/2019
2012,Herkimer,21,12170,6472569,4784,4838197,11310766,03/14/2019
2012,Jefferson,22,17832,4972248,5331,2936907,7909155,03/14/2019
2012,Lewis,23,5724,1860349,1960,1233241,3093590,03/14/2019
2012,Livingston,24,12358,7292719,3618,4103845,11396564,03/14/2019
2012,Madison,25,14066,8021844,4338,4828947,12850791,03/14/2019
2012,Monroe,26,146496,93451327,37194,48265708,141717035,03/14/2019
2012,Montgomery,27,9084,4855580,3720,3928583,8784163,03/14/2019
2012,Nassau,28,268998,313857177,48863,116563787,430420964,03/14/2019
2012,Niagara,29,42321,26228962,14358,16652031,42880993,03/14/2019
2012,Oneida,30,41545,24227007,15309,17090448,41317455,03/14/2019
2012,Onondaga,31,91265,58361168,25047,31233098,89594266,03/14/2019
2012,Ontario,32,21569,12467478,6062,6972212,19439690,03/14/2019
2012,Orange,33,66132,56955183,13087,22535619,79490802,03/14/2019
2012,Orleans,34,7871,5063648,2802,3447213,8510861,03/14/2019
2012,Oswego,35,23846,14691790,7410,8492138,23183928,03/14/2019
2012,Otsego,36,11178,4850160,4471,3816861,8667021,03/14/2019
2012,Putnam,37,22595,27108126,3899,9424902,36533028,03/14/2019
2012,Rensselaer,38,29961,15040144,7880,7804338,22844482,03/14/2019
2012,Rockland,39,51566,64693537,10026,25144172,89837709,03/14/2019
2012,St. Lawrence,40,21002,11261731,7421,7195844,18457575,03/14/2019
2012,Saratoga,41,46985,28576650,10230,12052567,40629217,03/14/2019
2012,Schenectady,42,30037,16312736,8401,9113695,25426431,03/14/2019
2012,Schoharie,43,6285,3355743,2402,2402491,5758234,03/14/2019
2012,Schuyler,44,3979,1754706,1515,1257866,3012572,03/14/2019
2012,Seneca,45,6554,4029920,2331,2776755,6806675,03/14/2019
2012,Steuben,46,19715,11422093,6999,7391633,18813726,03/14/2019
2012,Suffolk,47,290036,296175010,60416,118658245,414833255,03/14/2019
2012,Sullivan,48,12321,6002030,4169,3931881,9933911,03/14/2019
2012,Tioga,49,10491,5335856,3645,3588396,8924252,03/14/2019
2012,Tompkins,50,15633,8666361,3673,3754366,12420727,03/14/2019
2012,Ulster,51,32926,20368622,9904,11822384,32191006,03/14/2019
2012,Warren,52,12955,4772260,4560,3228706,8000966,03/14/2019
2012,Washington,53,12073,4945572,4453,3606889,8552461,03/14/2019
2012,Wayne,54,19684,12841662,5930,7319510,20161172,03/14/2019
2012,Westchester,55,134501,236114894,24629,76942004,313056898,03/14/2019
2012,Wyoming,56,8445,4239922,2441,2455984,6695906,03/14/2019
2012,Yates,57,4866,1621542,1854,1213279,2834821,03/14/2019
2012,New York City,65,564612,159335096,108258,59193859,218528955,03/14/2019
2011,Albany,01,53987,28608135,13222,13649520,42257655,03/14/2019
2011,Allegany,02,9107,5198615,3625,3487344,8685959,03/14/2019
2011,Broome,03,36124,22678797,13192,15894630,38573427,03/14/2019
2011,Cattaraugus,04,15417,7901651,5599,4857661,12759312,03/14/2019
2011,Cayuga,05,15305,7929071,5036,4869238,12798309,03/14/2019
2011,Chautauqua,06,25188,14184036,9627,9696770,23880806,03/14/2019
2011,Chemung,07,16491,9437994,5866,6249486,15687480,03/14/2019
2011,Chenango,08,10071,4872922,3676,3296337,8169259,03/14/2019
2011,Clinton,09,15363,8044672,4476,4292063,12336735,03/14/2019
2011,Columbia,10,11234,4914509,3678,3024646,7939155,03/14/2019
2011,Cortland,11,8592,4480529,2718,2697690,7178219,03/14/2019
2011,Delaware,12,8804,3378242,4028,2935856,6314098,03/14/2019
2011,Dutchess,13,54009,41309099,12116,17471870,58780969,03/14/2019
2011,Erie,14,173938,85347355,55310,51704053,137051408,03/14/2019
2011,Essex,15,7629,2625641,3060,1921089,4546730,03/14/2019
2011,Franklin,16,8779,3472422,2996,2163697,5636119,03/14/2019
2011,Fulton,17,10775,5323350,4061,3596511,8919861,03/14/2019
2011,Genesee,18,11830,7924377,4050,5115065,13039442,03/14/2019
2011,Greene,19,8823,3609407,3294,2539607,6149014,03/14/2019
2011,Hamilton,20,1169,224785,637,236823,461608,03/14/2019
2011,Herkimer,21,12311,6471967,4724,4632189,11104156,03/14/2019
2011,Jefferson,22,17992,5163154,5396,2920190,8083344,03/14/2019
2011,Lewis,23,5715,1884284,1997,1228250,3112534,03/14/2019
2011,Livingston,24,12418,7280668,3634,3978685,11259353,03/14/2019
2011,Madison,25,14271,8014744,4285,4637466,12652210,03/14/2019
2011,Monroe,26,148260,94268995,36171,45277395,139546390,03/14/2019
2011,Montgomery,27,9261,4948737,3626,3713925,8662662,03/14/2019
2011,Nassau,28,272643,318237659,49569,108221173,426458832,03/14/2019
2011,Niagara,29,42779,26450712,14191,15962377,42413089,03/14/2019
2011,Oneida,30,41784,24246409,15516,16768502,41014911,03/14/2019
2011,Onondaga,31,91781,58146243,25058,30148133,88294376,03/14/2019
2011,Ontario,32,21693,12511954,5978,6622918,19134872,03/14/2019
2011,Orange,33,66840,56867404,12642,20813016,77680420,03/14/2019
2011,Orleans,34,7998,5162631,2714,3254878,8417509,03/14/2019
2011,Oswego,35,24075,14955369,7327,8156472,23111841,03/14/2019
2011,Otsego,36,11315,4947256,4408,3629464,8576720,03/14/2019
2011,Putnam,37,22877,27099583,3706,8575985,35675568,03/14/2019
2011,Rensselaer,38,30236,15084987,7806,7461028,22546015,03/14/2019
2011,Rockland,39,51851,64419321,9818,23619594,88038915,03/14/2019
2011,St. Lawrence,40,21160,11278272,7400,6890510,18168782,03/14/2019
2011,Saratoga,41,46977,28264298,10201,11527386,39791684,03/14/2019
2011,Schenectady,42,30438,16400924,8222,8544921,24945845,03/14/2019
2011,Schoharie,43,6449,3413465,2326,2270763,5684228,03/14/2019
2011,Schuyler,44,4038,1784049,1464,1169987,2954036,03/14/2019
2011,Seneca,45,6526,4018469,2349,2713716,6732185,03/14/2019
2011,Steuben,46,19987,11595223,6872,7022563,18617786,03/14/2019
2011,Suffolk,47,290073,293412001,59133,111989240,405401241,03/14/2019
2011,Sullivan,48,12504,6058543,4195,3802789,9861332,03/14/2019
2011,Tioga,49,10668,5384990,3614,3451769,8836759,03/14/2019
2011,Tompkins,50,15799,8718566,3583,3516127,12234693,03/14/2019
2011,Ulster,51,33326,20442169,9645,11117902,31560071,03/14/2019
2011,Warren,52,13238,4930093,4348,2996278,7926371,03/14/2019
2011,Washington,53,12231,5088157,4354,3421261,8509418,03/14/2019
2011,Wayne,54,20004,12991314,5705,6782273,19773587,03/14/2019
2011,Westchester,55,137013,235208514,24911,76004898,311213412,03/14/2019
2011,Wyoming,56,8496,4298148,2441,2385936,6684084,03/14/2019
2011,Yates,57,4942,1689730,1799,1153892,2843622,03/14/2019
2011,New York City,65,562404,156717572,107614,56068411,212785983,03/14/2019
2010,Albany,01,54792,28575368,12913,13094607,41669975,03/14/2019
2010,Allegany,02,9231,5286042,3521,3299063,8585105,03/14/2019
2010,Broome,03,36603,22778350,13219,15733171,38511521,03/14/2019
2010,Cattaraugus,04,15805,8088368,5370,4647310,12735678,03/14/2019
2010,Cayuga,05,15619,8082991,4890,4692904,12775895,03/14/2019
2010,Chautauqua,06,25766,14424394,9286,9250610,23675004,03/14/2019
2010,Chemung,07,16777,9401529,5724,5955394,15356923,03/14/2019
2010,Chenango,08,10232,4950898,3682,3289979,8240877,03/14/2019
2010,Clinton,09,15558,8039335,4351,4093089,12132424,03/14/2019
2010,Columbia,10,11713,5087338,3534,2852935,7940273,03/14/2019
2010,Cortland,11,8661,4440411,2670,2619610,7060021,03/14/2019
2010,Delaware,12,8971,3525476,3911,2888458,6413934,03/14/2019
2010,Dutchess,13,55450,41550320,11322,16195727,57746047,03/14/2019
2010,Erie,14,177867,85885492,53544,48814200,134699692,03/14/2019
2010,Essex,15,7789,2740448,3051,1916909,4657357,03/14/2019
2010,Franklin,16,8874,3528452,2946,2095362,5623814,03/14/2019
2010,Fulton,17,10995,5435550,3998,3478622,8914172,03/14/2019
2010,Genesee,18,12063,8016857,3806,4744381,12761238,03/14/2019
2010,Greene,19,9046,3717312,3253,2444253,6161565,03/14/2019
2010,Hamilton,20,1216,231705,610,223410,455115,03/14/2019
2010,Herkimer,21,12504,6419882,4631,4428970,10848852,03/14/2019
2010,Jefferson,22,18515,5723515,5068,2833938,8557453,03/14/2019
2010,Lewis,23,5908,2016972,1861,1148669,3165641,03/14/2019
2010,Livingston,24,12622,7282292,3534,3774427,11056719,03/14/2019
2010,Madison,25,14637,8212080,4059,4260442,12472522,03/14/2019
2010,Monroe,26,151156,95106136,34956,42942781,138048917,03/14/2019
2010,Montgomery,27,9333,4997910,3587,3604479,8602389,03/14/2019
2010,Nassau,28,278948,312962380,48727,109359704,422322084,03/14/2019
2010,Niagara,29,43282,26456401,13887,15403054,41859455,03/14/2019
2010,Oneida,30,43191,25058873,14705,15787226,40846099,03/14/2019
2010,Onondaga,31,93787,58898803,24248,28576788,87475591,03/14/2019
2010,Ontario,32,22145,12642939,5715,6290599,18933538,03/14/2019
2010,Orange,33,68746,57319926,11851,19225779,76545705,03/14/2019
2010,Orleans,34,8099,5271574,2645,3166988,8438562,03/14/2019
2010,Oswego,35,24888,16052642,6691,7619753,23672395,03/14/2019
2010,Otsego,36,11496,5207513,4325,3580480,8787993,03/14/2019
2010,Putnam,37,23689,27546431,3374,7661749,35208180,03/14/2019
2010,Rensselaer,38,30688,15464735,7684,7204778,22669513,03/14/2019
2010,Rockland,39,54123,65706379,9495,22568564,88274943,03/14/2019
2010,St. Lawrence,40,21857,11694687,6853,6327506,18022193,03/14/2019
2010,Saratoga,41,47839,28324024,9729,10876877,39200901,03/14/2019
2010,Schenectady,42,30838,16594407,7976,8076687,24671094,03/14/2019
2010,Schoharie,43,6548,3491180,2265,2182309,5673489,03/14/2019
2010,Schuyler,44,4135,1945600,1423,1176882,3122482,03/14/2019
2010,Seneca,45,6635,4084005,2305,2653286,6737291,03/14/2019
2010,Steuben,46,20364,11738739,6584,6615209,18353948,03/14/2019
2010,Suffolk,47,301509,296192263,56523,104878133,401070396,03/14/2019
2010,Sullivan,48,12900,6560554,4036,3690731,10251285,03/14/2019
2010,Tioga,49,10736,5366153,3569,3362422,8728575,03/14/2019
2010,Tompkins,50,16131,8778032,3323,3194054,11972086,03/14/2019
2010,Ulster,51,34328,20697639,9281,10458740,31156379,03/14/2019
2010,Warren,52,13522,5302097,4217,2963165,8265262,03/14/2019
2010,Washington,53,12375,5508666,4289,3498442,9007108,03/14/2019
2010,Wayne,54,20327,13097392,5530,6523230,19620622,03/14/2019
2010,Westchester,55,152253,251808729,24085,73126332,324935061,03/14/2019
2010,Wyoming,56,8645,4381586,2367,2321185,6702771,03/14/2019
2010,Yates,57,4980,1757497,1798,1161050,2918547,03/14/2019
2010,New York City,65,611233,166552595,106018,54022420,220575015,03/14/2019
2009,Albany,01,54845,28817673,13073,12836783,41654456,03/14/2019
2009,Allegany,02,9252,5324128,3487,3259933,8584061,03/14/2019
2009,Broome,03,37151,25008256,12895,15878730,40886986,03/14/2019
2009,Cattaraugus,04,15972,8110646,5386,4600409,12711055,03/14/2019
2009,Cayuga,05,15662,8475710,4942,4876505,13352215,03/14/2019
2009,Chautauqua,06,26062,14420122,9102,8879497,23299619,03/14/2019
2009,Chemung,07,16782,9529121,5723,5950991,15480112,03/14/2019
2009,Chenango,08,10372,5405401,3549,3356750,8762151,03/14/2019
2009,Clinton,09,15649,8082860,4268,3953238,12036098,03/14/2019
2009,Columbia,10,11889,5377749,3493,2823103,8200852,03/14/2019
2009,Cortland,11,8736,4642633,2636,2637055,7279688,03/14/2019
2009,Delaware,12,8970,3742629,3881,2970524,6713153,03/14/2019
2009,Dutchess,13,55730,37084642,11141,14140824,51225466,03/14/2019
2009,Erie,14,178452,87002836,53950,49178089,136180925,03/14/2019
2009,Essex,15,7908,2952033,3031,1974230,4926263,03/14/2019
2009,Franklin,16,8963,3764363,2938,2148229,5912592,03/14/2019
2009,Fulton,17,11134,5585692,3970,3440483,9026175,03/14/2019
2009,Genesee,18,12204,8122923,3702,4592998,12715921,03/14/2019
2009,Greene,19,9164,4114100,3261,2600275,6714375,03/14/2019
2009,Hamilton,20,1231,256556,608,241226,497782,03/14/2019
2009,Herkimer,21,12546,6612387,4653,4524779,11137166,03/14/2019
2009,Jefferson,22,18579,6228661,5142,3058064,9286725,03/14/2019
2009,Lewis,23,5941,2169954,1841,1157837,3327791,03/14/2019
2009,Livingston,24,12716,7492747,3446,3747567,11240314,03/14/2019
2009,Madison,25,14637,8479647,4042,4297238,12776885,03/14/2019
2009,Monroe,26,151677,94179938,34672,41990992,136170930,03/14/2019
2009,Montgomery,27,9402,5474864,3567,3777374,9252238,03/14/2019
2009,Nassau,28,278792,257716377,48129,87515521,345231898,03/14/2019
2009,Niagara,29,43321,26501312,13897,15360669,41861981,03/14/2019
2009,Oneida,30,43388,26121587,14713,15983010,42104597,03/14/2019
2009,Onondaga,31,93922,58427877,24258,28111103,86538980,03/14/2019
2009,Ontario,32,22274,12687390,5589,6116170,18803560,03/14/2019
2009,Orange,33,69431,52804402,11567,17151366,69955768,03/14/2019
2009,Orleans,34,8201,5418075,2630,3148443,8566518,03/14/2019
2009,Oswego,35,24990,16413640,6668,7652651,24066291,03/14/2019
2009,Otsego,36,11622,5684580,4228,3697650,9382230,03/14/2019
2009,Putnam,37,23733,25347709,3292,6900907,32248616,03/14/2019
2009,Rensselaer,38,30894,16857711,7531,7358920,24216631,03/14/2019
2009,Rockland,39,54201,60789435,9335,20665813,81455248,03/14/2019
2009,St. Lawrence,40,21819,12001549,6946,6490826,18492375,03/14/2019
2009,Saratoga,41,47957,26272383,9367,9690183,35962566,03/14/2019
2009,Schenectady,42,31009,18411014,7897,8499954,26910968,03/14/2019
2009,Schoharie,43,6600,3585180,2240,2141393,5726573,03/14/2019
2009,Schuyler,44,4141,2061886,1434,1221501,3283387,03/14/2019
2009,Seneca,45,6689,4326393,2315,2752320,7078713,03/14/2019
2009,Steuben,46,20403,11786262,6570,6494079,18280341,03/14/2019
2009,Suffolk,47,302176,266641720,56369,93850398,360492118,03/14/2019
2009,Sullivan,48,13066,7316449,4063,3983076,11299525,03/14/2019
2009,Tioga,49,10962,5970894,3363,3353265,9324159,03/14/2019
2009,Tompkins,50,16232,8574093,3287,3042501,11616594,03/14/2019
2009,Ulster,51,34666,20296916,9093,9638753,29935669,03/14/2019
2009,Warren,52,13784,5961686,4045,3081568,9043254,03/14/2019
2009,Washington,53,12506,6305146,4180,3773363,10078509,03/14/2019
2009,Wayne,54,20359,13029893,5435,6309038,19338931,03/14/2019
2009,Westchester,55,152514,248645171,23735,69741785,318386956,03/14/2019
2009,Wyoming,56,8705,4404363,2367,2314334,6718697,03/14/2019
2009,Yates,57,5036,1842213,1757,1152621,2994834,03/14/2019
2009,New York City,65,616034,141318791,103456,44600531,185919322,03/14/2019
2008,Albany,01,54357,30387667,13446,13626949,44014616,03/15/2016
2008,Allegany,02,9227,5334828,3453,3136878,8471706,03/15/2016
2008,Broome,03,36813,25949281,13074,16336532,42285813,03/15/2016
2008,Cattaraugus,04,15778,8377910,5421,4536325,12914235,03/15/2016
2008,Cayuga,05,15565,9036324,4981,5071510,14107834,03/15/2016
2008,Chautauqua,06,25888,14606770,9268,8858634,23465404,03/15/2016
2008,Chemung,07,16689,9810395,5871,6002769,15813164,03/15/2016
2008,Chenango,08,10352,5863914,3517,3422163,9286077,03/15/2016
2008,Clinton,09,15583,8397711,4290,3935628,12333339,03/15/2016
2008,Columbia,10,11823,5817882,3547,3093597,8911479,03/15/2016
2008,Cortland,11,8685,4997452,2633,2701242,7698694,03/15/2016
2008,Delaware,12,8915,4007878,3913,3144875,7152753,03/15/2016
2008,Dutchess,13,55074,36971245,11341,13871252,50842497,03/15/2016
2008,Erie,14,176224,87012022,54392,47595422,134607444,03/15/2016
2008,Essex,15,7946,3301034,3009,2096492,5397526,03/15/2016
2008,Franklin,16,8949,4081800,2944,2213343,6295143,03/15/2016
2008,Fulton,17,11168,6071684,3984,3580537,9652221,03/15/2016
2008,Genesee,18,12161,8256694,3731,4478904,12735598,03/15/2016
2008,Greene,19,9130,4576640,3216,2844871,7421511,03/15/2016
2008,Hamilton,20,1245,268085,608,242166,510251,03/15/2016
2008,Herkimer,21,12436,6927782,4784,4669688,11597470,03/15/2016
2008,Jefferson,22,18182,6866050,5235,3411280,10277330,03/15/2016
2008,Lewis,23,5862,2392896,1906,1287610,3680506,03/15/2016
2008,Livingston,24,12695,7629238,3452,3626951,11256189,03/15/2016
2008,Madison,25,14560,8745372,4035,4215309,12960681,03/15/2016
2008,Monroe,26,150884,96745423,34917,41397424,138142847,03/15/2016
2008,Montgomery,27,9327,5871407,3644,4024436,9895843,03/15/2016
2008,Nassau,28,274151,243903449,49992,90489258,334392707,03/15/2016
2008,Niagara,29,43104,26986103,14026,15117920,42104023,03/15/2016
2008,Oneida,30,43095,27945412,14979,16525793,44471205,03/15/2016
2008,Onondaga,31,93479,59427498,24428,27505957,86933455,03/15/2016
2008,Ontario,32,22119,13363037,5517,6001295,19364332,03/15/2016
2008,Orange,33,68715,49845569,11631,15954523,65800092,03/15/2016
2008,Orleans,34,8203,5604770,2656,3120366,8725136,03/15/2016
2008,Oswego,35,24863,16912697,6672,7594829,24507526,03/15/2016
2008,Otsego,36,11582,6239647,4261,4020458,10260105,03/15/2016
2008,Putnam,37,23633,23485728,3281,6106904,29592632,03/15/2016
2008,Rensselaer,38,30742,18707260,7601,8107233,26814493,03/15/2016
2008,Rockland,39,53846,58980732,9470,19343086,78323818,03/15/2016
2008,St. Lawrence,40,21821,12673145,6968,6494125,19167270,03/15/2016
2008,Saratoga,41,47502,27263946,9336,9606229,36870175,03/15/2016
2008,Schenectady,42,30857,20935779,8172,9963633,30899412,03/15/2016
2008,Schoharie,43,6535,3970030,2240,2319788,6289818,03/15/2016
2008,Schuyler,44,4119,2291758,1435,1303585,3595343,03/15/2016
2008,Seneca,45,6652,4528655,2352,2791213,7319868,03/15/2016
2008,Steuben,46,20358,12353701,6553,6466929,18820630,03/15/2016
2008,Suffolk,47,299670,267811142,56553,90541234,358352376,03/15/2016
2008,Sullivan,48,13065,8064278,4062,4343582,12407860,03/15/2016
2008,Tioga,49,10886,6601798,3393,3574645,10176443,03/15/2016
2008,Tompkins,50,16125,8554770,3298,2932664,11487434,03/15/2016
2008,Ulster,51,34270,21275485,9189,10083341,31358826,03/15/2016
2008,Warren,52,13719,6633878,4050,3394083,10027961,03/15/2016
2008,Washington,53,12447,7421403,4195,4406244,11827647,03/15/2016
2008,Wayne,54,20288,13530234,5436,6269585,19799819,03/15/2016
2008,Westchester,55,151406,266755182,24061,74831966,341587148,03/15/2016
2008,Wyoming,56,8702,4666645,2395,2344250,7010895,03/15/2016
2008,Yates,57,5057,2046892,1782,1247379,3294271,03/15/2016
2008,New York City,65,606485,114803497,101297,33948657,148752154,03/15/2016
2007,Albany,01,53373,32086099,13725,14754679,46840778,03/15/2016
2007,Allegany,02,9112,5521140,3492,3242333,8763473,03/15/2016
2007,Broome,03,36158,27503393,13301,17436958,44940351,03/15/2016
2007,Cattaraugus,04,15694,8794867,5443,4684063,13478930,03/15/2016
2007,Cayuga,05,15414,9498085,4997,5325176,14823261,03/15/2016
2007,Chautauqua,06,25650,15189844,9237,9293180,24483024,03/15/2016
2007,Chemung,07,16425,10187857,5949,6287429,16475286,03/15/2016
2007,Chenango,08,10208,6232819,3495,3559952,9792771,03/15/2016
2007,Clinton,09,15489,9286997,4209,4212260,13499257,03/15/2016
2007,Columbia,10,11614,6130995,3614,3363622,9494617,03/15/2016
2007,Cortland,11,8684,5312448,2629,2822036,8134484,03/15/2016
2007,Delaware,12,8770,4263917,3915,3354390,7618307,03/15/2016
2007,Dutchess,13,53745,38765242,11157,14578459,53343701,03/15/2016
2007,Erie,14,174303,89846839,55252,49719318,139566157,03/15/2016
2007,Essex,15,7833,3428908,2973,2161332,5590240,03/15/2016
2007,Franklin,16,8861,4380568,2924,2320307,6700875,03/15/2016
2007,Fulton,17,11028,6295957,3874,3481235,9777192,03/15/2016
2007,Genesee,18,12059,8729581,3705,4674549,13404130,03/15/2016
2007,Greene,19,8973,4916301,3204,3049933,7966234,03/15/2016
2007,Hamilton,20,1253,308148,595,269243,577391,03/15/2016
2007,Herkimer,21,12227,7384436,4815,4929827,12314263,03/15/2016
2007,Jefferson,22,17633,7190435,5226,3567194,10757629,03/15/2016
2007,Lewis,23,5795,2563975,1878,1341981,3905956,03/15/2016
2007,Livingston,24,12591,7874097,3408,3699883,11573980,03/15/2016
2007,Madison,25,14427,9221477,4017,4383867,13605344,03/15/2016
2007,Monroe,26,148908,98838213,34857,42468803,141307016,03/15/2016
2007,Montgomery,27,9212,6397859,3613,4259689,10657548,03/15/2016
2007,Nassau,28,268233,259648331,51016,100942612,360590943,03/15/2016
2007,Niagara,29,42387,27890940,14141,15711816,43602756,03/15/2016
2007,Oneida,30,42488,29041148,15235,17302763,46343911,03/15/2016
2007,Onondaga,31,91927,62294461,24890,29133360,91427821,03/15/2016
2007,Ontario,32,21644,13782242,5449,6184704,19966946,03/15/2016
2007,Orange,33,67345,53038191,11536,17013710,70051901,03/15/2016
2007,Orleans,34,8074,5661536,2638,3148533,8810069,03/15/2016
2007,Oswego,35,24592,17148319,6625,7520484,24668803,03/15/2016
2007,Otsego,36,11456,6714191,4239,4289843,11004034,03/15/2016
2007,Putnam,37,23332,25117822,3210,6440782,31558604,03/15/2016
2007,Rensselaer,38,30175,20285538,7609,8678549,28964087,03/15/2016
2007,Rockland,39,53279,61943500,9385,20245102,82188602,03/15/2016
2007,St. Lawrence,40,21648,13034681,6876,6484452,19519133,03/15/2016
2007,Saratoga,41,46521,29084261,9226,10238992,39323253,03/15/2016
2007,Schenectady,42,30513,21773519,7961,10165183,31938702,03/15/2016
2007,Schoharie,43,6427,4198844,2234,2434207,6633051,03/15/2016
2007,Schuyler,44,4051,2389476,1425,1331590,3721066,03/15/2016
2007,Seneca,45,6576,4719391,2357,2885597,7604988,03/15/2016
2007,Steuben,46,20095,12403737,6545,6399527,18803264,03/15/2016
2007,Suffolk,47,293943,279175202,56580,95630465,374805667,03/15/2016
2007,Sullivan,48,12838,8618539,4061,4627903,13246442,03/15/2016
2007,Tioga,49,10811,7103223,3354,3759561,10862784,03/15/2016
2007,Tompkins,50,15901,9653333,3285,3235155,12888488,03/15/2016
2007,Ulster,51,33579,22033936,9295,10629784,32663720,03/15/2016
2007,Warren,52,13567,7068329,4029,3592780,10661109,03/15/2016
2007,Washington,53,12221,8085050,4129,4705236,12790286,03/15/2016
2007,Wayne,54,20172,13957950,5409,6376105,20334055,03/15/2016
2007,Westchester,55,148697,273891295,24668,79061385,352952680,03/15/2016
2007,Wyoming,56,8677,4767501,2369,2352375,7119876,03/15/2016
2007,Yates,57,5015,2213723,1804,1359309,3573032,03/15/2016
2007,New York City,65,599439,113239910,97501,32718922,145958832,03/15/2016
2006,Albany,01,52203,32537299,13889,15378801,47916100,03/15/2016
2006,Allegany,02,8955,5630197,3492,3300660,8930857,03/15/2016
2006,Broome,03,35624,27644819,13517,17845018,45489837,03/15/2016
2006,Cattaraugus,04,15470,8472728,5557,4604944,13077672,03/15/2016
2006,Cayuga,05,15174,9622659,5029,5411350,15034009,03/15/2016
2006,Chautauqua,06,25329,15505620,9233,9414950,24920570,03/15/2016
2006,Chemung,07,16097,10364766,6045,6577311,16942077,03/15/2016
2006,Chenango,08,10121,6374506,3382,3484704,9859210,03/15/2016
2006,Clinton,09,15255,9439311,4196,4303069,13742380,03/15/2016
2006,Columbia,10,11405,6076373,3550,3313631,9390004,03/15/2016
2006,Cortland,11,8556,5328852,2637,2842212,8171064,03/15/2016
2006,Delaware,12,8623,4340894,3865,3399592,7740486,03/15/2016
2006,Dutchess,13,52331,37329752,11185,14662904,51992656,03/15/2016
2006,Erie,14,171103,89885706,55679,50872178,140757884,03/15/2016
2006,Essex,15,7710,3502767,2931,2164182,5666949,03/15/2016
2006,Franklin,16,8749,4503123,2916,2346146,6849269,03/15/2016
2006,Fulton,17,10804,6281412,3883,3515416,9796828,03/15/2016
2006,Genesee,18,11956,8917124,3714,4794571,13711695,03/15/2016
2006,Greene,19,8715,4933005,3212,3131791,8064796,03/15/2016
2006,Hamilton,20,1250,335198,583,280114,615312,03/15/2016
2006,Herkimer,21,12056,7412995,4818,4897809,12310804,03/15/2016
2006,Jefferson,22,16999,7095560,5236,3594453,10690013,03/15/2016
2006,Lewis,23,5715,2588981,1860,1309960,3898941,03/15/2016
2006,Livingston,24,12417,8068339,3393,3786375,11854714,03/15/2016
2006,Madison,25,14176,9449589,3978,4451904,13901493,03/15/2016
2006,Monroe,26,147746,99209855,34596,42451428,141661283,03/15/2016
