Levy Year,County,County Code,Number of Basic Exemptions,Amount of Basic Reimbursement,Number of Enhanced Exemptions,Amount of  Enhanced Reimbursement,Total Amount of Reimbursement ,Data Preparation Date
2018,Hamilton,20,941,196401,617,272932,469333,03/11/2020
2018,Herkimer,21,9647,5451740,4679,5404860,10856600,03/11/2020
2018,Jefferson,22,13926,3770624,5381,3114665,6885289,03/11/2020
2018,Lewis,23,4720,1467699,1956,1277848,2745547,03/11/2020
2018,Livingston,24,9999,6137201,3782,4774832,10912033,03/11/2020
2018,Madison,25,11120,6737938,4471,5632924,12370862,03/11/2020
2018,Monroe,26,112268,74522305,38699,56084537,130606842,03/11/2020
2018,Montgomery,27,7196,3906565,3507,3889308,7795873,03/11/2020
2018,Nassau,28,222415,271643936,42405,112708257,384352193,03/11/2020
2018,Niagara,29,33471,19763042,14876,18005529,37768571,03/11/2020
2018,Oneida,30,34168,20951284,14103,18031809,38983093,03/11/2020
2018,Onondaga,31,71099,47918250,25043,35324548,83242798,03/11/2020
2018,Ontario,32,17248,10068934,6543,8226375,18295309,03/11/2020
2018,Orange,33,52364,45822129,12972,24519734,70341863,03/11/2020
2018,Orleans,34,6224,3528172,2899,3375861,6904033,03/11/2020
2018,Oswego,35,18592,11714655,7402,9452211,21166866,03/11/2020
2018,Otsego,36,9013,4186231,4443,4316783,8503014,03/11/2020
2018,Putnam,37,18149,20612614,4131,10215436,30828050,03/11/2020
2018,Rensselaer,38,24095,12901285,7937,9028410,21929695,03/11/2020
2018,Rockland,39,41752,51909733,9524,25926423,77836156,03/11/2020
2018,St. Lawrence,40,16718,9448065,7473,8255026,17703091,03/11/2020
2018,Saratoga,41,38454,23824326,10640,13849529,37673855,03/11/2020
2018,Schenectady,42,23623,13951246,7790,9741150,23692396,03/11/2020
2018,Schoharie,43,4872,2796327,2443,2786022,5582349,03/11/2020
2018,Schuyler,44,3152,1297138,1444,1251185,2548323,03/11/2020
2018,Seneca,45,4989,2912792,2368,2907053,5819845,03/11/2020
2018,Steuben,46,15769,8896514,6839,7670762,16567276,03/11/2020
2018,Suffolk,47,233158,250553497,56843,128693606,379247103,03/11/2020
2018,Sullivan,48,9312,4936457,3990,4324586,9261043,03/11/2020
2018,Tioga,49,8602,4703789,3517,4001575,8705364,03/11/2020
2018,Tompkins,50,12358,7024376,3864,4503377,11527753,03/11/2020
2018,Ulster,51,26012,16624660,10015,13100307,29724967,03/11/2020
2018,Warren,52,9996,3893354,4625,3729543,7622897,03/11/2020
2018,Washington,53,9627,4201239,4406,4085025,8286264,03/11/2020
2018,Wayne,54,15334,10157476,6447,8794811,18952287,03/11/2020
2018,Westchester,55,103265,194319237,22275,81551819,275871056,03/11/2020
2018,Wyoming,56,6889,3366237,2658,2747119,6113356,03/11/2020
2018,Yates,57,3884,1300109,1776,1259876,2559985,03/11/2020
2018,New York City,65,418153,121121366,100905,60202079,181323445,03/11/2020
2017,Albany,01,45996,25808734,12870,15282307,41091041,03/11/2020
2017,Allegany,02,7578,4075140,3670,3735121,7810261,03/11/2020
