InspectionID,CSNumber,CS Overall Condition,CS Litter,CS Graffiti,CS Amenities,CS Structural
92002,1,U,A,A,U,U/S
118518,1,U,A,A,A,U/S
107942,1,A,A,A,A,A
99567,1,A,A,A,A,A
53577,1,A,A,A,A,A
46966,1,A,A,A,U,A
66397,1,A,A,A,U,A
98857,1,A,A,A,A,A
78396,1,A,A,A,A,A
85655,1,A,A,A,A,A
95084,1,N,N,N,N,N
55449,1,N,N,N,N,N
36736,1,U,A,A,U/S,A
56850,1,A,A,A,U,A
65590,1,A,A,A,A,U
76303,1,A,A,A,A,A
39240,1,A,A,A,U,A
109974,1,U,A,A,U,A
118526,1,A,A,A,A,A
88205,1,A,A,A,A,A
85650,1,A,A,A,A,A
115855,1,A,A,A,A,A
41398,1,A,A,A,A,A
93062,1,A,A,A,A,A
91428,1,A,A,A,A,A
48633,1,A,A,A,U,A
79175,1,A,U,A,A,A
79312,1,A,A,A,A,A
116693,1,U,U,A,U,A
60935,1,A,A,A,A,A
52809,1,A,A,A,A,A
62953,1,A,A,A,A,A
70523,1,A,A,A,A,A
52041,1,U,U,A,U,U
74798,1,A,A,A,A,A
75521,1,A,A,A,A,A
91379,1,A,A,A,A,A
76499,1,A,A,A,A,U
69043,1,A,A,A,A,A
109683,1,N,A,N,A,N
69745,1,A,A,A,A,U
84170,1,A,A,A,A,A
64335,1,A,A,A,U,A
106127,1,N,N,N,N,N
65063,1,A,A,A,A,A
68998,1,A,A,U,A,A
66140,1,A,A,A,A,A
51914,1,U,A,A,U,A
58421,1,A,A,A,A,A
100021,1,A,A,A,A,A
82545,1,A,A,A,A,A
104140,1,A,A,A,U,A
78599,1,A,A,A,A,A
117528,1,A,A,A,A,A
76546,1,A,A,A,A,A
72016,1,A,A,A,U,A
67515,2,N,N,N,N,N
59776,1,A,A,A,A,A
38179,1,A,A,A,A,A
52516,1,A,A,A,U,A
84579,1,A,A,A,U,A
117040,1,A,A,A,A,A
81834,1,A,A,A,A,A
108175,1,N,N,N,N,N
42958,1,U,A,A,U,U
103368,1,A,A,A,A,A
117036,1,A,A,A,A,A
111470,1,U,A,A,U,U
51556,1,N,N,N,N,N
102348,1,A,A,A,A,A
46579,1,N,N,N,N,N
115954,1,A,A,A,A,A
39813,1,U,N,N,N,N
91095,1,U,A,A,U,U
61807,1,A,A,A,A,A
117077,1,A,A,A,A,A
65044,1,A,A,A,A,A
40859,1,N,N,N,N,N
66889,1,U,N,N,N,N
95109,1,A,A,A,U,A
53944,1,A,A,A,A,A
79565,1,A,A,A,U,A
84093,1,A,A,A,A,A
57988,1,U,U,A,U,A
51130,1,U,A,A,A,U/S
100615,1,A,A,A,A,A
68777,1,A,A,A,U,A
74955,1,A,A,A,U,A
113983,1,N,N,N,N,N
90739,1,A,A,A,A,A
95095,1,N,N,N,N,N
121642,1,A,A,A,A,A
71972,1,A,A,A,U,A
118529,1,A,A,A,A,A
121130,1,A,A,A,U,A
78770,1,A,A,A,U,A
92261,1,A,A,A,A,A
102028,1,U,A,A,A,U/S
85250,1,U,A,A,U,A
92906,1,A,A,A,A,A
84936,1,N,N,N,N,N
53604,1,A,A,A,U,A
108239,1,A,A,A,A,A
63851,1,N,N,N,N,N
36331,1,A,A,A,U,A
110017,1,N,A,N,A,N
93982,1,A,A,A,A,A
97356,1,A,A,A,A,A
63378,1,A,A,A,U,A
93460,1,A,A,A,A,A
42198,1,A,A,A,A,A
77019,1,A,A,A,A,A
104988,1,A,A,A,A,A
72209,1,A,A,A,A,A
62397,1,A,A,A,A,A
60971,1,U,N,N,N,N
78140,1,A,U,A,A,A
120699,1,A,A,A,A,A
74387,1,A,A,A,U,A
36169,1,A,A,A,A,A
103650,1,U,A,A,U,A
85308,1,A,A,A,A,A
78324,1,A,A,A,A,A
42776,1,U,N,N,N,N
45715,1,U,A,U,U/S,U/S
95048,1,N,N,N,N,N
118645,1,U,A,A,A,U/S
36999,1,A,A,A,A,A
94690,1,A,A,A,A,A
58821,1,A,A,A,A,A
52164,1,N,N,N,N,N
111737,1,U,U,A,U,A
57691,1,N,N,N,N,N
94067,1,A,A,A,A,A
71046,1,A,A,A,A,A
100015,1,A,A,A,A,A
112674,1,N,N,N,N,N
33386,1,U,N,N,N,N
107570,1,A,A,A,A,A
113820,1,A,A,A,A,A
58214,1,A,A,A,A,A
33823,1,U,A,A,U/S,A
64853,1,A,A,A,U,A
49477,1,A,A,A,A,A
77927,1,A,A,A,A,A
112652,1,A,A,A,A,A
40063,1,U,N,N,N,N
85381,1,A,A,A,U,A
94949,1,A,A,A,U,A
105746,1,A,A,A,A,U
77818,1,U,U,A,A,A
58004,1,A,A,A,U,A
119419,1,A,A,A,U,A
69669,1,U,U,A,U,U
61804,1,A,A,A,A,A
48293,1,N,N,N,N,N
71905,1,U,N,N,N,N
34550,1,N,N,N,N,N
105451,1,A,A,A,A,U
119074,1,U,A,A,U,U/S
65699,1,A,A,A,A,A
114192,1,N,N,N,N,N
46020,1,U,N,N,N,N
90641,1,A,A,A,A,A
55980,1,A,A,A,A,A
57686,1,N,N,N,N,N
115592,1,A,A,A,A,A
106355,1,A,A,A,A,A
113676,1,A,A,A,A,A
115895,1,U,N,N,N,N
69491,1,A,A,A,U,A
97868,1,U,A,A,A,U/S
41660,1,U,N,N,N,N
55836,1,A,A,A,A,A
49790,1,A,A,A,A,A
44129,1,N,N,N,N,N
98913,1,A,A,A,A,A
102683,1,A,A,A,A,A
71903,1,A,A,A,A,A
67358,1,A,A,A,A,A
86811,1,A,A,A,A,A
46177,1,A,A,A,U,A
117130,1,A,A,A,A,A
53218,1,U,A,A,A,U/S
85656,1,A,A,A,A,A
48588,1,A,A,A,A,A
91918,1,A,A,A,A,A
60021,1,U,A,A,U/S,A
73673,1,A,A,A,A,A
102376,1,N,N,N,N,N
93033,1,A,A,A,A,A
102347,1,U,U/S,A,A,A
73776,1,A,A,A,A,A
101340,1,U,N,N,N,N
82631,1,A,A,A,U,A
118520,1,N,N,N,N,N
117471,1,A,A,A,U,A
82756,1,U,A,A,U,A
65441,1,N,N,N,N,N
45978,1,U,A,A,U,A
89752,1,A,A,A,A,A
101447,1,A,A,A,A,A
83553,1,A,A,A,A,A
100319,1,N,N,N,N,N
106435,1,A,A,A,A,A
95328,1,N,N,N,N,N
71485,1,A,A,A,A,A
35322,1,N,N,N,N,N
71316,1,N,N,N,N,N
49312,1,N,N,N,N,N
75679,1,A,A,A,A,A
109546,1,A,A,A,A,A
34286,1,U,A,U/S,U/S,A
115480,1,A,A,A,A,A
120526,1,A,A,A,A,A
117132,1,A,A,A,A,A
95877,1,U,N,N,N,N
92288,1,N,N,N,N,N
34517,1,U,N,N,N,N
120609,1,A,A,A,A,A
63529,1,U,A,A,U/S,A
86157,1,U,N,N,N,N
77089,1,A,A,A,A,A
96109,1,A,A,A,A,A
88583,1,N,N,N,N,N
119143,1,A,A,A,U,A
111603,1,U,U,U/S,U/S,A
113829,1,A,A,A,A,A
42175,1,A,A,A,A,A
110919,1,A,A,A,A,A
104613,1,A,A,A,A,A
102576,2,A,A,A,A,A
68670,1,A,A,A,A,A
116612,1,A,A,A,A,A
61737,1,A,A,A,A,A
117535,1,A,A,A,U,A
52481,1,A,A,A,A,A
56195,1,A,A,A,U,A
92031,1,A,A,A,A,A
58193,1,U,U/S,A,A,A
92683,1,A,A,A,A,U
83836,1,A,A,A,A,A
77549,1,N,N,N,N,N
79227,1,A,A,A,A,A
66035,1,A,A,A,A,A
117694,1,A,A,A,A,A
41432,1,A,A,A,U,A
86868,1,A,A,A,U,A
94317,1,N,N,N,N,N
55905,1,A,A,A,U,A
47141,1,U,N,N,N,N
63282,1,U,A,A,U/S,A
79091,1,U,A,A,A,U/S
105014,1,A,A,A,A,A
95503,1,N,N,N,N,N
117016,1,A,A,A,A,A
68378,1,A,A,A,A,A
62069,1,A,A,A,A,A
82299,1,A,A,A,A,A
36593,1,A,A,A,U,A
115503,1,A,A,A,A,A
98992,1,A,A,A,U,A
104470,1,A,A,A,A,A
39209,1,U,A,A,U,U
82994,1,N,N,N,N,N
72105,1,U,N,N,N,N
58982,1,A,A,A,U,A
53736,1,U,N,N,N,N
64351,1,A,A,A,U,A
109757,1,A,A,A,A,A
113749,1,A,A,A,A,A
52150,1,N,N,N,N,N
100974,1,A,A,U,A,A
93643,1,N,N,N,N,N
74020,1,A,A,A,A,A
78694,1,U,A,A,U/S,A
117579,1,A,A,A,A,A
86652,1,A,A,A,U,A
53160,1,A,A,A,A,A
105974,1,A,A,A,A,A
74027,1,A,A,A,U,A
80669,1,A,A,A,U,A
69242,1,U,A,A,U,U
104282,1,A,A,A,A,A
98471,1,U,A,A,U,U
39288,1,A,A,A,A,A
116144,1,A,A,A,A,A
91852,1,A,A,A,A,A
50794,1,A,A,A,A,A
78390,1,N,N,N,N,N
113572,2,A,A,A,A,A
112455,1,A,A,A,A,A
121645,1,A,A,A,A,A
42990,1,A,A,A,A,A
100371,1,N,N,N,N,N
80382,1,A,A,A,A,A
60510,1,A,A,A,A,A
98361,1,A,A,A,A,A
109260,1,A,A,A,A,A
97371,1,A,A,A,A,A
110871,1,N,A,N,A,N
45108,1,U,A,A,U,A
79858,1,U,A,A,U,U
112305,1,A,A,A,A,A
106241,1,A,A,A,A,A
115814,1,A,A,A,A,A
106087,1,A,A,A,A,A
117517,1,A,A,A,A,A
109918,1,A,A,A,A,A
87681,1,A,A,A,A,A
109213,1,A,A,A,A,A
61237,1,A,A,A,A,A
71694,1,A,A,A,A,A
100483,1,U,U/S,A,A,A
86143,1,A,A,A,U,A
37160,1,U,A,A,U/S,U/S
48261,1,N,N,N,N,N
107525,1,A,A,A,A,A
65893,1,A,A,A,A,A
84174,1,A,A,A,A,A
42185,1,A,A,A,A,A
93399,1,A,A,A,U,A
70654,1,A,A,A,A,A
52097,1,A,A,A,A,A
44090,1,U,N,N,N,N
93762,1,A,A,A,A,A
63227,1,A,A,A,A,A
74700,1,A,A,A,U,A
117000,1,N,N,N,N,N
118544,1,A,A,A,A,U
34708,1,U,N,N,N,N
71140,1,A,A,A,U,A
98030,1,U,A,A,U,U/S
47534,1,A,A,A,U,A
116846,1,A,A,A,U,A
97755,1,A,A,A,U,A
115222,1,N,N,N,N,N
59201,1,A,A,A,A,A
94216,1,A,A,A,A,A
74102,1,A,A,A,U,A
74068,1,N,N,N,N,N
49105,1,A,A,A,A,A
112838,1,A,A,A,A,A
81214,1,A,A,A,A,A
99168,1,A,A,A,A,A
34371,1,A,A,U,A,A
50873,1,A,A,A,A,A
81030,1,A,A,A,A,A
108342,1,A,A,A,A,A
84535,1,N,N,N,N,N
115081,1,N,N,N,N,N
82242,1,A,A,A,U,A
115225,1,A,A,A,A,A
70204,1,A,A,A,A,A
48775,1,U,A,A,A,U/S
65510,1,A,A,A,U,A
36772,1,A,A,A,U,A
36196,1,U,A,A,U,U/S
74153,1,A,A,A,U,A
105379,1,A,A,A,U,A
100896,1,A,A,A,A,A
58782,1,A,A,A,U,A
75808,1,A,A,A,A,A
106801,1,U,A,A,A,U/S
39223,1,A,A,A,U,A
91191,1,N,N,N,N,N
62371,1,A,A,A,A,A
51870,1,A,A,A,A,A
80515,1,A,A,A,U,A
70176,1,A,A,A,U,A
121570,1,A,A,A,A,A
95530,1,A,A,A,A,A
100671,1,N,N,N,N,N
50916,1,A,A,A,U,A
77537,1,A,A,A,U,A
117081,1,A,A,A,A,A
112547,1,A,A,A,A,U
105549,1,A,A,A,U,A
88869,1,A,A,A,A,A
85295,1,U,A,A,U,A
106338,1,A,A,A,A,A
92194,1,A,A,A,A,A
91052,1,A,A,A,A,A
71475,1,U,N,N,N,N
67661,1,N,N,N,N,N
75783,1,A,A,A,A,A
37326,1,A,A,A,A,A
110743,1,A,A,A,A,A
106035,1,A,A,A,U,A
39525,1,A,N,A,U,A
104081,1,A,A,A,A,A
64823,1,A,A,A,A,A
98324,1,N,N,N,N,N
117294,1,A,A,A,U,A
32969,1,A,A,A,A,A
58602,1,N,N,N,N,N
59914,1,A,A,A,U,A
119473,1,A,A,A,A,A
92656,1,A,A,A,U,U/S
93128,1,A,A,A,U,A
103376,1,A,A,A,A,A
112704,1,A,A,A,A,A
95158,1,N,N,N,N,N
113715,1,A,A,A,A,A
105152,1,A,A,A,A,A
72142,1,A,A,A,U,A
103839,1,A,A,A,A,A
120184,1,A,A,A,A,A
80329,1,A,A,A,U,A
68454,1,A,A,A,U,A
93438,1,A,A,A,A,A
82824,1,A,A,A,A,A
83028,1,N,N,N,N,N
119845,1,U,A,A,A,U/S
117684,1,A,A,A,A,A
114922,1,A,A,A,A,A
80840,1,A,A,A,U,A
86861,1,A,A,A,A,A
41982,1,A,A,A,A,A
51910,1,U,A,A,U/S,A
73027,1,N,N,N,N,N
101876,1,A,A,A,A,A
96218,1,A,A,A,A,A
94207,1,U,A,A,U,U/S
121599,1,N,N,N,N,N
51599,1,A,A,A,U,A
108356,1,U,A,A,U,U
62923,1,U,A,A,U,U/S
111389,1,A,A,A,A,A
82395,1,A,A,A,A,A
96396,1,N,N,N,N,N
54416,1,A,A,A,A,A
84808,1,N,N,N,N,N
55755,1,A,A,A,A,A
66985,1,U,A,A,A,U/S
53314,1,U,A,U,U/S,U/S
107741,1,A,A,A,A,A
96351,1,U,N,N,N,N
80737,1,A,A,A,A,A
81492,1,A,A,A,U,A
59254,1,A,A,A,U,A
108848,1,A,A,A,A,A
84150,1,A,A,A,U,A
85426,1,A,A,A,A,A
107663,1,A,A,A,A,A
70531,1,A,A,A,U,A
73008,1,U,N,N,N,N
40137,1,U,N,N,N,N
61625,1,A,A,A,A,A
62714,1,A,A,A,A,A
118867,1,A,U,A,A,A
114055,1,N,N,N,N,N
79309,1,A,A,A,A,A
58291,1,A,A,A,U,A
103939,1,N,N,N,N,N
75065,1,A,U,A,A,A
95194,1,A,A,A,A,A
74620,1,U,U,A,U,A
116068,1,A,A,A,A,A
77353,1,U,U/S,A,A,A
47076,1,A,A,A,A,A
91536,1,A,A,A,A,A
38617,1,U,A,A,U/S,A
52300,1,A,A,A,U,A
36867,1,A,A,A,A,A
61393,1,U,A,A,U/S,U
95668,1,A,A,A,A,A
82695,1,N,N,N,N,N
120632,1,A,A,A,A,A
70620,1,A,A,A,A,A
105160,1,N,N,N,N,N
77126,1,N,N,N,N,N
121164,1,A,A,A,A,A
101841,1,A,A,A,A,A
86441,1,A,A,A,A,A
38810,1,N,N,N,N,N
83765,1,A,A,A,A,A
44628,1,U,A,A,U,U/S
107068,1,A,A,A,A,A
39596,1,A,A,A,A,A
82305,1,A,A,A,U,A
122294,1,A,A,A,A,A
111500,1,A,A,A,A,A
42267,1,A,A,A,U,A
51417,1,A,A,A,A,A
34305,1,A,A,A,A,A
116810,1,A,A,A,A,A
121172,1,A,A,A,A,A
102272,1,A,A,A,A,A
120186,1,N,N,N,N,N
79723,1,A,A,A,A,A
98405,1,A,A,A,A,A
121150,1,A,A,A,A,A
114762,1,A,A,A,A,A
72063,1,N,N,N,N,N
77957,1,A,A,A,A,A
101408,1,U,N,N,N,N
54374,1,A,A,A,U,A
93084,1,A,A,A,A,A
121345,1,A,A,A,A,A
93528,1,A,A,A,A,A
92945,1,A,A,A,A,U
121384,1,A,A,A,A,A
89674,1,A,A,A,A,A
36998,1,A,A,A,A,A
87233,1,A,A,A,A,A
38875,1,A,A,A,A,A
91244,1,A,A,A,U,A
51353,1,N,N,N,N,N
66785,1,A,A,A,A,A
51184,1,A,A,A,A,A
73969,1,A,A,A,A,A
104229,1,A,A,A,A,A
111158,1,A,A,A,A,A
49121,1,U,A,A,U/S,A
35109,1,U,N,N,N,N
34100,1,U,A,A,U/S,A
63933,1,U,A,A,U,A
54618,1,A,A,A,A,A
114618,1,A,A,A,A,A
105035,1,A,A,A,A,A
114325,1,N,N,N,N,N
104312,1,U,N,N,N,N
71684,1,N,N,N,N,N
115770,1,N,N,N,N,N
75487,1,U,N,N,N,N
40104,1,A,A,A,U,A
93317,1,N,N,N,N,N
63632,1,A,A,A,U,A
76442,1,U,N,N,N,N
115044,1,N,N,N,N,N
44021,1,A,A,A,A,A
32584,1,N,N,N,N,N
97636,1,A,A,A,A,A
96827,1,A,A,A,A,A
51010,1,U,A,A,U/S,A
61069,1,N,N,N,N,N
49868,1,A,A,A,A,A
85791,1,A,A,A,A,A
42017,1,U,U,A,U,A
95849,1,A,A,A,A,A
53421,1,A,A,A,A,A
68651,1,U,U,A,U,A
119127,1,N,N,N,N,N
118612,1,A,A,A,A,A
54560,1,A,A,A,A,A
69706,1,A,A,A,A,A
44953,1,A,A,A,A,A
110770,1,A,A,A,A,A
99605,1,A,A,A,U,A
74066,1,A,A,A,A,A
90904,1,A,A,A,A,A
38398,1,A,A,A,A,A
107572,1,A,A,A,A,A
63695,1,N,N,N,N,N
55482,1,A,A,A,U,A
108331,1,A,A,A,A,A
64030,1,A,A,A,A,A
94664,1,N,N,N,N,N
71873,1,U,N,N,N,N
120123,1,A,A,A,A,A
60583,1,N,N,N,N,N
109261,1,A,A,A,A,A
77270,1,A,A,A,A,A
73749,1,A,A,A,A,A
39744,1,U,A,A,A,U/S
91692,1,A,A,A,A,A
103945,1,A,A,A,A,A
67049,1,N,N,N,N,N
47291,1,N,N,N,N,N
119999,1,A,A,A,A,A
43056,1,N,N,N,N,N
57034,1,A,A,A,U,A
112208,1,U,N,N,N,N
54826,1,N,N,N,N,N
102582,1,A,A,A,U,A
74702,1,A,A,A,A,U
63964,1,U,A,A,U,U/S
85053,1,A,A,A,U,A
101660,1,A,A,A,A,A
73486,1,A,A,A,U,A
56917,1,U,N,N,N,N
120162,1,A,A,A,A,A
46928,1,U,N,N,N,N
116109,1,A,A,A,A,A
99253,1,N,N,N,N,N
64281,1,U,A,A,A,U/S
121106,1,A,A,A,A,A
57395,1,A,A,A,A,A
85711,1,A,A,A,A,A
91442,1,A,A,A,A,A
115183,1,N,N,N,N,N
91750,1,A,A,A,A,A
62658,1,U,A,A,A,U/S
113767,1,A,A,A,A,A
45818,1,N,N,N,N,N
76650,1,U,N,N,N,N
67269,1,N,N,N,N,N
53493,1,U,U/S,A,A,A
51354,1,N,N,N,N,N
95661,1,A,U,A,A,A
84720,1,A,A,A,A,A
108319,1,A,A,A,A,U
42831,1,A,A,A,A,A
94476,1,A,A,A,A,A
94607,1,U,A,A,A,U/S
118870,1,A,A,A,A,A
116885,1,A,A,A,A,A
112430,1,A,A,A,U,A
96784,1,A,A,A,A,A
88831,1,N,N,N,N,N
95166,1,A,A,A,U,A
32976,1,N,N,N,N,N
48195,1,A,A,A,A,A
77655,1,N,N,N,N,N
68056,1,A,A,A,A,A
116448,1,N,U/S,N,A,N
33993,1,U,A,A,U/S,A
58556,1,U,N,N,N,N
86314,1,A,A,A,A,A
98849,1,A,A,A,U,A
62544,1,A,A,A,A,A
96480,1,A,A,A,A,A
99212,1,N,N,N,N,N
111679,1,A,A,A,A,A
95493,1,A,A,A,U,A
121458,1,U,A,A,A,U/S
89225,1,A,A,A,U,A
119351,1,A,A,A,A,A
59273,1,A,A,A,U,A
103375,1,A,A,A,A,A
121609,1,N,N,N,N,N
112671,1,N,N,N,N,N
105993,1,A,A,A,A,A
48652,1,N,N,N,N,N
90079,1,A,A,A,A,A
32543,1,A,A,A,U,A
106336,1,A,A,A,A,A
81847,1,A,A,A,A,A
84704,1,N,N,N,N,N
62395,1,U,A,A,U,U
116150,1,A,A,A,U,A
60247,1,A,A,A,U,A
86946,1,A,A,A,A,A
77783,1,U,N,N,N,N
43010,1,N,N,N,N,N
95820,1,A,A,A,A,A
79205,1,A,A,A,A,A
43518,1,N,N,N,N,N
70426,1,A,A,A,A,A
60418,1,A,A,A,A,A
75848,1,A,A,A,A,A
57652,1,A,A,A,A,A
41088,1,A,A,A,U,A
67770,1,A,A,A,A,A
38828,1,U,A,A,U/S,A
97075,1,A,A,A,A,A
61756,1,A,A,A,A,A
109718,1,A,A,A,A,A
52257,1,A,A,A,A,A
87355,1,A,A,A,U,A
106706,1,A,A,A,A,A
55414,1,N,N,N,N,N
82913,1,U,N,N,N,N
38653,1,A,A,A,U,A
63757,1,A,A,A,A,A
104584,1,A,A,A,A,A
88794,1,U,N,N,N,N
39168,1,A,A,A,U,A
53487,1,A,A,A,U,A
92619,1,A,A,A,A,A
120293,1,A,A,A,A,A
60181,1,A,A,A,U,A
69622,1,U,A,A,U,U/S
58917,1,A,A,A,U,A
72516,1,U,N,N,N,N
89628,1,U,N,N,N,N
80683,1,A,A,A,A,A
119657,1,U,A,A,A,A
80936,1,A,A,A,A,A
66595,1,A,A,A,A,A
85658,1,N,N,N,N,N
100388,1,A,A,A,A,A
113425,1,A,A,A,A,A
47307,1,U,A,A,U/S,A
86703,1,N,N,N,N,N
71640,1,A,A,A,U,A
57784,1,N,N,N,N,N
66399,1,A,A,A,U,A
51324,1,N,N,N,N,N
50293,1,U,A,A,U/S,A
100927,1,N,N,N,N,N
56763,1,A,A,A,A,A
71532,1,U,N,N,N,N
43867,1,A,A,A,U,A
51979,1,N,N,N,N,N
72883,1,U,A,A,A,U/S
105258,1,A,A,A,A,A
87895,1,N,N,N,N,N
79681,1,A,A,A,A,A
115682,1,N,N,N,N,N
107834,1,A,A,A,U,A
89792,1,A,A,A,A,A
59335,1,U,A,A,U/S,A
80496,1,A,A,A,A,A
67086,1,A,A,A,A,A
99658,1,A,A,A,A,A
113633,1,A,A,A,A,A
100588,1,A,A,A,A,A
95313,1,N,N,N,N,N
120854,1,N,N,N,N,N
48446,1,U,N,N,N,N
67277,1,A,A,A,A,A
71024,1,N,N,N,N,N
122377,1,A,A,A,U,A
112802,1,A,A,A,A,A
79978,1,A,A,A,A,A
76233,1,A,A,A,A,A
90322,1,A,A,A,A,A
72890,1,A,A,A,A,A
95550,1,N,N,N,N,N
107126,1,A,A,A,A,A
45292,1,A,A,A,U,A
81919,1,N,N,N,N,N
122289,1,U,A,A,U,U
116645,1,A,A,A,U,A
70237,1,A,A,A,A,A
77478,1,U,N,N,N,N
50281,1,A,A,A,U,A
37970,1,A,A,A,U,A
77315,2,A,A,A,A,A
79075,1,A,A,A,A,A
85083,1,N,N,N,N,N
90859,1,A,A,A,A,A
48741,1,A,A,A,A,A
65765,1,U,A,A,U,U
110979,1,A,A,A,A,A
83789,1,N,N,N,N,N
116485,1,U,N,N,N,N
104257,1,A,A,A,U,A
96615,1,A,A,A,A,A
47621,1,U,U,A,U,A
58341,1,A,A,A,A,A
70555,1,A,U,A,A,A
55327,1,A,A,A,A,A
34746,1,A,A,A,A,A
86522,1,A,A,A,A,A
102285,1,N,N,N,N,N
83110,1,N,N,N,N,N
91722,1,A,A,A,A,A
74919,1,A,A,A,U,A
92138,1,A,A,A,U,A
82279,1,N,N,N,N,N
96413,1,A,A,A,A,A
112352,1,A,A,A,A,A
46069,1,N,N,N,N,N
117933,1,A,A,A,A,A
96064,1,A,A,A,A,A
55912,1,U,A,A,U,U/S
37562,1,A,A,A,U,A
54616,1,U,A,A,A,U/S
100467,1,A,A,A,U,A
81546,1,N,N,N,N,N
109785,1,A,A,A,A,U
71289,1,N,N,N,N,N
93180,1,N,N,N,N,N
57226,1,A,A,A,A,A
74789,1,U,U,A,U,A
103262,1,N,N,N,N,N
91891,1,N,N,N,N,N
101199,1,A,A,A,U,A
33848,1,A,A,A,U/S,A
94099,1,A,A,A,A,A
118345,1,A,A,A,A,A
72833,1,A,A,A,A,A
118272,1,A,A,A,A,A
82690,1,A,A,A,A,A
63687,1,N,N,N,N,N
102896,1,A,A,A,U,A
116084,1,A,A,A,A,A
118037,1,A,A,A,A,A
58955,1,A,A,A,U,A
104301,1,A,A,A,A,A
35443,1,A,A,A,A,A
61568,1,N,N,N,N,N
61869,1,N,N,N,N,N
87078,1,N,N,N,N,N
99657,1,A,A,A,A,A
93227,1,N,N,N,N,N
42396,1,A,A,A,A,A
88390,1,A,A,A,A,U/S
65640,1,U,A,A,U,U/S
59449,1,U,A,A,U,U/S
97086,1,A,A,A,A,A
43329,1,A,A,A,U,A
75051,1,U,N,N,N,N
115152,1,A,A,A,A,A
112368,1,N,N,N,N,N
74139,1,A,A,A,A,A
106922,1,A,A,A,A,A
95490,1,A,A,A,A,A
59387,1,A,A,A,U,A
58564,1,A,A,A,A,A
58896,1,U,A,A,U/S,A
114590,1,N,N,N,N,N
102209,1,A,A,A,A,A
85930,1,A,A,A,A,A
91982,1,A,A,A,A,A
55035,1,A,A,A,U,A
96909,1,A,A,A,A,A
83976,1,N,N,N,N,N
37497,1,U,U,A,A,A
101670,1,U,N,N,N,N
64629,1,A,A,A,A,A
112933,1,A,A,A,U,A
94208,1,A,A,A,U,A
97489,1,A,A,A,A,A
102296,1,A,A,U,A,A
99299,1,A,A,A,A,A
35961,1,A,A,A,U,A
61511,1,A,A,A,A,A
58595,1,N,N,N,N,N
92531,1,A,A,A,U,A
85968,1,A,A,A,A,A
92021,1,A,A,A,A,A
93677,1,A,A,A,A,A
106077,1,A,A,A,A,A
59924,1,U,A,A,U/S,A
86168,1,U,U,A,U,A
73704,1,N,N,N,N,N
64463,1,U,U,A,U/S,A
120524,1,A,A,A,A,A
44293,1,U,N,N,N,N
118471,1,N,N,N,N,N
58757,1,N,N,N,N,N
40073,1,A,A,A,A,A
42657,1,A,A,A,A,A
93821,1,A,A,A,A,A
33751,1,U,A,A,U/S,A
89283,1,N,N,N,N,N
73258,1,U,N,N,N,N
86328,1,A,A,A,A,A
118081,1,A,A,A,A,A
67515,1,A,A,A,A,A
95643,2,N,N,N,N,N
76766,1,A,A,A,A,A
85776,1,A,A,A,U,A
39115,1,A,U,A,A,A
116128,1,A,A,A,A,A
89488,1,U,N,N,N,N
76013,1,U,A,A,U,U/S
78018,1,N,N,N,N,N
57074,1,N,N,N,N,N
108430,1,U,N,N,N,N
110177,1,N,A,N,A,N
99940,1,A,A,A,A,A
112468,1,A,A,A,A,A
95350,1,N,N,N,N,N
79878,1,U,A,U,U,A
67809,1,A,A,A,A,A
99414,1,A,A,A,U,A
69949,1,N,N,N,N,N
108472,1,A,A,A,A,A
119530,1,A,A,A,A,A
63362,1,A,A,A,U,A
101003,1,U,U,A,U,A
85296,1,N,N,N,N,N
92178,1,A,A,A,A,U
59528,1,A,A,A,A,A
54447,1,A,A,A,A,A
40154,1,A,A,A,U,A
114566,1,A,A,A,A,A
59060,1,U,A,A,U,U/S
79237,1,A,A,A,A,A
43631,1,U,A,A,U,U
84723,1,U,A,A,A,U/S
88810,2,A,A,A,A,A
70919,1,A,A,A,A,A
118024,1,N,A,N,A,N
44804,1,U,A,A,U,U/S
100678,1,A,A,A,A,A
54628,1,A,A,A,A,A
92786,1,N,N,N,N,N
122153,1,A,A,A,A,U
110432,1,A,A,A,A,A
117519,1,A,A,A,A,A
105213,1,A,A,A,A,A
71693,1,U,A,A,A,U/S
94673,1,N,N,N,N,N
109448,1,A,A,A,A,A
73600,1,N,N,N,N,N
55914,1,A,A,A,U,A
55657,1,A,A,A,A,A
48485,1,A,A,A,A,U
118047,1,A,A,A,A,A
83626,1,A,A,A,U,A
86871,1,U,N,N,N,N
75929,1,U,A,A,U/S,A
39403,1,U,A,A,U/S,U/S
97061,1,A,A,A,A,A
81774,1,A,A,A,A,A
113006,1,N,N,N,N,N
74319,1,A,A,A,A,A
114299,1,U,N,N,N,N
62601,1,U,A,A,U,U
93081,1,A,A,A,A,A
85450,1,A,A,A,A,A
93600,1,A,A,A,A,A
78236,1,N,N,N,N,N
51479,1,U,U/S,A,A,A
98203,1,A,A,A,A,A
109244,1,U,A,A,A,U/S
82177,1,A,A,A,A,A
107605,1,A,A,A,A,A
87302,1,A,A,A,A,A
48613,1,A,A,A,U,A
95268,1,N,N,N,N,N
33044,1,N,N,N,N,N
84684,1,A,A,A,U,A
