InspectionID,CSNumber,CS Overall Condition,CS Litter,CS Graffiti,CS Amenities,CS Structural
113577,1,A,A,A,A,A
110736,1,N,A,N,A,N
49729,1,A,A,A,U,A
59436,1,A,A,A,A,U
53133,1,A,A,A,A,A
109724,1,N,N,N,N,N
95210,1,N,N,N,N,N
107206,1,N,N,N,N,N
65436,1,A,A,A,A,A
84504,1,U,U,A,U,U/S
43474,1,N,N,N,N,N
94342,1,A,A,A,A,A
55923,1,A,A,A,A,U
94867,1,A,A,A,A,A
114504,1,N,N,N,N,N
90744,1,N,N,N,N,N
82762,1,A,A,A,U,A
121201,1,A,A,A,A,A
112978,1,A,A,A,A,A
60449,1,A,A,A,A,A
66555,1,A,A,A,U,A
39026,1,A,A,A,A,A
99922,1,A,A,A,U,A
88141,1,A,A,A,U,A
51009,1,A,A,A,A,A
43888,1,A,A,A,A,A
98311,1,U,A,A,U,U
117687,1,A,A,A,A,A
90466,1,A,A,A,A,A
120752,1,A,A,A,A,A
68800,1,A,A,A,A,A
84602,1,U,N,N,N,N
48759,1,A,A,A,U,A
118356,1,A,A,A,U,A
58876,1,A,A,A,A,A
94869,1,A,A,A,A,A
48772,1,A,A,A,A,A
117281,1,A,A,A,A,A
87994,1,N,N,N,N,N
98476,1,A,A,A,U,A
59706,1,A,A,A,U,A
99541,1,A,A,A,A,A
34010,1,N,N,N,N,N
87300,1,A,A,A,A,A
102442,1,A,A,A,A,A
89197,1,A,A,A,A,A
108897,1,A,A,A,A,A
121470,1,A,A,A,A,A
45840,1,N,N,N,N,N
83143,1,A,A,A,A,A
72408,1,A,A,A,U,A
42703,1,A,A,A,A,A
120103,1,A,A,A,A,A
120793,1,N,N,N,N,N
40216,1,A,A,A,A,A
64410,1,A,U,A,A,A
59026,1,U,A,A,A,A
107467,1,N,N,N,N,N
34114,1,U,A,A,U/S,A
74903,1,A,A,A,A,A
110292,1,A,A,A,A,A
48679,1,A,A,A,A,A
111902,1,N,N,N,N,N
120629,1,N,N,N,N,N
54495,1,A,A,A,A,A
57645,1,U,A,A,U/S,A
78366,1,A,A,A,A,A
43103,1,A,A,A,A,A
117571,1,U,N,N,N,N
46672,1,A,A,A,A,A
103413,1,A,A,A,A,A
69393,1,A,A,A,A,A
63163,1,A,A,A,A,A
86860,1,A,A,A,A,A
94049,1,A,A,A,A,U
77217,1,A,A,A,A,A
117634,1,N,A,N,A,N
56786,1,A,A,A,A,A
120074,1,A,A,A,A,A
103997,1,A,A,A,A,A
100903,2,A,A,A,A,A
43007,1,A,A,A,A,A
114573,1,A,A,A,A,A
66861,1,A,A,A,A,A
49097,1,U,A,A,A,U/S
118641,1,A,A,A,A,A
94877,1,U,N,N,N,N
52302,1,A,A,A,U,A
66799,1,A,A,A,U,A
77847,1,U,N,N,N,N
117300,1,A,A,A,A,A
116609,1,A,A,A,U,A
49911,1,A,A,A,A,A
87205,1,A,A,A,A,A
43354,1,U,U,A,A,U
87544,1,U,N,N,N,N
106796,1,U,A,A,A,U/S
67897,1,A,A,A,A,A
72085,1,U,A,A,A,A
66380,1,A,A,A,U,A
110985,1,U,U/S,A,A,A
59274,1,U,A,A,U/S,A
111114,1,A,A,A,A,U
45821,1,A,A,A,A,A
96885,1,A,A,A,A,A
110352,1,N,A,N,A,N
111488,1,A,A,A,A,A
87651,1,U,A,A,A,U
110357,1,N,A,N,A,N
109370,1,A,A,A,A,A
115193,1,U,N,N,N,N
85477,1,A,A,A,A,A
54968,1,U,A,A,A,U/S
93232,1,A,A,A,A,A
75071,1,A,A,A,U,A
