the_geom,OBJECTID,Placement,Corral,Owner,Landmark,AddressNumber,StreetName,YearInstalled,Month Installed,LocationX,LocationY,created_user,created_date,last_edited_user,last_edited_date,Rack Type,GlobalID,Status,NumberOfRacks,NumberOfSpaces
POINT (-90.10539262089 29.935198409081),317,,,,,,,,,3669762.6279577198,524008.62401456002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{43105D34-BD41-4F75-A290-19AC7DAAF698},,,
POINT (-90.075651613525 29.958027414396),141,,,,,,,,,3679091.04827721,532412.25320464,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{B8FF4C40-0045-43D2-BAE2-B11BB0D27BB0},,,
POINT (-90.064618610164 29.950417413192),67,,,,,,,,,3682615.2426723801,529683.49192989001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{9B84ED3A-367D-4B00-BCCB-07E3F2A16D95},,,
POINT (-90.074542613051 29.947981412753),86,,,,,,,,,3679482.34080172,528763.01247165003,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{87254240-4F42-4CD5-8536-A5FF1D824ACA},,,
POINT (-90.079120613588 29.934913409802),294,,,,,,,,,3678084.6037678001,523995.11223054997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{F0F3EB91-E07A-402C-985C-D3AE23FD3130},,,
POINT (-90.094644617889 29.927007407808),223,,,,,,,,,3673198.92521897,521066.71651255997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{59A070F0-9054-4396-AE27-377B8F7B2422},,,
POINT (-90.062423609317 29.935078409834),123,,,,,,,,,3683372.1994917998,524113.38167906,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{5070AEA0-B0C6-41D2-919B-8CF5A8157CEA},,,
POINT (-90.070326612236 29.956627414634),77,,,,,,,,,3680782.79948689,531921.7079259,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{7112A05F-3502-48D6-8A64-C89AFB82EA7A},,,
POINT (-89.980736587448 29.956464417917),337,,,,,,,,,3709152.0770657999,532186.22216064006,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{44E39569-D717-4058-8D7A-16DC63BF2F60},,,
POINT (-90.073346612899 29.955814414373),36,,,,,,,,,3679829.7662879699,531615.54285581002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{02BFF55E-1701-4471-BEA0-68E10869DCE5},,,
POINT (-90.084728517009 29.964732416165),420,,,,,,,,,3676190.3135931301,534819.01118638995,,,AKKUEMMEL,07/03/2018 02:12:52 PM +0000,Post and Loop,{1CC730B5-15E7-4A21-826A-E2E064D839DB},,,
POINT (-90.072171612546 29.952989414158),277,,,,,,,,,3680213.1401931299,530592.36183130997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{C156BF44-0F66-4C52-8B31-F394777D6D47},,,
POINT (-90.005975594737 29.951050415211),339,,,,,,,,,3701182.99326646,530124.04419838998,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{7BA97F9F-90F0-4137-925E-81C306163B79},,,
POINT (-90.058257609655 29.961683415932),286,,,,,,,,,3684583.99070339,533802.58080455998,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{08E2FD2B-5707-456A-8DA9-D214600ABD69},,,
POINT (-90.067394611353 29.952449413664),15,,,,,,,,,3681728.00330514,530412.67879172997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{04B4A4AA-BE96-445F-9289-C517E2531BCA},,,
POINT (-90.062495609965 29.960772416197),149,,,,,,,,,3683245.7702827202,533456.40006648004,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{54307D78-0B98-421E-9E53-4A4D1D9F9111},,,
POINT (-90.074608613597 29.95676141487),135,,,,,,,,,3679426.3671603799,531955.51527296996,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{2B9DCCE0-2CC7-4D98-B2F8-458C6BF52AED},,,
POINT (-90.038167603969 29.966001417608),351,,,,,,,,,3690927.4117435501,535444.10639288998,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{3A348D88-7094-414B-AD17-3359DAFD5E26},,,
POINT (-90.091903417122 29.928236907637),399,,,,,,,,,3674062.3427834702,521523.20378856,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{27D7E04D-0BFB-42D6-972B-C5D7DA05C7CB},,,
POINT (-90.110281624325 29.983721419118),230,Sidewalk,Yes,,The Bulldog,,,,June,3668025.8479667199,541636.89551647997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{1CDF49F6-BFAF-49F2-9AFC-5FDDCFCC5298},,2,4
POINT (-90.100041621496 29.981547419534),363,,,,,,,,,3671275.9864795501,540881.08928531001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{5AF17774-49F3-42A7-8FC6-BE2FCE096541},,,
POINT (-90.073171613829 29.968050417395),340,,,,,,,,,3679836.2462618798,536065.61925748002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{FE93B92F-3A4D-452F-B2CD-9586B37E30CF},,,
POINT (-90.051578607755 29.964853417428),236,,,,,,,,,3686685.89332372,534978.90423930995,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{90205308-B9F1-4CE6-942A-70C67BCD1191},,,
POINT (-90.064972610812 29.95184041383),29,,,,,,,,,3682497.41351172,530199.70579247002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{6B9E55BC-2DA7-4A16-B0E8-738B95A11E04},,,
POINT (-90.065814611058 29.951235413464),70,,,,,,,,,3682233.2148931301,529976.75512290001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{2524D9D2-C038-4F14-A127-E81213F453D7},,,
POINT (-90.070590611587 29.949841413006),256,,,,,,,,,3680726.3980248901,529453.14691815001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{6AADA447-598B-49D1-971E-A6BF08F14680},,,
POINT (-90.107728621065 29.934831408895),181,,,,,,,,,3669024.1989883902,523867.24798498,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{8777F600-D31A-450F-9CD6-5F3182198D76},,,
POINT (-90.070272611938 29.946002412103),14,,,,,,,,,3680842.48768772,528058.25600715005,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{655134FB-A3F1-4525-A09B-EA67A1F08922},,,
POINT (-90.092284617351 29.928116407348),224,,,,,,,,,3673942.0756355501,521478.07756647002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{AF5DF540-F785-4800-BD4F-4377634E0E6A},,,
POINT (-90.068102611329 29.948626413153),20,,,,,,,,,3681519.1559538101,529020.01983163995,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{E3EE336D-E547-4B6E-BFA3-CF8673A3E027},,,
POINT (-90.066048610544 29.950712413221),203,,,,,,,,,3682161.2183179702,529785.75353639002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{7B6051C2-8B49-49C9-92FB-364F5B7EA37A},,,
POINT (-90.042963605089 29.963904417201),253,,,,,,,,,3689417.4912069701,534664.42849030998,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{6113EE22-BE59-43FC-9FBB-81E931495AFB},,,
