Reporting Area,MMWR Year,MMWR Week,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max†","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2020†","Hepatitis B, perinatal infection, Cum 2020†, flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis C, acute§, Confirmed, Current week","Hepatitis C, acute§, Confirmed, Current week, flag","Hepatitis C, acute§, Confirmed, Previous 52 weeks Max†","Hepatitis C, acute§, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Confirmed, Cum 2020†","Hepatitis C, acute§, Confirmed, Cum 2020†, flag","Hepatitis C, acute§, Confirmed, Cum 2019†","Hepatitis C, acute§, Confirmed, Cum 2019†, flag","Hepatitis C, acute§,  Probable, Current week","Hepatitis C, acute§, Probable, Current week, flag","Hepatitis C, acute§, Probable, Previous 52 weeks Max†","Hepatitis C, acute§, Probable, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Probable, Cum 2020†","Hepatitis C, acute§, Probable, Cum 2020†, flag","Hepatitis C, acute§, Probable, Cum 2019†","Hepatitis C, acute§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TEXAS,2020,2,,-,0,,,-,,-,,-,3,,,-,1,,,-,0,,,-,,NP,TEXAS,,20200247,POINT (-99.317341 31.447238)
ARIZONA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,NP,COLORADO,,20200250,POINT (-105.547832 38.998552)
NEVADA,2020,2,,-,0,,,-,,-,,-,2,,,-,3,,,-,0,,,-,,NP,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,-,0,,,-,,-,,-,3,,,-,1,,,-,0,,,-,,NP,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,0,,,-,,-,,-,8,,1,,4,,,-,0,,1,,,NP,UTAH,,20200255,POINT (-111.678222 39.323779)
PACIFIC,2020,2,,-,1,,,-,,-,,-,10,,,-,8,,,-,0,,,-,,NP,,PACIFIC,20200257,
ALASKA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,ALASKA,,20200258,POINT (-151.631889 63.631126)
HAWAII,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,0,,,-,,-,,-,2,,,-,2,,,-,0,,,-,,NP,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,0,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,NP,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
CONNECTICUT,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MAINE,2020,4,,-,1,,,-,,-,,-,3,,3,,6,,,-,0,,,-,,NP,MAINE,,20200404,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,4,,-,1,,,-,,-,,-,6,,,-,15,,,-,0,,,-,,NP,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
VERMONT,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,VERMONT,,20200408,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,4,,-,1,,,-,1,,6,,16,,12,,28,,4,,3,,8,,,NP,,MIDDLE ATLANTIC,20200409,
NEW JERSEY,2020,4,,-,0,,,-,,-,,-,4,,2,,3,,,-,1,,1,,,NP,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW YORK CITY,2020,4,,-,0,,,-,,-,4,,3,,6,,,-,3,,3,,6,,,NP,,NEW YORK CITY,20200412,
PENNSYLVANIA,2020,4,,-,1,,,-,1,,1,,8,,1,,15,,,-,0,,,-,,NP,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,4,,-,1,,1,,,-,2,,30,,11,,66,,,-,5,,6,,,NP,,EAST NORTH CENTRAL,20200414,
INDIANA,2020,4,,-,0,,,-,,-,,-,17,,,-,9,,,-,0,,,-,,NP,INDIANA,,20200416,POINT (-86.2818 39.919991)
MICHIGAN,2020,4,,-,0,,,-,,-,,-,5,,,-,7,,,-,0,,,-,,NP,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
OHIO,2020,4,,-,1,,1,,,-,2,,13,,11,,34,,,-,4,,5,,,NP,OHIO,,20200418,POINT (-82.70936 40.415534)
WISCONSIN,2020,4,,-,0,,,-,,-,,-,8,,,-,4,,,-,0,,,-,,NP,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,4,,-,1,,,-,,-,,-,7,,1,,17,,,-,0,,,-,,NP,,WEST NORTH CENTRAL,20200420,
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,US TERRITORIES,20200163,
TOTAL,2020,1,1,,2,,1,,,-,3,,196,,3,,49,,9,,61,,9,,,NP,,TOTAL,20200170,
