Reporting Area,MMWR Year,MMWR Week,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max†","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2020†","Hepatitis B, perinatal infection, Cum 2020†, flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis C, acute§, Confirmed, Current week","Hepatitis C, acute§, Confirmed, Current week, flag","Hepatitis C, acute§, Confirmed, Previous 52 weeks Max†","Hepatitis C, acute§, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Confirmed, Cum 2020†","Hepatitis C, acute§, Confirmed, Cum 2020†, flag","Hepatitis C, acute§, Confirmed, Cum 2019†","Hepatitis C, acute§, Confirmed, Cum 2019†, flag","Hepatitis C, acute§,  Probable, Current week","Hepatitis C, acute§, Probable, Current week, flag","Hepatitis C, acute§, Probable, Previous 52 weeks Max†","Hepatitis C, acute§, Probable, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Probable, Cum 2020†","Hepatitis C, acute§, Probable, Cum 2020†, flag","Hepatitis C, acute§, Probable, Cum 2019†","Hepatitis C, acute§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WEST VIRGINIA,2020,4,,-,0,,,-,,-,,-,4,,,-,2,,,-,0,,,-,,NP,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
KENTUCKY,2020,4,,-,0,,,-,,-,2,,9,,4,,6,,1,,4,,7,,,NP,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,4,,-,0,,,-,,-,,-,0,,1,,,-,,-,0,,,-,,NP,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
TENNESSEE,2020,4,,-,1,,,-,,-,1,,8,,7,,22,,,-,1,,2,,,NP,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
ARKANSAS,2020,4,,-,0,,,-,,-,3,,6,,6,,9,,,-,1,,2,,,NP,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
LOUISIANA,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
OKLAHOMA,2020,4,,-,0,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,NP,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
MOUNTAIN,2020,4,,-,1,,,-,1,,,-,10,,5,,22,,2,,1,,5,,,NP,,MOUNTAIN,20200448,
ARIZONA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,ARIZONA,,20200449,POINT (-111.664616 34.293239)
COLORADO,2020,4,,-,1,,,-,1,,,-,3,,1,,1,,,-,0,,,-,,NP,COLORADO,,20200450,POINT (-105.547832 38.998552)
IDAHO,2020,4,,-,0,,,-,,-,,-,2,,1,,2,,,-,0,,,-,,NP,IDAHO,,20200451,POINT (-114.659366 44.389073)
MONTANA,2020,4,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,MONTANA,,20200452,POINT (-109.645127 47.033521)
NEW MEXICO,2020,4,,-,0,,,-,,-,,-,3,,,-,2,,,-,0,,,-,,NP,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
UTAH,2020,4,,-,0,,,-,,-,,-,8,,3,,12,,2,,1,,5,,,NP,UTAH,,20200455,POINT (-111.678222 39.323779)
WYOMING,2020,4,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,NP,WYOMING,,20200456,POINT (-107.55145 42.999627)
CALIFORNIA,2020,4,,-,1,,,-,,-,,-,9,,,-,14,,,-,1,,1,,,NP,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
HAWAII,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,HAWAII,,20200460,POINT (-157.854309 21.361013)
WASHINGTON,2020,4,,-,0,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,NP,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,AMERICAN SAMOA,20200464,
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,GUAM,,20200466,POINT (144.653198 13.3532)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
TOTAL,2020,4,,-,2,,1,,3,,16,,102,,59,,274,,8,,12,,34,,,NP,,TOTAL,20200470,
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,1,,,-,,-,,-,3,,4,,6,,1,,0,,2,,,NP,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,1,,,-,1,,1,,5,,2,,5,,,-,0,,,-,,NP,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,0,,,-,,-,,-,7,,,-,6,,,-,0,,,-,,NP,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,0,,,-,,-,,-,2,,1,,2,,,-,0,,,-,,NP,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,0,,,-,,-,,-,5,,,-,10,,,-,0,,,-,,NP,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,0,,,-,,-,,-,5,,,-,11,,,-,0,,,-,,NP,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,0,,,-,,-,,-,3,,6,,,-,1,,3,,7,,,NP,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,0,,,-,,-,1,,6,,7,,14,,,-,1,,2,,,NP,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,0,,,-,,-,1,,1,,3,,,-,,-,0,,,-,,NP,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,0,,,-,,-,,-,2,,1,,1,,,-,0,,,-,,NP,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,NP,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,1,,,-,,-,,-,3,,1,,8,,,-,0,,,-,,NP,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MASSACHUSETTS,2020,2,,-,1,,,-,,-,,-,6,,,-,5,,,-,0,,,-,,NP,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
MIDDLE ATLANTIC,2020,2,,-,1,,,-,,-,,-,16,,1,,6,,,-,0,,3,,,NP,,MIDDLE ATLANTIC,20200209,
NEW YORK CITY,2020,2,,-,0,,,-,,-,,-,3,,1,,,-,,-,0,,3,,,NP,,NEW YORK CITY,20200212,
INDIANA,2020,2,,-,0,,,-,,-,,-,11,,,-,3,,,-,0,,,-,,NP,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,0,,,-,,-,,-,5,,,-,4,,,-,0,,,-,,NP,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
WISCONSIN,2020,2,,-,0,,,-,,-,,-,8,,,-,1,,,-,0,,,-,,NP,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,,-,1,,,-,,-,1,,7,,1,,8,,,-,0,,,-,,NP,,WEST NORTH CENTRAL,20200220,
MISSOURI,2020,2,,-,1,,,-,,-,1,,3,,1,,3,,,-,0,,,-,,NP,MISSOURI,,20200224,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,2,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
FLORIDA,2020,2,,-,1,,,-,,-,,-,36,,,-,9,,,-,0,,,-,,NP,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,0,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,NP,GEORGIA,,20200232,POINT (-83.426574 32.638481)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,NP,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
MISSISSIPPI,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
ARKANSAS,2020,2,,-,0,,,-,,-,,-,6,,,-,,-,2,,0,,2,,,NP,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
MOUNTAIN,2020,2,,-,1,,,-,,-,,-,10,,1,,10,,,-,0,,1,,,NP,,MOUNTAIN,20200248,
IDAHO,2020,2,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,MONTANA,,20200252,POINT (-109.645127 47.033521)
WYOMING,2020,2,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,NP,WYOMING,,20200256,POINT (-107.55145 42.999627)
CALIFORNIA,2020,2,,-,1,,,-,,-,,-,8,,,-,5,,,-,0,,,-,,NP,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,AMERICAN SAMOA,20200264,
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,NON-US RESIDENTS,20200269,
TOTAL,2020,3,,-,2,,1,,2,,6,,102,,25,,181,,6,,11,,24,,,NP,,TOTAL,20200370,
US RESIDENTS,2020,3,,-,2,,1,,2,,6,,102,,25,,181,,6,,11,,24,,,NP,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,0,,,-,,-,,-,2,,,-,2,,,-,0,,,-,,NP,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,0,,,-,,-,,-,10,,2,,5,,,-,0,,,-,,NP,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,1,,,-,,-,1,,11,,2,,11,,,-,1,,1,,,NP,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,0,,,-,,-,1,,7,,2,,6,,1,,0,,4,,,NP,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,1,,,-,,-,1,,12,,1,,21,,1,,1,,5,,,NP,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,0,,,-,,-,,-,2,,,-,3,,,-,0,,,-,,NP,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,0,,,-,,-,,-,5,,,-,10,,,-,1,,1,,,NP,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,NP,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,0,,,-,,-,,-,3,,,-,2,,,-,0,,,-,,NP,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,NP,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,0,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,NP,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,1,,,-,,-,1,,10,,3,,18,,,-,0,,,-,,NP,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,0,,,-,,-,1,,3,,2,,2,,,-,0,,,-,,NP,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,1,,,-,,-,,-,8,,,-,6,,,-,0,,,-,,NP,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,0,,,-,,-,,-,4,,,-,2,,,-,0,,,-,,NP,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,0,,,-,,-,,-,3,,,-,2,,,-,0,,,-,,NP,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,1,,1,,,-,,-,27,,7,,48,,2,,5,,7,,,NP,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,1,,,-,,-,,-,8,,,-,15,,,-,0,,,-,,NP,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,0,,,-,,-,,-,2,,2,,,-,,-,0,,1,,,NP,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,0,,,-,,-,,-,2,,1,,2,,,-,0,,,-,,NP,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,0,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,NP,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,1,,1,,,-,,-,13,,7,,22,,2,,4,,6,,,NP,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,1,,,-,,-,,-,5,,,-,4,,,-,0,,,-,,NP,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,,-,1,,,-,,-,1,,44,,4,,34,,2,,0,,3,,,NP,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,,-,1,,,-,1,,,-,9,,,-,7,,,-,0,,,-,,NP,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,0,,,-,,-,,-,8,,1,,8,,,-,1,,1,,,NP,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,-,1,,,-,1,,,-,3,,,-,1,,,-,0,,,-,,NP,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,0,,,-,,-,1,,9,,1,,6,,1,,1,,5,,,NP,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,1,,,-,,-,1,,3,,3,,5,,,-,0,,,-,,NP,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,,-,1,,,-,,-,1,,5,,1,,1,,2,,0,,2,,,NP,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,0,,,-,,-,,-,8,,,-,3,,,-,0,,,-,,NP,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,0,,,-,,-,,-,5,,,-,7,,,-,0,,,-,,NP,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,0,,,-,,-,,-,5,,,-,5,,,-,0,,,-,,NP,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,1,,3,,2,,,-,,-,3,,3,,,NP,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,0,,,-,,-,1,,6,,2,,3,,1,,0,,4,,,NP,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,NP,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,1,,,-,,-,,-,3,,1,,5,,,-,0,,,-,,NP,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,,-,1,,,-,1,,1,,16,,4,,14,,,-,3,,3,,,NP,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,1,,,-,,-,,-,9,,,-,8,,,-,1,,1,,,NP,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,0,,,-,,-,,-,4,,,-,2,,,-,0,,,-,,NP,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,1,,,-,,-,,-,36,,,-,18,,,-,0,,,-,,NP,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,1,,,-,,-,,-,7,,1,,12,,,-,0,,,-,,NP,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,1,,,-,,-,,-,6,,,-,11,,,-,0,,,-,,NP,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,,-,1,,,-,1,,,-,10,,1,,17,,,-,1,,1,,,NP,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,0,,,-,,-,,-,14,,,-,6,,,-,0,,,-,,NP,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,US TERRITORIES,20200363,
US RESIDENTS,2020,4,,-,2,,1,,3,,16,,102,,59,,274,,8,,12,,34,,,NP,,US RESIDENTS,20200401,
NEW ENGLAND,2020,4,,-,1,,,-,,-,,-,10,,3,,24,,,-,0,,,-,,NP,,NEW ENGLAND,20200402,
NEW HAMPSHIRE,2020,4,,-,0,,,-,,-,,-,2,,,-,3,,,-,0,,,-,,NP,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
NEW YORK,2020,4,,-,0,,,-,,-,1,,10,,3,,10,,1,,0,,1,,,NP,NEW YORK,,20200411,POINT (-75.59655 42.921241)
ILLINOIS,2020,4,,-,0,,,-,,-,,-,5,,,-,12,,,-,1,,1,,,NP,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,0,,,-,,-,,-,1,,,-,2,,,-,0,,,-,,NP,IOWA,,20200421,POINT (-93.500061 42.074659)
KANSAS,2020,4,,-,0,,,-,,-,,-,2,,,-,2,,,-,0,,,-,,NP,KANSAS,,20200422,POINT (-98.38018 38.484729)
NEBRASKA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
DELAWARE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,DELAWARE,,20200429,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,4,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,NP,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
EAST SOUTH CENTRAL,2020,4,,-,1,,,-,,-,3,,12,,12,,28,,1,,5,,9,,,NP,,EAST SOUTH CENTRAL,20200438,
ALABAMA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,ALABAMA,,20200439,POINT (-86.844516 32.756889)
WEST SOUTH CENTRAL,2020,4,,-,0,,,-,,-,3,,7,,7,,13,,,-,1,,2,,,NP,,WEST SOUTH CENTRAL,20200443,
TEXAS,2020,4,,-,0,,,-,,-,,-,3,,1,,3,,,-,0,,,-,,NP,TEXAS,,20200447,POINT (-99.317341 31.447238)
NEVADA,2020,4,,-,0,,,-,,-,,-,2,,,-,3,,,-,0,,,-,,NP,NEVADA,,20200453,POINT (-114.916992 39.283294)
PACIFIC,2020,4,,-,1,,,-,,-,1,,11,,3,,17,,,-,1,,1,,,NP,,PACIFIC,20200457,
ALASKA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,ALASKA,,20200458,POINT (-151.631889 63.631126)
OREGON,2020,4,,-,0,,,-,,-,1,,3,,3,,2,,,-,0,,,-,,NP,OREGON,,20200461,POINT (-120.605279 43.940449)
TOTAL,2020,11,,-,2,,3,,8,,5,,112,,454,,842,,2,,24,,189,,,NP,,TOTAL,20201170,
US RESIDENTS,2020,11,,-,2,,3,,8,,5,,112,,454,,842,,2,,24,,189,,,NP,,US RESIDENTS,20201101,
TOTAL,2020,17,,-,2,,4,,10,,2,,112,,636,,1386,,7,,28,,260,,,NP,,TOTAL,20201770,
US RESIDENTS,2020,17,,-,2,,4,,10,,2,,112,,636,,1386,,7,,28,,260,,,NP,,US RESIDENTS,20201701,
NEW HAMPSHIRE,2020,17,,-,0,,,-,,-,,-,1,,1,,7,,,-,2,,3,,,NP,NEW HAMPSHIRE,,20201706,POINT (-71.57139 43.680429)
NEW YORK,2020,17,,-,1,,1,,,-,,-,14,,31,,63,,1,,3,,11,,,NP,NEW YORK,,20201711,POINT (-75.59655 42.921241)
PACIFIC,2020,17,,-,1,,,-,2,,,-,15,,39,,87,,,-,3,,9,,,NP,,PACIFIC,20201757,
WEST SOUTH CENTRAL,2020,17,,-,0,,,-,1,,1,,8,,20,,31,,3,,2,,17,,,NP,,WEST SOUTH CENTRAL,20201743,
NEBRASKA,2020,17,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,1,,,NP,NEBRASKA,,20201725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,17,,-,1,,,-,,-,,-,13,,95,,147,,,-,9,,61,,,NP,,EAST SOUTH CENTRAL,20201738,
NORTH DAKOTA,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,NORTH DAKOTA,,20201726,POINT (-100.46931 47.446305)
NEVADA,2020,17,,-,0,,,-,,-,,-,2,,1,,7,,,-,0,,,-,,NP,NEVADA,,20201753,POINT (-114.916992 39.283294)
ILLINOIS,2020,17,,-,0,,,-,,-,,-,4,,7,,37,,,-,1,,1,,,NP,ILLINOIS,,20201715,POINT (-89.148632 40.124144)
IOWA,2020,17,,-,0,,,-,,-,,-,2,,4,,4,,,-,0,,,-,,NP,IOWA,,20201721,POINT (-93.500061 42.074659)
TEXAS,2020,17,,-,0,,,-,1,,,-,4,,6,,23,,,-,1,,2,,,NP,TEXAS,,20201747,POINT (-99.317341 31.447238)
ALASKA,2020,17,,-,0,,,-,,-,,-,1,,2,,,-,,-,0,,,-,,NP,ALASKA,,20201758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,17,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,NP,DISTRICT OF COLUMBIA,,20201730,POINT (-77.016275 38.904785)
WASHINGTON,2020,17,,-,0,,,-,,-,,-,5,,6,,21,,,-,1,,1,,,NP,WASHINGTON,,20201762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,17,,-,1,,,-,1,,,-,7,,41,,82,,,-,4,,11,,,NP,,NEW ENGLAND,20201702,
