BusinessName,Address,Suite,City,State,Zip,BusinessType,OwnerName,X,Y,Location
BIENVILLE HOUSE MOTOR HOTEL,320 DECATUR ST,A,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"NEW HOTEL MONTELEONE,LLC",3682413.31324,530959.820226,"(29.9539276166384, -90.0652059852819)"
ROSE MANOR,7214 PONTCHARTRAIN BLVD,,NEW ORLEANS,LA,70124,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,ROSE MANOR LLC,3666437.69677,555022.501785,"(30.020568307529, -90.114842650283)"
CLAIBORNE MANSION (THE),2111 DAUPHINE ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,CLEO'S INN INC,3684797.81999,535321.755014,"(29.9658486601817, -90.0575233483612)"
1415 CREOLE GARDENS,1415 PRYTANIA ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"CREOLE GARDENS,LLC",3679696.82831,525413.506301,"(29.9387594926698, -90.0739760103387)"
WEBBER'S MOTEL,9300 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HARI OM LLC,3710066.57937,553782.809815,"(30.0158117790327, -89.9770361297319)"
TONY'S FRENCH QUARTER ROOMS,335 DAUPHINE ST,,NEW ORLEANS,LA,70112,4702 - ROOMING & BOARDING HOUSES,ESTATE OF ANTHONY J. SASSONE,3681244.88546,531979.758723,"(29.9567676067903, -90.0688598593748)"
MASON D'OR,1911 ROYAL ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,OLGA MESCHERSKAYA,3684279.65218,534769.419334,"(29.9643457814521, -90.0591790987773)"
JACKS MOTEL,7700 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"SHIV SHAKTI UMA LAXMI, LLC",3703762.2145,552499.971542,"(30.0124881427712, -89.9970022002821)"
CATAHOULA HOTEL LLC,914 UNION ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,KEELY WILLIAMS/ANDREW BROOKS,3679905.22152,530137.807041,"(29.9517434429462, -90.0731540555158)"
HOTEL LE MARAIS,717 CONTI ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"NEW ORLEANS HOTEL COLLECTION, LLC",3681763.43541,531723.179843,"(29.9560463572393, -90.0672313980382)"
THE DRIFTER HOTEL,3522 TULANE AVE,,NEW ORLEANS,LA,70119,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"TULANE AVENUE INNS,LLC",3671282.40641,535214.774342,"(29.9659613582932, -90.1002083234743)"
THE DUCHESS,833 6TH ST,,NEW ORLEANS,LA,70115,4703 - BED & BREAKFAST INNS,JUANITA L JACKSON,3677121.64686,519877.745976,"(29.9236155313316, -90.0822969630205)"
MARCELIN'S ON NAPOLEON,3110 NAPOLEON AVE,,NEW ORLEANS,LA,70125,4703 - BED & BREAKFAST INNS,MARCELIN BRISCO,3670171.3483,526328.89491,"(29.9415609449304, -90.1040180789874)"
CHATEAU MANAGEMENT,527 MANDEVILLE ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"CHATEAU MANAGEMENT,LLC",3685970.79548,534465.475141,"(29.9634582238479, -90.0538493324191)"
COURTYARD BY MARRIOTT IMB-[H/P],124 ST CHARLES AVE,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,COURTYARD MANAGEMENT COR,3681046.1949,530381.527042,"(29.9523790378898, -90.0695429222497)"
MAISON ROYAL,2036 ROYAL ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,GRACIA O SIEGEL,3684508.01865,534789.997894,"(29.9643953809491, -90.0584572138744)"
ECONOMY INN,8310 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,"4704 - TRAVELER ACCOMMODATION, ALL OTH",SEAVEN INCORPORATION,3706026.2442,552970.789591,"(30.0137099157555, -89.9898317435476)"
WESTIN NEW ORLEANS CANAL PLACE,100 IBERVILLE ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,MERRITT HOSPITALITY LLC,3682746.02844,529908.779201,"(29.9510274809981, -90.0641921669027)"
THE PRYTANIA OAKS HOTEL,1618 PRYTANIA ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"THE PRYTANIA PARK HOTEL, LTD",3679403.82242,524791.190844,"(29.9370571825833, -90.0749226396131)"
DRURY INN NEW ORLEANS,820 POYDRAS ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,DSW INNS LLC,3680155.40034,529418.415425,"(29.9497577899405, -90.0723891075552)"
THE ELIZA JANE HOTEL,315 MAGAZINE ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"URBAN MAGAZINE STREET HOTEL,LLC",3681573.81852,529596.227969,"(29.9502037186814, -90.067904314125)"
CHATEAU LEMOYNE  ATTN: FINANCE DEPT:,301 DAUPHINE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HI CHAT-LEM INC,3681071.89531,531801.477827,"(29.9562826427676, -90.0694123162999)"
CASA PELICAN LLC,712 PELICAN ST,,NEW ORLEANS,LA,70114,4703 - BED & BREAKFAST INNS,CASA PELICAN LLC,,,
TERRELL HOUSE,1441 MAGAZINE ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,"O'BRIEN TERRELL HOUSE, LLC",3680239.9588,524166.015356,"(29.9353128806252, -90.0723046318246)"
ROYAL ORLEANS HOTEL,621 ST LOUIS ST,,NEW ORLEANS,LA,70130-2119,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,OMNI NEW ORLEANS CORP,3682297.81064,531793.086915,"(29.9562223314342, -90.0655415834038)"
LE SHACKTEAU,2110 MARAIS ST,,NEW ORLEANS,LA,70116,8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMS,MARIE VERDIER,3684670.90044,536608.611079,"(29.969390953609, -90.0578789201347)"
R & B ROOMS,1931 ORLEANS AVE,,NEW ORLEANS,LA,70116,4702 - ROOMING & BOARDING HOUSES,"SMOTHERS, RICHARD H     SMOTHERS, WILLIE B",3679105.96098,535350.26855,"(29.9661000939009, -90.0754970663654)"
631 DESIRE LLC,631 DESIRE ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,631 DESIRE LLC,3689812.743,534098.413637,"(29.9623304119093, -90.0417299829632)"
ROYAL STREET COURTYARD,2438 ROYAL ST,,NEW ORLEANS,LA,70117,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"LEGE SMITH, LLC",3686198.55337,534922.67847,"(29.9647083796932, -90.0531139679717)"
THE GRAND VICTORIAN BED &     BREAKFAST,2727 ST CHARLES AVE,,NEW ORLEANS,LA,70130-5929,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"B A R, LLC",3675937.20494,522627.067898,"(29.9312107808917, -90.0859413358407)"
LE MERIDIEN NEW ORLEANS,333 POYDRAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,CHSP TRS NEW ORLEANS,3682119.68354,529146.713216,"(29.9489511175088, -90.0661964576515)"
AC HOTEL NEW ORLEANS BOURBON/FRENCH QUARTER AREA,221 CARONDELET ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"COTTON EXCHANGE INVESTMENT PROPERTIES,LLC",3680519.79951,530366.105858,"(29.9523525883641, -90.0712055731135)"
CHATEAU ESPLANADE,1261 ESPLANADE AVE,,NEW ORLEANS,LA,70116-1947,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HOTEL STORYVILLE LLC,3682245.88655,535893.628039,"(29.9674989960424, -90.0655622825085)"
"COUNTRY INN & SUITES,NEW ORLEANS I-10 EAST",5801 READ BLVD,,NEW ORLEANS,LA,70127,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,CIS NOLA LLC,3711130.32971,560962.831134,"(30.0355193458883, -89.9734059508498)"
LITTLE EAZY BED & BREAKFAST,1526 PAUGER ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"WALKER, MARGARET A",3683890.07209,535352.817926,"(29.9659618323431, -90.0603888928829)"
SUNBURST INN,819 MANDEVILLE ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"JOHNSON, DARRELL M",3685875.79446,535461.806278,"(29.9662007058991, -90.0541142093417)"
ROYAL ST CHARLES HOTEL,135 ST CHARLES AVE,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,L-O NEW ORLEANS OPER LLC,3680949.94223,530383.971266,"(29.9523886773915, -90.0698467587673)"
PARISIAN COURTYARD INN,1726 PRYTANIA ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,LANDMARK PROPERTIES OF LOUISIANA LLC,3679238.63496,524528.407612,"(29.9363396027548, -90.0754532531826)"
MARIE LAVAEAU GUEST HOUSE,1024 ST ANN ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"KFK ACQUISTIONS, LLC",3681728.56309,533526.476036,"(29.9610058673208, -90.0672785969097)"
HILTON NEW ORLEANS RIVERSIDE,2 POYDRAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HILTON MANAGEMENT LLC,3683045.57205,528712.8144,"(29.9477298559466, -90.0632882153656)"
ACE HOTEL,600 CARONDELET ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,ACE GROUP NEW ORLEANS LLC,3680235.16879,528927.008512,"(29.9484041719003, -90.0721543198545)"
LANAUX MANSION,547 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,BODENHEIMER RUTH,3684418.35465,534215.685573,"(29.9628189628033, -90.0587605391945)"
COLLINWOOD,2408 DAUPHINE ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,THOMAS COLLINS    CHARLES WOODALL,3685969.62825,535250.742214,"(29.9656174721651, -90.0538253277447)"
DOMIO BARONNE LLC,888 BARONNE ST,,NEW ORLEANS,LA,70113,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,DOMIO BARONNE LLC,3679515.48911,527704.463487,"(29.9450643426084, -90.0744690557983)"
MOTEL 6 -HOTEL-,4200 OLD GENTILLY RD,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BAYOU HOSPITALITY LLC,3690544.05321,548686.902995,"(30.0024208569741, -90.0389001942854)"
HISTORIC STREETCAR INN,1509 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"1509 ST. CHARLES AVE, LLC",,,
ST. JAMES HOTEL,330 MAGAZINE ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"BM HOTELS, LLC",3681619.25736,529436.905921,"(29.9497642568617, -90.0677663985238)"
MAISON DE LAGNIAPPE,1021 KERLEREC ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"MAISON DE LAGNIAPPE, LLC",3683275.94882,535511.576966,"(29.9664171101074, -90.0623227127793)"
NEW ORLEANS MARRIOTT AT THE CONVENTION CENTER-[H/P,859 CONVENTION CENTER BLVD,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,MARRIOTT HOTEL SERVICES INC,3682585.40232,527078.519806,"(29.9432501119176, -90.0647982775791)"
LOEWS NEW ORLEANS HOTEL,300 POYDRAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"IA LODGING NEW ORLEANS TRS, L.L.C.",3682130.82364,528855.199296,"(29.9481492137136, -90.066171462474)"
THE FRENCHMEN HOTEL,417 FRENCHMEN ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"FRENCHMEN OWNER, LLC",3684803.71516,534038.056773,"(29.9623187526419, -90.0575498676484)"
HOTEL INDIGO- MAIN,2203 ST CHARLES AVE,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"INTERSTATE MGMT CO, LLC",3677495.31573,523719.503355,"(29.9341678890235, -90.0809848850771)"
LA GALERIE,131 DECATUR ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"LA GALERIE,LLC",3681969.35208,530489.314306,"(29.9526473874606, -90.0666242553475)"
MARIGNY MANOR HOUSE,2125 N RAMPART ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"A BADILLO, LLC",3684822.063,535959.104455,"(29.9676004082426, -90.0574243778576)"
RELAX INN,13552 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"SHREEJEE, LLC",3726825.33881,559823.768925,"(30.0318658702836, -89.923852026504)"
ROYAL PALMS MOTEL,7800 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HITESH MISTRY,3704221.34007,552575.31919,"(30.0126805890446, -89.9955488506431)"
OMNI RIVERFRONT HOTEL,701 CONVENTION CENTER BLVD,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"RIVERFRONT LODGING, LLC",3682549.2685,527937.079423,"(29.945611962483, -90.0648823536018)"
CREOLE HOUSE,1013 ST ANN ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"KFK ACQUISITIONS, LLC",3681848.93237,533510.012804,"(29.9609569415225, -90.0668990679786)"
PARKS BOWMAN HOUSE,2705 CHESTNUT ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,PARKS BOWMAN ADRIENNE,3676826.39893,521633.242745,"(29.9284514385653, -90.0831684927405)"
BOURBON ORLEANS HOTEL,717 ORLEANS AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,ST ANN LODGING LLC      TAX DEPT,3682502.39119,532793.756676,"(29.9589676067682, -90.0648606081599)"
RATHB0NE MANSIONS,1244 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"BELLE MANSIONS, LLC",3682206.4084,535755.644103,"(29.9671207886867, -90.0656917759325)"
929 MARIGNY PAINTED LADY'S INN,929 MARIGNY ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"TISKUS,PETER",3685496.77769,535852.822599,"(29.9672874944982, -90.055297361098)"
MAZANT HOLDING LLC,906 MAZANT ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,MAZANT HOLDING LLC,3691892.60329,534543.874757,"(29.9634906457807, -90.035146171629)"
JW MARRIOT NEW ORLEANS,614 CANAL ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"MARRIOT HOTEL SERVICES,",3681254.20789,530504.096514,"(29.9527097524767, -90.0688818422529)"
TULANE HOTEL GROUP INC,3900 TULANE AVE,,NEW ORLEANS,LA,70119,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,TULANE HOTEL GROUP INC,3670049.17703,535735.410695,"(29.9674293694511, -90.1040851984859)"
MARIGNY JEWEL,2466 BURGUNDY ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,RONALD CHEE-AWAI,3686393.27042,535663.178439,"(29.966738514146, -90.052472926262)"
DAUPHINE ORLEANS HOTEL,415 DAUPHINE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"415 RUE DAUPHINE, LLC",3681389.20968,532174.732931,"(29.9572993395706, -90.0683973333859)"
REEDVILLE LLC,201 MAGAZINE ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"HOSTEEVA, LLC",3681661.66914,529919.769985,"(29.9510906820734, -90.0676156439047)"
SONIAT HOUSE,1133 CHARTRES ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"SONIAT HOUSE INC        DERKS, GERALD",3683864.35426,533630.287429,"(29.9612262519371, -90.0605305332607)"
WELCOME ABROAD LLC,2233 BURGUNDY ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,WELCOME ABROAD LLC,3685426.8966,535644.168646,"(29.9667159114861, -90.0555253942859)"
DAUZAT HOUSE,337 BURGUNDY ST,,NEW ORLEANS,LA,70112,4702 - ROOMING & BOARDING HOUSES,"DAUZAT, DOROTHY M",3680971.86677,532208.128515,"(29.9574038277462, -90.0697140121985)"
GARDEN DISTRICT B & B,2418 MAGAZINE ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,"DURHAM,RAYNELL          VELEZ,LUIS",3677956.30075,521361.025849,"(29.9276689851813, -90.0796110372927)"
CWS HOME SERVICES,106 E OLD SETTLERS BLVD,BLDG D STE 108,ROUND ROCK,TX,78664,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"CWS CORPORATE LEASING, LLC",,,
MARQUETTE HOUSE HOTEL,2253 CARONDELET ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,MARQUETTE HOUSE HOTEL,3676973.57262,523798.761339,"(29.934401491949, -90.0826292798969)"
FLORVILLE MANOR,1447 N VILLERE ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,FLORVILLE MANOR,3682066.19778,536534.697031,"(29.9692671802428, -90.0661073529398)"
QUALITY INN MAISON ST CHARLES,1319 ST CHARLES AVE,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,QUALITY INN MAISON ST CHARLES,3679374.23752,525919.747901,"(29.9401612343594, -90.0749769130156)"
CHH-NOLA LLC,129 BURGUNDY ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NICHOLAS RUDOLPH,3680471.87599,531572.241091,"(29.9556705043782, -90.0713149479095)"
ENGINE 24 FIREHOUSE,2711 DAUPHINE ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,SO WHAT LLC,3687231.21481,535253.828806,"(29.9655871629457, -90.0498411881917)"
THE ROSE,2232 ESPLANADE AVE,,NEW ORLEANS,LA,70119-2606,4703 - BED & BREAKFAST INNS,"DRETAR, DEBRA F",3679321.74991,537951.133769,"(29.9732450665584, -90.0747253923069)"
SUPER 8 MOTEL,6322 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126-5129,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,VENUS INVESTMENTS LLC,3698246.04771,551387.310997,"(30.0096044807327, -90.0144705809657)"
A CREOLE COTTAGE,1827 DAUPHINE ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"EASLEY, MADISON",3683930.05525,535175.059398,"(29.9654718363194, -90.0602688642412)"
MELROSE MANSION,937 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,FRENCH QUARTER HOTEL COLLECTION LLC,3683279.54261,535108.493446,"(29.9653086597149, -90.0623254834738)"
BISHOP'S BED BREAKFAST & BEYOND,7520 HAYNE BLVD,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,CROCKETT REV. JOAN,3700186.98954,561994.670815,"(30.0387090828358, -90.0079508672611)"
HI-NEW ORLEANS HOSTELLING INTERNATIONAL USA,1028 CANAL ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"AMERICAN YOUTH HOSTELS, INC",3680054.03842,531415.673411,"(29.9552526435586, -90.0726397698633)"
INDIA HOUSE BACKPACKERS HOTEL,124 S LOPEZ ST,,NEW ORLEANS,LA,70119-6214,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"SADDINGTON, MARK",3673800.0578,535992.501319,"(29.968025104864, -90.0922310379987)"
THE QUEEN ANNE HOTEL,1625 PRYTANIA ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"PRYTANIA PARK HOTEL, LTD",3679316.96482,524838.397116,"(29.9371896068797, -90.0751952175749)"
GLENROSE MOTEL,7930 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126-5344,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,VIDHYUT LODGING LLC,3704841.65419,552656.111766,"(30.0128828096036, -89.9935860301339)"
BON MAISON GUEST HOUSE,835 BOURBON ST,,NEW ORLEANS,LA,70116-3106,4702 - ROOMING & BOARDING HOUSES,BON MAISON GUEST HOUSE,3682642.82792,533211.5481,"(29.960112114912, -90.0644025345515)"
COURTYARD NEW ORLEANS DOWNTOWN/IBERVILLE,910 IBERVILLE ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,COURTYARD MANAGEMENT CORPORATION,3680748.53819,531520.528643,"(29.9555199311646, -90.0704431468846)"
THE NATCHEZ NEW ORLEANS MT,530 NATCHEZ ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"THE NATCHEZ NEW ORLEANS MT, LLC",3681314.0454,529450.096385,"(29.9498097918655, -90.0687296323732)"
HYATT FRENCH QUARTER,800 IBERVILLE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HRI LODGING LLC,3681110.35407,531230.922882,"(29.9547126434303, -90.0693107509001)"
BYWATER BED & BREAKFAST,1026 CLOUET ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"BURT,MARTY              SELLEN,BETTY",3688911.82191,535784.392263,"(29.9669941576769, -90.0445150696178)"
THE OLD NO. 77 HOTEL & CHANDLERY - MAIN,535 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HOTEL AMBASSADOR NOLA LLC,3681770.35599,528753.487296,"(29.9478804961101, -90.067313153129)"
THE HOTEL MODERN,936 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,MODERN GUMBO LODGING,3680311.02203,527218.761855,"(29.9437047691426, -90.0719741938121)"
HG NEW ORLEANS CONVENTION CENTER,1001 S PETERS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"INTERSTATE MANAGEMENT COMPANY, LLC.",3682223.61666,526508.956862,"(29.9416950126385, -90.0659604150431)"
APARIUM HOTEL GROUP,2031 SAINT CHARLES AVE,STE #A,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,APARIUM HOTEL GROUP LLC,3677933.48789,524054.419644,"(29.9350756233905, -90.0795900214212)"
BOURGOYNE GUEST HOUSE,839 BOURBON ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,STANLEY TYBURSKI,3682661.27868,533234.78906,"(29.9601754577615, -90.064343458286)"
CHIMES BED & BREAKFAST (THE),1146 CONSTANTINOPLE ST,,NEW ORLEANS,LA,70115,4703 - BED & BREAKFAST INNS,ABBYAD JILL             ABBYAD CHARLES,3672388.88775,519896.428664,"(29.9238081372383, -90.097235933889)"
HOSTEEVA,4333 CANAL ST,,NEW ORLEANS,LA,70119,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HOSTEEVA LLC,3670145.81108,539281.230346,"(29.9771763302441, -90.1036598553152)"
HOMEWOOD SUITES - NEW ORLEANS,901 POYDRAS ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"APPLE SEVEN HOSPITALITY MANAGEMENT, INC",3679896.88411,529657.320385,"(29.9504225182386, -90.0731970658559)"
CHEZ PALMIERS BED & BREAKFAST,1744 N RAMPART ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,CHEZ PALMIERS CORP,3683387.4813,535779.804743,"(29.9671512417022, -90.061961096692)"
SERENITY IN THE MARIGNY,1900 N RAMPART ST,,NEW ORLEANS,LA,70116,8807 - .1(43) BED AND BREAKFAST 3 TO 5 ROOMS,FERDINAND JEFFERSON,3683962.59285,535815.709511,"(29.9672324088267, -90.060143632127)"
HOMEWOOD SUITES NEW ORLEANS FRENCH QUARTER,317 N RAMPART ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"RAMPART MIXED-USE COMPLEX,LLC",3680552.70562,532386.586755,"(29.9579072309305, -90.0710313890109)"
FLEUR DE LIS MANSION,1216 ANNUNCIATION ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,"FLEUR DE LIS MANSION, LLC",3681437.92149,525320.328189,"(29.9384505518922, -90.068482437876)"
FRENCH MARKET INN,501 DECATUR ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,501 RUE DECATUR LLC.,3682698.61692,531451.455555,"(29.9552707615668, -90.0642879211091)"
1830 DAUPHINE HOUSE,1830 DAUPHINE ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,JEFFRIES KAREN,3683898.46607,535097.164806,"(29.9652586180562, -90.0603713541045)"
FRENCHMEN HOUSE LLC,1125 FRENCHMEN ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,FRENCHMEN HOUSE LLC,3684660.2198,536494.022983,"(29.9690762030132, -90.0579166783977)"
ST CHARLES GUEST HOUSE,1748 PRYTANIA ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,"ST CHARLES GUEST HOUSE, INC",3679128.7373,524362.516348,"(29.935886773333, -90.0758059515547)"
ELYSAIN FIELDS INN,930 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"ELYSAIN FIELDS INN, INC",3684957.62831,535828.899655,"(29.9672382387658, -90.0570008404182)"
RIVER HOUSE NEW ORLEANS,625 MARIGNY ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"RIVER HOUSE NEW ORLEANS, LLC",3685577.73929,534770.980742,"(29.9643103210079, -90.0550797965532)"
DAYS INN & SUITES,4180 OLD GENTILLY RD,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,4180 GENTILLY HOSPITALITY,3690261.8872,548705.375699,"(30.0024804118233, -90.03979093026)"
BEST WEST ST CHRIS HOTEL,114 MAGAZINE ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,114 MAGAZINE OPERATING COMPANY LLC,3681755.46101,530010.965505,"(29.9513385898562, -90.0673163147529)"
FIVE CONTINENTS,1731 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,FIVE CONTINENTS,3680829.19087,537005.166344,"(29.9705983676472, -90.0699975311805)"
LA DAUPHINE,2316 DAUPHINE ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,RUIZ RAYMOND,3685647.06697,535191.64455,"(29.9654648740989, -90.0548460437539)"
