BusinessName,Address,Suite,City,State,Zip,BusinessType,OwnerName,X,Y,Location
EMPRESS HOTEL,1317 URSULINES AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BROOKS JOAN,3681584.3053,535114.295366,"(29.9653762092022, -90.0676787526137)"
W FRENCH QUARTER HOTEL,316 CHARTRES ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,CHSP TRS FRENCH QUARTER LLC,3682048.77532,531162.123394,"(29.9544949700263, -90.0663499824243)"
BELLEVILLE COTTAGE BED &      BREAKFAST,317 BELLEVILLE ST,,NEW ORLEANS,LA,70114,4703 - BED & BREAKFAST INNS,ROBERT E GOESER,3687837.26806,530614.13485,"(29.952810929002, -90.0480916466138)"
1896 O'MALLEY HOUSE,120 S PIERCE ST,,NEW ORLEANS,LA,70119-6033,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,WATTS LARRY,3671392.88167,537869.347913,"(29.9732572735325, -90.0997691963093)"
"MAISON TOURISTE, LLC",430 BERMUDA ST,,NEW ORLEANS,LA,70114,4703 - BED & BREAKFAST INNS,"MAISON TOURISTE, LLC",3686680.42082,530289.320449,"(29.9519534291342, -90.0517559181533)"
FRENCH QUARTER SUITES,1119 N RAMPART ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"RAMPART HOTEL VENTURES, LLC",3682331.76936,534701.63239,"(29.9642188047582, -90.0653327198382)"
GRENOBLE HOUSE,329 DAUPHINE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,GRENOBLE HOUSE LTD,3681150.03816,531976.486915,"(29.9567614880811, -90.0691594706169)"
MASON MOTEL INC,2309 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"HUANG, AMY",3674244.97697,527548.905535,"(29.9447947734847, -90.0911150452678)"
SULLY MANSION,2631 PRYTANIA ST,,NEW ORLEANS,LA,70130,4702 - ROOMING & BOARDING HOUSES,"GROUP 42, LLC",3676487.99496,522350.71225,"(29.9304343942213, -90.0842120715491)"
WHITNEY HOTEL,610 POYDRAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,601 POYDRAS ACQUISITION LLC,3680998.16392,529214.179904,"(29.9491706830473, -90.0697352294657)"
ANDREW JACKSON HOTEL,919 ROYAL ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"FQ HOTELS, LLC",3683077.16258,533188.62842,"(29.9600358608292, -90.0630318026356)"
COLUMNS HOTEL,3811 ST CHARLES AVE,,NEW ORLEANS,LA,70115,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"COLUMNS HOTEL SANDSTONE OPERATOR,LLC",3672720.05832,521198.497913,"(29.9273785825005, -90.0961461681236)"
