Week Ending Date,State,Observed Number,Threshold,Exceeds Threshold,Excess,Year,Total Excess in 2020,Percent Excess,Type,Outcome,Suppress
05/06/2017,Alabama,907,1135,false,0,2017,79,0.0,Predicted (weighted),All causes,
05/11/2019,Alabama,1009,1124,false,0,2019,79,0.0,Predicted (weighted),All causes,
05/12/2018,Alabama,950,1184,false,0,2018,79,0.0,Predicted (weighted),All causes,
05/13/2017,Alabama,1064,1117,false,0,2017,79,0.0,Predicted (weighted),All causes,
05/18/2019,Alabama,996,1109,false,0,2019,79,0.0,Predicted (weighted),All causes,
05/19/2018,Alabama,1005,1171,false,0,2018,79,0.0,Predicted (weighted),All causes,
05/20/2017,Alabama,998,1102,false,0,2017,79,0.0,Predicted (weighted),All causes,
05/25/2019,Alabama,974,1103,false,0,2019,79,0.0,Predicted (weighted),All causes,
05/26/2018,Alabama,977,1160,false,0,2018,79,0.0,Predicted (weighted),All causes,
05/27/2017,Alabama,988,1099,false,0,2017,79,0.0,Predicted (weighted),All causes,
06/01/2019,Alabama,1027,1090,false,0,2019,79,0.0,Predicted (weighted),All causes,
06/02/2018,Alabama,973,1140,false,0,2018,79,0.0,Predicted (weighted),All causes,
06/03/2017,Alabama,925,1091,false,0,2017,79,0.0,Predicted (weighted),All causes,
06/08/2019,Alabama,1029,1089,false,0,2019,79,0.0,Predicted (weighted),All causes,
06/09/2018,Alabama,1011,1132,false,0,2018,79,0.0,Predicted (weighted),All causes,
06/10/2017,Alabama,984,1087,false,0,2017,79,0.0,Predicted (weighted),All causes,
06/15/2019,Alabama,986,1079,false,0,2019,79,0.0,Predicted (weighted),All causes,
06/16/2018,Alabama,940,1122,false,0,2018,79,0.0,Predicted (weighted),All causes,
06/17/2017,Alabama,918,1079,false,0,2017,79,0.0,Predicted (weighted),All causes,
06/22/2019,Alabama,989,1079,false,0,2019,79,0.0,Predicted (weighted),All causes,
06/23/2018,Alabama,974,1114,false,0,2018,79,0.0,Predicted (weighted),All causes,
06/24/2017,Alabama,961,1071,false,0,2017,79,0.0,Predicted (weighted),All causes,
06/29/2019,Alabama,940,1080,false,0,2019,79,0.0,Predicted (weighted),All causes,
