BatchNo,WO#,CreatedDate,AssignedDate,CompletedDate,Status,NodeID,Boro,Support,SupportAction,StreetSignName,SignAction,Size,NewSign
B-1004,18,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,22926,Manhattan,Light Pole,NoAction,E 67 St,Remove & Install,24,Yes
B-1004,19,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,22925,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,19,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,22925,Manhattan,Traffic Signal,NoAction,E 66 St,Remove & Install,24,Yes
B-1004,20,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,22925,Manhattan,Light Pole,NoAction,1 Av,Remove & Install,24,Yes
B-1004,20,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,22925,Manhattan,Light Pole,NoAction,E 66 St,Remove & Install,24,Yes
B-1004,21,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22924,Manhattan,Light Pole,NoAction,1 Av,Remove & Install,24,Yes
B-1004,21,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22924,Manhattan,Light Pole,NoAction,E 65 St,Remove & Install,24,Yes
B-1004,22,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22924,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,22,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22924,Manhattan,Traffic Signal,NoAction,E 65 St,Remove & Install,24,Yes
B-1004,23,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22923,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,23,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22923,Manhattan,Traffic Signal,NoAction,E 64 St,Remove & Install,24,Yes
B-1004,24,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22923,Manhattan,Light Pole,NoAction,1 Av,Remove & Install,24,Yes
B-1004,24,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22923,Manhattan,Light Pole,NoAction,E 64 St,Remove & Install,24,Yes
B-1004,25,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22916,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,25,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22916,Manhattan,Traffic Signal,NoAction,E 63 St,Remove & Install,24,Yes
