the_geom,OBJECTID,PROJECT_NAME,PROJECT_STATUS,PROPOSED_LAND_USE,PROJECT_SOURCE,FOLDERRSN,HYPERLINK,CASE_NUMBER,DESCRIPTION,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,EMERGING_PROJECTS_ID,Shape__Area,Shape__Length
"MULTIPOLYGON (((-97.671357190303 30.178380582736, -97.670842103875 30.178111941552, -97.668696618557 30.176991935065, -97.668680999022 30.176984376473, -97.668928666967 30.17649443851, -97.669392484772 30.175577053824, -97.670130567737 30.174117034171, -97.670139328401 30.174105829934, -97.670148635223 30.174094334518, -97.670163615207 30.174075696173, -97.670172548441 30.174063972955, -97.670181263246 30.174052135177, -97.670189728742 30.174040154694, -97.670197976565 30.174028032164, -97.670205941928 30.174015821246, -97.670213689619 30.17400346828, -97.670221187243 30.173991000097, -97.670228403165 30.173978416039, -97.6702353999 30.173965744909, -97.670242114931 30.173952957904, -97.670425664305 30.173596341319, -97.6704937269 30.173464062063, -97.670734257774 30.173374948047, -97.671541064159 30.173616624634, -97.671564986573 30.173623832963, -97.67158887584 30.173631095605, -97.671612765109 30.173638358243, -97.671636652869 30.173645675852, -97.671660508238 30.173653020286, -97.671684362853 30.173660392205, -97.671708184322 30.173667818436, -97.671732005794 30.173675244663, -97.671755825755 30.173682725862, -97.671779612569 30.173690261374, -97.671803399387 30.173697796882, -97.671827153058 30.173705386703, -97.671850906733 30.17371297652, -97.671874658897 30.173720621308, -97.671898377914 30.17372832041, -97.671922096935 30.173736019507, -97.671945782808 30.173743772918, -97.672090135442 30.173722845923, -97.672308245489 30.173307564998, -97.672366379579 30.173328823628, -97.672150048673 30.173740428647, -97.672219117831 30.173835899408, -97.672252479597 30.17384748439, -97.672275962836 30.173855701087, -97.672299445322 30.173863945269, -97.672322895418 30.173872216276, -97.672344338174 30.173879812968, -97.672367786007 30.173888166431, -97.672391202207 30.173896519232, -97.672414585261 30.173904926346, -97.672437967562 30.173913360945, -97.672461316717 30.173921849857, -97.673445470131 30.174279415379, -97.673444809799 30.174308005415, -97.673453479432 30.174546201832, -97.673283484624 30.17454990284, -97.673226224668 30.174615299196, -97.672693978556 30.174632428794, -97.67257870232 30.174790653866, -97.672581280833 30.174928088042, -97.672464111121 30.175091829401, -97.671646971943 30.176237254498, -97.671362446786 30.176092609795, -97.671214180825 30.176322097216, -97.671286167036 30.176358826384, -97.671364336771 30.176318178866, -97.671704311298 30.176490847532, -97.671731882568 30.176519612019, -97.671761323868 30.176848259949, -97.671785548829 30.177577774858, -97.671779983383 30.177600542166, -97.671764586249 30.177621674869, -97.671746174348 30.177632733566, -97.671719733416 30.177636474377, -97.671521859593 30.177637310698, -97.671523195118 30.177924393892, -97.671528869899 30.177933285549, -97.671525479559 30.177995455777, -97.671602026075 30.177999990303, -97.671734526404 30.17817629321, -97.67163656126 30.178285068452, -97.671500121374 30.178213857423, -97.671357190303 30.178380582736)))",158,Armed Forces Reserve Center and Joint Vehicle Maintenance Facility,7,9,6,10458914,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10458914,SP-2010-0188C,"This facility will serve as a home base for Central Texas members of the Texas Army National Guard, the Army Reserves and the Marine Corps Reserves.",,,BAKSHIS,09/24/2018 11:34:56 AM +0000,158,1338481.72070313,6044.49580196327
"MULTIPOLYGON (((-97.704908153141 30.271089244693, -97.70465357522 30.270998790048, -97.704683169967 30.270938889272, -97.704563309707 30.270894935809, -97.70455174961 30.270890696728, -97.704717326741 30.270539022893, -97.704719269764 30.270534897511, -97.703828909946 30.270223067954, -97.703801038758 30.270213305568, -97.704049629496 30.269794098005, -97.703831063891 30.269720031853, -97.703788266947 30.269705529018, -97.703781317362 30.269718279161, -97.703761671684 30.269708009708, -97.703740333582 30.26970071756, -97.703717896378 30.269696603484, -97.703694982715 30.269695784028, -97.703672231346 30.269698280422, -97.70365027517 30.269704023541, -97.703629722503 30.269712854423, -97.703611146618 30.269724526764, -97.703595063654 30.269738716386, -97.703581919953 30.269755028196, -97.703572082362 30.269773008626, -97.703565824364 30.269792158876, -97.703563319542 30.269811945611, -97.703564636962 30.269831818011, -97.703569740724 30.269851224004, -97.703578488536 30.269869624674, -97.703590637601 30.269886507014, -97.703605850358 30.269901402093, -97.703623702477 30.269913896949, -97.703643699285 30.269923642146, -97.70367650391 30.269934253863, -97.703710919984 30.269939823831, -97.703715243018 30.269935111152, -97.70372025196 30.269930940423, -97.703725856384 30.26992738739, -97.703732919525 30.269924132291, -97.703740474714 30.269921857315, -97.703748342737 30.269920615632, -97.703756336681 30.269920437694, -97.703764268292 30.269921326858, -97.703772203362 30.269923348541, -97.70377966857 30.269926437985, -97.703786473719 30.269930517296, -97.703792447008 30.269935481883, -97.703797436971 30.26994120592, -97.703801315486 30.269947546012, -97.703803987183 30.269954339582, -97.703805380834 30.269961415527, -97.703805463924 30.269968593614, -97.703804233101 30.269975691498, -97.703801563716 30.269982858216, -97.703797558225 30.26998953822, -97.70379232665 30.26999554698, -97.703786016025 30.270000715165, -97.703778802801 30.270004900216, -97.703770886664 30.270007984413, -97.703762490362 30.27000988119, -97.703753847136 30.270010538486, -97.703745197633 30.270009937777, -97.703736784633 30.270008096681, -97.703728842783 30.270005064226, -97.703721592193 30.270000927044, -97.703715236599 30.269995800306, -97.703709953003 30.269989826605, -97.703705889691 30.269983172311, -97.7036880543 30.269975749011, -97.703639528496 30.26995554843, -97.703559808328 30.270095249941, -97.703582105865 30.270124835391, -97.703594435564 30.270143102032, -97.703603807249 30.27016451401, -97.703608803099 30.270187004722, -97.703609277055 30.270209906142, -97.70360521231 30.270232537552, -97.703596731113 30.270254227407, -97.703584085961 30.270274331197, -97.703573708537 30.270291786211, -97.703551864075 30.27032460208, -97.703535230604 30.270359645415, -97.703524102639 30.270396294228, -97.703515013335 30.270416454749, -97.703502143476 30.27043499827, -97.703453113073 30.270538562488, -97.703417165185 30.270525410157, -97.703462422506 30.270428427849, -97.703475138906 30.270412808402, -97.703485023106 30.27039571504, -97.703491855705 30.270377531271, -97.703495481059 30.270358666274, -97.703503020747 30.270330210237, -97.703515816458 30.270303206575, -97.703533525089 30.270278381853, -97.703561716145 30.270218890159, -97.702726332473 30.26993070104, -97.702708761514 30.269924640165, -97.702575540089 30.270206765838, -97.702622159482 30.27022192145, -97.702601218524 30.270265555931, -97.702593701781 30.270281219786, -97.702436750881 30.27022690359, -97.702463515991 30.270167957643, -97.702466117358 30.270168860165, -97.702511043067 30.270184442144, -97.702514512646 30.270176984179, -97.702943990295 30.269264998327, -97.702989903811 30.269246983408, -97.703072188313 30.269068797373, -97.703118950889 30.269053382362, -97.703659014563 30.269240184379, -97.703671435382 30.269267963641, -97.703675606707 30.269277292009, -97.703556134986 30.26953263574, -97.703548852472 30.26954829543, -97.704084455683 30.269737391656, -97.704182981454 30.269573723124, -97.704168425215 30.26956800584, -97.704075213465 30.269531403296, -97.704087124624 30.269511294327, -97.704109598925 30.26947335513, -97.704120764699 30.269454505883, -97.704159472752 30.269447182612, -97.704204099401 30.269464810705, -97.704206707414 30.269488601407, -97.704210709296 30.269525110442, -97.704240310039 30.269468418653, -97.704298173726 30.269419654588, -97.706130476938 30.270052626968, -97.706164710478 30.270064452123, -97.706173457281 30.270047878458, -97.706186013047 30.270024085596, -97.706297863794 30.270070570453, -97.706180551413 30.270272228645, -97.706151290256 30.27025997667, -97.706071147923 30.270226420999, -97.7060930317 30.270187849444, -97.705618400826 30.270022798254, -97.705458288549 30.27036172496, -97.705455422553 30.27036779313, -97.705452575325 30.270373821078, -97.705425912907 30.270364595472, -97.705424092094 30.270363965286, -97.705423328999 30.270363699685, -97.705217959432 30.270717827421, -97.705023158058 30.271053731242, -97.705022754501 30.271054425894, -97.705022031628 30.271054171944, -97.704956156961 30.271031051541, -97.704938597763 30.271024890155, -97.704911937719 30.271081246304, -97.704908153141 30.271089244693)))",47,Guadalupe-Saldana Netzero Subdivision,7,14,6,11074806,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11074806,SP-2009-0376C.SH(XT),The 7.7-acre site will have 95 residential units.,,,BAKSHIS,09/27/2018 10:06:34 AM +0000,47,293787.75390625,4701.4219248436
"MULTIPOLYGON (((-97.733126984505 30.268443640264, -97.731988246362 30.26807768883, -97.731999769726 30.26804807806, -97.732073662424 30.268072021052, -97.732071296316 30.268078180209, -97.732550273765 30.268232344655, -97.732564996772 30.268196354372, -97.732104712608 30.268049732414, -97.732098478933 30.268046262471, -97.732089249965 30.268031512017, -97.732085523935 30.268006487276, -97.73208865534 30.267987212461, -97.732353349297 30.267275295034, -97.732361784665 30.267257609632, -97.732376586553 30.267239049588, -97.732392831786 30.267233290769, -97.732417551376 30.267229495134, -97.732474547882 30.26724246999, -97.732550809725 30.267265266123, -97.732655989368 30.267296767843, -97.73265905706 30.267290145043, -97.73282571554 30.267341873563, -97.732824224275 30.267346140715, -97.732921760274 30.267375575588, -97.732923809409 30.267370962211, -97.733086086356 30.267422004982, -97.733085740583 30.267424622828, -97.733318959931 30.267496800888, -97.733328370118 30.267484458847, -97.733377330246 30.26749965787, -97.733366563712 30.267536921482, -97.733357256328 30.267594419442, -97.733334822364 30.267640996883, -97.733299799979 30.267654612088, -97.733254149244 30.267654400829, -97.733143734613 30.267934596858, -97.733135953741 30.267937543415, -97.733223444174 30.268099994155, -97.733209202937 30.268138620866, -97.73318358033 30.268129982233, -97.733192931997 30.268099374985, -97.733114569137 30.267945226415, -97.733057951202 30.26796413091, -97.733017308514 30.267960172433, -97.733030462301 30.267926482894, -97.732963048447 30.267904844717, -97.732873680455 30.267876156669, -97.732796859806 30.268068318311, -97.732788004898 30.268080552976, -97.732737498826 30.268204044752, -97.732748424019 30.268207585817, -97.732732124097 30.268245584529, -97.73271792504 30.268251981405, -97.732611313744 30.268217347961, -97.732612562034 30.268211882915, -97.732585022011 30.268202968026, -97.732570556808 30.268239680353, -97.733076134339 30.268401543933, -97.733079343059 30.268394685048, -97.733138795499 30.26841355908, -97.733126984505 30.268443640264)))",134,8th and Embassy Multifamily,7,14,6,11109874,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11109874,SP-2014-0104C,The 1.6-acre site will have 178 multifamily units.,,,BAKSHIS,09/27/2018 10:30:59 AM +0000,134,92348.248046875,2272.03019147672
