Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2020,Robert Gardner,"Neutron Holdings, Inc. dba Lime","Neutron Holdings, Inc. dba Lime",,"Dockless vehicle regulations,Terms and conditions in 2020 and 2021",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2379,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2379
2015,Aaron Brand,"Uber Technologies, Inc.","Uber Technologies, Inc.","Colin Tooze, Zuhairah Washington, Jillian Irvin (end date 4/30/15)",Transportation Network Company Legislation.,1450.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=408,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=408
2020,Robert R. Harris,Brookfield Office Properties,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2323,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2323
2014,Emily J. Vaias,Kaiser Permanente,Linowes and Blocher LLP,Phillip Hummel,"White Oak Master Plan/Sectional Map Amendment,Zoning Rewrite ZTA/DMA-G-956",3790.00,6000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=289,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=289
2018,Lenace Edwards,Service Employees International Union Local 32BJ,SEIU Local 32BJ,,Full time hours for 32BJ Janitors,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2084,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2084
2019,Heather Dlhopolsky,The NRP Group LLC,Linowes and Blocher LLP,,8040 13th Street Property,0.00,2520.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2287,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2287
2016,Stacy P. Silber,"6801 Wisconsin, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",2450.00,3185.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=576,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=576
2017,Robert J. Garagiola,"Fraternal Order of Police, Lodge 35 Montgomery Cou","Alexander & Cleaver, P.A.",,"Lobby general assembly, collective bargaining.",1458.00,250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=936,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=936
2020,Steven A. Robins,Fivesquares Development LLC,"Lerch, Early & Brewer, Chtd.",,"Land Use, Zoning and Real Estate matters including Bill 34-17,  Bill 38-17 and ZTA No. 18-06.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2333,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2333
2017,Robert J. Garagiola,"Telaforce, LLC","Alexander & Cleaver, P.A.",,Lobbying state and local government relative to procurement.,125.00,1500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=928,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=928
