Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2016,Emily J. Vaias,Toll Brothers City Living,Ballard Spahr LLP,,Bethesda Master Plan,510.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=667,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=667
2015,Ellen Coren Bogage,Airbus DS Communications,Chesapeake Public Strategies,,Matters related to procurement of public safety communications services,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=438,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=438
2014,"Stephen J. Orens, Esq.",Amir Afkhami,Miles & Stockbridge,,Zoining Ordinance Revision,960.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=282,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=282
2015,Nicola Y.Whiteman,Apartment & Office Building Association,Apartment & Office Building Association,,Real Estate & Utility Issues,57452.00,48390.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=370,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=370
2014,Charles Washington,Potomac Electric Power Company,Potomac Electric Power Company,"Jerry Pasternak, Tami Watkins",Any and all matters pertaining to an electric utility.,180.00,119.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=187,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=187
2015,Emily J. Vaias,"Abraham Morrison Memorial, LLC",Linowes and Blocher LLP,Samantha Mazo,Downtown Bethesda Sector Plan,9350.00,1250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=401,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=401
2015,Emily J. Vaias,Brookfield Washington LLC,Linowes and Blocher LLP,Samantha Mazo,Water/Sewer Category,11463.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=515,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=515
2015,Peter A Tomao,Coalition for Smarter Growth,Coalition for Smarter Growth,,"Transit issues and smart growth in Montgomery County. Bill 19-15, ITA, BRT, MC24-15",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=545,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=545
2013,Steven A. Robins,Davis Brothers Montgomery Farm Limited Partnership,"Lerch, Early & Brewer, Chartered",,Matters related to Rock Spring Center in North Bethesda; proposed legislation related to Adequate Public Facilities and premlinary plan - Validity period; issues and legislation related to impact taxes and fees.,1440.00,1240.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=55,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=55
2018,Zachary Gerdes,Sierra Club Maryland Chapter,Sierra Club Maryland Chapter,,Bill: Amendments to the FY19-24 Capital Improvements Program. Council Resolutions on a special appropriation that would reduce funding levels in SM Design/Build/Maintain Contract (No. 801901),1087.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2127,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2127
2015,Robert R. Harris,Elm Street Development,"Lerch, Early & Brewer, Chtd.",,Land use approvals,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=418,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=418
2020,Isaac Meyer,Montgomery County Child Care Coalition,"Compass Government Relations Partners, LLC",,"Advocate on issues related to policies affecting child care services, including proposals for universal pre-K",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2376,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2376
2019,Camille Fesche,Optotraffic,Rifkin Weiner Livingston LLC,,Assist client with speed monitoring and red light systems in Montgomery County.,1625.00,1500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2252,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2252
2016,Barbara A. Sears,Bethmont LLC,Linowes and Blocher LLP,,Bethesda Property,0.00,1020.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=768,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=768
2017,Ellen Valentino-Benitez,Ellen Valentino-Benitez,VBA,,Bill 1-17,1000.00,5000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=931,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=931
2019,Stacy P. Silber,"Moonlight, Inc.","Lerch, Early & Brewer, Chtd.",,Zoning and general land use matters.,9500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2172,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2172
2016,C. Robert Dalrymple,Halpine Park LLC,Linowes and Blocher LLP,Payman Tehrani,Minor Master Plan Amendments and Aspen Hill Master Plan,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=637,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=637
2015,Moira Moynihan,"Xerox Business Services, LLC and its Affiliates","Alexander & Cleaver, P.A.",,"Legislative and executive branch procurement of photo enforcement and citation processing, and procurement issues on technology, services to the Comptroller, Court System and other agencies.",0.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=387,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=387
2015,"David D. Freishtat, Esquire","Lindsay Management, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.","Larry A. Gordon, Esquire",Zoning and Land Use.,41069.00,17618.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=349,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=349
2016,Robert R. Harris,Johnson Family Properties,"Lerch, Early & Brewer, Chtd.",,Annexation of property into the City of Gaithersburg.,780.00,2467.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=677,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=677
2017,Brigid Nuta Howe,Nonprofit Montgomery,Nonprofit Montgomery,,Issues concerning nonprofits in Montgomery County and the residents they serve.,9391.00,3798.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=935,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=935
2019,Richard Rothrock,Crown Castle,Communications Infrastructure,,Issues relating to the deployment and siting of communications infrastructure in the County's right-of-way.,0.00,2596.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2272,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2272
2016,Steven A. Robins,"Peel Properties, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,1628.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=589,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=589
2018,Amirali Nasserian,"Westfield, LLC","Westfield, LLC",,"Wheaton mall development projects.,Montgomery mall development projects.",3363.00,2625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2108,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2108
2013,William Kominers,"QIAGEN, Inc.","Lerch, Early & Brewer, Chartered",,Subdivision Regulation Amendment SRA No. 13-01.,2500.00,6193.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=94,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=94
2014,Robert J. Garagiola,Business Health Services,"Alexander & Cleaver, P.A.",,City and State procurement.,0.00,625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=273,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=273
2014,Anne M. Mead,C&G Associates,Linowes and Blocher LLP,,Downtown Bethesda Plan and Zoning Rewrite.,7278.00,3690.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=219,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=219
2013,Barbara A. Sears,The Johns Hopkins University,Linowes and Blocher LLP,Yum Yu Cheng,"Belward Research Campus,Montgomery County Campus",15592.00,11784.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=107,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=107
2014,Laurence Levitan,Martin's Caterers,"Rifkin, Weiner, Livingston, Levitan & Silver, LLC",,To preserve and protect the client's interests in regard to opening a Martin's in Montgomery County.,5125.00,7625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=263,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=263
2016,Moira Moynihan,Dart Container Corporation,"Alexander & Cleaver, P.A.",,Regulation and laws regarding food and drink containers.,0.00,375.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=607,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=607
2015,"Elsie L. Reid, Esq.",Roman Catholic Archdiocese of Washington,"Furey, Doolan & Abell, LLP","Devin J. Doolan, Esq.",Monitor all issues regarding mission and operations,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=324,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=324
2013,Scott Williamson,Communities for Transit Inc,Program Director of nonprofit public education org,"Geri Rosenberg, David Moon",Montgomery County Transit Corridors Functional Master Plan and any financial and policy issues relating to the implementation thereof.,0.00,590.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=148,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=148
2014,Sean Malone,Silver Diner,Harris Jones & Malone LLC,,Any and all matters related to minimum wage specifically tipped wages,0.00,2500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=297,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=297
2015,Steven A. Robins,"PNC Bank, NA","Lerch, Early & Brewer, Chtd.",,Bethesda Downtown Plan and zoning related issues.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=481,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=481
2016,LaTara Harris,LaTara Harris,AT&T,,All matters related to Telecommunications,0.00,3000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=553,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=553
2015,Emily J. Vaias,"St. John's Episcopal Church, Norwood Parish",Linowes and Blocher LLP,,Downtown Bethesda Sector Plan Amendment,15455.00,3625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=397,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=397
2014,Eileen Cahill,Holy Cross Health,Holy Cross Health,,"Adocating on general health care issues and services that impact the delivery of health care including but not limited to land use/zoning, transportation, quality of life issues, etc.",1010.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=230,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=230
2016,Stacy P. Silber,"AG-TDG Cider Mill Owner, LLC","Lerch, Early & Brewer, Chtd.",,Montgomery Village Master Plan.,3922.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=661,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=661
2017,Ellen Lee Coren,The Treatment and Learning Centers,Chesapeake Public Strategies,,Matters relating to Declaration of No Further Need,0.00,6500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=979,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=979
2020,"Robert G. Brewer, Jr.",Bernstein Management Corporation,"Lerch, Early & Brewer, Chtd.",,"Zoning, PLD disposition, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2322,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2322
2013,Nina Albert,"Wal-Mart Stores, Inc.",N/A,,All matters affecting the retail industry,260.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=23,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=23
2016,"William J. Chen, Jr.","Potomac Highlands Citizens Association, Inc., and","The Law Office of William J. Chen, Jr., LLC",,Text Amendment to the Ten-Year Water Supply and Sewerage Systems Plan: Glen Hills Area Sanitary Study.,4500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=675,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=675
2020,William Kominers,"Blair Towers, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, pending legislation, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2328,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2328
2013,"David D. Freishtat, Esquire","Potomac Energy Holdings, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, PA",,"New County Zoning Ordinance Revisions,Sectional Map Amendment for Zoning Ordinance Revisions,Glenmont Sector Plan,Land Use and Development Issues related to Filling Stations",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=104,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=104
2013,Steven A. Robins,"Chevy Chase Land Company of Montgomery County, Mar","Lerch, Early & Brewer, Chartered",,"Chevy Chase Lake Sector Plan and Development Related Matters.
Zoning Text Amendment 11-01- Commercial/Residential Zones,Subdivision Regulation Amendment/Extension legislation",27360.00,12805.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=47,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=47
2015,"Nancy P. Regelin, Esquire","Lois Wheaton, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.","Lawrence A. Shulman, Esquire, Larry N. Gandal, Esquire",Glenmont Redevelopment,375.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=332,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=332
2014,"Timothy Dugan, Esquire",Saul Centers,"Shulman, Rogers, Gandal, Pordy & Ecker, PA",,Subdivision Staging Policy Amendment #14-02,0.00,54927.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=312,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=312
2016,"Robert G. Brewer, Jr.",Buchanan Partners,"Lerch, Early & Brewer, Chtd.",,Subdivision Staging Policy and the transportation impact tax legislation.,0.00,2524.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=748,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=748
2014,"David D. Freishtat, Esquire","A. R. Kronstadt Realty Investors, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, PA",,White Flint Sector Plan,1600.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=183,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=183
2017,William Kominers,"Blair Towers, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, pending legislation, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=793,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=793
2015,Barbara A. Sears,Foulger-Pratt Companies,Linowes and Blocher LLP,,Impact Taxes,0.00,4500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=504,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=504
2017,Ashlie Bagwell,AltaGas Services (U.S.) Inc.,Harris Jones & Malone,,Energy; WGL Holdings; Acquisition,0.00,30000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=989,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=989
2013,Stephen Z. Kaufman,Gables Residential,Linowes and Blocher LLP,Yum Yu Cheng,Zoning Ordinance Rewrite,8063.00,5093.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=118,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=118
2016,William Kominers,Housing Opportunities Commission of Montgomery Cou,"Lerch, Early & Brewer, Chtd.",Susan Reutershan,"Zoning, master plans, and general land use matters.",26984.00,13269.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=693,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=693
2017,EMILY J VAIAS,KAISER PERMANENTE,BALLARD SPAHR LLP,,White Flint II Master Plan,15924.00,10924.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=882,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=882
2013,Kimberly Mprengo Owusukoko,Holy Cross Health,Holy Cross Health,,"Advocating on general health care issues and services that impact the delivery of health care, including but not limited to land use/zoning, transportation etc, and quality of life issues.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=17,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=17
2017,Moira Moynihan,"Wawa, Inc.","Alexander & Cleaver, P.A.",,"Any and all matters including human resource related issues, gasoline pricing, taxation and retail sales restrictions.",125.00,250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=851,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=851
2018,Ashlie Bagwell,AltaGas Services (U.S.) Inc.,Harris Jones & Malone,,Energy; WGL Holdings; Acquisition,60000.00,60000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2064,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2064
2016,Robert J. Garagiola,"Xerox Business Services, LLC. and its Affiliates","Alexander & Cleaver, P.A.",,"Legislative and executive branch procurement of photo enforcement and citation processing, and procurement issues on technology, services to the Comptroller, court system and other agencies.",250.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=623,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=623
2014,Robert R. Harris,"Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chartered",,Land use approvals.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=228,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=228
2016,"Devin John Doolan, Esq.",Catholic Charities of the Archdiocese of Washingto,"Furey, Doolan & Abell, LLP",,Monitor all issues regarding mission and operations.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=550,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=550
2018,William Kominers,Bernstein Management Corporation,"Lerch, Early & Brewer, Chtd.",,Bills 34-17 and 38-17 and ZTA No. 18-06,0.00,4120.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2118,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2118
2016,"David D. Freishtat, Esquire","A.R. Kronstadt Realty Investors, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, PA",,White Flint Sector Plan.,823.00,369.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=546,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=546
2017,William Kominers,Claire B. Dratch Revocable Trust,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",5345.00,258.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=946,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=946
2018,Dyana Forester,United Food & Commercial Workers Union Local 400,UFCW Local 400,,"Paid sick days, campaign financing, collective bargaining, health care, work labor and employment",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2074,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2074
2020,Steven Silverman,Washington Property Company,SSGOVRELATIONS LLC,,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2367,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2367
2016,Diane E. Feuerherd,Minkoff Development Corporation,"Miller, Miller & Canby",James L. Thompson,Review of and Amendments to the Water Quality Protection Charge.,8195.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=702,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=702
2013,Barbara A. Sears,Federal Realty Investment Trust,Linowes and Blocher LLP,,Aspen Hill Shopping Center,3032.00,5884.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=111,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=111
2020,Hayley Evans,Maryland Asphalt Association,Evans & Associates,,"Any and all matters affecting the asphalt, paving and construction industry.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2373,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2373
2014,Erica A. Leatham,Equity Residential,Ballard Spahr LLP,Raquel D. Montenegro,Advocacy for changes in text of Zoning Ordinance re-write with respect to the application of floating zones,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=213,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=213
2016,Jennifer Wellman-Andryuk,"U.S. Green Building Council, Inc.",Program Manager,,MCER NO. 21-15,688.00,620.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=684,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=684
2020,"Lawrence A. Shulman, Esq.","Regency Cab, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,General legislative and regulatory issues.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2300,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2300
2017,Robert J. Garagiola,"Clark Office Building, LLC","Alexander & Cleaver, P.A.",,"All executive and legislative branch matters affecting procurement, construction and construction projects.",3125.00,501.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=824,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=824
2015,Beth L. Law,Consumer Specialty Products Association,Consumer Specialty Products Association,,Amended Montgomery County Bill 52-14 Banning Lawn Care Pesticide Use on Private and County Property,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=396,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=396
2016,Steven A. Robins,"4931 Fairmont, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,1050.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=583,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=583
2016,"Devin J. Doolan, Esq.",Don Bosco/CristoRey High School,"Furey, Doolan & Abell, LLP",,Monitor all education issues,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=541,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=541
2019,Steven Silverman,"VPR Companies,LLC",SSGOVRELATIONS,,Real estate,14375.00,14375.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2230,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2230
2016,C. Robert Dalrymple,Washington Property Company,Linowes and Blocher LLP,Heather Dlhopolsky,"Sign Ordinance Amendment.,Bethesda Downtown Sector Plan & Subdivision Staging Policy.,Bill 37-16.",0.00,3047.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=687,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=687
2020,Robert Garagiola,"Coalition for Community Solar Access, Inc.","Compass Government Relations Partners, LLC",,"Solar Energy,Community Solar Pilot Project in Maryland",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2381,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2381
