License Number,Licensee Name,DBA Name,Business Type,License Type,License Current Status,Status Effective Date,District,Sub District,County Number,Street Number,Street Name,City,State,Zip Code,latlng
229085,"MCCULLOUGH HOUSE WINERY LLC, THE","MCCULLOUGH HOUSE WINERY, THE",L,22WS,OB,03/19/2020,4,00,OREGON,,1 MILE E OF THAYER HY 142,THAYER,MO,657910000,
215642,LINDNER'S PUB INC.,LINDNER'S PUB,C,SBD,OB,03/11/2020,3,00,ST. LOUIS CITY,2925,MOUNT PLEASANT STREET,ST. LOUIS,MO,631111540,"(38.5729035, -90.2377145)"
243528,GREAT LIFE KANSAS CITY LLC,HILLCREST COUNTRY CLUB,L,RBD,OB,04/01/2020,1,00,JACKSON,8200,HILLCREST RD.,KANSAS CITY,MO,641381145,"(38.9775415, -94.52199900000001)"
254861,BREW BIZ LLC,BREW BIZ,L,RBD,OB,03/20/2020,1,00,JACKSON,,4360 S. NOLAND RD.,INDEPENDENCE,MO,64055,
262281,X O CORPORATION,WORLDS LIQUOR 2,C,SOP,OB,04/06/2020,1,00,CLAY,601,NW 68TH STREET,KANSAS CITY,MO,64118,
258652,SNAPPYS BAR AND GRILL LLC,SNAPPYS BAR AND GRILL,L,5BD,OB,03/23/2020,1,00,GRUNDY,201,W. 10TH ST.,TRENTON,MO,64683,
238764,FERMENTED PROJECTS LLC,SIDE PROJECT BREWING,L,MICB,OB,03/30/2020,3,00,ST. LOUIS CO.,7458,MANCHESTER ROAD,MAPLEWOOD,MO,631433032,"(38.6119679, -90.3219709)"
256863,"MAD TOPPER LLC, THE","MAD TOPPER, THE",L,SBD,OB,03/16/2020,1,00,LIVINGSTON,455,LOCUST ST.,CHILLICOTHE,MO,646012515,
258780,"CONTREARAS HECTOR JR, AND GARLOCK JOHN",CANCUN MEXICAN CUISINE,P,SBD,OB,03/27/2020,2,00,ADAIR,2020,N. BALTIMORE ST.,KIRKSVILLE,MO,63501,
264538,FOUNDRY DOWNTOWN LLC,"FOUNDRY, THE",L,SBD,OB,03/27/2020,4,00,PERRY,15,W. SAINT JOSEPH ST.,PERRYVILLE,MO,63774,
251684,LARAMITA CELLARS LLC,LARAMITA CELLARS,L,WDS,OB,05/01/2020,7,00,OUT OF STATE,6223,E. CATTLE DR,WILLCOX,AZ,856434649,"(32.103122, -109.6479)"
