License Number,Licensee Name,DBA Name,Business Type,License Type,License Current Status,Status Effective Date,District,Sub District,County Number,Street Number,Street Name,City,State,Zip Code,latlng
261034,SUMMIT VINEYARDS ESTATE LLC,BEAU VIGNE WINES,L,WDS,OB,04/07/2020,7,00,OUT OF STATE,110,CAMINO ORUGA,NAPA,CA,945586214,"(38.22902, -122.255767)"
235076,LA TOLTECA INC.,LA TOLTECA MEXICAN RESTAURANT,C,RBD,OB,03/16/2020,2,00,COOPER,490,COLONEL SANDERS LN.,BOONVILLE,MO,65233,"(38.9411826, -92.7434725)"
260422,"R.S. LIPMAN COMPANY, LLC",R.S. LIPMAN COMPANY,L,22S,OB,03/13/2020,7,00,OUT OF STATE,411,GREAT CIRCLE ROAD,NASHVILLE,TN,372281403,
254142,COMO GROWLERS & PINTS LLC,COMO PINTS,L,5BDW,OB,03/31/2020,2,00,BOONE,1413,"GRINDSTONE PLAZA, STE. 107B",COLUMBIA,MO,65201,"(38.9118614, -92.3191605)"
4899,QUIK-TRIP CORPORATION,QUIK-TRIP #224,C,OPL,OB,04/30/2020,1,00,JACKSON,6820,E FRONT STREET,KANSAS CITY,MO,641202127,"(39.1308997, -94.5028597)"
247737,PRENGER FOODS INC.,PRENGERS FOOD,C,OPT,OB,05/08/2020,2,00,LINN,542,S. MAIN STREET,BROOKFIELD,MO,64628,"(39.7786929, -93.07098909999999)"
171310,"CC'S CITY BROILER, INC.",CC'S CITY BROILER,C,SBD,OB,03/12/2020,2,00,BOONE,1401,"FORUM BLVD., STE. 105",COLUMBIA,MO,65203,
181344,"PRISM ELECTRONICS, LLC","TOWN TAVERN, THE",L,RBDR,OB,03/13/2020,4,00,CRAWFORD,475,E. PINE ST.,BOURBON,MO,654417507,"(38.15478179999999, -91.2438731)"
182825,FOUR CORNERS LLC,FOUR CORNERS,L,5OP,OB,04/27/2020,5,00,HOWELL,9496,STATE ROUTE AD,POTTERSVILLE,MO,65790,
267954,RIVER'S BEND PIZZERIA LLC,RIVERS BEND PIZZERIA,L,5BDW,OB,04/30/2020,2,00,MARIES,300,N. ALVARADO AVE.,BELLE,MO,65013,
206341,PHILWORLD INC.,WALDO PIZZA,C,RBD,OB,03/12/2020,1,00,JACKSON,,7437 BROADWAY,KANSAS CITY,MO,641141529,"(38.992839, -94.59379899999999)"
143265,TEQUILA JALISCO MEXICAN RESTAURANT #6,TEQUILA JALISCO MEXICAN RESTAURANT #6,C,SBD,OB,05/05/2020,2,00,LINN,517,S MAIN ST,BROOKFIELD,MO,646282338,
230414,OZARK YACHT CLUB LLC,OZARK YACHT CLUB,L,RBD,OB,04/24/2020,2,00,CAMDEN,119,WESTWIND DRIVE,LAKE OZARK,MO,650499620,
222388,AIZA LLC,OZARK BEVERAGE COMPANY (OBC),L,SOP,OB,03/17/2020,5,00,MCDONALD,14863,ROUTE E,PINEVILLE,MO,648567192,
156094,"CLANCY'S IRISH PUB, INC.",CLANCY'S IRISH PUB,C,RBD,OB,04/03/2020,2,00,GASCONADE,211,HWY 50,ROSEBUD,MO,63091,
268512,RIVERBENCH LLC,RIVERBENCH,L,22S,OB,04/27/2020,7,00,OUT OF STATE,6020,FOXEN CANYON RD,SANTA MARIA,CA,934549656,"(34.854396, -120.255574)"
213123,"BIG RIP LLC, THE","BIG RIP, THE",L,SBD,OB,04/08/2020,1,00,CLAY,216,EAST 9TH AVENUE,NORTH KANSAS CITY,MO,64116,
235367,BIG CEDAR LLC,BIG CEDAR,L,SBD,OB,03/25/2020,5,00,TANEY,612,DEVIL'S POOL ROAD,RIDGEDALE,MO,657399730,"(36.5346018, -93.27381559999999)"
163935,"J & J M, LLC",CAJUN CATFISH HOUSE,L,5BDW,OB,03/16/2020,2,00,COLE,6819,BUS. 50 WEST,JEFFERSON CITY,MO,651093052,"(38.5902315, -92.3271311)"
205258,OWEN ROE LLC,OWEN ROE,L,22S,OB,04/28/2020,7,00,OUT OF STATE,2761,EAST 9TH STREET,NEWBERG,OR,971323577,"(45.293127, -122.952367)"
227602,DOUBLE HELIX CORPORATION,MAGNOLIA CAFE,C,RBD,OB,03/25/2020,3,00,ST. LOUIS CITY,3524,WASHINGTON AVENUE,ST. LOUIS,MO,631031019,
256862,"MAD TOPPER LLC, THE","MAD TOPPER, THE",L,RBD,OB,03/16/2020,1,00,LIVINGSTON,455,LOCUST ST.,CHILLICOTHE,MO,646012515,
247168,MAHAKALI LLC,PINA WINE AND SPIRITS,L,OPT,OB,03/18/2020,1,00,CASS,,1240 W FOXWOOD DR.,RAYMORE,MO,64083,"(38.8125101, -94.4768377)"
169312,KC RESIDENCE CATERING CO. INC.,RESIDENCE INN KC INTERNATIONAL AIRPORT,C,RBD,OB,04/30/2020,1,00,PLATTE,10300,N. AMBASSADOR DR.,KANSAS CITY,MO,64153,"(39.280262, -94.67255899999999)"
234580,"MCCULLOUGH HOUSE WINERY LLC, THE","MCCULLOUGH HOUSE WINERY, THE",L,RBD,OB,03/19/2020,4,00,OREGON,1,MILE E OF THAYER HWY 142,THAYER,MO,657910000,
135290,"GLASGOW COOLER, INC.",GLASGOW COOLER,C,OPL,OB,04/01/2020,2,00,HOWARD,520,WATER ST,GLASGOW,MO,65254,
221506,JASSI SUPER MART INC.,JASSI SUPER MART,C,OPL,OB,03/18/2020,1,00,CASS,24702,SOUTH STATE ROUTE D,CLEVELAND,MO,647340843,
266515,KNIGHTS & KINGS LLC,KINGS MARKET,L,OPL,OB,03/27/2020,1,00,JACKSON,5550,TROOST AVENUE,KANSAS CITY,MO,64110,"(39.025538, -94.574265)"
214361,FS GAS & SNACKS LLC,KANSAS CITY FAST STOP,L,OPL,OB,04/01/2020,1,00,JACKSON,705,EAST 75TH STREET,KANSAS CITY,MO,64131,"(38.991405, -94.57972)"
269701,RWD RESORT GROUP LLC,HEADS STORE,L,SBD,OB,04/01/2020,2,00,FRANKLIN,3516,SAINT ALBANS RD,SAINT ALBANS,MO,63073,
227603,DOUBLE HELIX CORPORATION,MAGNOLIA CAFE,C,SBD,OB,03/25/2020,3,00,ST. LOUIS CITY,3524,WASHINGTON AVENUE,ST. LOUIS,MO,631031019,
240733,GRIMM'S TREE BREWING LLC,GRIMM'S TREE BREWING,L,MICB,OB,03/13/2020,2,00,FRANKLIN,1029,THIEBES RD.,LABADIE,MO,630551712,"(38.5003275, -90.8056689)"
135291,"GLASGOW COOLER, INC.",GLASGOW COOLER,C,SOP,OB,04/01/2020,2,00,HOWARD,520,WATER ST,GLASGOW,MO,65254,
231005,TOPAZ ENTERPRISES LLC,BARGAIN SMOKES LIQUOR AND E-VAPOR,L,SOP,OB,05/01/2020,1,00,LAFAYETTE,414,WEST 40 HWY,ODESSA,MO,64076,
201083,GULNOOR LLC,GLADSTONE MART & LIQUOR,L,SOP,OB,04/01/2020,1,00,CLAY,7020,N OAK TRAFFICWAY,GLADSTONE,MO,64118,
256302,GOTCHA SHOES AND THINGS LLC,MILLERSVILLE PIT STOP,L,OPL,OB,03/11/2020,4,00,CAPE GIRARDEAU,9735,STATE HWY 72,MILLERSVILLE,MO,63766,"(37.4319271, -89.7995443)"
258065,"SCHNUCK MARKETS, INC.",SCHNUCKS,C,SOP,OB,05/04/2020,3,00,ST. CHARLES,1421,MEXICO LOOP RD. E.,O'FALLON,MO,63366,
236380,GUACAMOLE LLC,DON LUPE,L,RBDR,OB,03/18/2020,5,00,HOWELL,1603,GIBSON,WEST PLAINS,MO,65775,
263926,"HARRISON, DONNA L.",LAKE ST PACKAGE,O,SOP,OB,05/04/2020,5,00,DADE,11,N STATE HIGHWAY 39,GREENFIELD,MO,65661,
235774,TEMPEST DISTILLING & SPIRITS CO. LLC,TEMPEST DISTILLING & SPIRITS CO.,L,LMS,OB,03/30/2020,3,00,ST. LOUIS CITY,2926,LOCUST BLVD.,ST. LOUIS,MO,631031311,"(38.63538, -90.221133)"
99180,MARINA GROG & GALLEY INC.,"MARINA, THE",C,RBD,OB,05/01/2020,1,00,JACKSON,,STREET,LAKE LOTAWANA,MO,640869741,
200546,HERB LAMB VINEYARDS LLC,HERB LAMB VINEYARDS,L,WDS,OB,04/22/2020,7,00,OUT OF STATE,4326,BIG RANCH RD,NAPA,CA,945581347,"(38.3618081, -122.3121571)"
250919,"SATER, MICHAEL T",105 PACKAGE,O,OPL,OB,03/24/2020,4,00,MISSISSIPPI,4181,S HIGHWAY 105,EAST PRAIRIE,MO,638459181,
250872,ALL STAR GRILL & BAR LLC,ALL STAR GRILL & BAR,L,SBD,OB,04/06/2020,1,00,CLAY,7210,NE 43RD ST,KANSAS CITY,MO,64117,"(39.171008, -94.4943902)"
252598,GEORGETOWN VINEYARDS INC.,GEORGETOWN VINEYARDS,C,WDS,OB,03/31/2020,7,00,OUT OF STATE,62920,GEORGETOWN ROAD,CAMBRIDGE,OH,43725,
264240,3JC LLC,3JC,L,RBD,OB,05/06/2020,1,00,JACKSON,1200,N. 7 HWY,BLUE SPRINGS,MO,64014,
256303,GOTCHA SHOES AND THINGS LLC,MILLERSVILLE PIT STOP,L,SOP,OB,03/11/2020,4,00,CAPE GIRARDEAU,9735,STATE HWY 72,MILLERSVILLE,MO,63766,"(37.4319271, -89.7995443)"
244097,COMO GROWLERS & PINTS LLC,COMO GROWLERS,L,OPL,OB,03/31/2020,2,00,BOONE,1413,"GRINDSTONE PLAZA, STE. 107A",COLUMBIA,MO,652013794,"(38.9114415, -92.3200214)"
230802,QUIKSTOP PLAZA LLC,QUIKSTOP PLAZA,L,OPL,OB,04/06/2020,2,00,SALINE,120,INDUSTRIAL BLVD.,SLATER,MO,653491666,
73351,QUIK-TRIP CORPORATION,QUIK-TRIP #204,C,SOP,OB,05/01/2020,1,00,JACKSON,6641,E. TRUMAN ROAD,KANSAS CITY,MO,641262639,"(39.0935084, -94.503766)"
240735,GRIMM'S TREE BREWING LLC,GRIMM'S TREE BREWING,L,SBD,OB,03/13/2020,2,00,FRANKLIN,1029,THIEBES RD.,LABADIE,MO,63055,"(38.5003275, -90.8056689)"
254787,"ART OF PIZZA LLC, THE","ART OF PIZZA, THE",L,5BDW,OB,04/09/2020,1,00,JACKSON,1801,BALTIMORE AVENUE,KANSAS CITY,MO,641081930,
260469,VILLA SAN JULIETTE,VILLA SAN JULIETTE,C,WDS,OB,05/04/2020,7,00,OUT OF STATE,6385,CROSS CANYONS ROAD,SAN MIGUEL,CA,934519582,"(35.7493477, -120.6155195)"
259232,CATFISH BILL'S BAR & GRILL LLC,CATFISH BILL'S BAR & GRILL,L,SBD,OB,03/26/2020,5,00,BENTON,28836,RIDGEWAY AVE.,LINCOLN,MO,65338,
261379,7425 BROADWAY LLC,BRICK + MORTAR,L,RBD,OB,03/31/2020,1,00,JACKSON,7425,BROADWAY,KANSAS CITY,MO,64114,
261381,7425 BROADWAY LLC,BRICK + MORTAR,L,EXTH,OB,03/31/2020,1,00,JACKSON,7425,BROADWAY,KANSAS CITY,MO,64114,
51704,ROYAL LIQUORS INC.,ROYAL LIQUORS,C,OPL,OB,04/03/2020,1,00,JACKSON,1301,W 103RD STREET,KANSAS CITY,MO,641144514,
236263,OLD STONE HOUSE INN LLC,OLD STONE HOUSE INN,L,RBD,OB,04/23/2020,2,00,MARION,3749,HWY BB,PALMYRA,MO,634611437,
172026,KC RESIDENCE CATERING CO. INC.,RESIDENCE INN KC INTERNATIONAL AIRPORT,C,SBD,OB,04/30/2020,1,00,PLATTE,10300,N. AMBASSADOR DR.,KANSAS CITY,MO,64153,"(39.280262, -94.67255899999999)"
183874,AMAPOLA CREEK VINEYARDS & WINERY,AMAPOLA CREEK,C,WDS,OB,04/01/2020,7,00,OUT OF STATE,392,LONDON WAY,SONOMA,CA,95476,
149845,MOOLAH THEATRE COMPANY LLC,MOOLAH THEATRE,L,SBD,OB,04/28/2020,3,00,ST. LOUIS CITY,3821,LINDELL BLVD.,ST. LOUIS,MO,631083400,"(38.6391939, -90.2389608)"
250920,"SATER, MICHAEL T",105 PACKAGE,O,SOP,OB,03/24/2020,4,00,MISSISSIPPI,4181,S HIGHWAY 105,EAST PRAIRIE,MO,638459181,
255844,CLASSIC BREWING COMPANY,CLASSIC BREWING,C,LS,OB,05/01/2020,7,00,OUT OF STATE,219,"LITTLE CANADA ROAD E, STE. 180",ST. PAUL,MN,551171325,
258743,LSL LAND GROUP LLC,GRAB & GET,L,OPL,OB,03/27/2020,4,00,BUTLER,22249,HIGHWAY 51,QUILIN,MO,639619192,
236257,SWEETWATER MANAGEMENT LLC,RUTHIE D'S RESTAURANT,L,SBD,OB,03/18/2020,2,00,CAMDEN,4466,HORSESHOE BEND PKWY,VILLAGE OF FOUR SEASONS,MO,650499082,"(38.1904348, -92.7173804)"
266899,CINDER BLOCK BREWERY LLC,CINDER BLOCK BREWERY,L,22WS,OB,05/01/2020,1,00,CLAY,110,EAST 18TH AVENUE,NORTH KANSAS CITY,MO,64116,
213122,"BIG RIP LLC, THE","BIG RIP, THE",L,RBD,OB,04/08/2020,1,00,CLAY,216,EAST 9TH AVENUE,NORTH KANSAS CITY,MO,64116,
229943,"RUSSELL, RANDALL T.",IRON HORSE HOTEL & RESTAURANT,O,5BDW,OB,05/08/2020,2,00,COOPER,103,MAIN STREET,BLACKWATER,MO,653220998,
158391,MJS INCORPORATED,KYOTO JAPANESE RESTAURANT,C,RBD,OB,05/04/2020,5,00,PHELPS,1002,N. BISHOP,ROLLA,MO,654012146,"(37.95212100000001, -91.7766644)"
55952,HIDDEN VALLEY GOLF COURSE INC.,HIDDEN VALLEY GOLF COURSE,C,SBD,OB,04/01/2020,3,00,ST. LOUIS CO.,17409,HIDDEN VALLEY DRIVE,EUREKA,MO,630252213,"(38.5312695, -90.6438663)"
247166,MAHAKALI LLC,PINA WINE AND SPIRITS,L,OPL,OB,03/18/2020,1,00,CASS,,1240 W FOXWOOD DR.,RAYMORE,MO,64083,"(38.8125101, -94.4768377)"
215507,BBT GROUP LLC,CHOCOLATERIE STAM,L,5BDW,OB,03/19/2020,2,00,MARION,103,NORTH MAIN STREET,HANNIBAL,MO,634013536,
231004,TOPAZ ENTERPRISES LLC,BARGAIN SMOKES LIQUOR AND E-VAPOR,L,OPL,OB,05/01/2020,1,00,LAFAYETTE,414,WEST 40 HWY,ODESSA,MO,64076,
243529,GREAT LIFE KANSAS CITY LLC,HILLCREST COUNTRY CLUB,L,SBD,OB,04/01/2020,1,00,JACKSON,8200,HILLCREST RD.,KANSAS CITY,MO,641381145,"(38.9775415, -94.52199900000001)"
214362,FS GAS & SNACKS LLC,KANSAS CITY FAST STOP,L,SOP,OB,04/01/2020,1,00,JACKSON,705,EAST 75TH STREET,KANSAS CITY,MO,64131,"(38.991405, -94.57972)"
228196,JK PETROLEUM INC.,JK PETROLEUM,C,SOP,OB,04/01/2020,1,00,JACKSON,2401,NORTH HIGHWAY 7,BLUE SPRINGS,MO,64014,
150034,GRUBB INDUSTRIES INC,NORTHLAND RACQUET CLUB,C,5BDW,OB,03/16/2020,1,00,CLAY,306,TENNIS COURT,NORTH KANSAS CITY,MO,64116,"(39.151794, -94.58429199999999)"
260418,"PECULIAR WINERY LLC, THE","PECULIAR WINERY, THE",L,DOMW,OB,03/24/2020,1,00,CASS,20709,HARPER ROAD,PECULIAR,MO,64078,
174937,RIVERBENCH LLC,RIVERBENCH,L,WDS,OB,04/27/2020,7,00,OUT OF STATE,6020,FOXEN CANYON RD.,SANTA MARIA,CA,934549656,
73085,QUIK-TRIP CORPORATION,QUIK-TRIP #153,C,SOP,OB,04/30/2020,1,00,CLAY,1010,ARMOUR ROAD,N KANSAS CITY,MO,641163618,"(39.1438949, -94.5688156)"
134883,MARIA'S AUTHENTIC MEXICAN RESTAURANT LLC,MARIA'S AUTHENTIC MEXICAN RESTAURANT,L,RBD,OB,03/17/2020,1,00,PLATTE,1205,BRANCH,PLATTE CITY,MO,640799599,"(39.3633151, -94.7721047)"
234841,"COOKSEY, CRISLYN DEANN",CORKS,P,5BDW,OB,03/16/2020,1,00,GRUNDY,200,IOWA BLVD.,TRENTON,MO,64683,
211992,INDIAN POINT INVESTMENTS LLC,INDIAN POINT INVESTMENTS,L,SOP,OB,03/23/2020,5,00,STONE,1575,TABLEROCK CIRCLE,INDIAN POINT,MO,65616,
266101,BIGHEN BREW LLC,"SOULARD STEELYARD, THE",L,RBD,OB,04/17/2020,3,00,ST. LOUIS CITY,2424,S. 9TH ST.,ST. LOUIS,MO,63104,
203305,MISSOURI SPIRITS HOUSE LLC,MISSOURI SPIRITS HOUSE,L,LWS,OB,04/16/2020,5,00,GREENE,507,W. WALNUT,SPRINGFIELD,MO,658062043,"(37.207488, -93.296081)"
264404,FREESTYLE POKE LLC,FREESTYLE POKE,L,5SBD,OB,03/17/2020,1,00,CLAY,8708,NE FLINTLOCK ROAD,KANSAS CITY,MO,64157,
251371,"WITHERS WINERY HOLDINGS LLC, THE","WITHERS WINERY, THE",L,WDS,OB,03/31/2020,7,00,OUT OF STATE,1160,HOPPER AVENUE,SANTA ROSA,CA,95403,"(38.478741, -122.74086)"
240734,GRIMM'S TREE BREWING LLC,GRIMM'S TREE BREWING,L,RBD,OB,03/13/2020,2,00,FRANKLIN,1029,THIEBES RD.,LABADIE,MO,63055,"(38.5003275, -90.8056689)"
247167,MAHAKALI LLC,PINA WINE AND SPIRITS,L,SOP,OB,03/18/2020,1,00,CASS,,1240 W FOXWOOD DR.,RAYMORE,MO,64083,"(38.8125101, -94.4768377)"
258060,"SCHNUCK MARKETS, INC.",SCHNUCKS,C,OPT,OB,05/04/2020,3,00,ST. CHARLES,100,JUNGERMANN RD.,ST. PETERS,MO,63376,
253377,MGB ENTERPRISES LLC,PIZZA AND POURS,L,RBD,OB,03/19/2020,1,00,JACKSON,9324,SOUTH 7 HIGHWAY,LEE'S SUMMIT,MO,64064,"(38.9462874, -94.2757657)"
201082,GULNOOR LLC,GLADSTONE MART & LIQUOR,L,OPL,OB,04/01/2020,1,00,CLAY,7020,N OAK TRAFFICWAY,GLADSTONE,MO,64118,
168193,"HUNEEUS VINTNERS, LLC",QUINTESSA WINERY,L,WDS,OB,04/27/2020,7,00,OUT OF STATE,1601,SILVERADO TRAIL,RUTHERFORD,CA,945730505,"(38.48684910000001, -122.4105677)"
126544,PROFITABLE PIZZA 2 INC.,SAMS PACKAGE,C,SOP,OB,03/11/2020,4,00,PEMISCOT,809,TRUMAN BLVD.,CARUTHERSVILLE,MO,638301705,
230803,QUIKSTOP PLAZA LLC,QUIKSTOP PLAZA,L,SOP,OB,04/06/2020,2,00,SALINE,120,INDUSTRIAL BLVD.,SLATER,MO,653491666,
222387,AIZA LLC,OZARK BEVERAGE COMPANY (OBC),L,OPL,OB,03/17/2020,5,00,MCDONALD,14863,ROUTE E,PINEVILLE,MO,648567192,
256395,"KEELER, CRAIG LEE",KEELER ESTATE VINEYARD,O,WDS,OB,04/14/2020,7,00,OUT OF STATE,5100,SE RICE LANE,AMITY,OR,971012327,"(45.120463, -123.179742)"
195349,KELLAN RESTAURANT MANAGEMENT CORPORATION,54TH STREET GRILL & BAR,C,SBD,OB,05/01/2020,1,00,JACKSON,12130,S. 71 HWY,GRANDVIEW,MO,640301129,"(38.8816372, -94.5268274)"
264132,"SMITH, MEREDITH L.",THIRD FORK BISTRO,O,5BDW,OB,03/18/2020,1,00,DEKALB,345,CEDAR ST.,UNION STAR,MO,64494,
164043,"LUECKE ENTERPRISES, INC.",WARRENTON GOLF COURSE,C,RBDR,OB,03/23/2020,2,00,WARREN,,HWY 47,WARRENTON,MO,633830339,
102603,NEW BELGIUM BREWING COMPANY INC.,NEW BELGIUM BREWING,C,22S,OB,03/16/2020,7,00,OUT OF STATE,500,LINDEN STREET,FORT COLLINS,CO,805242457,"(40.593415, -105.066874)"
