Planning Area,Total Units,Total MPDU,Total Workforce,Rental Indicator,Offering Date
PA20 - Gaithersburg & Vicinity,681,93,,For-Sale & Rental,03/01/2017
PA34 - Fairland,0,16,,For-Sale & Rental,
PA31 - Kensington/Wheaton,194,25,,For-Sale & Rental,11/30/2009
PA36 - Silver Spring,124,16,,For-Sale & Rental,10/19/2017
PA36 - Silver Spring,124,16,,For-Sale & Rental,
PA11 - Damascus,84,11,,For-Sale & Rental,10/01/2017
N/A,247,42,,For-Sale & Rental,
PA19 - Germantown,488,61,,For-Sale & Rental,03/01/2018
PA30 - North Bethesda,,48,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,149,19,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,149,19,,For-Sale & Rental,01/01/2018
PA23 - Olney,244,61,,For-Sale & Rental,07/01/2018
PA23 - Olney,244,61,,For-Sale & Rental,10/01/2018
PA23 - Olney,244,61,,For-Sale & Rental,01/01/2019
PA29 - Potomac,94,15,,For-Sale & Rental,
PA19 - Germantown,488,61,,For-Sale & Rental,09/01/2018
PA35 - Bethesda/Chevy Chase,456,57,,For-Sale & Rental,06/01/2018
PA31 - Kensington/Wheaton,46,6,,For-Sale & Rental,09/01/2018
PA35 - Bethesda/Chevy Chase,432,54,,For-Sale & Rental,
PA30 - North Bethesda,104,13,,For-Sale & Rental,07/01/2019
PA30 - North Bethesda,104,13,,For-Sale & Rental,02/01/2020
PA11 - Damascus,72,11,,For-Sale & Rental,11/01/2018
PA13 - Clarksburg,272,68,,For-Sale & Rental,07/01/2019
PA31 - Kensington/Wheaton,254,32,,For-Sale & Rental,01/01/2019
PA30 - North Bethesda,294,37,,For-Sale & Rental,02/01/2019
PA30 - North Bethesda,104,13,,For-Sale & Rental,02/01/2021
PA34 - Fairland,121,16,,For-Sale & Rental,07/01/2018
PA13 - Clarksburg,272,68,,For-Sale & Rental,06/01/2019
PA13 - Clarksburg,185,10,,For-Sale & Rental,12/01/2019
PA19 - Germantown,355,45,,For-Sale & Rental,04/01/2019
PA19 - Germantown,355,45,,For-Sale & Rental,05/01/2020
PA19 - Germantown,355,45,,For-Sale & Rental,06/01/2019
PA19 - Germantown,355,45,,For-Sale & Rental,03/01/2020
PA19 - Germantown,355,45,,For-Sale & Rental,10/01/2019
N/A,0,35,,For-Sale & Rental,
PA36 - Silver Spring,338,51,,For-Sale & Rental,10/01/2016
PA29 - Potomac,186,24,,For-Sale & Rental,01/01/2024
PA31 - Kensington/Wheaton,63,10,,For-Sale & Rental,
PA29 - Potomac,186,24,,For-Sale & Rental,10/01/2020
PA29 - Potomac,186,24,,For-Sale & Rental,01/01/2023
PA35 - Bethesda/Chevy Chase,154,24,,For-Sale & Rental,08/01/2019
PA20 - Gaithersburg & Vicinity,115,15,,For-Sale & Rental,01/01/2020
PA20 - Gaithersburg & Vicinity,115,15,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,531,69,,For-Sale & Rental,
PA36 - Silver Spring,79,10,4,For-Sale & Rental,06/01/2019
PA35 - Bethesda/Chevy Chase,531,69,,For-Sale & Rental,03/01/2019
PA35 - Bethesda/Chevy Chase,229,35,,For-Sale & Rental,09/01/2019
PA36 - Silver Spring,267,103,28,For-Sale & Rental,07/01/2019
PA36 - Silver Spring,79,10,4,For-Sale & Rental,
PA30 - North Bethesda,43,7,,For-Sale & Rental,07/01/2019
PA35 - Bethesda/Chevy Chase,322,49,,For-Sale & Rental,03/01/2018
PA30 - North Bethesda,424,64,,For-Sale & Rental,
PA30 - North Bethesda,424,64,,For-Sale & Rental,11/01/2008
PA13 - Clarksburg,105,27,,For-Sale & Rental,03/01/2020
PA19 - Germantown,488,61,,For-Sale & Rental,03/01/2018
PA36 - Silver Spring,403,61,,For-Sale & Rental,01/31/2020
PA30 - North Bethesda,424,64,,For-Sale & Rental,10/01/2008
PA13 - Clarksburg,436,66,,For-Sale & Rental,03/01/2017
PA30 - North Bethesda,,20,,For-Sale & Rental,
PA29 - Potomac,48,6,,For-Sale & Rental,02/01/2020
