Permit_number,Schedule_Date,Schedule_time,Base_Number,Last_Updated_Date,Last_Updated_Time
BA447,10/05/2020,10:30AM,B02772,05/10/2020,18:05:03.586
AB950,05/19/2020,9:30AM,B02847,05/10/2020,18:05:03.586
BA436,10/20/2020,10:30AM,,05/10/2020,18:05:03.586
BB573,06/03/2020,10:45AM,B01614,05/10/2020,18:05:03.586
AD946,07/29/2020,9:30AM,B01196,05/10/2020,18:05:03.586
AB306,10/09/2020,9:15AM,B02183,05/10/2020,18:05:03.586
AE347,08/18/2020,10:15AM,B01339,05/10/2020,18:05:03.586
AA175,10/26/2020,9:00AM,B01196,05/10/2020,18:05:03.586
AB733,11/10/2020,9:15AM,B01234,05/10/2020,18:05:03.586
AF474,07/24/2020,10:30AM,B03152,05/10/2020,18:05:03.586
AD754,07/17/2020,9:30AM,B01300,05/10/2020,18:05:03.586
AE906,07/06/2020,9:45AM,B01848,05/10/2020,18:05:03.586
AE165,08/25/2020,9:30AM,B02847,05/10/2020,18:05:03.586
AF553,07/23/2020,10:15AM,,05/10/2020,18:05:03.586
AC139,06/10/2020,9:15AM,,05/10/2020,18:05:03.586
AF432,07/20/2020,10:15AM,B03036,05/10/2020,18:05:03.586
AF015,07/22/2020,9:45AM,B01678,05/10/2020,18:05:03.586
AA365,10/23/2020,9:00AM,B01313,05/10/2020,18:05:03.586
AD634,06/25/2020,9:45AM,B01734,05/10/2020,18:05:03.586
BC094,10/05/2020,10:45AM,B01231,05/10/2020,18:05:03.586
AE865,07/28/2020,9:30AM,B02660,05/10/2020,18:05:03.586
AB198,05/12/2020,9:45AM,B03027,05/10/2020,18:05:03.586
AF769,06/23/2020,10:30AM,B01848,05/10/2020,18:05:03.586
AC435,10/09/2020,9:45AM,B02638,05/10/2020,18:05:03.586
AA588,07/14/2020,9:00AM,B90675,05/10/2020,18:05:03.586
AB343,10/02/2020,9:30AM,B01614,05/10/2020,18:05:03.586
AE237,08/18/2020,10:15AM,,05/10/2020,18:05:03.586
AF034,07/01/2020,10:15AM,B01313,05/10/2020,18:05:03.586
BC139,08/10/2020,9:15AM,B02932,05/10/2020,18:05:03.586
AD176,06/17/2020,9:30AM,,05/10/2020,18:05:03.586
AA425,06/24/2020,9:00AM,,05/10/2020,18:05:03.586
AE884,08/28/2020,10:30AM,B02847,05/10/2020,18:05:03.586
AE195,06/09/2020,10:00AM,,05/10/2020,18:05:03.586
AA723,06/10/2020,9:00AM,,05/10/2020,18:05:03.586
AD748,07/09/2020,9:45AM,B03189,05/10/2020,18:05:03.586
AC902,07/02/2020,9:15AM,,05/10/2020,18:05:03.586
BB715,09/02/2020,9:15AM,B01614,05/10/2020,18:05:03.586
BB808,11/06/2020,9:45AM,B00882,05/10/2020,18:05:03.586
BC182,08/28/2020,9:00AM,B02822,05/10/2020,18:05:03.586
AD340,05/18/2020,9:45AM,B02932,05/10/2020,18:05:03.586
AC999,08/26/2020,9:00AM,B01083,05/10/2020,18:05:03.586
BA971,05/14/2020,9:15AM,B02219,05/10/2020,18:05:03.586
AA493,10/15/2020,9:15AM,B02902,05/10/2020,18:05:03.586
BB733,07/28/2020,10:45AM,,05/10/2020,18:05:03.586
AC359,06/09/2020,9:30AM,B03152,05/10/2020,18:05:03.586
AD369,06/08/2020,9:45AM,B01243,05/10/2020,18:05:03.586
AE397,10/15/2020,10:00AM,,05/10/2020,18:05:03.586
AA223,09/22/2020,9:45AM,B02902,05/10/2020,18:05:03.586
AB623,11/05/2020,10:15AM,B03152,05/10/2020,18:05:03.586
BA161,06/05/2020,10:30AM,B03027,05/10/2020,18:05:03.586
AD172,07/01/2020,9:15AM,B01614,05/10/2020,18:05:03.586
AD377,07/10/2020,9:00AM,B01451,05/10/2020,18:05:03.586
AD088,11/06/2020,9:00AM,B02346,05/10/2020,18:05:03.586
AA603,08/27/2020,9:15AM,,05/10/2020,18:05:03.586
BB936,10/21/2020,10:45AM,B02660,05/10/2020,18:05:03.586
AE678,09/09/2020,9:00AM,B00350,05/10/2020,18:05:03.586
AC683,06/04/2020,10:30AM,B02539,05/10/2020,18:05:03.586
AC098,10/06/2020,10:00AM,B02932,05/10/2020,18:05:03.586
AB680,05/26/2020,9:45AM,B02902,05/10/2020,18:05:03.586
AB319,10/14/2020,9:30AM,B01455,05/10/2020,18:05:03.586
AF574,06/02/2020,10:30AM,,05/10/2020,18:05:03.586
BA677,06/18/2020,10:30AM,B02183,05/10/2020,18:05:03.586
AF678,07/20/2020,10:30AM,B01614,05/10/2020,18:05:03.586
BB030,05/27/2020,9:30AM,B02660,05/10/2020,18:05:03.586
AA376,07/24/2020,9:00AM,,05/10/2020,18:05:03.586
BB334,09/04/2020,9:15AM,B03027,05/10/2020,18:05:03.586
AA316,06/01/2020,9:00AM,B01536,05/10/2020,18:05:03.586
AD692,10/22/2020,10:30AM,B01010,05/10/2020,18:05:03.586
BB057,07/28/2020,10:30AM,B01614,05/10/2020,18:05:03.586
BB441,08/12/2020,10:45AM,B03152,05/10/2020,18:05:03.586
AD821,05/27/2020,10:15AM,B02847,05/10/2020,18:05:03.586
BA805,08/05/2020,9:00AM,B02660,05/10/2020,18:05:03.586
AE192,07/14/2020,9:15AM,B03027,05/10/2020,18:05:03.586
AA441,06/04/2020,9:00AM,B02937,05/10/2020,18:05:03.586
AF332,09/21/2020,10:45AM,B01848,05/10/2020,18:05:03.586
AC794,11/10/2020,9:45AM,B90675,05/10/2020,18:05:03.586
AE782,07/13/2020,10:15AM,B01065,05/10/2020,18:05:03.586
AE642,10/01/2020,10:15AM,B02183,05/10/2020,18:05:03.586
BB108,06/12/2020,10:45AM,B01848,05/10/2020,18:05:03.586
AA077,08/19/2020,10:45AM,B01614,05/10/2020,18:05:03.586
AE706,06/19/2020,10:00AM,,05/10/2020,18:05:03.586
AE331,09/08/2020,10:45AM,B01010,05/10/2020,18:05:03.586
AF622,06/09/2020,10:15AM,B02932,05/10/2020,18:05:03.586
BB229,09/16/2020,10:45AM,B02346,05/10/2020,18:05:03.586
AA481,10/06/2020,9:30AM,B01285,05/10/2020,18:05:03.586
AA389,06/26/2020,9:00AM,B02346,05/10/2020,18:05:03.586
AF525,07/20/2020,10:30AM,B00647,05/10/2020,18:05:03.586
BC216,07/28/2020,10:45AM,B01979,05/10/2020,18:05:03.586
AC571,07/17/2020,9:15AM,B01300,05/10/2020,18:05:03.586
AB854,10/08/2020,10:00AM,B01453,05/10/2020,18:05:03.586
AC299,05/18/2020,9:15AM,B01848,05/10/2020,18:05:03.586
AF819,07/20/2020,10:30AM,B02107,05/10/2020,18:05:03.586
AF939,06/30/2020,9:45AM,B02847,05/10/2020,18:05:03.586
BB368,05/12/2020,9:00AM,B01594,05/10/2020,18:05:03.586
BB478,10/09/2020,10:45AM,B02414,05/10/2020,18:05:03.586
AD063,06/18/2020,9:45AM,B02847,05/10/2020,18:05:03.586
AB996,10/29/2020,9:15AM,B02183,05/10/2020,18:05:03.586
AE488,07/16/2020,10:00AM,B00653,05/10/2020,18:05:03.586
BC284,05/28/2020,11:00AM,B01601,05/10/2020,18:05:03.586
ab374,09/18/2020,9:30AM,B02638,05/10/2020,18:05:03.586
BB179,06/10/2020,10:45AM,B02520,05/10/2020,18:05:03.586
BB398,10/08/2020,10:30AM,B02346,05/10/2020,18:05:03.586
BC257,09/04/2020,10:45AM,B02932,05/10/2020,18:05:03.586
AF241,05/21/2020,9:45AM,B02183,05/10/2020,18:05:03.586
AC195,06/23/2020,9:00AM,B02847,05/10/2020,18:05:03.586
BA537,06/23/2020,10:30AM,B02902,05/10/2020,18:05:03.586
AF975,06/03/2020,10:15AM,,05/10/2020,18:05:03.586
AF363,07/29/2020,10:00AM,B02183,05/10/2020,18:05:03.586
BC208,07/15/2020,10:45AM,B02932,05/10/2020,18:05:03.586
AF256,09/01/2020,10:00AM,B02219,05/10/2020,18:05:03.586
AD202,09/29/2020,10:00AM,B03027,05/10/2020,18:05:03.586
aa131,09/18/2020,9:30AM,B02902,05/10/2020,18:05:03.586
AE118,08/04/2020,9:15AM,,05/10/2020,18:05:03.586
BB828,05/28/2020,10:45AM,B02932,05/10/2020,18:05:03.586
AA614,08/12/2020,10:45AM,B03112,05/10/2020,18:05:03.586
AA568,10/26/2020,9:15AM,B01364,05/10/2020,18:05:03.586
AC623,06/16/2020,9:15AM,B02520,05/10/2020,18:05:03.586
AE239,06/15/2020,10:00AM,B02847,05/10/2020,18:05:03.586
AC465,09/08/2020,9:00AM,B90675,05/10/2020,18:05:03.586
AE965,07/14/2020,9:45AM,,05/10/2020,18:05:03.586
BC183,05/18/2020,10:45AM,B01506,05/10/2020,18:05:03.586
AD348,06/19/2020,9:30AM,,05/10/2020,18:05:03.586
AB258,07/15/2020,9:00AM,,05/10/2020,18:05:03.586
AC209,06/10/2020,9:30AM,B01811,05/10/2020,18:05:03.586
AE449,06/05/2020,10:15AM,,05/10/2020,18:05:03.586
AA517,08/27/2020,9:30AM,,05/10/2020,18:05:03.586
AA763,10/23/2020,9:30AM,B01536,05/10/2020,18:05:03.586
AB245,05/14/2020,10:15AM,B03152,05/10/2020,18:05:03.586
BA423,09/30/2020,10:00AM,B02902,05/10/2020,18:05:03.586
AB827,09/21/2020,9:00AM,B03152,05/10/2020,18:05:03.586
BB862,11/09/2020,11:00AM,B01231,05/10/2020,18:05:03.586
AF138,07/27/2020,10:15AM,B01128,05/10/2020,18:05:03.586
AE951,08/12/2020,9:45AM,B01848,05/10/2020,18:05:03.586
AB083,11/04/2020,9:45AM,B01811,05/10/2020,18:05:03.586
AA397,10/09/2020,9:00AM,B01313,05/10/2020,18:05:03.586
AE349,05/21/2020,9:45AM,B02932,05/10/2020,18:05:03.586
AF573,06/23/2020,10:00AM,B01848,05/10/2020,18:05:03.586
BB474,07/20/2020,10:45AM,B02816,05/10/2020,18:05:03.586
AA206,10/27/2020,9:15AM,B01339,05/10/2020,18:05:03.586
AD912,07/30/2020,9:30AM,B01313,05/10/2020,18:05:03.586
AF847,07/09/2020,10:45AM,B01313,05/10/2020,18:05:03.586
AA717,10/29/2020,10:00AM,,05/10/2020,18:05:03.586
AA083,09/18/2020,10:15AM,,05/10/2020,18:05:03.586
AD152,06/15/2020,9:30AM,B02219,05/10/2020,18:05:03.586
AF765,07/30/2020,10:30AM,B02847,05/10/2020,18:05:03.586
AB187,10/27/2020,9:45AM,,05/10/2020,18:05:03.586
AE189,07/28/2020,9:30AM,,05/10/2020,18:05:03.586
BB532,11/02/2020,9:00AM,,05/10/2020,18:05:03.586
AE358,08/18/2020,10:15AM,,05/10/2020,18:05:03.586
AD243,05/21/2020,9:15AM,B00756,05/10/2020,18:05:03.586
AC869,09/30/2020,10:45AM,B01614,05/10/2020,18:05:03.586
AC367,06/04/2020,10:30AM,B02932,05/10/2020,18:05:03.586
BB700,11/10/2020,9:45AM,B02932,05/10/2020,18:05:03.586
AC345,05/28/2020,10:00AM,,05/10/2020,18:05:03.586
AF584,08/21/2020,10:00AM,B01614,05/10/2020,18:05:03.586
BC271,08/06/2020,9:30AM,B03027,05/10/2020,18:05:03.586
AE279,06/09/2020,10:15AM,B01848,05/10/2020,18:05:03.586
AC798,05/13/2020,10:30AM,B02346,05/10/2020,18:05:03.586
AE751,07/29/2020,9:45AM,B02932,05/10/2020,18:05:03.586
BA372,07/20/2020,10:30AM,B02414,05/10/2020,18:05:03.586
AE061,07/16/2020,10:00AM,B02651,05/10/2020,18:05:03.586
BA564,09/02/2020,10:00AM,B01109,05/10/2020,18:05:03.586
AF788,07/10/2020,10:00AM,B01436,05/10/2020,18:05:03.586
BB068,08/11/2020,9:30AM,B02346,05/10/2020,18:05:03.586
BA455,07/28/2020,10:30AM,B02638,05/10/2020,18:05:03.586
AD333,06/15/2020,9:45AM,B01678,05/10/2020,18:05:03.586
AD010,07/14/2020,9:00AM,B01300,05/10/2020,18:05:03.586
AC332,10/09/2020,9:45AM,,05/10/2020,18:05:03.586
AB013,10/07/2020,9:30AM,B01300,05/10/2020,18:05:03.586
BA676,10/06/2020,10:15AM,B01848,05/10/2020,18:05:03.586
AD354,06/15/2020,9:45AM,B01065,05/10/2020,18:05:03.586
BB861,11/09/2020,11:00AM,B01231,05/10/2020,18:05:03.586
AE853,05/20/2020,9:00AM,B01848,05/10/2020,18:05:03.586
BA718,10/29/2020,9:45AM,B01510,05/10/2020,18:05:03.586
BA361,11/04/2020,9:15AM,B01313,05/10/2020,18:05:03.586
AE322,07/16/2020,10:00AM,B02219,05/10/2020,18:05:03.586
AC600,06/02/2020,9:45AM,B02660,05/10/2020,18:05:03.586
AF638,08/21/2020,10:15AM,B02638,05/10/2020,18:05:03.586
AD092,06/19/2020,9:30AM,B01811,05/10/2020,18:05:03.586
AE216,08/18/2020,10:00AM,B00131,05/10/2020,18:05:03.586
AC320,08/19/2020,9:15AM,B03152,05/10/2020,18:05:03.586
AF874,09/14/2020,10:00AM,B02219,05/10/2020,18:05:03.586
BB244,08/04/2020,10:00AM,B02772,05/10/2020,18:05:03.586
AE760,06/15/2020,10:15AM,B01593,05/10/2020,18:05:03.586
AC153,06/03/2020,9:00AM,B01848,05/10/2020,18:05:03.586
BA180,07/07/2020,10:00AM,B01081,05/10/2020,18:05:03.586
AF696,08/17/2020,10:30AM,B02932,05/10/2020,18:05:03.586
AD719,08/24/2020,9:15AM,B02089,05/10/2020,18:05:03.586
BC069,09/02/2020,9:30AM,B01231,05/10/2020,18:05:03.586
AD104,07/16/2020,9:15AM,B03027,05/10/2020,18:05:03.586
AA559,07/07/2020,9:00AM,B02847,05/10/2020,18:05:03.586
AE573,07/02/2020,10:15AM,B03152,05/10/2020,18:05:03.586
AA053,06/01/2020,9:00AM,B01777,05/10/2020,18:05:03.586
AE601,05/19/2020,9:00AM,B03152,05/10/2020,18:05:03.586
AE264,10/05/2020,9:45AM,B01436,05/10/2020,18:05:03.586
BB035,07/14/2020,10:30AM,B01848,05/10/2020,18:05:03.586
AD684,07/15/2020,9:45AM,B03027,05/10/2020,18:05:03.586
AD898,05/26/2020,9:00AM,B00860,05/10/2020,18:05:03.586
BA259,10/14/2020,10:30AM,,05/10/2020,18:05:03.586
AC914,10/21/2020,10:15AM,B90675,05/10/2020,18:05:03.586
AA144,10/14/2020,9:00AM,B02847,05/10/2020,18:05:03.586
AE429,09/03/2020,9:15AM,B01848,05/10/2020,18:05:03.586
BA306,10/05/2020,10:30AM,B02902,05/10/2020,18:05:03.586
AF821,08/25/2020,10:15AM,B02660,05/10/2020,18:05:03.586
BA953,11/02/2020,9:00AM,B01614,05/10/2020,18:05:03.586
AD527,05/29/2020,9:30AM,B01811,05/10/2020,18:05:03.586
AB798,09/21/2020,9:00AM,B02902,05/10/2020,18:05:03.586
AD190,06/09/2020,9:45AM,B01010,05/10/2020,18:05:03.586
AC194,07/15/2020,9:15AM,B02520,05/10/2020,18:05:03.586
AA966,11/05/2020,9:45AM,B01300,05/10/2020,18:05:03.586
AB317,11/06/2020,9:30AM,B00310,05/10/2020,18:05:03.586
AE755,07/01/2020,10:00AM,,05/10/2020,18:05:03.586
AD866,09/09/2020,9:00AM,B02902,05/10/2020,18:05:03.586
AC952,11/02/2020,10:15AM,B02520,05/10/2020,18:05:03.586
aa480,10/15/2020,9:15AM,B01285,05/10/2020,18:05:03.586
AE323,08/25/2020,9:45AM,B01536,05/10/2020,18:05:03.586
AE132,06/19/2020,9:45AM,B01848,05/10/2020,18:05:03.586
BB010,05/13/2020,9:00AM,B03152,05/10/2020,18:05:03.586
AD171,06/18/2020,9:45AM,B01196,05/10/2020,18:05:03.586
AE357,07/21/2020,9:45AM,B02660,05/10/2020,18:05:03.586
AC923,10/30/2020,9:15AM,B02660,05/10/2020,18:05:03.586
AE566,10/30/2020,9:30AM,B03027,05/10/2020,18:05:03.586
AB382,11/04/2020,10:00AM,B01848,05/10/2020,18:05:03.586
AA251,09/18/2020,10:15AM,B90675,05/10/2020,18:05:03.586
BA244,10/14/2020,10:15AM,B02520,05/10/2020,18:05:03.586
BB365,09/24/2020,10:15AM,B02346,05/10/2020,18:05:03.586
AE406,07/06/2020,9:30AM,B02183,05/10/2020,18:05:03.586
BA974,05/28/2020,10:15AM,B02183,05/10/2020,18:05:03.586
AF161,10/29/2020,9:45AM,B02414,05/10/2020,18:05:03.586
AB744,11/05/2020,10:15AM,B01678,05/10/2020,18:05:03.586
BB892,06/30/2020,10:45AM,B03036,05/10/2020,18:05:03.586
AB577,07/15/2020,9:00AM,B01536,05/10/2020,18:05:03.586
AE990,09/15/2020,9:00AM,B01436,05/10/2020,18:05:03.586
AD927,06/01/2020,10:15AM,B03152,05/10/2020,18:05:03.586
BA356,07/28/2020,10:15AM,B02539,05/10/2020,18:05:03.586
BB383,06/08/2020,10:45AM,B02346,05/10/2020,18:05:03.586
ab793,09/09/2020,9:15AM,B01678,05/10/2020,18:05:03.586
AD165,06/17/2020,9:30AM,B01614,05/10/2020,18:05:03.586
AF375,06/25/2020,10:15AM,B02932,05/10/2020,18:05:03.586
AA157,09/23/2020,9:45AM,,05/10/2020,18:05:03.586
BA411,07/14/2020,10:15AM,,05/10/2020,18:05:03.586
AF353,06/02/2020,10:15AM,,05/10/2020,18:05:03.586
BC099,08/28/2020,9:00AM,B01734,05/10/2020,18:05:03.586
AB134,09/15/2020,10:15AM,B01848,05/10/2020,18:05:03.586
AA846,08/25/2020,10:45AM,B00171,05/10/2020,18:05:03.586
AE728,06/03/2020,9:45AM,B01848,05/10/2020,18:05:03.586
BB447,10/27/2020,9:15AM,B01848,05/10/2020,18:05:03.586
AF201,07/15/2020,10:15AM,B02346,05/10/2020,18:05:03.586
AF041,07/29/2020,9:45AM,,05/10/2020,18:05:03.586
BA474,10/23/2020,10:30AM,B03027,05/10/2020,18:05:03.586
BB003,06/03/2020,10:45AM,B01614,05/10/2020,18:05:03.586
AB205,11/06/2020,9:30AM,B02660,05/10/2020,18:05:03.586
AB668,09/01/2020,10:30AM,B00531,05/10/2020,18:05:03.586
AE903,07/30/2020,9:45AM,B01145,05/10/2020,18:05:03.586
AA916,10/29/2020,10:15AM,B01315,05/10/2020,18:05:03.586
AD166,08/21/2020,10:45AM,B02932,05/10/2020,18:05:03.586
BA458,10/30/2020,10:00AM,B01848,05/10/2020,18:05:03.586
AE928,07/14/2020,9:30AM,B02415,05/10/2020,18:05:03.586
AB897,05/28/2020,9:45AM,B02847,05/10/2020,18:05:03.586
BA988,07/16/2020,10:45AM,B00882,05/10/2020,18:05:03.586
AF421,07/31/2020,10:15AM,B02847,05/10/2020,18:05:03.586
AD883,06/19/2020,9:45AM,B00860,05/10/2020,18:05:03.586
AE313,05/26/2020,9:00AM,B03112,05/10/2020,18:05:03.586
AB966,05/20/2020,10:15AM,B01678,05/10/2020,18:05:03.586
AD651,06/05/2020,10:00AM,B02638,05/10/2020,18:05:03.586
AB738,07/22/2020,9:00AM,B02414,05/10/2020,18:05:03.586
AC561,07/09/2020,9:30AM,B01010,05/10/2020,18:05:03.586
AD059,11/06/2020,9:45AM,B01010,05/10/2020,18:05:03.586
AD270,07/09/2020,9:00AM,B02346,05/10/2020,18:05:03.586
AA907,06/02/2020,9:00AM,B90675,05/10/2020,18:05:03.586
BC258,10/05/2020,10:45AM,,05/10/2020,18:05:03.586
AF803,07/17/2020,10:30AM,B01614,05/10/2020,18:05:03.586
BA147,06/01/2020,10:45AM,B01848,05/10/2020,18:05:03.586
BB740,10/22/2020,10:45AM,B01848,05/10/2020,18:05:03.586
AE215,11/06/2020,9:00AM,B03027,05/10/2020,18:05:03.586
BB661,06/17/2020,10:45AM,B01848,05/10/2020,18:05:03.586
AB293,05/26/2020,9:15AM,B01734,05/10/2020,18:05:03.586
AA503,10/15/2020,9:15AM,B02183,05/10/2020,18:05:03.586
AC786,06/11/2020,9:30AM,,05/10/2020,18:05:03.586
AB787,09/25/2020,10:45AM,B01678,05/10/2020,18:05:03.586
AE069,09/01/2020,10:15AM,B03027,05/10/2020,18:05:03.586
AE930,09/25/2020,10:30AM,,05/10/2020,18:05:03.586
AD884,06/19/2020,9:45AM,,05/10/2020,18:05:03.586
BA568,10/22/2020,10:45AM,B02772,05/10/2020,18:05:03.586
AE065,06/24/2020,9:45AM,B02638,05/10/2020,18:05:03.586
AB414,11/05/2020,9:15AM,B02183,05/10/2020,18:05:03.586
AE124,08/17/2020,9:45AM,B01124,05/10/2020,18:05:03.586
ac071,10/16/2020,10:15AM,B01848,05/10/2020,18:05:03.586
AD687,07/06/2020,9:15AM,B03027,05/10/2020,18:05:03.586
AB018,08/24/2020,10:30AM,B02653,05/10/2020,18:05:03.586
BB214,05/13/2020,9:00AM,,05/10/2020,18:05:03.586
BB734,10/13/2020,10:45AM,B02414,05/10/2020,18:05:03.586
AE602,07/09/2020,10:15AM,B01614,05/10/2020,18:05:03.586
AE998,08/03/2020,10:45AM,B00310,05/10/2020,18:05:03.586
AB120,09/15/2020,10:15AM,B02932,05/10/2020,18:05:03.586
AF462,07/06/2020,10:30AM,B01848,05/10/2020,18:05:03.586
BB073,08/04/2020,9:45AM,B02183,05/10/2020,18:05:03.586
AB711,10/22/2020,10:00AM,B01848,05/10/2020,18:05:03.586
AC828,07/09/2020,9:00AM,B01010,05/10/2020,18:05:03.586
AB448,10/16/2020,10:00AM,,05/10/2020,18:05:03.586
BA832,09/29/2020,9:00AM,B03027,05/10/2020,18:05:03.586
AB614,06/12/2020,9:15AM,B02346,05/10/2020,18:05:03.586
BB832,06/08/2020,10:45AM,B02346,05/10/2020,18:05:03.586
AC049,06/12/2020,9:15AM,B02183,05/10/2020,18:05:03.586
BB884,09/14/2020,9:15AM,B02660,05/10/2020,18:05:03.586
AA072,10/02/2020,9:00AM,B01536,05/10/2020,18:05:03.586
AB812,09/11/2020,10:45AM,B02414,05/10/2020,18:05:03.586
AA202,08/27/2020,9:30AM,B01734,05/10/2020,18:05:03.586
AF250,08/11/2020,9:45AM,B02089,05/10/2020,18:05:03.586
AF616,07/08/2020,10:15AM,,05/10/2020,18:05:03.586
BB514,09/29/2020,9:15AM,B01614,05/10/2020,18:05:03.586
BA131,07/10/2020,10:00AM,B01081,05/10/2020,18:05:03.586
AB728,08/19/2020,9:00AM,B02932,05/10/2020,18:05:03.586
AC606,06/18/2020,9:30AM,B02660,05/10/2020,18:05:03.586
AF713,07/14/2020,10:00AM,B01651,05/10/2020,18:05:03.586
BB693,09/02/2020,9:45AM,B02660,05/10/2020,18:05:03.586
AF325,08/18/2020,10:45AM,B02806,05/10/2020,18:05:03.586
AC562,11/10/2020,9:45AM,B01811,05/10/2020,18:05:03.586
BC269,06/22/2020,10:45AM,B02932,05/10/2020,18:05:03.586
AA320,09/18/2020,9:30AM,B01339,05/10/2020,18:05:03.586
AB297,10/08/2020,9:45AM,B01313,05/10/2020,18:05:03.586
AD730,08/31/2020,10:00AM,,05/10/2020,18:05:03.586
AA632,09/15/2020,10:00AM,B02932,05/10/2020,18:05:03.586
BB848,11/09/2020,9:15AM,B02638,05/10/2020,18:05:03.586
AD422,08/20/2020,9:00AM,B03027,05/10/2020,18:05:03.586
AB778,10/06/2020,9:45AM,B02346,05/10/2020,18:05:03.586
AE071,07/21/2020,9:15AM,B01313,05/10/2020,18:05:03.586
AA314,09/15/2020,10:00AM,B02902,05/10/2020,18:05:03.586
AC341,10/19/2020,10:00AM,,05/10/2020,18:05:03.586
AE934,07/15/2020,10:00AM,B03036,05/10/2020,18:05:03.586
AA125,09/16/2020,10:15AM,B01536,05/10/2020,18:05:03.586
AD137,05/11/2020,10:00AM,B02415,05/10/2020,18:05:03.586
AF586,07/24/2020,10:30AM,B01811,05/10/2020,18:05:03.586
BA674,07/22/2020,10:15AM,B01313,05/10/2020,18:05:03.586
AF210,06/26/2020,10:30AM,B02932,05/10/2020,18:05:03.586
AA430,07/02/2020,9:00AM,,05/10/2020,18:05:03.586
AA527,10/05/2020,9:00AM,B03036,05/10/2020,18:05:03.586
AD625,07/02/2020,9:30AM,B01601,05/10/2020,18:05:03.586
AF014,05/27/2020,9:00AM,B01455,05/10/2020,18:05:03.586
AE585,08/25/2020,9:45AM,B02346,05/10/2020,18:05:03.586
AA387,06/25/2020,9:00AM,B02346,05/10/2020,18:05:03.586
AD710,06/10/2020,10:00AM,B01243,05/10/2020,18:05:03.586
BC051,11/09/2020,11:00AM,B02520,05/10/2020,18:05:03.586
BB778,05/21/2020,10:00AM,B02847,05/10/2020,18:05:03.586
AA893,09/21/2020,10:00AM,B02660,05/10/2020,18:05:03.586
BC130,06/18/2020,10:45AM,B01109,05/10/2020,18:05:03.586
AE395,09/23/2020,10:15AM,B00653,05/10/2020,18:05:03.586
AE318,08/10/2020,10:00AM,B02197,05/10/2020,18:05:03.586
BC288,05/15/2020,11:00AM,B02182,05/10/2020,18:05:03.586
AA049,08/05/2020,9:45AM,B01593,05/10/2020,18:05:03.586
AC073,10/07/2020,9:45AM,,05/10/2020,18:05:03.586
AA915,10/23/2020,9:15AM,B01811,05/10/2020,18:05:03.586
BA324,07/13/2020,10:45AM,B01081,05/10/2020,18:05:03.586
AC217,07/10/2020,9:00AM,B02089,05/10/2020,18:05:03.586
BB452,11/10/2020,9:30AM,B02932,05/10/2020,18:05:03.586
BB100,11/10/2020,9:30AM,B01848,05/10/2020,18:05:03.586
BA126,07/13/2020,10:45AM,B01081,05/10/2020,18:05:03.586
AC595,06/16/2020,9:15AM,,05/10/2020,18:05:03.586
BA089,09/15/2020,9:45AM,B02531,05/10/2020,18:05:03.586
AE476,08/21/2020,9:00AM,B01614,05/10/2020,18:05:03.586
AE269,06/30/2020,9:30AM,B01848,05/10/2020,18:05:03.586
AB542,05/18/2020,9:15AM,,05/10/2020,18:05:03.586
AC124,06/04/2020,10:30AM,B02772,05/10/2020,18:05:03.586
BB376,08/19/2020,10:15AM,B02346,05/10/2020,18:05:03.586
BB509,08/26/2020,9:00AM,B01614,05/10/2020,18:05:03.586
AE741,07/24/2020,9:30AM,B02847,05/10/2020,18:05:03.586
BC189,07/23/2020,10:45AM,B02346,05/10/2020,18:05:03.586
AE221,07/02/2020,10:00AM,B03152,05/10/2020,18:05:03.586
BA470,05/28/2020,9:45AM,,05/10/2020,18:05:03.586
AE652,07/21/2020,10:00AM,B01196,05/10/2020,18:05:03.586
AF925,07/30/2020,10:45AM,B01010,05/10/2020,18:05:03.586
AB593,08/19/2020,9:00AM,B02415,05/10/2020,18:05:03.586
BA420,07/29/2020,10:30AM,B02414,05/10/2020,18:05:03.586
AC633,05/20/2020,10:30AM,B01285,05/10/2020,18:05:03.586
AE801,08/28/2020,10:30AM,,05/10/2020,18:05:03.586
AF964,08/12/2020,10:30AM,B01601,05/10/2020,18:05:03.586
AD737,07/21/2020,9:15AM,B01600,05/10/2020,18:05:03.586
AB551,09/03/2020,9:45AM,B01848,05/10/2020,18:05:03.586
AE158,07/21/2020,9:45AM,B01536,05/10/2020,18:05:03.586
AF478,06/22/2020,10:15AM,,05/10/2020,18:05:03.586
AD830,08/14/2020,10:30AM,,05/10/2020,18:05:03.586
BB817,10/14/2020,10:45AM,B00860,05/10/2020,18:05:03.586
AD525,05/13/2020,10:30AM,B02346,05/10/2020,18:05:03.586
BA891,06/30/2020,10:15AM,B02346,05/10/2020,18:05:03.586
AC462,06/18/2020,9:30AM,,05/10/2020,18:05:03.586
BC167,08/11/2020,10:00AM,B01614,05/10/2020,18:05:03.586
BB172,06/16/2020,10:45AM,B02520,05/10/2020,18:05:03.586
AA512,05/21/2020,10:15AM,,05/10/2020,18:05:03.586
AF656,06/16/2020,10:30AM,B02932,05/10/2020,18:05:03.586
AC648,06/15/2020,9:15AM,B02346,05/10/2020,18:05:03.586
BB601,09/04/2020,9:00AM,,05/10/2020,18:05:03.586
AC875,08/03/2020,9:45AM,,05/10/2020,18:05:03.586
