Permit_number,Schedule_Date,Schedule_time,Base_Number,Last_Updated_Date,Last_Updated_Time
AA111,09/25/2020,9:15AM,B02414,05/10/2020,18:05:03.586
AD241,11/10/2020,10:00AM,B02932,05/10/2020,18:05:03.586
AE993,06/12/2020,10:15AM,B01848,05/10/2020,18:05:03.586
AC550,08/14/2020,9:15AM,B02346,05/10/2020,18:05:03.586
AB570,10/01/2020,9:45AM,B02847,05/10/2020,18:05:03.586
AA025,10/01/2020,9:00AM,,05/10/2020,18:05:03.586
AF393,11/02/2020,10:45AM,B02414,05/10/2020,18:05:03.586
BC127,06/30/2020,10:45AM,B02183,05/10/2020,18:05:03.586
AC861,06/03/2020,9:15AM,B02377,05/10/2020,18:05:03.586
AA110,10/20/2020,9:00AM,B01196,05/10/2020,18:05:03.586
AD234,05/22/2020,10:15AM,B01848,05/10/2020,18:05:03.586
AD733,07/16/2020,9:30AM,B01614,05/10/2020,18:05:03.586
AC588,09/08/2020,9:00AM,B01051,05/10/2020,18:05:03.586
AD843,05/21/2020,9:30AM,B01734,05/10/2020,18:05:03.586
AE705,06/23/2020,9:45AM,B02414,05/10/2020,18:05:03.586
AA786,06/17/2020,9:00AM,B01196,05/10/2020,18:05:03.586
AD230,07/20/2020,9:15AM,,05/10/2020,18:05:03.586
AC835,09/23/2020,10:30AM,B02414,05/10/2020,18:05:03.586
AB354,07/21/2020,9:00AM,B02537,05/10/2020,18:05:03.586
BB968,05/11/2020,9:45AM,B01231,05/10/2020,18:05:03.586
BA666,07/22/2020,10:15AM,B02089,05/10/2020,18:05:03.586
AE436,05/26/2020,9:15AM,B01848,05/10/2020,18:05:03.586
AD123,07/15/2020,9:30AM,B02638,05/10/2020,18:05:03.586
AE240,05/29/2020,9:45AM,B01848,05/10/2020,18:05:03.586
BA260,10/07/2020,10:15AM,B02660,05/10/2020,18:05:03.586
AB820,10/06/2020,9:45AM,B03036,05/10/2020,18:05:03.586
AB117,10/05/2020,9:00AM,,05/10/2020,18:05:03.586
AE910,09/25/2020,10:00AM,,05/10/2020,18:05:03.586
AE629,06/16/2020,9:45AM,B02346,05/10/2020,18:05:03.586
AB446,09/30/2020,10:30AM,,05/10/2020,18:05:03.586
AC512,09/25/2020,10:00AM,B02638,05/10/2020,18:05:03.586
AE813,09/11/2020,9:00AM,B03036,05/10/2020,18:05:03.586
AD660,05/19/2020,10:30AM,B03036,05/10/2020,18:05:03.586
AC132,07/13/2020,9:00AM,B01614,05/10/2020,18:05:03.586
AD511,06/29/2020,9:15AM,B02932,05/10/2020,18:05:03.586
AB713,05/28/2020,9:30AM,B02183,05/10/2020,18:05:03.586
BA413,10/23/2020,10:30AM,B02183,05/10/2020,18:05:03.586
BB107,06/29/2020,10:45AM,B01451,05/10/2020,18:05:03.586
BB084,08/19/2020,10:15AM,B02183,05/10/2020,18:05:03.586
BA597,09/22/2020,10:15AM,B02414,05/10/2020,18:05:03.586
BA499,05/20/2020,9:30AM,B01614,05/10/2020,18:05:03.586
AE858,08/26/2020,10:15AM,B02932,05/10/2020,18:05:03.586
AF620,08/21/2020,10:00AM,B03036,05/10/2020,18:05:03.586
BB196,09/14/2020,9:30AM,B02660,05/10/2020,18:05:03.586
AE985,06/05/2020,10:15AM,B01848,05/10/2020,18:05:03.586
AB786,06/01/2020,9:30AM,B02847,05/10/2020,18:05:03.586
BC256,09/04/2020,10:45AM,B02346,05/10/2020,18:05:03.586
AE966,07/09/2020,10:15AM,B01811,05/10/2020,18:05:03.586
AF969,07/29/2020,10:15AM,B00021,05/10/2020,18:05:03.586
