the_geom,OBJECTID,Direction,Location,InstallDate,Function,MonitoredSchool,SZSpeedLimit,SZTriggerSpeed,RegSpeedLimit,TriggerSpeed,Latitude,Longitude,SZEnforcement,Site_ID,RLCEnforcement,SpeedEnforcement,SZ_ID,Operational
POINT (-90.113854625838 29.994378421193),22,EB,Florida Blvd @ Milne Blvd,03/20/2009 12:00:00 AM +0000,FS,,,,35,45,29.994373,-90.113849000000002,,NO24,,x,,N
POINT (-90.081415614543 29.931846408518),55,EB,Prytania St @ McGehee School,03/12/2012 12:00:00 AM +0000,TFS,McGhee Middle School,20,26,,,29.931840999999999,-90.081410000000005,x,NO97,,x,NO98,Y
POINT (-90.123112627009 29.95354541215),67,SB,2032 S Carrollton Ave,08/21/2017 12:00:00 AM +0000,TFS,Stuart Hall School for Boys,20,26,20,30,29.95354,-90.123107000000005,x,NO120 / A_B,,x,A,Y
POINT (-90.104468622518 29.979896418997),34,WB,Bienville St @ N. Olympia St - Christian Brothers School,10/16/2009 12:00:00 AM +0000,TFS,Need School,20,26,35,45,29.979890999999999,-90.104462999999996,x,NO44,,x,NO58,Y
POINT (-90.103318619811 29.926293406737),26,WB,St Charles Ave @ Jena St 4500 Blk St Charles,10/16/2009 12:00:00 AM +0000,TFS,Academy of the Sacred Heart,20,26,35,45,29.926288,-90.103313,x,NO34,,x,NO50,N
POINT (-90.086004617964 29.999285423581),44,SB,Wisner Blvd @ Harrison Ave,07/07/2010 12:00:00 AM +0000,SOG,,,,40,50,29.999279999999999,-90.085999000000001,,NO68,,,,Y
POINT (-90.04985160593 29.948737413191),51,EB,Opelousas Ave @ Holy Name of Mary,03/12/2012 12:00:00 AM +0000,TFS,Holy Name of Mary,20,26,35,45,29.948732,-90.049846000000002,x,NO85,,x,NO86,Y
POINT (-90.106010623034 29.978081417755),35,WB,Canal St @ N. Olympia St (4),10/16/2009 12:00:00 AM +0000,TFS,Need School,20,26,35,45,29.978076000000001,-90.106004999999996,x,NO45,,x,NO59,Y
POINT (-90.110333621866 29.920322405331),76,EB,5107 Magazine St,08/23/2017 12:00:00 AM +0000,TFS,St Katharine Drexel Preparatory School,20,26,35,45,29.920317000000001,-90.110327999999996,x,NO132 / A_B,,x,A,Y
POINT (-90.123202625717 29.925775406035),40,SB,Henry Clay Ave @ Coliseum St,06/04/2010 12:00:00 AM +0000,FS,,,,25,35,29.92577,-90.123197000000005,,NO64,,x,,Y
POINT (-90.042706607027 30.015677428742),50,SB,Press Dr @ Coghill Elementary,03/12/2012 12:00:00 AM +0000,FS,Coghill Elementary,20,26,35,45,30.015671999999999,-90.042700999999994,,NO83,,x,,P
POINT (-90.115060624242 29.954420412417),71,EB,65 Fontainebleau Dr,08/24/2017 12:00:00 AM +0000,TFS,St Rita Catholic School,20,26,30,40,29.954415000000001,-90.115054999999998,x,NO124 / A_B,,x,A,Y
