ID,Name,StationCode1,StationCode2,Description,Lat,Lon
67,STAIRWAY ENTRANCE (FROM SE CORNER OF COLERIDGE DR/FOREST GLEN RD),B09,,Stairway entrance into main entrance passageway from southeast corner of Coleridge Dr/Forest Glen Rd.,39.015326,-77.043647
68,"BUSBAY TUNNEL ENTRANCE (BUS BAY & KISS & RIDE AREA, KIMBALL PL & FOREST GLEN RD)",B09,,"Entrance by ramp from southeast corner of bus bay, kiss&ride area, and parking lot located at  Kimball Pl/Forest Glen Rd(passageway goes under Forest Glen Rd to the station).",39.01582,-77.044327
36,WEST TUNNEL ENTRANCE (TUNNEL UNDER ROCKVILLE PIKE FROM GROSVENOR PL),A11,,Passageway from east of Grosvenor Pl  goes under Rockville pike to the escalator to the station.,39.028702,-77.104317
38,"WEST ENTRANCE (ROCKVILLE PIKE EXIT, SIDEWALK FROM  N BOUND ROCKVILLE PIKE)",A11,,Station entrance accessible by the sidewalks from Rockville Pike northbound.,39.028859,-77.10381
37,"EAST ENTRANCE (PARKING EXIT, STRATHMORE PARK CT & TUCKERMAN LN)",A11,,"Facility entrance by the walkway from bus bay, parking lot and kiss&ride area located at the northwest corner of Strathmore Park Ct and Tuckerman Ln.",39.028917,-77.103615
142,WEST WALKWAY ENTRANCE (POLK & OLIVER STs),D10,,"Walkway from the intersection of Polk St NE and Olive St NE, passageway goes under CSX rail tracks to the station.",38.908552,-76.935179
140,ELEVATOR ENTRANCE (ADJACENT TO MAIN ENTRANCE),D10,,"Elevator from bus bay, kiss&ride area and parking lot located at the Minnesota Ave NE.",38.908191,-76.934833
141,MAIN ENTRANCE (MINNESOTA AVE between NASH & 48th STs),D10,,"Station entrance is accessible from the bus bay, kiss&ride area and parking lot located at the Minnesota Ave NE.",38.908341,-76.934626
193,MAIN ENTRANCE (WEST OF SILVER HILL RD & NAVY DAY DR),F10,,"Station entrance is accessible by bus bay, pedestrian bridge from parking garage and the sidewalks from Silver Hill Road.",38.844258,-76.932298
166,SOUTH ENTRANCE (SOUTH BUS BAY),E08,,Station entrance from  south side parking garage (bus bay A-D)  located south of East-West Hwy and west of Belcrest Rd.,38.965174,-76.955588
165,NORTH ENTRANCE (NORTH BUS BAY),E08,,Station entrance from  north side parking garage (bus bay E-H)  located south of East-West Hwy and west of Belcrest Rd.,38.965384,-76.955585
199,MAIN ENTRANCE (E CAPITOL ST & SOUTHERN AVE),G02,,"Canopied escalator entrance from bus bay, located at southeast corner of Southern Ave and E Capital St NE.",38.889225,-76.913268
198,ELEVATOR ENTRANCE (E CAPITOL ST & SOUTHERN AVE),G02,,"Elevator entrance from parking lot, bus bay, and the sidewalks from E Capital St.",38.88924,-76.912991
143,"ELEVATOR ENTRANCE (COLUMBIA PARK RD, FROM RT 50)",D11,,"Elevator entrance from northeast corner of parking lot, next to bus bay and kiss&ride.",38.916174,-76.916766
144,"MAIN ENTRANCE (COLUMBIA PARK RD, FROM RT 50)",D11,,"Escalator entrance from bus bay, parking lot, and walkway from Columbia Park Rd.",38.916255,-76.916519
39,EAST ENTRANCE ( NE OF MARINELLI RD AND ROCKVILLE PIKE),A12,,Station entrance from the northeast corner of Rockville Pike and Marinelli Rd.,39.047492,-77.112572
69,WEST ENTRANCE (NORTHWEST OF VEIRS RD & GEORGIA AVE),B10,,Passageway to station from the bus bay area located southwest corner of Georgia Ave and Reedie Dr and is also reachable by the pedestrian bridge over Veirs Mill Rd.,39.038319,-77.051086
70,"EAST ENTRANCE (EAST SIDE GEORGIA, SOUTHEAST CORNER OF GEORGIA AVE & REEDIE DR)",B10,,Station entrance from the building located at the southeast corner of Georgia Ave and Reedie Dr.,39.038671,-77.050275
194,"MAIN ENTRANCE (SOUTH , AUTH WAY & OLD SOPER RD)",F11,,"Mezzanine entrance from bus bays, kiss&ride, and Old Soper Rd.",38.827079,-76.912557
195,NORTH ENTRANCE (AUTH WAY & CAPITAL GATEWAY DR),F11,,Mezzanine entrance from the parking lot between north end of Auth Way and Capital Gateway Dr.,38.827195,-76.912441
200,"MAIN ENTRANCE (ADDISON RD, SOUTH OF CENTRAL AVE)",G03,,Station entrance is reachable by the walkway from parking garage and the sidewalks from Central Ave.,38.886716,-76.895749
170,WEST ENTRANCE (CALVERT RD TUNNEL),E09,,"Canopied escalator and stairway entrance from bus bay and kiss&ride off Calvert Rd, located on west side of station.",38.97835,-76.928939
246,NORTH PEDESTRIAN BRIDGE ENTRANCE,N06,,Walkway to station pedestrian bridge is accessible from parking garage and kiss & ride located at the north side of the station.,38.948291,-77.338919
168,WEST ELEVATOR ENTRANCE (CALVERT RD TUNNEL),E09,,"Elevator entrance from bus bay and kiss&ride off Calvert Rd, located on west side of station.",38.978357,-76.92874
245,SOUTH PAVILION ENTRANCE,N06,,South pavilion entrance from station south bus bay.,38.946881,-77.339912
244,SOUTH PAVILION ELEVATOR ENTRANCE,N06,,South pavilion elevator entrance from station south bus bay.,38.946993,-77.340156
167,EAST ELEVATOR ENTRANCE (RIVER RD & PAINT BRANCH PKWY),E09,,"Elevator entrance by the walkway from parking lot, bus bay, and kiss&ride off of River Rd, located on east side of station.",38.978133,-76.928016
169,EAST ENTRANCE (RIVER RD & PAINT BRANCH PKWY),E09,,"Escalator and stairway entrance by the walkway from parking lot, bus bay, and kiss&ride off of River Rd, located on east side of station.",38.978183,-76.927953
41,"WEST ENTRANCE (WEST SIDE ROCKVILLE PIKE, NORTHEAST OF CHAPMAN AVE & BOUIC AVE)",A13,,"West side entrance from bus bay, kiss&ride and parking lot located northeast corner of Chapman Ave and Bouic Ave.",39.062126,-77.1207
