RequestID,IndexNumber,TenantName,TenantFloor,TenantBuildingNumber,TenantStreetName,TenantCity,TenantStateCode,TenantPostcode,TenantBorough,OwnerName,OwnerFloor,OwnerStreetAddress,OwnerCity,OwnerStateCode,OwnerZipCode,FloorSuiteRequested,NoOfBicycleRequested,BBL,BIN,DateofRequest,RequestDateofEntry,ImplementDate,PlanPostDate,PlanSubmitDate,ExceptionRequestDueDate,TenantNotificationExceptionDate,LocationOfEntrances,RouteToElevators,RegularHoursOfOperation,PlandDateReceived,AlternateParkingLocation,AlternateParkingDescription,NoOfBicycleAccomodate,RouteToAlternateParking,ParkingExceptionDateReceived,ParkingExceptionDateofEntry,DOBDeviceNumber,DateOfBuilding,DateOfElevator,MethodOfElevator,SelfServiceOrOperator,IsCarTop,IsCarDoor,ElevatorExceptionDateReceived,ElevatorExceptionHardCopyReceived,ElevatorExceptionDateofEntry,RequestStatus
927,BIB11000200,Granger Collection,901,381,Park Avenue South,New York,NY,10016,Manhattan,PARK AVENUE SOUTH MANAGEMENT LLC,,"381 Park Avenue South, RM 1515",New York,NY,10016,901,1,1008820085,1018159,07/26/2011,07/26/2011,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,,,,,,,,,,,,,,,,,,,,,Pending
806,BIB11000079,Emily Sacknoff,28th Floor,405,Lexington Ave,New York,NY,10174,Manhattan,Tishman Speyer,27th,405 Lexington Ave,New York,NY,10174,28th Floor,1,1012970023,1036156,04/26/2011,04/26/2011,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,,,,,666 Third Ave Loading Dock,A secure room off the loading dock,50,In through loading dock on 43rd Street,,05/05/2011,,,,,,,,,,,Pending
1369,BIB12000307,AKF Group LLC,Suite 700,1501,Broadway,New York,NY,10036,Manhattan,Newmark Building Management,19th Floor,1501 Broadway,New York,NY,10036,Suite 700,2,1010150029,1024706,09/06/2012,09/06/2012,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,,,,,,,,,,,,,,,,,,,,,Pending
1157,BIB12000095,"Aeropostale, Inc.",22,112,West 34th Street,New York,NY,10120,Manhattan,Cushman and Wakefield,11,112 West 34th Street,New York,NY,10120,23,28,1008090053,1015201,04/17/2012,04/17/2012,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,Cyclists will enter and exit the building via the LoadingDock to the west of bldg entrance on 33rd streetbetween Broadway and 7th avenue,"Cyclists will access the freight elevator cars 13 and 14on the loading dock bay for entry into the building. Foregress, the freight elevators are accessed at the end ofthe corridor on the south east side of the building on allfloors","Freight Service is available on first come, first servedbasis from 7:30 AM to 5:30 PM",04/27/2012,,,,,,,,,,,,,,,,,Pending
293,BIB10000216,Vastardis Capital Services,30th Floor,41,Madison Avenue,New York,NY,10010,Manhattan,41 Madison LP,A - Level,41 Madison Avenue,New York,NY,10010,30,3,1008550037,1016749,03/25/2010,03/25/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,Freight Entrance on 26th street side of 41 Madison Ave,Freight Entrance thru Freight Hallway to Freight Elevator,"8am to 6pm, Monday thru Friday",04/21/2010,,,,,,,,,,,,,,,,,Pending
539,BIB10000462,Sirius XM Radio,22nd,461,8th Avenue,New York,NY,10001,Manhattan,5 Penn Plaza,,461 8th Avenue,New York,NY,10001,11th and 22nd,5,1007570031,1013547,06/14/2010,06/14/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,,,,,,,,,,,,,,,,,,,,,Pending
1911,BIB14000160,Paramount SPB Realty LLC,801,36,w 44th street,New York,NY,10036,Manhattan,Phillips International,2nd fl,295 Madision Avenue,New York,NY,10017,801,1,1012597501,1034205,,07/29/2014,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2025,BIB15000001,Kim McMillin,300,156,Fifth Avenue,New York,NY,10010,Manhattan,HRC Corporation,300,156 Fifth Avenue,New York,NY,10010,3rd,3,1008220031,1015499,01/05/2015,01/05/2015,02/04/2015,02/09/2015,02/14/2015 12:00:00 AM,01/20/2015,02/04/2015,,,,,,,,,,,1F3096,01/01/1894,01/01/1894,Operator-opens and shuts gate,Operator,Yes,Yes,,No,,Hold
1770,BIB14000019,Pariveda Solutions,8002,150,East 52nd Street,New York,NY,10022,Manhattan,Princeton International Properties,6,150 East 52nd Street,New York,NY,10022,8002,1,1013060042,1036463,,03/21/2014,,,,,,LOADING DOCK DOOR & FREIGHT ELEVATOR ONLY LOCATED AT WEST ELEVATION OF BUILDING.,LOADING DOCK / FREIGHT VESTIBULE TO TENANT PREMISES.,8AM - 6PM MONDAY - FRIDAY,03/24/2014,,,,,,,,,,,,,,,,,Hold
566,BIB10000489,McCann Erickson USA Inc,25th Floor,622,Third Avenue,New York,NY,10017,Manhattan,Cohen Brothers Realty Corporation,Lobby,622 Third Avenue,New York,NY,10017,2nd and 3rd floors,3,1012950033,1036148,06/23/2010,06/23/2010,05/27/2011,06/01/2011,06/06/2011 12:00:00 AM,05/12/2011,05/27/2011,Bicyclists will enter and exit through the loading dock entrance located on 41st Street. Access into the loading dock area for bicyclists is not allowed before 8 AM or after 6 PM.,"Bicyclists will enter the loading dock on 41 Street and proceed to the security window and present their Building ID Card. Bicyclist will proceed to the freight elevator and wait for the freight car operator who will take them to the respective floor with their bicycle. For departure from the building, the bicyclist will use the freight elevator which will deliver them back to the loading dock for departure from the building.",Monday through Friday 8:00AM to 6:00PM ONLY,04/28/2011,,,,,,,,,,,,,,,,,Pending
