HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
New Brighton Jewish Center,184 Brighton 11th Street,Brooklyn,NY,11235,05/19/2008,2019-5548,05/06/2019,05/31/2020,Active,Renew,3,40.578667,-73.958641,13,48,61004,3245412,3087070451,Brighton Beach,POINT (-73.958641 40.578667)
Midrash Shlomo Inc.,1244 East 7th Street,Brooklyn,NY,11230,11/08/2012,2019-5813,09/23/2019,10/31/2020,Active,Renew,3,40.620657,-73.968413,12,44,452,3171340,3065320031,Ocean Parkway South,POINT (-73.968413 40.620657)
Ahi Ezer Congregation,1885 Ocean Parkway,Brooklyn,NY,11223,09/15/2010,2019-5837,10/02/2019,10/31/2020,Active,Renew,3,40.603052,-73.966465,15,47,418,3178704,3066820060,Homecrest,POINT (-73.966465 40.603052)
Salem Missionary Baptist Church,305 East 21st Street,Brooklyn,NY,11226,10/18/2010,2019-5923,11/15/2019,11/30/2020,Active,Renew,3,40.646969,-73.959348,14,40,51001,3117630,3051250001,Flatbush,POINT (-73.959348 40.646969)
Persian Cong. of Flatbush,1434 Ocean Parkway,Brooklyn,NY,11230,05/21/2008,2019-5550,05/06/2019,05/31/2020,Active,Renew,3,40.613609,-73.968481,12,44,440,3173771,3065870024,Ocean Parkway South,POINT (-73.968481 40.613609)
"Rehoboth Christian Church, Inc.",164 E 118 Street,New York,NY,10035,08/24/2019,2019-5795,09/16/2019,09/30/2020,Active,New,1,40.799549,-73.939772,11,8,182,1052356,1016450045,East Harlem North,POINT (-73.939772 40.799549)
Mesivtha Tifereth Jerusalem,145 East Broadway,New York,NY,10002,05/21/2008,2019-5656,07/09/2019,07/31/2020,Active,Renew,1,40.713959,-73.991206,3,1,6,1003571,1002830031,Lower East Side,POINT (-73.991206 40.713959)
Iglesia Bautista International De Astoria,30-85 35th Street,Astoria,NY,11103,05/13/2008,2019-5767,09/03/2019,09/30/2020,Active,Renew,4,40.763257,-73.919918,1,22,63,4009898,4006500009,Astoria,POINT (-73.919918 40.763257)
"Darus-Salaam Masjid New York, Inc.",148-16 87 Road,Jamaica,NY,11435,06/26/2012,2019-5624,06/18/2019,06/30/2020,Active,Renew,,,,,,,,,,
Iglesia Cristiana Monte Hermon,289 East 3rd Street,New York,NY,10009,09/30/2015,2019-5881,11/04/2019,09/30/2020,Active,Renew,1,40.721418,-73.979967,3,2,2601,1004403,1003730061,Lower East Side,POINT (-73.979967 40.721418)
St. Albans Gospel Assembly Inc,200-25/27 Linden Boulevard,St. Albans,NY,11412,05/22/2008,2019-5663,07/09/2019,07/31/2020,Active,Renew,,,,,,,,,,
Church of the Blessed Sacrement,152 West 71st Street,New York,NY,10023,10/30/2019,2019-5926,11/20/2019,11/30/2020,Active,Renew,1,40.777348,-73.980744,7,6,157,1029777,1011420061,Lincoln Square,POINT (-73.980744 40.777348)
Chinese Evangel Mission Church of Queens,203-10 Rocky Hill Road,Bayside,NY,11361,11/20/2009,2019-5568,05/10/2019,05/31/2020,Active,Renew,4,40.753282,-73.777145,11,20,145102,4157908,4073550076,Bayside-Bayside Hills,POINT (-73.777145 40.753282)
Bronx Full Gospel Tabernacle Inc,4221 Park Avenue,Bronx,NY,10457,11/01/2010,2019-5887,11/06/2019,11/30/2020,Active,Renew,2,40.847984,-73.899156,6,15,379,2011095,2030270041,Mount Hope,POINT (-73.899156 40.847984)
Jesus Christ In Action Evangelical Assembly Intern,1069 Rogers Avenue,Brooklyn,NY,11226,08/12/2011,2019-5732,08/07/2019,08/31/2020,Active,Renew,3,40.643878,-73.951729,17,45,826,3119165,3051710060,Erasmus,POINT (-73.951729 40.643878)
Iglesia Gethsemani Pentecostal Inc.,110-112 East 104th Street,New York,NY,10029,10/27/2011,2019-5811,09/23/2019,10/31/2020,Active,Renew,1,40.791377,-73.948285,11,8,166,1051947,1016310068,East Harlem South,POINT (-73.948285 40.791377)
St. Edmund's Episcopal Church,1905 Morris Avenue,Bronx,NY,10453,03/15/2011,2019-5494,04/04/2019,04/30/2020,Active,Renew,2,40.849902,-73.907951,5,14,23301,2109804,2028280037,Mount Hope,POINT (-73.907951 40.849902)
Grace Baptist Church,223-33 New Jersey Avenue,Brooklyn,NY,11207,09/26/2018,2019-5845,10/07/2019,09/30/2020,Active,Renew,3,40.674137,-73.895381,5,37,1144,3252551,3037050014,East New York (Pennsylvania Ave),POINT (-73.895381 40.674137)
Church of God of Woodycrest Avenue,923 Woodycrest Avenue,Bronx,NY,10452,09/18/2019,2019-5875,11/01/2019,11/30/2020,Active,New,2,40.830811,-73.929417,4,8,189,2003180,2025110040,Highbridge,POINT (-73.929417 40.830811)
Chabad Lubavitch Of West Brighton Manhattan Beach,2997 Ocean Parkway,Brooklyn,NY,11235,06/18/2014,2019-5674,07/12/2019,06/30/2020,Active,Renew,3,40.577413,-73.968267,13,48,362,3244597,3086690088,Brighton Beach,POINT (-73.968267 40.577413)
Victory In Christ Church Inc.,1444 Broadway,Brooklyn,NY,11221,06/07/2016,2019-5610,06/10/2019,06/30/2020,Active,Renew,3,40.688004,-73.919464,3,41,375,3039727,3014840020,Stuyvesant Heights,POINT (-73.919464 40.688004)
Little Widows Mite Baptist Church,1807 Mahan Ave.,Bronx,NY,10461,04/12/2012,2019-5847,10/08/2019,06/30/2020,Active,Renew,2,40.848414,-73.829981,10,13,26602,2046609,2041960025,Pelham Bay-Country Club-City Island,POINT (-73.829981 40.848414)
St. Jerome's Roman Catholic Church,1900 Nostrand Avenue,Brooklyn,NY,11226,05/27/2008,2019-5801,09/23/2019,10/31/2020,Active,Renew,,40.639295,-73.948349,17,45,828,,,Erasmus,POINT (-73.948349 40.639295)
Community Church Of Christ,755 Home Street,Bronx,NY,10456,09/07/2010,2019-5842,10/04/2019,09/30/2020,Active,Renew,2,40.828126,-73.901726,3,17,135,2004735,2026620044,Morrisania-Melrose,POINT (-73.901726 40.828126)
Millinery Center Synagogue,1025 Avenue of the Americas,New York,NY,10018,03/18/2015,2019-5759,08/30/2019,08/31/2020,Active,New,1,40.752508,-73.985815,5,4,113,1015270,1008140036,Midtown-Midtown South,POINT (-73.985815 40.752508)
Otzar Hatorah,2409 Avenue U,Brooklyn,NY,11229,08/24/2017,2019-5698,08/01/2019,08/31/2020,Active,Renew,3,40.599833,-73.947396,15,48,576,3198574,3073290052,Madison,POINT (-73.947396 40.599833)
"Pentecostal Church of God, IM, Exodus, Inc.",1664 Amsterdam Ave.,New York,NY,10031,04/20/2012,2019-5487,04/03/2019,04/30/2020,Active,Renew,1,40.823548,-73.948852,9,7,229,1061860,1020740032,Hamilton Heights,POINT (-73.948852 40.823548)
The Church Of The Village,201 West 13th Street,New York,NY,10011,09/10/2015,2019-5776,09/03/2019,09/30/2020,Active,Renew,1,40.738001,-74.000476,2,3,77,1011113,1006180040,West Village,POINT (-74.000476 40.738001)
Faith Assembly of God,2170 Bedford Avenue,Brooklyn,NY,11226,05/07/2008,2019-5794,09/16/2019,09/30/2020,Active,Renew,3,40.651107,-73.955893,14,40,79602,3116869,3050890041,Prospect Lefferts Gardens-Wingate,POINT (-73.955893 40.651107)
Iglesia Pentecostal Fuente Divina Inc.,4621 4th Avenue,Brooklyn,NY,11220,07/17/2015,2019-5652,07/09/2019,07/31/2020,Active,Renew,3,40.64854,-74.010407,7,38,80,3337215,3007560001,Sunset Park West,POINT (-74.010407 40.64854)
"Masjid Manhattan, Inc.",30 Cliff Street,New York,NY,10038,03/19/2015,2019-5602,06/10/2019,06/30/2020,Active,Renew,1,40.70825,-74.00514,1,1,1502,1001169,1000757503,Battery Park City-Lower Manhattan,POINT (-74.00514 40.70825)
East 55th Street Conservative Synagogue,308 East 55th Street,New York,NY,10022,05/27/2008,2019-5807,09/23/2019,10/31/2020,Active,Renew,1,40.757793,-73.965756,6,5,108,1071988,1013470047,Turtle Bay-East Midtown,POINT (-73.965756 40.757793)
First Church of the Nazarene,108-01 95th Avenue,Richmond Hill,NY,11419,05/08/2008,2019-5539,05/03/2019,05/31/2020,Active,Renew,4,40.690148,-73.836796,9,28,118,4197302,4093920024,Richmond Hill,POINT (-73.836796 40.690148)
Marlboro Jewish Center,2324 West 13th Street,Brooklyn,NY,11223,05/20/2008,2019-5546,05/06/2019,05/31/2020,Active,Renew,3,40.590588,-73.983088,13,47,382,3194151,3071600015,Gravesend,POINT (-73.983088 40.590588)
Congregation Machane Chodosh,67 - 29 108th St.,Forest Hills,NY,11375,06/28/2011,2019-5638,07/09/2019,07/31/2020,Active,Renew,4,40.72815,-73.84713,6,29,741,4051884,4021770006,Forest Hills,POINT (-73.84713 40.72815)
Iglesia Pentecostal Washington Heights,281 Audubon Avenue,New York,NY,10033,03/27/2012,2019-5483,04/03/2019,04/30/2020,Active,Renew,1,40.847559,-73.933187,12,10,261,1063594,1021520031,Washington Heights South,POINT (-73.933187 40.847559)
United Moravian Church,200 East 127th Street,New York,NY,10035,11/27/2013,2019-5921,11/15/2019,11/30/2020,Active,Renew,1,40.804849,-73.934545,11,8,242,1054697,1017910044,East Harlem North,POINT (-73.934545 40.804849)
Queens Assembly Hall of Jehovah's Witnesses,44-15 Greenpoint Avenue,Sunnyside,NY,11104,09/10/2012,2019-5774,09/03/2019,09/30/2020,Active,Renew,4,40.741484,-73.920702,2,26,183,4001969,4001660040,Hunters Point-Sunnyside-West Maspeth,POINT (-73.920702 40.741484)
Father's Heart Church,543-545 East 11th Street,New York,NY,10009,07/24/2008,2019-5737,08/07/2019,07/31/2020,Active,Renew,1,40.728014,-73.980741,3,2,34,1005186,1004050041,East Village,POINT (-73.980741 40.728014)
The Church Of The Redeemer,30-14 Crescent Street,Astoria,NY,11102,09/07/2010,2019-5775,09/03/2019,09/30/2020,Active,Renew,4,40.768251,-73.925266,1,22,73,4006779,4005720044,Old Astoria,POINT (-73.925266 40.768251)
Wakefield Seventh Day Adventist Church,729 Cranford Ave,Bronx,NY,10470,11/27/2011,2019-5621,06/13/2019,06/30/2020,Active,Renew,2,40.903345,-73.849136,12,11,442,2071832,2051120010,Woodlawn-Wakefield,POINT (-73.849136 40.903345)
Yeshivat Magen Abraham Inc.,723 Avenue Z,Brooklyn,NY,11223,05/29/2013,2019-5692,07/26/2019,06/30/2020,Active,Renew,3,40.58655,-73.967352,13,47,37401,3195856,3072180077,Gravesend,POINT (-73.967352 40.58655)
Korean Methodist Church and Institute,633 West 115th Street,New York,NY,10025,08/10/2012,2019-5852,10/15/2019,09/30/2020,Active,Renew,1,40.807695,-73.965225,9,7,205,1057375,1018960052,Morningside Heights,POINT (-73.965225 40.807695)
Russian Orthodox Church of the Holy Myrrhbearing W,2527 Cropsey Ave,Brooklyn,NY,11214,03/29/2018,2019-5818,09/23/2019,10/31/2020,Active,Renew,3,40.591588,-73.992493,11,43,304,3187064,3069080009,Bensonhurst East,POINT (-73.992493 40.591588)
Highbridge Community Church Inc,1272 Ogden Avenue,Bronx,NY,10452,07/27/2016,2019-5707,08/01/2019,08/31/2020,Active,Renew,2,40.839419,-73.925667,4,16,211,2092387,2025180014,Highbridge,POINT (-73.925667 40.839419)
St. Luke F. B. H. Church,19 Brooklyn Ave,Brooklyn,NY,11216,09/21/2017,2019-5614,06/12/2019,06/30/2020,Active,Renew,3,40.679449,-73.944027,3,36,271,3053788,3018630001,Crown Heights North,POINT (-73.944027 40.679449)
St. Brigid Church,409 Linden Street,Brooklyn,NY,11237,05/23/2008,2019-5877,11/01/2019,09/30/2020,Active,Renew,3,40.700984,-73.911947,4,37,441,3076202,3033290025,Bushwick North,POINT (-73.911947 40.700984)
Chosen People Ministries,1974 Coney Island Avenue,Brooklyn,NY,11223,03/26/2015,2019-5626,06/21/2019,06/30/2020,Active,Renew,3,40.609078,-73.962213,15,44,420,3176332,3066420024,Homecrest,POINT (-73.962213 40.609078)
St. Nicholas Cathedral,15 E 97th St.,New York,NY,10029,04/20/2018,2019-5504,04/10/2019,04/30/2020,Active,Renew,1,40.788187,-73.954322,11,4,16002,1081331,1016030011,East Harlem South,POINT (-73.954322 40.788187)
Church of The Virgin Mary,216 8th Avenue,Brooklyn,NY,11215,05/02/2008,2019-5918,11/12/2019,11/30/2020,Active,Renew,3,40.670068,-73.975631,6,39,155,3025205,3010760046,Park Slope-Gowanus,POINT (-73.975631 40.670068)
Foundation For Sephadic Studies,730 Avenue S,Brooklyn,NY,11223,10/30/2013,2019-5895,11/06/2019,11/30/2020,Active,Renew,3,40.602667,-73.964593,15,47,416,3253949,3070890011,Homecrest,POINT (-73.964593 40.602667)
Ambassador Pentecostal Church In Christ,"937 East 169th Street, PO Box 161",Bronx,NY,10459,12/13/2010,2019-5758,08/30/2019,07/31/2020,Active,Renew,2,40.827191,-73.893591,3,17,125,2005712,2027190074,Morrisania-Melrose,POINT (-73.893591 40.827191)
Bedford Central Presbyterian Church,1200 Dean Street,Brooklyn,NY,11216,04/28/2008,2019-5884,11/06/2019,11/30/2020,Active,Renew,3,40.676836,-73.949271,8,36,315,3030357,3012130005,Crown Heights North,POINT (-73.949271 40.676836)
Congregation Ohr Moshe,170-16 73rd Avenue,Fresh Meadows,NY,11366,05/05/2008,2019-5892,11/06/2019,11/30/2020,Active,Renew,4,40.728634,-73.799312,8,24,1241,4151025,4069780024,Pomonok-Flushing Heights-Hillcrest,POINT (-73.799312 40.728634)
St. James Episcopal Church,8407 Broadway,Elmhurst,NY,11373,06/17/2014,2019-5665,07/09/2019,07/31/2020,Active,Renew,4,40.739836,-73.878368,4,25,471,4039452,4015820001,Elmhurst,POINT (-73.878368 40.739836)
Church of Grace to Fujianese,133-135 Allen Street,New York,NY,10002,10/27/2011,2019-5803,09/23/2019,10/31/2020,Active,Renew,1,40.720006,-73.989971,3,1,18,1005489,1004150027,Chinatown,POINT (-73.989971 40.720006)
Iglesia Pentecostal Cristo Restaura Inc,3409 Fulton Street,Brooklyn,NY,11208,08/22/2017,2019-5859,10/16/2019,10/31/2020,Active,Renew,3,40.684327,-73.869848,5,37,1184,3092436,3041330057,Cypress Hills-City Line,POINT (-73.869848 40.684327)
St Matthias RC Church,58-15 Catalpa Avenue,Ridgewood,NY,11385,07/28/2017,2019-5716,08/01/2019,08/31/2020,Active,Renew,4,40.701737,-73.902465,5,34,551,4445472,4034730061,Ridgewood,POINT (-73.902465 40.701737)
Franklin Avenue Baptist Church Inc,1281 Franklin Avenue,Bronx,NY,10456,10/06/2014,2019-5836,10/02/2019,10/31/2020,Active,Renew,2,40.831409,-73.902249,3,16,149,2004254,2026120043,Morrisania-Melrose,POINT (-73.902249 40.831409)
"Iglesia Pentecostal Del Senor, Inc.",78-15 78th Street,Glendale,NY,11385,10/12/2016,2019-5868,10/25/2019,10/31/2020,Active,Renew,4,40.704144,-73.872233,5,30,63302,4437923,4038270074,Glendale,POINT (-73.872233 40.704144)
Church Of Abiding Presence,1672 East 172nd Street,Bronx,NY,10472,07/22/2014,2019-5682,07/18/2019,07/31/2020,Active,Renew,2,40.832099,-73.872606,9,18,64,2025420,2037800029,West Farms-Bronx River,POINT (-73.872606 40.832099)
Bethelite Community Baptist Church,38 West 123rd Street,New York,NY,10027,06/24/2013,2019-5744,08/27/2019,07/31/2020,Active,Renew,1,40.80603,-73.945434,10,9,200,1053413,1017210031,Central Harlem South,POINT (-73.945434 40.80603)
Congregation Rodeph Sholom,7 West 83rd Street,New York,NY,10024,05/06/2008,2019-5473,04/02/2019,04/30/2020,Active,Renew,1,40.78351,-73.971141,7,6,169,1031230,1011970020,Upper West Side,POINT (-73.971141 40.78351)
Christian Ministry of Family Integration Inc.,1875 Amsterdam ave.,New York,NY,10031,05/23/2016,2019-5687,07/23/2019,07/31/2020,Active,Renew,1,40.830106,-73.94403,9,7,23501,1061642,1020670063,Hamilton Heights,POINT (-73.94403 40.830106)
Fountain Spring Baptist Church,2011 Grand Concourse,Bronx,NY,10453,05/14/2010,2019-5764,09/03/2019,09/30/2020,Active,Renew,2,40.851442,-73.904414,5,14,23501,2007697,2028080094,Mount Hope,POINT (-73.904414 40.851442)
Congregation Lev Bais Yaakov,3574 Nostrand Avenue,Brooklyn,NY,11229,02/28/2014,2019-5481,04/03/2019,04/30/2020,Active,Renew,3,40.59691,-73.941219,15,48,59402,3201581,3073860131,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.941219 40.59691)
Day Spring Baptist Church,1788 Amsterdam Avenue,New York,NY,10031,05/02/2017,2019-5616,06/12/2019,06/30/2020,Active,Renew,1,40.827469,-73.945984,9,7,233,1062035,1020800032,Hamilton Heights,POINT (-73.945984 40.827469)
The First Chinese Baptist Church,21 Pell Street,New York,NY,10013,05/07/2008,2019-5496,04/05/2019,04/30/2020,Active,Renew,1,40.714843,-73.998175,3,1,29,1001699,1001620024,Chinatown,POINT (-73.998175 40.714843)
The Church of Gethsemane,1012 8th Avenue,Brooklyn,NY,11215,06/07/2016,2019-5669,07/09/2019,07/31/2020,Active,Renew,3,40.665018,-73.979847,6,39,151,3412951,3010940041,Park Slope-Gowanus,POINT (-73.979847 40.665018)
All Nations Apostolic Tabernacle,89-28 Parsons Boulevard,Jamaica,NY,11432,05/15/2019,2019-5578,05/20/2019,05/31/2020,Active,New,4,40.705439,-73.801477,12,24,240,4208832,4097550042,Jamaica,POINT (-73.801477 40.705439)
Young Israel Synagogue of Manhattan,317 Henry Street,New York,NY,10002,05/30/2008,2019-5508,04/10/2019,04/30/2020,Active,Renew,1,40.714123,-73.982206,3,1,202,1079626,1002880028,Lower East Side,POINT (-73.982206 40.714123)
"Mt. Zion Church of God (7th Day), Inc",203 East 37 Street,Brooklyn,NY,11203,05/23/2008,2019-5629,06/25/2019,06/30/2020,Active,Renew,3,40.652199,-73.942929,17,41,816,3108829,3048740054,East Flatbush-Farragut,POINT (-73.942929 40.652199)
Mt. Olivet Baptist Church,201 Lenox Avenue,New York,NY,10027,06/29/2010,2019-5604,06/10/2019,06/30/2020,Active,Renew,1,40.804686,-73.947751,10,9,220,1057632,1019050029,Central Harlem South,POINT (-73.947751 40.804686)
St. Ephrem Roman Catholic Church,929 Bay Ridge Parkway,Brooklyn,NY,11228,08/26/2014,2019-5835,10/02/2019,10/31/2020,Active,Renew,3,40.625283,-74.015652,10,43,206,3148497,3059340070,Dyker Heights,POINT (-74.015652 40.625283)
Brooklyn Baptist Church,733 44th Street,Brooklyn,NY,11220,03/19/2013,2019-5479,04/03/2019,04/30/2020,Active,Renew,3,40.645258,-74.001485,7,38,92,3011043,3007320065,Sunset Park East,POINT (-74.001485 40.645258)
New Frontier Baptist Church,2132 Dean Street,Brooklyn,NY,11233,05/19/2008,2019-5474,04/03/2019,04/30/2020,Active,Renew,3,40.675094,-73.917382,16,41,303,3330719,3014460034,Ocean Hill,POINT (-73.917382 40.675094)
The Islamic Center of Queens New York,57 -16  37th Avenue,Woodside,NY,11377,06/18/2014,2019-5607,06/10/2019,06/30/2020,Active,Renew,,,,,,,,,,
Prince of Peace Universal Tabernacle Church Inc.,555-557 West 182nd Street,New York,NY,10033,04/02/2012,2019-5488,04/04/2019,04/30/2020,Active,Renew,1,40.849502,-73.932354,12,10,269,1063665,1021540058,Washington Heights North,POINT (-73.932354 40.849502)
The Brooklyn Tabernacle,17 Smith Street,Brooklyn,NY,11201,06/04/2014,2019-5719,08/01/2019,08/31/2020,Active,Renew,3,40.690979,-73.987599,2,33,37,3335898,3001550005,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.987599 40.690979)
