HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
Durga Shiva Mandir Inc,1120 Beach Ave,Bronx,NY,10472,06/17/2014,2019-5704,08/01/2019,08/31/2020,Active,Renew,2,40.828427,-73.865552,9,18,70,2092826,2037540016,Soundview-Bruckner,POINT (-73.865552 40.828427)
Nour Foundation Inc,322 West 108th Street,New York,NY,10025,05/20/2008,2019-5863,10/21/2019,10/31/2020,Active,Renew,1,40.803145,-73.968131,7,6,195,1057288,1018920059,Morningside Heights,POINT (-73.968131 40.803145)
Redeemer Assembly of God,315 8th Street,Brooklyn,NY,11215,09/21/2017,2019-5830,10/01/2019,09/30/2020,Active,Renew,3,40.669243,-73.984658,6,39,137,3021923,3009990059,Park Slope-Gowanus,POINT (-73.984658 40.669243)
Alpha Omega Christian Church,1829 Bathgate Avenue,Bronx,NY,10457,04/25/2008,2019-5793,09/16/2019,09/30/2020,Active,Renew,2,40.844929,-73.898116,6,15,395,2009571,2029170037,Claremont-Bathgate,POINT (-73.898116 40.844929)
Church of God of Prophecy All Nations,856 Clarkson Avenue,Brooklyn,NY,11203,05/01/2008,2019-5762,09/03/2019,09/30/2020,Active,Renew,3,40.656687,-73.929695,17,41,868,3100851,3046380002,Rugby-Remsen Village,POINT (-73.929695 40.656687)
Second St Paul Church of Christ Disciples of Chris,1048 Sutter Ave,Brooklyn,NY,11208,04/27/2019,2019-5688,07/23/2019,07/31/2020,Active,Renew,3,40.671608,-73.880036,5,42,1164,3089852,3040530020,East New York,POINT (-73.880036 40.671608)
St. Paul's Church Of The Nazarene,304 Monroe Street,Brooklyn,NY,11216,05/28/2008,2019-5717,08/01/2019,08/31/2020,Active,Renew,3,40.685926,-73.946553,3,36,265,3051456,3018190012,Bedford,POINT (-73.946553 40.685926)
Gethsemane Baptist Church,771 Fairmount Place,Bronx,NY,10460,10/16/2019,2019-5925,11/19/2019,11/30/2020,Active,New,2,40.842956,-73.889532,6,17,36502,2115661,2029550001,East Tremont,POINT (-73.889532 40.842956)
Grace Church of God,35 Blake Avenue,Brooklyn,NY,11212,04/14/2009,2019-5866,10/25/2019,10/31/2020,Active,Renew,3,40.664108,-73.919983,16,41,900,3081206,3035330010,Brownsville,POINT (-73.919983 40.664108)
Eglise Baptiste De La Communion Fraternelle Inc.,2549 Church Avenue,Brooklyn,NY,11226,05/06/2008,2019-5928,11/22/2019,09/30/2020,Active,Replace,3,40.650647,-73.953313,17,40,822,3116923,3050900061,Prospect Lefferts Gardens-Wingate,POINT (-73.953313 40.650647)
