the_geom,GRIDS_INDE,TILE_NAME,DELIVERY_A,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-97.65579703744069 30.47048625323043, -97.65617897026243 30.456742151395247, -97.67204378516516 30.45707200360409, -97.67166411394408 30.470816152529355, -97.65579703744069 30.47048625323043)))",230,135145,3,24999998.425,19999.99937
"MULTIPOLYGON (((-97.63993006886663 30.47015439350434, -97.64031426324257 30.456410339039206, -97.65617897026243 30.456742151395247, -97.65579703744069 30.47048625323043, -97.63993006886663 30.47015439350434)))",231,140145,3,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.62406321094858 30.4698205734149, -97.62444966683168 30.456076566599776, -97.64031426324257 30.456410339039206, -97.63993006886663 30.47015439350434, -97.62406321094858 30.4698205734149)))",232,145145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-97.60819646224883 30.469484792938697, -97.60858517959208 30.455740834053557, -97.62444966683168 30.456076566599776, -97.62406321094858 30.4698205734149, -97.60819646224883 30.469484792938697)))",233,150145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.59232982549395 30.469147052140357, -97.59272080424981 30.455403141465144, -97.60858517959208 30.455740834053557, -97.60819646224883 30.469484792938697, -97.59232982549395 30.469147052140357)))",234,155145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-97.57646329924627 30.468807350996155, -97.57685653936714 30.455063488810854, -97.59272080424981 30.455403141465144, -97.59232982549395 30.469147052140357, -97.57646329924627 30.468807350996155)))",235,160145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.56059688623226 30.46846568957144, -97.56099238767003 30.454721876156, -97.57685653936714 30.455063488810854, -97.57646329924627 30.468807350996155, -97.56059688623226 30.46846568957144)))",236,165145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-97.54473058501422 30.468122067842263, -97.54512834772075 30.454378303476652, -97.56099238767003 30.454721876156, -97.56059688623226 30.46846568957144, -97.54473058501422 30.468122067842263)))",237,170145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.5288643983185 30.467776485874722, -97.52926442224513 30.454032770838875, -97.54512834772075 30.454378303476652, -97.54473058501422 30.468122067842263, -97.5288643983185 30.467776485874722)))",238,175145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-97.51299832470741 30.467428943644563, -97.51340060980547 30.45368527821846, -97.52926442224513 30.454032770838875, -97.5288643983185 30.467776485874722, -97.51299832470741 30.467428943644563)))",239,180145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.49713236690722 30.46707944121867, -97.49753691312749 30.453335825682256, -97.51340060980547 30.45368527821846, -97.51299832470741 30.467428943644563, -97.49713236690722 30.46707944121867)))",240,185145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-97.48126652348017 30.4667279785725, -97.48167333077345 30.452984413205773, -97.49753691312749 30.453335825682256, -97.49713236690722 30.46707944121867, -97.48126652348017 30.4667279785725)))",241,190145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.4654007971525 30.466374555773633, -97.465809865469 30.452631040856534, -97.48167333077345 30.452984413205773, -97.48126652348017 30.4667279785725, -97.4654007971525 30.466374555773633)))",242,195145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-97.4654007971525 30.466374555773633, -97.44953518648641 30.466019172797356, -97.44994651577636 30.45227570860981, -97.465809865469 30.452631040856534, -97.4654007971525 30.466374555773633)))",243,200145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.44953518648641 30.466019172797356, -97.43366969420804 30.46566182971195, -97.4340832844211 30.451918416533964, -97.44994651577636 30.45227570860981, -97.44953518648641 30.466019172797356)))",244,205145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-97.43366969420804 30.46566182971195, -97.41780431887955 30.46530252649244, -97.41822016996542 30.451559164603925, -97.4340832844211 30.451918416533964, -97.43366969420804 30.46566182971195)))",245,210145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-98.11661646212326 30.451766622390757, -98.11630022373693 30.46551197624048, -98.10043261958356 30.465237015272496, -98.1007511201191 30.451491700678275, -98.11661646212326 30.451766622390757)))",246,995140,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-98.0845651073468 30.464960093677952, -98.08488586999255 30.45121481861927, -98.1007511201191 30.451491700678275, -98.10043261958356 30.465237015272496, -98.0845651073468 30.464960093677952)))",247,000140,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-98.06869768558919 30.464681211437444, -98.0690207103061 30.450935976194298, -98.08488586999255 30.45121481861927, -98.0845651073468 30.464960093677952, -98.06869768558919 30.464681211437444)))",248,005140,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-98.05283035703796 30.4644003686046, -98.05315564378651 30.450655173457026, -98.0690207103061 30.450935976194298, -98.06869768558919 30.464681211437444, -98.05283035703796 30.4644003686046)))",249,010140,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-98.03696312025562 30.464117565159725, -98.03729066899626 30.450372410387704, -98.05315564378651 30.450655173457026, -98.05283035703796 30.4644003686046, -98.03696312025562 30.464117565159725)))",250,015140,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-98.02109597796938 30.46383280115723, -98.02142578866196 30.450087687040764, -98.03729066899626 30.450372410387704, -98.03696312025562 30.464117565159725, -98.02109597796938 30.46383280115723)))",251,020140,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-98.00522892874167 30.46354607657716, -98.0055610013461 30.44980100339625, -98.02142578866196 30.450087687040764, -98.02109597796938 30.46383280115723, -98.00522892874167 30.46354607657716)))",252,025140,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.98936197529966 30.463257391474617, -97.98969630977527 30.449512359509306, -98.0055610013461 30.44980100339625, -98.00522892874167 30.46354607657716, -97.98936197529966 30.463257391474617)))",253,030140,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.97349511620575 30.462966745829394, -97.97383171251188 30.449221755359673, -97.98969630977527 30.449512359509306, -97.98936197529966 30.463257391474617, -97.97349511620575 30.462966745829394)))",254,035140,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.95762835418705 30.462674139697402, -97.95796721228248 30.448929191003277, -97.97383171251188 30.449221755359673, -97.97349511620575 30.462966745829394, -97.95762835418705 30.462674139697402)))",255,040140,9,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.94176168780594 30.462379573058108, -97.94210280764946 30.448634666419565, -97.95796721228248 30.448929191003277, -97.95762835418705 30.462674139697402, -97.94176168780594 30.462379573058108)))",256,045140,9,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.92589511978942 30.462083045968193, -97.92623850133927 30.448338181665235, -97.94210280764946 30.448634666419565, -97.94176168780594 30.462379573058108, -97.92589511978942 30.462083045968193)))",257,050140,9,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.91002864869988 30.461784558406798, -97.91037429191431 30.448039736719494, -97.92623850133927 30.448338181665235, -97.92589511978942 30.462083045968193, -97.91002864869988 30.461784558406798)))",258,055140,9,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.89416227726426 30.461484110431403, -97.89451018210093 30.44773933163972, -97.91037429191431 30.448039736719494, -97.91002864869988 30.461784558406798, -97.89416227726426 30.461484110431403)))",259,060140,9,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.8782960040449 30.461181702020934, -97.87864617046151 30.44743696640486, -97.89451018210093 30.44773933163972, -97.89416227726426 30.461484110431403, -97.8782960040449 30.461181702020934)))",260,065140,9,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.86242983176867 30.460877333233565, -97.86278225972235 30.44713264107308, -97.87864617046151 30.44743696640486, -97.8782960040449 30.461181702020934, -97.86242983176867 30.460877333233565)))",261,070140,9,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.8465637589979 30.46057100404791, -97.8469184484458 30.446826355623077, -97.86278225972235 30.44713264107308, -97.86242983176867 30.460877333233565, -97.8465637589979 30.46057100404791)))",262,075140,9,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.83069778845939 30.46026271452291, -97.83105473935808 30.446518110113725, -97.8469184484458 30.446826355623077, -97.8465637589979 30.46057100404791, -97.83069778845939 30.46026271452291)))",263,080140,9,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.81483191871544 30.459952464636977, -97.8151911310215 30.446207904523416, -97.83105473935808 30.446518110113725, -97.83069778845939 30.46026271452291, -97.81483191871544 30.459952464636977)))",264,085140,9,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.79896615249275 30.45964025444978, -97.79932762616222 30.445895738911833, -97.8151911310215 30.446207904523416, -97.81483191871544 30.459952464636977, -97.79896615249275 30.45964025444978)))",265,090140,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.78310048939466 30.459326083960057, -97.78346422438342 30.445581613277767, -97.79932762616222 30.445895738911833, -97.79896615249275 30.45964025444978, -97.78310048939466 30.459326083960057)))",266,095140,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.7672349290247 30.45900995316627, -97.76760092528853 30.445265527619586, -97.78346422438342 30.445581613277767, -97.78310048939466 30.459326083960057, -97.7672349290247 30.45900995316627)))",267,100140,4,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.75136947410923 30.458691862129168, -97.75173773160333 30.444947481998145, -97.76760092528853 30.445265527619586, -97.7672349290247 30.45900995316627, -97.75136947410923 30.458691862129168)))",268,105140,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.81555024086767 30.432463347028367, -97.81590924834484 30.418718791138673, -97.83176833579921 30.41902890812211, -97.83141158844123 30.432773508317837, -97.81555024086767 30.432463347028367)))",358,085130,9,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.79968899672744 30.43215122599764, -97.80005026427988 30.41840671469407, -97.81590924834484 30.418718791138673, -97.81555024086767 30.432463347028367, -97.79968899672744 30.43215122599764)))",359,090130,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.78382785562361 30.43183714522447, -97.78419138320727 30.41809267878706, -97.80005026427988 30.41840671469407, -97.79968899672744 30.43215122599764, -97.78382785562361 30.43183714522447)))",360,095130,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.76796681715948 30.431521104707254, -97.76833260473016 30.417776683416086, -97.78419138320727 30.41809267878706, -97.78382785562361 30.43183714522447, -97.76796681715948 30.431521104707254)))",361,100130,4,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.75210588406026 30.431203104506768, -97.75247393157323 30.417458728641897, -97.76833260473016 30.417776683416086, -97.76796681715948 30.431521104707254, -97.75210588406026 30.431203104506768)))",362,105130,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.73624505488847 30.430883144600717, -97.73661536229902 30.417138814442215, -97.75247393157323 30.417458728641897, -97.75210588406026 30.431203104506768, -97.73624505488847 30.430883144600717)))",363,110130,4,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.72038433236929 30.430561225050674, -97.72075689963208 30.4168169408786, -97.73661536229902 30.417138814442215, -97.73624505488847 30.430883144600717, -97.72038433236929 30.430561225050674)))",364,115130,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.70452371506516 30.43023734583406, -97.70489854213493 30.416493107928485, -97.72075689963208 30.4168169408786, -97.72038433236929 30.430561225050674, -97.70452371506516 30.43023734583406)))",365,120130,4,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.6886632057012 30.429911507013166, -97.68904029253208 30.416167315654146, -97.70489854213493 30.416493107928485, -97.70452371506516 30.43023734583406, -97.6886632057012 30.429911507013166)))",366,125130,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.67280280283985 30.429583708565147, -97.67318214938602 30.415839564032773, -97.68904029253208 30.416167315654146, -97.6886632057012 30.429911507013166, -97.67280280283985 30.429583708565147)))",367,130130,3,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.65694250920613 30.4292539505531, -97.65732411542119 30.4155098531274, -97.67318214938602 30.415839564032773, -97.67280280283985 30.429583708565147, -97.65694250920613 30.4292539505531)))",368,135130,3,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.64108232336244 30.428922232953862, -97.64146618920002 30.415178182914925, -97.65732411542119 30.4155098531274, -97.65694250920613 30.4292539505531, -97.64108232336244 30.428922232953862)))",369,140130,3,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.62522224803372 30.428588555831283, -97.62560837344685 30.41484455345914, -97.64146618920002 30.415178182914925, -97.64108232336244 30.428922232953862, -97.62522224803372 30.428588555831283)))",370,145130,3,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.60936228178237 30.428252919161928, -97.60975066672414 30.414508964736676, -97.62560837344685 30.41484455345914, -97.62522224803372 30.428588555831283, -97.60936228178237 30.428252919161928)))",371,150130,3,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.59350242733325 30.427915323010392, -97.59389307175614 30.414171416812078, -97.60975066672414 30.414508964736676, -97.60936228178237 30.428252919161928, -97.59350242733325 30.427915323010392)))",372,155130,3,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.57764268324871 30.427575767353005, -97.57803558710526 30.413831909661674, -97.59389307175614 30.414171416812078, -97.59350242733325 30.427915323010392, -97.57764268324871 30.427575767353005)))",373,160130,3,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.56178305225353 30.427234252255076, -97.56217821549569 30.413490443350796, -97.57803558710526 30.413831909661674, -97.57764268324871 30.427575767353005, -97.56178305225353 30.427234252255076)))",374,165130,3,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.54592353291007 30.426890777692684, -97.54632095548979 30.413147017855536, -97.56217821549569 30.413490443350796, -97.56178305225353 30.427234252255076, -97.54592353291007 30.426890777692684)))",375,170130,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.53006412794298 30.4265453437319, -97.53046380981169 30.412801633241905, -97.54632095548979 30.413147017855536, -97.54592353291007 30.426890777692684, -97.53006412794298 30.4265453437319)))",376,175130,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.5142048359146 30.426197950348467, -97.51460677702373 30.412454289485712, -97.53046380981169 30.412801633241905, -97.53006412794298 30.4265453437319, -97.5142048359146 30.426197950348467)))",377,180130,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.49834565954953 30.42584859760925, -97.49874985984991 30.412104986653798, -97.51460677702373 30.412454289485712, -97.5142048359146 30.426197950348467, -97.49834565954953 30.42584859760925)))",378,185130,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.48248659741006 30.42549728548975, -97.48289305685257 30.411753724721635, -97.49874985984991 30.412104986653798, -97.49834565954953 30.42584859760925, -97.48248659741006 30.42549728548975)))",379,190130,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.4666276522207 30.425144014057565, -97.46703637075564 30.411400503756838, -97.48289305685257 30.411753724721635, -97.48248659741006 30.42549728548975, -97.4666276522207 30.425144014057565)))",380,195130,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.45076882254372 30.424788783287912, -97.45117980012142 30.41104532373465, -97.46703637075564 30.411400503756838, -97.4666276522207 30.425144014057565, -97.45076882254372 30.424788783287912)))",381,200130,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.43491011110356 30.42443159324912, -97.43532334767376 30.41068818472337, -97.45117980012142 30.41104532373465, -97.45076882254372 30.424788783287912, -97.43491011110356 30.42443159324912)))",382,205130,0,25000000.0654,20000.0000262
