the_geom,Object ID,GIS_ID,CORRIDOR_TYPE,STREET_NAME,Shape__Length
"MULTILINESTRING ((-97.784920930985 30.174161536715, -97.785284298439 30.17295588915))",74,145,Future Core Transit Corridor,S CONGRESS AVE,453.269907222728
"MULTILINESTRING ((-97.732183688028 30.316704235842, -97.731743739922 30.317368457744))",241,312,Core Transit Corridor,N LAMAR BLVD,278.614565099636
"MULTILINESTRING ((-97.7513438455 30.418354205598, -97.751807314334 30.418822839063))",292,13,Future Core Transit Corridor,JOLLYVILLE RD,224.474957290882
"MULTILINESTRING ((-97.739748347838 30.32808463556, -97.739795598676 30.328921699072))",491,559,Core Transit Corridor,BURNET RD,304.795081622115
"MULTILINESTRING ((-97.709502814688 30.260132019699, -97.705732520419 30.258448429229, -97.705683495331 30.258425613108, -97.704398089705 30.257827086346))",164,235,Future Core Transit Corridor,E 7TH ST,1816.68666502205
"MULTILINESTRING ((-97.763695251884 30.263801654331, -97.763802373904 30.263786173702, -97.764166775992 30.264096677233))",537,605,Core Transit Corridor,BARTON SPRINGS RD,195.490154837582
"MULTILINESTRING ((-97.684260818658 30.386061532723, -97.682910495574 30.389367118762))",4,75,Future Core Transit Corridor,N LAMAR BLVD,1275.36380778163
"MULTILINESTRING ((-97.732965735624 30.264183073614, -97.731945231434 30.263840568098))",401,401,Core Transit Corridor,E 5TH ST,345.418513191767
"MULTILINESTRING ((-97.715276091659 30.280759545666, -97.714296133713 30.280962301168))",586,442,Core Transit Corridor,E MARTIN LUTHER KING BLVD,317.98946871789
"MULTILINESTRING ((-97.76854274158 30.227960586103, -97.76887883417 30.227469507363))",673,673,Core Transit Corridor,S 1ST ST,207.762039054456
"MULTILINESTRING ((-97.740072547374 30.332478008058, -97.739829437051 30.334857647854))",249,320,Core Transit Corridor,BURNET RD,868.838923486417
"MULTILINESTRING ((-97.720761010372 30.284019846289, -97.720402321179 30.284087096111))",285,6,Future Core Transit Corridor,MANOR RD,115.827356633978
"MULTILINESTRING ((-97.746882875957 30.257148869229, -97.747376613565 30.255866177229, -97.748660710015 30.252278147999))",504,572,Core Transit Corridor,S CONGRESS AVE,1858.32168972028
"MULTILINESTRING ((-97.7150956484 30.25799939366, -97.713742463908 30.257545427308))",110,181,Core Transit Corridor,E 5TH ST,458.023829273882
"MULTILINESTRING ((-97.751766437883 30.262045271205, -97.752153169402 30.262285630876, -97.75271939751 30.262619348733, -97.75323552158 30.262920453347, -97.753716645663 30.263170300318, -97.754169514489 30.263387975851, -97.754421140165 30.263506794161))",723,723,Core Transit Corridor,W RIVERSIDE DR,993.414924050062
"MULTILINESTRING ((-97.710777285293 30.299392313864, -97.71082161585 30.299528044529, -97.712484681873 30.300356118481, -97.712603080591 30.3003018818))",131,202,Future Core Transit Corridor,AIRPORT BLVD,698.666448513788
"MULTILINESTRING ((-97.742490119156 30.294668313681, -97.742824536764 30.295434168496))",399,399,Core Transit Corridor,GUADALUPE ST,297.858858708806
"MULTILINESTRING ((-97.730051207669 30.244104115142, -97.729454664453 30.243309682389, -97.729315098031 30.243234401684))",568,636,Core Transit Corridor,E RIVERSIDE DR,396.792239519817
"MULTILINESTRING ((-97.715347392263 30.312073885323, -97.715257030138 30.313067672945))",257,328,Core Transit Corridor,AIRPORT BLVD,362.55232287271
"MULTILINESTRING ((-97.746655614407 30.299514012039, -97.746236522107 30.300248778951))",391,391,Core Transit Corridor,N LAMAR BLVD,298.165441677726
"MULTILINESTRING ((-97.681320218437 30.304589236706, -97.680077895723 30.306483296704))",342,63,Future Core Transit Corridor,MANOR RD,792.593540219415
"MULTILINESTRING ((-97.708042012641 30.310721056745, -97.707012912215 30.311424836656))",324,45,Core Transit Corridor,CAMERON RD,413.478422892515
"MULTILINESTRING ((-97.747679405071 30.265292196113, -97.747312070891 30.266230899301))",182,253,Core Transit Corridor,GUADALUPE ST,360.555032481082
"MULTILINESTRING ((-97.703153374848 30.256998432932, -97.701680907592 30.256041322805))",166,237,Future Core Transit Corridor,E 7TH ST,580.773375596075
"MULTILINESTRING ((-97.717951442929 30.259006595388, -97.7150956484 30.25799939366))",99,170,Core Transit Corridor,E 5TH ST,973.203599941649
"MULTILINESTRING ((-97.69673328136 30.319929760874, -97.695865780134 30.320786536912))",51,122,Core Transit Corridor,CAMERON RD,414.744459242178
"MULTILINESTRING ((-97.82483933923 30.173665625824, -97.825551463432 30.173628725863, -97.825900560693 30.173638947213, -97.826140752907 30.173657127979, -97.826376703674 30.173688729331, -97.826542774034 30.1737223446, -97.826750880317 30.173780380214, -97.826935788742 30.173834606457, -97.827104844754 30.173901997293, -97.827153089452 30.173987265328))",76,147,Future Core Transit Corridor,W SLAUGHTER LN,765.383981331418
"MULTILINESTRING ((-97.749599868423 30.249827291915, -97.749715952407 30.249524978196, -97.749944644156 30.248929385004))",708,708,Core Transit Corridor,S CONGRESS AVE,344.227521744693
"MULTILINESTRING ((-97.726544811911 30.263073473462, -97.72448215922 30.262371406854))",412,412,Core Transit Corridor,E 6TH ST,699.463312051681
"MULTILINESTRING ((-97.7294002951 30.321093655979, -97.72882808121 30.322015999386))",231,302,Core Transit Corridor,N LAMAR BLVD,380.945129669744
"MULTILINESTRING ((-97.676191358119 30.308059485196, -97.673976275558 30.307996084062))",335,56,Future Core Transit Corridor,MANOR RD,699.368965599409
"MULTILINESTRING ((-97.742824536764 30.295434168496, -97.742107917959 30.296508820481))",106,177,Core Transit Corridor,GUADALUPE ST,451.558687980193
"MULTILINESTRING ((-97.794651740345 30.235348156247, -97.795501629396 30.234916395752))",724,724,Core Transit Corridor,S LAMAR BLVD SVRD SB,310.95351273905
"MULTILINESTRING ((-97.860276748753 30.196452264363, -97.860397234038 30.196472715339, -97.862792576008 30.198624884417, -97.862783357845 30.198736477134))",197,268,Future Core Transit Corridor,W SLAUGHTER LN,1168.19324106103
"MULTILINESTRING ((-97.748008217642 30.264371967132, -97.747679405071 30.265292196113))",400,400,Core Transit Corridor,GUADALUPE ST,350.406926451164
"MULTILINESTRING ((-97.740776352673 30.316699715962, -97.739919681939 30.318024559299))",242,313,Core Transit Corridor,BURNET RD,552.471500990277
"MULTILINESTRING ((-97.717640774269 30.335330380026, -97.717618610707 30.33541342953, -97.71871953038 30.337553226269, -97.718777464852 30.337603418723, -97.718879400681 30.337635228735))",219,290,Core Transit Corridor,AIRPORT BLVD,943.20787446594
"MULTILINESTRING ((-97.827153089452 30.173987265328, -97.827308186388 30.173993657451, -97.828096599511 30.17458793874, -97.828107671042 30.174682242883))",73,144,Future Core Transit Corridor,W SLAUGHTER LN,413.363765459545
"MULTILINESTRING ((-97.784650656065 30.241898925226, -97.785368505474 30.241404398047))",648,648,Core Transit Corridor,S LAMAR BLVD,289.363661261926
"MULTILINESTRING ((-97.76513732378 30.251212340953, -97.765925452214 30.250493801597, -97.767330147512 30.249535320416, -97.76743300609 30.249465129717))",709,709,Core Transit Corridor,S LAMAR BLVD,966.287173641657
"MULTILINESTRING ((-97.711946568566 30.310480710725, -97.711312415625 30.310162421884))",326,47,Future Core Transit Corridor,E 51ST ST,231.177535715681
"MULTILINESTRING ((-97.75853331584 30.260867768844, -97.758758434244 30.260954060765, -97.759002878376 30.261068902556, -97.759140027408 30.261152325373))",544,612,Core Transit Corridor,BARTON SPRINGS RD,218.316055179207
"MULTILINESTRING ((-97.804156222018 30.17408645155, -97.804253481768 30.174010759838, -97.804987792808 30.17401319242, -97.805085320357 30.174086928227))",65,136,Future Core Transit Corridor,W SLAUGHTER LN,314.154256407862
"MULTILINESTRING ((-97.739361614713 30.322510095489, -97.739466384877 30.323683866115))",499,567,Core Transit Corridor,BURNET RD,428.164843847728
"MULTILINESTRING ((-97.764852129594 30.233827323766, -97.765018466365 30.23357773916))",660,660,Core Transit Corridor,S 1ST ST,104.875279385546
"MULTILINESTRING ((-97.709160831053 30.350815645645, -97.707276564711 30.352116507256))",32,103,Future Core Transit Corridor,N LAMAR BLVD,759.643456240106
"MULTILINESTRING ((-97.759362050994 30.258613087606, -97.759631536318 30.258071185766, -97.760158413489 30.257589459739))",554,622,Core Transit Corridor,S LAMAR BLVD,456.255984497991
"MULTILINESTRING ((-97.719562752671 30.336706912591, -97.719546522154 30.336809775321, -97.719108598894 30.337528347071, -97.719011026575 30.337595254822, -97.718879400681 30.337635228735))",216,287,Core Transit Corridor,N LAMAR BLVD,416.594229440879
"MULTILINESTRING ((-97.75252928664 30.270967575872, -97.75294803624 30.271138857228))",631,487,Core Transit Corridor,W 6TH ST,146.132951854832
"MULTILINESTRING ((-97.862783357845 30.198736477134, -97.862939151011 30.198750677134, -97.863794829513 30.199519158405, -97.864160195744 30.199818227725, -97.864374636154 30.199949864258, -97.864640325449 30.200115409438, -97.865023713726 30.200307893145, -97.865351940014 30.200448597923, -97.86546020298 30.200572163104))",246,317,Future Core Transit Corridor,W SLAUGHTER LN,1095.16136746936
