the_geom,Object ID,GIS_ID,CORRIDOR_TYPE,STREET_NAME,Shape__Length
"MULTILINESTRING ((-97.708023682713 30.286040394959, -97.707793793348 30.286074190419))",191,262,Future Core Transit Corridor,MANOR RD,73.5937554163995
"MULTILINESTRING ((-97.732646037035 30.311367116588, -97.732519330156 30.313029143887))",379,379,Core Transit Corridor,W GUADALUPE ST,605.781457933711
"MULTILINESTRING ((-97.707793793348 30.286074190419, -97.706816019519 30.286246487901, -97.706369050179 30.286298577156))",151,222,Future Core Transit Corridor,MANOR RD,457.25560863603
"MULTILINESTRING ((-97.68433381509 30.301791154924, -97.683038124896 30.302977289545))",121,192,Future Core Transit Corridor,MANOR RD,594.376555243184
"MULTILINESTRING ((-97.713703889348 30.316919460937, -97.712799429271 30.318753870649))",240,311,Core Transit Corridor,AIRPORT BLVD,725.628617420323
"MULTILINESTRING ((-97.74072548404 30.308917943616, -97.740046674822 30.309954104651))",266,337,Core Transit Corridor,N LAMAR BLVD,433.463504089433
"MULTILINESTRING ((-97.754895356439 30.237210955726, -97.756372366539 30.23551347275))",654,654,Core Transit Corridor,S CONGRESS AVE,773.749406000033
"MULTILINESTRING ((-97.759347738348 30.231073765296, -97.759810847423 30.230334982508))",667,667,Core Transit Corridor,S CONGRESS AVE,305.915142612644
"MULTILINESTRING ((-97.795501629396 30.234916395752, -97.796005562555 30.234596946885))",725,725,Core Transit Corridor,S LAMAR BLVD SVRD SB,197.037710284238
"MULTILINESTRING ((-97.743748967394 30.282242941001, -97.744195108059 30.282386722121))",575,431,Core Transit Corridor,W MARTIN LUTHER KING BLVD,150.216520108728
"MULTILINESTRING ((-97.752621633507 30.308101863583, -97.754298468422 30.308487655866))",270,341,Core Transit Corridor,W 35TH ST,547.424876597172
"MULTILINESTRING ((-97.701136623466 30.224017344832, -97.701083036797 30.223922043945, -97.699832632766 30.223370222757, -97.699714842837 30.223389005781))",742,742,Core Transit Corridor,E RIVERSIDE DR,519.385500126702
"MULTILINESTRING ((-97.759405835323 30.273608778585, -97.760218982864 30.273891892306))",519,587,Core Transit Corridor,W 6TH ST,276.568432016615
"MULTILINESTRING ((-97.706369050179 30.286298577156, -97.706336844931 30.286428091738, -97.706530727789 30.286841705469, -97.706628763572 30.287048534647, -97.706813582628 30.287551927284, -97.706936038373 30.287590438836))",150,221,Future Core Transit Corridor,AIRPORT BLVD,525.179484253757
"MULTILINESTRING ((-97.763134263087 30.224278673432, -97.763605665701 30.223415098747))",679,679,Core Transit Corridor,S CONGRESS AVE,347.57646095109
"MULTILINESTRING ((-97.756259479274 30.266518681693, -97.756257286822 30.266532003941, -97.756223653073 30.266737932371, -97.755837252846 30.267657875457))",533,601,Core Transit Corridor,N LAMAR BLVD,436.654836464257
"MULTILINESTRING ((-97.704206265437 30.286657980194, -97.702604675205 30.286933154135))",147,218,Future Core Transit Corridor,MANOR RD,515.318278286119
"MULTILINESTRING ((-97.725666160897 30.2376859111, -97.725712316171 30.237591908925, -97.725579576841 30.237240737219, -97.725488058879 30.237002894259, -97.725222744274 30.236413072062, -97.724815953961 30.23556241191, -97.724451077494 30.234941543766, -97.724011405577 30.234333012637, -97.723822263422 30.234065125782))",457,525,Core Transit Corridor,E RIVERSIDE DR,1457.12040318934
"MULTILINESTRING ((-97.828107671042 30.174682242883, -97.828246028985 30.174698179426, -97.828817393648 30.175102153064, -97.829324447308 30.175369085239, -97.82938440044 30.175471687571))",64,135,Future Core Transit Corridor,W SLAUGHTER LN,506.067768545642
"MULTILINESTRING ((-97.690783437542 30.374135603045, -97.690149595515 30.375272206199))",14,85,Future Core Transit Corridor,N LAMAR BLVD,459.155860477094
"MULTILINESTRING ((-97.83525822428 30.176633391835, -97.836132747142 30.176875976014, -97.836287712875 30.176950093364, -97.836912213159 30.17733922542))",281,2,Future Core Transit Corridor,W SLAUGHTER LN,588.814221453246
"MULTILINESTRING ((-97.743873554158 30.253557828851, -97.743713151895 30.253383130256, -97.743484954898 30.253178925997, -97.743233273369 30.253006947336, -97.742522364274 30.252531203196, -97.742100202818 30.252251095776, -97.741888655573 30.2521290198, -97.741665456207 30.252019771831, -97.741520558819 30.251941591599, -97.741376189562 30.251843784244, -97.741291284687 30.251776607906, -97.741188274195 30.25168290992, -97.741096742718 30.251582898541, -97.741009155855 30.251476420431, -97.740925655983 30.251356933802, -97.740781910124 30.251095520532, -97.740698970056 30.250956407434, -97.740611646652 30.250840115999, -97.740513164878 30.250717053086))",548,616,Core Transit Corridor,E RIVERSIDE DR,1505.37566001038
"MULTILINESTRING ((-97.712712585394 30.300479512141, -97.712755557641 30.30049615026, -97.71283382662 30.30041752263))",128,199,Future Core Transit Corridor,AIRPORT BLVD,52.6368852513432
"MULTILINESTRING ((-97.751919985097 30.243531796681, -97.752179581471 30.242915452132))",451,519,Core Transit Corridor,S CONGRESS AVE,238.676834273842
"MULTILINESTRING ((-97.730949549025 30.263517809975, -97.729903725953 30.263174772767))",407,407,Core Transit Corridor,E 5TH ST,352.956109829767
"MULTILINESTRING ((-97.71296095766 30.320950646126, -97.712960319933 30.321053524451, -97.713216235332 30.321301832715))",500,568,Core Transit Corridor,AIRPORT BLVD,158.557217158283
"MULTILINESTRING ((-97.704075959763 30.354529017434, -97.702943728359 30.355344665299))",27,98,Future Core Transit Corridor,N LAMAR BLVD,464.246698946691
"MULTILINESTRING ((-97.830906529667 30.175990093211, -97.83117412126 30.176108084789, -97.831837868317 30.176343526016, -97.831897960073 30.176437247407))",62,133,Future Core Transit Corridor,W SLAUGHTER LN,360.383568441745
"MULTILINESTRING ((-97.741161172811 30.291990107486, -97.741163924008 30.292182687064))",559,627,Core Transit Corridor,GUADALUPE ST,70.0444885446982
"MULTILINESTRING ((-97.739791836613 30.303585380366, -97.741438789859 30.304430046147))",365,365,Core Transit Corridor,W 38TH ST,603.730635838062
"MULTILINESTRING ((-97.749113021015 30.251121131004, -97.749520902029 30.24999621968))",509,577,Core Transit Corridor,S CONGRESS AVE,428.910990369247
"MULTILINESTRING ((-97.730297832888 30.319610600043, -97.7294002951 30.321093655979))",234,305,Core Transit Corridor,N LAMAR BLVD,609.193718742893
"MULTILINESTRING ((-97.772824370307 30.247651296324, -97.774236570352 30.247409516602))",464,532,Core Transit Corridor,S LAMAR BLVD,454.498856351486
"MULTILINESTRING ((-97.841018286822 30.179275222773, -97.841161796236 30.179279555976, -97.841776480153 30.179578044258, -97.841857008618 30.179687449183))",57,128,Future Core Transit Corridor,W SLAUGHTER LN,315.109928565739
"MULTILINESTRING ((-97.73467371106 30.266826429798, -97.73437577548 30.266746457946, -97.734202003774 30.266699807412, -97.733866384929 30.266576713964))",474,542,Core Transit Corridor,E 7TH ST,270.895513545083
"MULTILINESTRING ((-97.858586482796 30.193127626193, -97.858704355826 30.193168297948, -97.859188057426 30.194262486046, -97.859558910626 30.195192969529, -97.859724555243 30.195557911314, -97.859894537331 30.195889521246, -97.859981985695 30.196028008644, -97.860093927213 30.196166968195, -97.860276467765 30.196354404722, -97.860276748753 30.196452264363))",194,265,Future Core Transit Corridor,W SLAUGHTER LN,1343.16894899313
"MULTILINESTRING ((-97.747582137529 30.410027391841, -97.747718959256 30.410707892294, -97.747896545766 30.411364047467, -97.747927003734 30.411683674917, -97.74792338608 30.412026819456, -97.747874398943 30.412398010713, -97.747675954982 30.41335110968, -97.747646919685 30.413601879599, -97.747699319614 30.414383569919, -97.747915680265 30.415042513962, -97.748327910648 30.415675150332))",295,16,Future Core Transit Corridor,JOLLYVILLE RD,2115.71448462898
"MULTILINESTRING ((-97.765320590909 30.233124382923, -97.76574170677 30.232414991738))",662,662,Core Transit Corridor,S 1ST ST,290.258363508407
"MULTILINESTRING ((-97.735716196669 30.279981851849, -97.734517931685 30.279644017632))",609,465,Core Transit Corridor,E MARTIN LUTHER KING BLVD,397.689410689401
"MULTILINESTRING ((-97.754631076172 30.308585108464, -97.754811049553 30.308590269146, -97.754950986157 30.308594294006))",701,701,Core Transit Corridor,W 35TH ST,101.00507657068
"MULTILINESTRING ((-97.766885672892 30.218210515044, -97.76731348075 30.217484752422))",684,684,Core Transit Corridor,S CONGRESS AVE,296.53007153061
"MULTILINESTRING ((-97.754640109858 30.250654934155, -97.754719436063 30.250484085049, -97.754860272082 30.250180806998, -97.754914177262 30.250030624008))",706,706,Core Transit Corridor,S 1ST ST,243.130938365028
"MULTILINESTRING ((-97.741998425234 30.280637108641, -97.741635171615 30.281655641186))",593,449,Core Transit Corridor,GUADALUPE ST,387.769116919249
"MULTILINESTRING ((-97.739191575679 30.319283241288, -97.739131050674 30.319647813644, -97.739232296946 30.319861640031))",236,307,Core Transit Corridor,BURNET RD,218.030909016383
"MULTILINESTRING ((-97.768781216994 30.21516263227, -97.77149061756 30.210915370512))",686,686,Core Transit Corridor,S CONGRESS AVE,1765.92623076229
"MULTILINESTRING ((-97.682910495574 30.389367118762, -97.682216503567 30.390953509299))",3,74,Future Core Transit Corridor,N LAMAR BLVD,617.048733133598
"MULTILINESTRING ((-97.753526659646 30.238764836308, -97.754721054347 30.237408826063, -97.754895356439 30.237210955726))",710,710,Core Transit Corridor,S CONGRESS AVE,711.467449783345
"MULTILINESTRING ((-97.761167767131 30.239680340706, -97.762109715677 30.238208575686))",650,650,Core Transit Corridor,S 1ST ST,612.363405979761
"MULTILINESTRING ((-97.73651941203 30.314951460897, -97.736484052295 30.315054461075, -97.736363442864 30.315168275071, -97.736164056539 30.315316247522, -97.735985637754 30.315435408512, -97.735752854166 30.315571015604, -97.735445520358 30.315722630574, -97.735193811574 30.315811068349, -97.734323938037 30.316082855738, -97.733902409539 30.316220462893, -97.733494535751 30.31635251465, -97.733181706704 30.316457256921, -97.732923119617 30.316551382674, -97.732718361742 30.316646626991, -97.732395979865 30.316856401584, -97.732189991553 30.316998404059, -97.731997155213 30.317152334113, -97.731743739922 30.317368457744))",719,719,Core Transit Corridor,N LAMAR BLVD,1778.63935328611
"MULTILINESTRING ((-97.743056800934 30.305202597356, -97.744155356974 30.305725355428))",359,359,Core Transit Corridor,W 38TH ST,395.379507247475
"MULTILINESTRING ((-97.756120077702 30.264221576891, -97.756224970449 30.264193570257, -97.75660736608 30.264308661919, -97.756990343351 30.264412624748, -97.757113139792 30.264530607604))",535,603,Core Transit Corridor,W RIVERSIDE DR,346.928316203299
"MULTILINESTRING ((-97.734357970094 30.308654232899, -97.733672841591 30.309729480011))",267,338,Core Transit Corridor,GUADALUPE ST,446.838736969426
"MULTILINESTRING ((-97.762594872185 30.254252716382, -97.763152392535 30.253392048413, -97.763553996393 30.252943550353, -97.764153630879 30.252345004621))",502,570,Core Transit Corridor,S LAMAR BLVD,854.220875815916
"MULTILINESTRING ((-97.763325931447 30.273712214061, -97.764848000016 30.274862117096))",518,586,Core Transit Corridor,W 5TH ST,636.984413276008
"MULTILINESTRING ((-97.688294547309 30.378487678285, -97.68769136833 30.379545140862))",48,119,Future Core Transit Corridor,N LAMAR BLVD,429.047658112899
"MULTILINESTRING ((-97.750973900651 30.246098041242, -97.751311265629 30.245150475247))",447,515,Core Transit Corridor,S CONGRESS AVE,360.70959596246
"MULTILINESTRING ((-97.744718156114 30.302705839287, -97.744225187637 30.303476981509))",373,373,Core Transit Corridor,N LAMAR BLVD,320.713359618311
"MULTILINESTRING ((-97.74701513936 30.292928388156, -97.747058401628 30.292985120651, -97.747053372713 30.293067556402, -97.747055428387 30.293164685381, -97.747080232847 30.293305866461, -97.747122188866 30.293420824169, -97.747190113334 30.293542495024, -97.747408399823 30.293875592883, -97.747402480204 30.293939199551))",598,454,Core Transit Corridor,N LAMAR BLVD,397.631492139965
"MULTILINESTRING ((-97.700301914817 30.288195039859, -97.698549716828 30.289092477369))",142,213,Future Core Transit Corridor,MANOR RD,642.163773608624
"MULTILINESTRING ((-97.728494401142 30.278573837523, -97.725145238728 30.279109802482))",615,471,Core Transit Corridor,E MARTIN LUTHER KING BLVD,1074.99732972846
"MULTILINESTRING ((-97.746985847474 30.299056417268, -97.746655614407 30.299514012039))",105,176,Core Transit Corridor,N LAMAR BLVD,196.360911378219
"MULTILINESTRING ((-97.739620380809 30.325857010665, -97.739632550231 30.32596452043, -97.739753150918 30.327905959183))",494,562,Core Transit Corridor,BURNET RD,746.391436052963
"MULTILINESTRING ((-97.823734537482 30.173741991007, -97.823869340584 30.173688747676, -97.82483933923 30.173665625824))",75,146,Future Core Transit Corridor,W SLAUGHTER LN,353.425282249593
"MULTILINESTRING ((-97.739256300385 30.338484773629, -97.739180149065 30.338722513464))",215,286,Core Transit Corridor,BURNET RD,89.7383295495176
"MULTILINESTRING ((-97.727980377594 30.262475593527, -97.726972773554 30.262155311903))",413,413,Core Transit Corridor,E 5TH ST,338.764809140566
"MULTILINESTRING ((-97.763841245982 30.235512249627, -97.763958336796 30.235278070184))",656,656,Core Transit Corridor,S 1ST ST,92.8494585178369
"MULTILINESTRING ((-97.680077895723 30.306483296704, -97.679512120957 30.307403965092, -97.678440034771 30.307918089965))",340,61,Future Core Transit Corridor,MANOR RD,766.002875963488
"MULTILINESTRING ((-97.672776875671 30.422729364223, -97.672038030378 30.424256415852, -97.671869314982 30.424533458574))",287,8,Future Core Transit Corridor,N LAMAR BLVD,716.143352052512
"MULTILINESTRING ((-97.76251281943 30.225386407047, -97.763134263087 30.224278673432))",678,678,Core Transit Corridor,S CONGRESS AVE,448.139143053781
"MULTILINESTRING ((-97.701270515286 30.356575510915, -97.700395039473 30.357278139457, -97.700115258321 30.357651947931))",24,95,Future Core Transit Corridor,N LAMAR BLVD,538.300382168793
"MULTILINESTRING ((-97.715988528805 30.303629607193, -97.715923597515 30.304854943013))",364,364,Core Transit Corridor,AIRPORT BLVD,446.111864661986
"MULTILINESTRING ((-97.710953851259 30.228531176851, -97.710920104705 30.228443079364, -97.709914033114 30.227926312753, -97.709146622373 30.227537753492, -97.709033222533 30.227552262343))",732,732,Core Transit Corridor,E RIVERSIDE DR,719.682169265671
"MULTILINESTRING ((-97.68182748742 30.304123914662, -97.681320218437 30.304589236706))",118,189,Future Core Transit Corridor,MANOR RD,232.948489626297
"MULTILINESTRING ((-97.744225187637 30.303476981509, -97.743753417901 30.304224429765))",368,368,Core Transit Corridor,N LAMAR BLVD,309.936711057766
"MULTILINESTRING ((-97.73524901983 30.301342605592, -97.736319053477 30.301862103954))",382,382,Core Transit Corridor,W 38TH ST,386.943397784996
"MULTILINESTRING ((-97.760158413489 30.257589459739, -97.760920260148 30.25693917839, -97.761262019713 30.256478483994, -97.761498186836 30.256056923982))",597,453,Core Transit Corridor,S LAMAR BLVD,707.10275146666
"MULTILINESTRING ((-97.714639289056 30.25893893959, -97.712728204601 30.258261780249))",98,169,Core Transit Corridor,E 6TH ST,651.694103147253
"MULTILINESTRING ((-97.775232172622 30.247270157471, -97.775827303057 30.247197550066, -97.776218095747 30.247140967077, -97.776590577362 30.247075985779, -97.777190743017 30.246929131118))",467,535,Core Transit Corridor,S LAMAR BLVD,631.71794402055
"MULTILINESTRING ((-97.754750749921 30.270355134652, -97.756044359022 30.270859635818))",532,600,Core Transit Corridor,W 5TH ST,447.694082609687
"MULTILINESTRING ((-97.692808580891 30.219780356697, -97.692752540151 30.219674412492, -97.690880057086 30.218629350529, -97.690816750299 30.218584203696, -97.69072382051 30.218507063712, -97.690631248446 30.218390271042, -97.69049648259 30.218290017475))",741,741,Core Transit Corridor,E RIVERSIDE DR,919.515930667548
"MULTILINESTRING ((-97.769954983509 30.248418156614, -97.770764799924 30.248217055257))",461,529,Core Transit Corridor,S LAMAR BLVD,265.957064052475
"MULTILINESTRING ((-97.753222706433 30.253294025638, -97.754020528834 30.2519983751, -97.754288630702 30.251508711978))",505,573,Core Transit Corridor,S 1ST ST,731.502639729852
"MULTILINESTRING ((-97.720218855576 30.279999568467, -97.720005490544 30.280008969221))",596,452,Core Transit Corridor,E MARTIN LUTHER KING BLVD,67.4354825745795
"MULTILINESTRING ((-97.744899686298 30.272774756099, -97.744589375147 30.273711854605))",627,483,Core Transit Corridor,GUADALUPE ST,354.611063266473
"MULTILINESTRING ((-97.738114959256 30.280693287648, -97.736781891139 30.280300487458))",604,460,Core Transit Corridor,E MARTIN LUTHER KING BLVD,444.370489620396
"MULTILINESTRING ((-97.743566894969 30.304479028428, -97.743056800934 30.305202597356))",360,360,Core Transit Corridor,N LAMAR BLVD,308.482329126449
"MULTILINESTRING ((-97.739902259496 30.299918647263, -97.739656240453 30.300345474086))",389,389,Core Transit Corridor,GUADALUPE ST,173.565499215398
"MULTILINESTRING ((-97.712448773511 30.319615159167, -97.712455364395 30.319687656065, -97.712457374491 30.319771225897, -97.712460618928 30.319856031014, -97.712551151025 30.319915914625))",233,304,Core Transit Corridor,AIRPORT BLVD,123.628093381251
"MULTILINESTRING ((-97.754609208895 30.270295794358, -97.753971460515 30.271543602144))",634,490,Core Transit Corridor,N LAMAR BLVD,496.466926806187
"MULTILINESTRING ((-97.725121821069 30.263586333859, -97.72414259157 30.26324185449))",406,406,Core Transit Corridor,E 7TH ST,333.568646320571
"MULTILINESTRING ((-97.776758253769 30.198142622982, -97.777130452153 30.197031752373))",172,243,Future Core Transit Corridor,S CONGRESS AVE,420.777743682686
"MULTILINESTRING ((-97.679173885237 30.401790420598, -97.679088349107 30.40282280023, -97.6789791289 30.403447631939))",300,21,Future Core Transit Corridor,N LAMAR BLVD,606.267596979375
"MULTILINESTRING ((-97.755303728521 30.422410828428, -97.756363612872 30.423482750725, -97.756854998637 30.424155451327))",2,73,Future Core Transit Corridor,JOLLYVILLE RD,802.947166585375
"MULTILINESTRING ((-97.760838706236 30.272728237265, -97.761417275094 30.272962491469))",525,593,Core Transit Corridor,W 5TH ST,201.53248779406
"MULTILINESTRING ((-97.711640722091 30.260624093218, -97.710597598462 30.260418469413))",89,160,Core Transit Corridor,E 7TH ST,337.712928607621
"MULTILINESTRING ((-97.68977016488 30.300302671563, -97.689407534445 30.299684608062))",130,201,Core Transit Corridor,E 51ST ST,252.238046792988
"MULTILINESTRING ((-97.744195108059 30.282386722121, -97.744840346439 30.282551026273))",574,430,Core Transit Corridor,W MARTIN LUTHER KING BLVD,212.249830164593
"MULTILINESTRING ((-97.737925456219 30.267705065489, -97.736824470979 30.267407724492))",439,507,Core Transit Corridor,E 7TH ST,364.005487496635
"MULTILINESTRING ((-97.757557853925 30.272919816123, -97.757943726138 30.273065088583))",523,591,Core Transit Corridor,W 6TH ST,132.774282865486
"MULTILINESTRING ((-97.694594333298 30.367365596723, -97.693017016044 30.370179786016))",18,89,Future Core Transit Corridor,N LAMAR BLVD,1137.96037982556
"MULTILINESTRING ((-97.764736412824 30.430331196545, -97.766311262975 30.431380333714))",346,67,Future Core Transit Corridor,JOLLYVILLE RD,626.039259739046
"MULTILINESTRING ((-97.741163924008 30.292182687064, -97.741778639452 30.293309009562))",558,626,Core Transit Corridor,GUADALUPE ST,453.25212913025
"MULTILINESTRING ((-97.757749949034 30.262935868205, -97.757860407054 30.262898676257, -97.758107260707 30.262254587099, -97.75804878879 30.262143535919))",539,607,Core Transit Corridor,S LAMAR BLVD,328.68332537403
"MULTILINESTRING ((-97.6782288402 30.407856618126, -97.678075307671 30.408844465009, -97.677987418402 30.409299212392, -97.677952725928 30.409726924104, -97.677911292713 30.410450053474, -97.677800225917 30.412340497363, -97.677769465528 30.412775138479, -97.677736923904 30.413176545815, -97.677626783935 30.413607124038, -97.67748234557 30.414146815874, -97.677338320272 30.41449412575, -97.676840528116 30.415480373892, -97.672994077967 30.422298258421, -97.672776875671 30.422729364223))",46,117,Future Core Transit Corridor,N LAMAR BLVD,5761.39995067299
"MULTILINESTRING ((-97.702856888933 30.314774837103, -97.702151387732 30.315274678271))",315,36,Core Transit Corridor,CAMERON RD,287.405633215138
"MULTILINESTRING ((-97.751807314334 30.418822839063, -97.753350901772 30.420553600315))",291,12,Future Core Transit Corridor,JOLLYVILLE RD,795.565884473718
"MULTILINESTRING ((-97.751608849414 30.307806434745, -97.752621633507 30.308101863583))",273,344,Core Transit Corridor,W 35TH ST,337.170629590285
"MULTILINESTRING ((-97.754950986157 30.308594294006, -97.755514444727 30.30868263583))",516,584,Core Transit Corridor,W 35TH ST,180.68269573625
"MULTILINESTRING ((-97.67203092865 30.308219748021, -97.670773225082 30.30853742899))",333,54,Future Core Transit Corridor,MANOR RD,413.353257684094
"MULTILINESTRING ((-97.691668946696 30.327099796275, -97.69169243256 30.327197341028, -97.691370779832 30.327693070201, -97.691237901868 30.327775318426))",37,108,Future Core Transit Corridor,CAMERON RD,294.630301828149
"MULTILINESTRING ((-97.714296133713 30.280962301168, -97.713378856553 30.281103071673))",583,439,Core Transit Corridor,E MARTIN LUTHER KING BLVD,294.027371138493
"MULTILINESTRING ((-97.831897960073 30.176437247407, -97.831998933973 30.176375056608, -97.833900842495 30.176514514462, -97.833997307587 30.176582514313))",303,24,Future Core Transit Corridor,W SLAUGHTER LN,681.481588499339
"MULTILINESTRING ((-97.702604675205 30.286933154135, -97.702052742958 30.287067593327, -97.701309312788 30.287541892949))",146,217,Future Core Transit Corridor,MANOR RD,472.165500161179
"MULTILINESTRING ((-97.746236522107 30.300248778951, -97.745737452526 30.301094694978))",388,388,Core Transit Corridor,N LAMAR BLVD,345.621589526384
"MULTILINESTRING ((-97.704398089705 30.257827086346, -97.703153374848 30.256998432932))",165,236,Future Core Transit Corridor,E 7TH ST,495.241546657323
"MULTILINESTRING ((-97.73090489748 30.356159533559, -97.731019826916 30.35628422948, -97.735399917057 30.358306232409, -97.735545730636 30.35831141391))",205,276,Core Transit Corridor,W ANDERSON LN,1669.08981893777
"MULTILINESTRING ((-97.749711240177 30.394194425133, -97.74971105308 30.394612228204, -97.749717324875 30.39478903651, -97.749738125907 30.394937479794, -97.749815272056 30.395244625297, -97.749878392198 30.395458388798, -97.749978082224 30.395633530994, -97.750059666911 30.396881084861, -97.749928328068 30.398052841636, -97.749622805182 30.398946055899, -97.748992274615 30.400430184156, -97.74886994249 30.400703085449))",83,154,Future Core Transit Corridor,JOLLYVILLE RD,2439.38450489761
"MULTILINESTRING ((-97.737650677801 30.303498032314, -97.737305607324 30.304071368821))",367,367,Core Transit Corridor,GUADALUPE ST,235.238295257111
"MULTILINESTRING ((-97.717206868471 30.261444683417, -97.715211798655 30.261141051129))",721,721,Core Transit Corridor,E 7TH ST,639.47346332437
"MULTILINESTRING ((-97.715923597515 30.304854943013, -97.715719317131 30.307653393578))",356,356,Core Transit Corridor,AIRPORT BLVD,1019.80477074026
"MULTILINESTRING ((-97.751405498514 30.276902252227, -97.75117209333 30.277365106815))",622,478,Core Transit Corridor,N LAMAR BLVD,183.752657091213
"MULTILINESTRING ((-97.730340339731 30.265430678624, -97.730077004425 30.265326316195))",178,249,Core Transit Corridor,E 7TH ST,91.3890944811267
"MULTILINESTRING ((-97.739795598676 30.328921699072, -97.739897728461 30.330076162729))",489,557,Core Transit Corridor,BURNET RD,421.099561342977
"MULTILINESTRING ((-97.741778639452 30.293309009562, -97.742293518351 30.294317795377))",557,625,Core Transit Corridor,GUADALUPE ST,401.26044476755
"MULTILINESTRING ((-97.738271694381 30.359757814507, -97.738337139912 30.359846792678, -97.739379555786 30.360404859284, -97.740678145594 30.361031630182, -97.740849041688 30.361025348393))",203,274,Core Transit Corridor,W ANDERSON LN,947.417590875807
"MULTILINESTRING ((-97.747312070891 30.266230899301, -97.746969547246 30.267189355693))",485,553,Core Transit Corridor,GUADALUPE ST,364.967428340809
"MULTILINESTRING ((-97.732360640373 30.315019079201, -97.732332582379 30.315370802952, -97.73228894499 30.315846581865, -97.732257011887 30.316269159524, -97.732230119192 30.316504703705, -97.732183688028 30.316704235842))",245,316,Core Transit Corridor,W GUADALUPE ST,615.9386235608
"MULTILINESTRING ((-97.779953026494 30.18984651992, -97.780213639046 30.189059629622))",176,247,Future Core Transit Corridor,S CONGRESS AVE,297.795375593164
"MULTILINESTRING ((-97.731945231434 30.263840568098, -97.730949549025 30.263517809975))",404,404,Core Transit Corridor,E 5TH ST,335.542900140705
"MULTILINESTRING ((-97.715845385838 30.303093112861, -97.715988528805 30.303629607193))",366,366,Core Transit Corridor,AIRPORT BLVD,200.277780336657
"MULTILINESTRING ((-97.719113322839 30.284284081998, -97.718433151048 30.284415973973))",161,232,Future Core Transit Corridor,MANOR RD,219.980309615095
"MULTILINESTRING ((-97.755396432714 30.272103505535, -97.756411851547 30.272481253806, -97.757129893624 30.272754691248))",526,594,Core Transit Corridor,W 6TH ST,596.266629982813
"MULTILINESTRING ((-97.759810847423 30.230334982508, -97.760215358212 30.229655528943))",668,668,Core Transit Corridor,S CONGRESS AVE,278.179680350629
"MULTILINESTRING ((-97.71419345956 30.285096746232, -97.713064050877 30.285257932944))",157,228,Future Core Transit Corridor,MANOR RD,361.267136369043
"MULTILINESTRING ((-97.752707075268 30.240811130793, -97.75286523412 30.239833191632))",455,523,Core Transit Corridor,S CONGRESS AVE,359.156606447859
"MULTILINESTRING ((-97.689407534445 30.299684608062, -97.688507774753 30.298917941349, -97.687066645863 30.298186849135))",137,208,Core Transit Corridor,E 51ST ST,924.788781827449
"MULTILINESTRING ((-97.745934089258 30.282889402653, -97.746742635022 30.283109250601))",424,424,Core Transit Corridor,W MARTIN LUTHER KING BLVD,267.441768840825
"MULTILINESTRING ((-97.75571264967 30.260349437064, -97.756791067585 30.260541648926, -97.757096390957 30.260616546794, -97.757839799343 30.260731605414))",546,614,Core Transit Corridor,BARTON SPRINGS RD,686.149364025819
"MULTILINESTRING ((-97.704279011555 30.313657105002, -97.703569875085 30.314203636216))",317,38,Core Transit Corridor,CAMERON RD,299.294498459443
"MULTILINESTRING ((-97.738669862182 30.342015366911, -97.738367816952 30.343813488692))",212,283,Core Transit Corridor,BURNET RD,660.860026670308
"MULTILINESTRING ((-97.756646926991 30.355114498, -97.756697164923 30.355205774148, -97.760956259644 30.357133619287, -97.76106485404 30.357135852417))",44,115,Future Core Transit Corridor,FAR WEST BLVD,1586.3357713863
"MULTILINESTRING ((-97.762109715677 30.238208575686, -97.763035733426 30.236739234232))",652,652,Core Transit Corridor,S 1ST ST,609.164430240734
"MULTILINESTRING ((-97.734470143565 30.264675655304, -97.734001932428 30.264531390808))",185,256,Core Transit Corridor,E 5TH ST,156.850245004619
"MULTILINESTRING ((-97.693639250795 30.323935139264, -97.693639814822 30.324095306051, -97.693199863532 30.324783330631, -97.693064447087 30.32485546259))",40,111,Future Core Transit Corridor,CAMERON RD,394.534731904426
"MULTILINESTRING ((-97.748433286405 30.258643339604, -97.749283281787 30.259763370637))",101,172,Core Transit Corridor,W RIVERSIDE DR,487.79690364496
"MULTILINESTRING ((-97.687066645863 30.298186849135, -97.685915931968 30.300157111524))",132,203,Future Core Transit Corridor,MANOR RD,803.331191114495
"MULTILINESTRING ((-97.76600570063 30.232015986099, -97.766809432513 30.230733941935))",666,666,Core Transit Corridor,S 1ST ST,530.879572694443
"MULTILINESTRING ((-97.765530141676 30.220358845594, -97.766885672892 30.218210515044))",683,683,Core Transit Corridor,S CONGRESS AVE,890.943857980696
"MULTILINESTRING ((-97.749624007205 30.351916298607, -97.74973050167 30.351995508826, -97.750307739012 30.352142343895, -97.750545202841 30.352227684261, -97.750730926588 30.352310112576, -97.750929313656 30.352404016263, -97.751067175309 30.352418041794))",31,102,Future Core Transit Corridor,FAR WEST BLVD,495.939759940433
"MULTILINESTRING ((-97.750074926319 30.258387664625, -97.750940716037 30.25693368927, -97.752367033598 30.254657649847))",115,186,Core Transit Corridor,S 1ST ST,1537.61001283981
"MULTILINESTRING ((-97.782367839784 30.243657691598, -97.783983442671 30.242454963064))",647,647,Core Transit Corridor,S LAMAR BLVD,672.012694597441
