ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Fuel Type,Tested Configuration,Griddle Plate Type Description,Width (ft.),Depth (ft.),Cooking Surface (sq. ft.),Cooking Energy Efficiency (%),Production Capacity (lbs/hr),Energy Use (Normalized Idle Energy) (Btu/h/sq. ft.),Energy Use (Normalized Idle Energy) (Watts/sq. ft.),Top Platen Type,Date Available on Market,Date Qualified,Markets,CB Model Identifier
1728318,"Accutemp Products, Inc.",AccuTemp,Accu-Steam,PGF*****36,"Accu-Steam,PGF*****48,",Single-Sided,Gas,Single-Sided,"Flat, stainless steel",3,2.4,7.1,0.47,51,2562,,,04/01/2002,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | PGF*****36_06042012212748_5268775
1855223,MagiKitch'n Inc.,Magikitch'n,MKE48 (Chrome Top),MKE48 (Chrome Top),,Single-Sided,Electric,Single-Sided,Chrome Top/flat finish,3,2,6,79.58,42,,244,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKE48 (Chrome Top)_07312012040618_7578130
1855224,MagiKitch'n Inc.,Magikitch'n,MKE60 (Chrome Top),MKE60 (Chrome Top),,Single-Sided,Electric,Single-Sided,Chrome Top/flat finish,3,2,6,79.58,42,,244,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKE60 (Chrome Top)_07312012040702_7622687
1855225,MagiKitch'n Inc.,Magikitch'n,MKE72 (Chrome Top),MKE72 (Chrome Top),,Single-Sided,Electric,Single-Sided,Chrome Top/flat finish,3,2,6,79.58,42,,244,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKE72 (Chrome Top)_07312012040744_7664275
2123225,MagiKitch'n Inc.,Magikitch'n,MKH60 (Chrome Top),MKH60 (Chrome Top),,Single-Sided,Gas,Single-Sided,Chrome Top/flat finish,3,2,6,45.1,45,1879,,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKH60 (Chrome Top)_11132012155606_2166782
2123226,MagiKitch'n Inc.,Magikitch'n,MKH72 (Chrome Top),MKH72 (Chrome Top),,Single-Sided,Gas,Single-Sided,Chrome Top/flat finish,3,2,6,45.1,45,1879,,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKH72 (Chrome Top)_11132012155815_2295731
2123227,MagiKitch'n Inc.,Magikitch'n,MKH60 (Plain Top),MKH60 (Plain Top),,Single-Sided,Gas,Single-Sided,Plain Top/flat finish,3,2,6,45.1,45,2153,,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKH60 (Plain Top)_11132012155716_2236897
2123228,MagiKitch'n Inc.,Magikitch'n,MKH72 (Plain Top),MKH72 (Plain Top),,Single-Sided,Gas,Single-Sided,Plain Top/flat finish,3,2,6,45.1,45,2153,,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKH72 (Plain Top)_11132012155853_2333345
2123229,MagiKitch'n Inc.,Magikitch'n,MKH48 (Plain Top),MKH48 (Plain Top),,Single-Sided,Gas,Single-Sided,Plain Top/flat finish,3,2,6,45.1,45,2153,,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKH48 (Plain Top)_11132012155525_2125935
2123230,MagiKitch'n Inc.,Magikitch'n,MKH48 (Chrome Top),MKH48 (Chrome Top),,Single-Sided,Gas,Single-Sided,Chrome Top/flat finish,3,2,6,45.1,45,1879,,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKH48 (Chrome Top)_11132012155329_2009083
2187664,Imperial Commercial Cooking Equipment,Imperial,No name found,ITG-36-E,",ITG-48-E, ITG-60-E, ITG-72-E,",Single-Sided,Electric,Single-Sided,stainless steel/chrome,3,2.5,3,0.77,30,,210,,01/01/2007,10/26/2012,United States,ES_1084100_ITG-36-E_08092013131939_4745984
2187665,Imperial Commercial Cooking Equipment,Imperial,No name found,ITG-48-E,",ITG-48-E, ITG-60-E, ITG-72-E,",Single-Sided,Electric,Single-Sided,stainless steel/chrome,4,2.5,4,0.77,30,,210,,01/01/2007,10/26/2012,United States,ES_1084100_ITG-48-E_08092013131939_4745984
2187666,Imperial Commercial Cooking Equipment,Imperial,No name found,ITG-60-E,",ITG-48-E, ITG-60-E, ITG-72-E,",Single-Sided,Electric,Single-Sided,stainless steel/chrome,5,2.5,5,0.77,30,,210,,01/01/2007,10/26/2012,United States,ES_1084100_ITG-60-E_08092013131939_4745984
2187667,Imperial Commercial Cooking Equipment,Imperial,No name found,ITG-72-E,",ITG-48-E, ITG-60-E, ITG-72-E,",Single-Sided,Electric,Single-Sided,stainless steel/chrome,6,2.5,6,0.77,30,,210,,01/01/2007,10/26/2012,United States,ES_1084100_ITG-72-E_08092013131939_4745984
2210186,Taylor Company,Taylor Company,Electric Griddle,L812-23,",L812-28,",Single-Sided,Electric,Double-Sided,Steel T-1,3,2,6,71,42,,,,11/14/2013,05/02/2014,"United States, Canada",ES_1084409_L812-23_05082014143530_1000092
2210188,Taylor Company,Taylor Company,Gas/Electric Griddle,L811-22,,Double-Sided,Gas,Double-Sided,Steel T-1,3,2,6,69,99,0,0,,05/01/2014,05/02/2014,"United States, Canada",ES_1084409_L811-22_05082014143530_1000096
2210189,Taylor Company,Taylor Company,Gas/Electric Griddle,L811-23,,Double-Sided,Gas,Double-Sided,Steel T-1,3,2,6,69,99,0,0,,01/28/2013,05/02/2014,"United States, Canada",ES_1084409_L811-23_05082014143530_1000097
2210190,Taylor Company,Taylor Company,Gas/Electric Griddle,L811-28,,Double-Sided,Gas,Double-Sided,Steel T-1,3,2,6,69,99,0,0,,07/22/2013,05/02/2014,"United States, Canada",ES_1084409_L811-28_05082014143530_1000098
2210191,Taylor Company,Taylor Company,Gas/Electric Griddle,L813-22,,Single-Sided,Gas,Single-Sided,Steel T-1,3,2,6,53,45,0,0,,05/01/2014,05/02/2014,"United States, Canada",ES_1084409_L813-22_05082014143530_1000099
2210208,Taylor Company,Taylor Company,Electric Griddle,C818-28,,Single-Sided,Electric,Single-Sided,Steel T-1,3,2,6,84,50,0,0,,12/11/2012,05/02/2014,"United States, Canada",ES_1084409_C818-28_05082014143530_1000095
2210209,Taylor Company,Taylor Company,Gas/Electric Griddle,L813-23,,Single-Sided,Gas,Single-Sided,Steel T-1,3,2,6,53,45,0,0,,09/18/2012,05/02/2014,"United States, Canada",ES_1084409_L813-23_05082014143530_1000100
2210210,Taylor Company,Taylor Company,Gas/Electric Griddle,L813-28,,Single-Sided,Gas,Single-Sided,Steel T-1,3,2,6,53,45,0,0,,05/01/2014,05/02/2014,"United States, Canada",ES_1084409_L813-28_05082014143530_1000101
