atd_retiming_id,system_id,system_name,scheduled_fy,retime_status,status_date,total_vol,vol_wavg_tt_pct_change,vol_wavg_tt_seconds,signal_count,engineer_note
47,11,US 183 - SOUTH,2017,COMPLETED,03/09/2017 06:00:00 AM +0000,1884,0.1955033403,368.3282932,8,
48,4,LAMAR - CENTRAL,2017,COMPLETED,03/09/2017 06:00:00 AM +0000,1698,0.2467728446,419.0202901951,15,
49,53,RM 2222 - EAST,2017,COMPLETED,05/22/2017 05:00:00 AM +0000,2569,0.1277766224,328.2581429652,3,
50,56,TRINITY,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,148,0.0150433559,2.2264166788,6,
51,58,12TH - WEST,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,285,-0.0069019664,-1.9670604201,7,
52,54,RM 2222 - CENTRAL,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,2668,0.0635491093,169.5490237219,7,
55,57,FAR WEST,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,1412,-0.0134740528,-19.0253625716,6,
56,59,LOOP 360 - SOUTH,2019,COMPLETED,09/06/2017 05:00:00 AM +0000,3318,0.0273214686,90.6526328807,9,Adjustments made to Ben White/Lamar/360 to reduce queuing for WB Ben White.  Traffic Responsive operations fine-tuned.  
57,62,8TH,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,0,0,0,10,Retimed for system improvements; data not used in comprehensive analysis
58,64,51ST,2019,COMPLETED,09/06/2017 05:00:00 AM +0000,723,0.0333003926,24.0761838695,10,Cycle lengths decreased to synchronize corridor with Cameron and Manor corridors.  Lower cycle lengths allowed quicker service to vehicles & pedestrians from growing Mueller area. Green time adjusted at Manor to clear backups in peak periods.  
60,60,6TH,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,0,0,0,20,Retimed for system improvements; data not used in comprehensive analysis
61,63,5TH,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,675,0.022056312,14.8880105848,18,
62,65,MLK - EAST,2019,COMPLETED,09/06/2017 05:00:00 AM +0000,978,0.0284653782,27.8391398665,15,"Adjusted cycle lengths from Comal to Springdale to synchronize better with Airport corridor.  Intersections east of Springdale needed ongoing monitoring, to match the changing traffic patterns at US 183 overpass construction. Leading pedestrian Interval implemented at Cedar."
