Reporting Area,MMWR Year,MMWR Week,"Vancomycin-intermediate Staphylococcus aureus, Current week","Vancomycin-intermediate Staphylococcus aureus, Current week, flag","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2020†","Vancomycin-intermediate Staphylococcus aureus, Cum 2020†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†, flag","Vancomycin-resistant Staphylococcus aureus, Current week","Vancomycin-resistant Staphylococcus aureus, Current week, flag","Vancomycin-resistant Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-resistant Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-resistant Staphylococcus aureus, Cum 2020†","Vancomycin-resistant Staphylococcus aureus, Cum 2020†, flag","Vancomycin-resistant Staphylococcus aureus, Cum 2019†","Vancomycin-resistant Staphylococcus aureus, Cum 2019†, flag","Varicella morbidity, Current week","Varicella morbidity, Current week, flag","Varicella morbidity, Previous 52 weeks Max†","Varicella morbidity, Previous 52 weeks Max†, flag","Varicella morbidity, Cum 2020†","Varicella morbidity, Cum 2020†, flag","Varicella morbidity, Cum 2019†","Varicella morbidity, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
OKLAHOMA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,4,,46,,6,,14,,TEXAS,,20200247,POINT (-99.317341 31.447238)
COLORADO,2020,2,,N,,NC,,N,,N,,-,0,,,-,,-,2,,13,,2,,5,,COLORADO,,20200250,POINT (-105.547832 38.998552)
NEVADA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,,-,1,,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,,-,14,,UTAH,,20200255,POINT (-111.678222 39.323779)
ALASKA,2020,2,,N,,NC,,N,,N,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
HAWAII,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,4,,1,,3,,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,N,,NC,,N,,N,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
INDIANA,2020,1,,N,,NC,,N,,N,,-,0,,,-,,-,,-,10,,,-,3,,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
TOTAL,2020,1,,-,5,,,-,1,,,-,1,,,-,,-,35,,225,,35,,105,,,TOTAL,20200170,
OREGON,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
UTAH,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,,-,11,,UTAH,,20200155,POINT (-111.678222 39.323779)
MICHIGAN,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,16,,,-,9,,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
CONNECTICUT,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,1,,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
NEW YORK,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,20200111,POINT (-75.59655 42.921241)
KANSAS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
WEST SOUTH CENTRAL,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,2,,55,,2,,,-,,WEST SOUTH CENTRAL,20200143,
KENTUCKY,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
AMERICAN SAMOA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200164,
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
OHIO,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,6,,24,,6,,4,,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
GEORGIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,17,,,-,1,,GEORGIA,,20200132,POINT (-83.426574 32.638481)
