the_geom,OBJECTID,MARKINGS_SPECIALTY_LINE_ID,INTERSECTION_ID,SEGMENT_ID,ALTERNATE_ID,LOCATION_DESCRIPTION,LOCATION_STATUS,DIRECTION,SPECIALTY_LINE_TYPE,NUMBER_OF_ASSETS,MARKING_TEXT_NOTE,MATERIAL,COLOR,INSTALL_DATE,ASSET_CONDITION,CREW_ASSIGNED,COMMENTS,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,GLOBALID,Shape__Length
"MULTILINESTRING ((-97.757723139972 30.247032417187, -97.757721836257 30.247040031065, -97.757718845862 30.24704904304, -97.757704505893 30.247071196756))",916,833,5154936,2023729,,,ACTIVE,NE,CURBS,1,,PAINT,Yellow,05/15/2019 12:00:00 AM +0000,Unknown,OTHER,,MSTEVENS,05/15/2019 09:27:54 PM +0000,CTREMEL,08/30/2019 03:48:12 PM +0000,e04d8229-b48d-4e03-804b-70fe8883c196,15.4526447770656
"MULTILINESTRING ((-97.695182056579 30.220989866039, -97.695191630425 30.220979021231, -97.695225126766 30.220949667576))",908,771,5162793,2034063,,,ACTIVE,SW,CURBS,1,,PAINT,Red,04/17/2019 12:00:00 AM +0000,Unknown,OTHER,,MSTEVENS,04/18/2019 06:58:56 PM +0000,CTREMEL,08/30/2019 03:48:11 PM +0000,5347feda-c37b-4704-b650-26a59f01f693,19.9997987866985
"MULTILINESTRING ((-97.733196439294 30.334507928729, -97.733424227399 30.334113602266, -97.733588891046 30.333855514087))",135,363,5158132,2011863,,,ACTIVE,,CONCRETE_DOMES,24,,,White,,Unknown,BIKE,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:46:50 PM +0000,67cdcf0d-1314-4849-88ca-c235948e85a4,267.688265788644
"MULTILINESTRING ((-97.695710391705 30.309013096149, -97.695664732147 30.309083589568))",987,569,5162476,2016010,,,ACTIVE,,CONCRETE_DOMES,5,,,White,11/28/2018 12:00:00 AM +0000,Unknown,BIKE,CONTRACTOR,SGOV,11/30/2018 09:17:14 PM +0000,CTREMEL,08/30/2019 03:46:47 PM +0000,5f6117e2-ed40-478e-b72e-bf3124d19cb8,29.4089097512578
"MULTILINESTRING ((-97.676799247515 30.293058898994, -97.676784552471 30.293051805076, -97.676774997611 30.293047192702, -97.676765241644 30.293042482313))",235,206,5429498,3189584,,,ACTIVE,,DELINEATORS,4,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:41 PM +0000,5a3cc6ad-d543-4668-916a-d9683c07986a,12.2814733909124
"MULTILINESTRING ((-97.6867818617 30.256560710834, -97.6867898192 30.256571380391, -97.686776063282 30.256571573572, -97.686729284762 30.256552461851, -97.686695096603 30.256535521386, -97.686689795287 30.256528249005, -97.686702033379 30.256523249234, -97.686738393544 30.256541190156, -97.6867818617 30.256560710834))",306,214,5163657,2019372,,,ACTIVE,,DELINEATORS,8,Island marking,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:42 PM +0000,c089aeb9-bfa8-49ce-a3f0-259402c1862f,73.774861668618
"MULTILINESTRING ((-97.736094557222 30.279036458542, -97.736088746034 30.27905216606))",874,871,5157961,2017964,,,ACTIVE,N,DELINEATORS,1,,,White,05/24/2019 12:00:00 AM +0000,Unknown,,,MSTEVENS,06/07/2019 03:16:01 PM +0000,MSTEVENS,06/07/2019 03:20:31 PM +0000,12eed511-02c2-4477-9f93-b9314675c703,5.99993408448551
"MULTILINESTRING ((-97.758036789467 30.262306299422, -97.758117188491 30.262076264447))",326,267,5154849,2021166,,,ACTIVE,,DELINEATORS,27,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:44 PM +0000,4804bbfc-7e20-47b5-9283-0c83b33ddf6d,87.4271607114365
"MULTILINESTRING ((-97.76236303855 30.243002580155, -97.762398075989 30.242925929691))",185,172,5154380,2034238,,,ACTIVE,,CURBS,1,,PAINT,Red,,Unknown,OTHER,,SGOV,07/17/2018 07:08:48 PM +0000,CTREMEL,08/30/2019 03:48:13 PM +0000,ef6b96ea-3a51-4c2b-8080-19f41f62aab2,29.9922894546564
"MULTILINESTRING ((-97.696533826772 30.307663639809, -97.696528091585 30.30767211674, -97.696523548388 30.307677275878, -97.696517982711 30.307679549013, -97.696511408654 30.307678458189, -97.696506678768 30.307674349935, -97.696505268767 30.307669546583, -97.696509185857 30.30766313293, -97.696516267172 30.307653728099))",960,895,5162371,2016126,,,ACTIVE,S,DELINEATORS,5,,,Yellow,,Unknown,,,MSTEVENS,06/11/2019 09:37:19 PM +0000,MSTEVENS,06/11/2019 09:37:50 PM +0000,9a3005d4-ecf7-49d6-a4ed-00ea8c8d4b6a,20.6296330711607
"MULTILINESTRING ((-97.772033039541 30.261840265325, -97.771790918065 30.261819703516, -97.771590197763 30.261681374165, -97.770909899799 30.260950237468))",333,386,5153197,2041240,,,ACTIVE,,DELINEATORS,33,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:49 PM +0000,3875a0b3-702d-438f-b704-d45f6714efd1,499.529540129777
"MULTILINESTRING ((-97.771110862982 30.256311153765, -97.771118326723 30.256314884401))",402,100,5429445,2021308,,,ACTIVE,NE,DELINEATORS,1,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:36 PM +0000,c5b7d3c5-07e4-4e79-994b-e0280be8b951,2.71919806813843
"MULTILINESTRING ((-97.778613854237 30.259556256115, -97.778674315189 30.259485122454))",61,357,5152371,2021239,,,ACTIVE,,CONCRETE_DOMES,4,,,White,,Unknown,BIKE,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:46:48 PM +0000,1d5e08df-aac2-4c66-9ba9-c98123d94178,32.1506053857151
"MULTILINESTRING ((-97.748346764997 30.298380971229, -97.748399233522 30.298360589759, -97.748485934641 30.298345558336, -97.748570072632 30.298346012595))",503,116,5155961,2019801,,,ACTIVE,,CONCRETE_DOMES,15,,,White,,Unknown,BIKE,,SGOV,08/07/2018 09:18:50 PM +0000,CTREMEL,08/30/2019 03:46:49 PM +0000,1212ff69-518c-43ac-b650-52012bee781d,72.5984458547632
"MULTILINESTRING ((-97.726592413111 30.342738920394, -97.726577842397 30.342721695233, -97.726606135556 30.342729479254))",250,434,5159049,2011513,,,ACTIVE,,DELINEATORS,3,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:51 PM +0000,e98b64b1-5485-4d9b-b387-eccfab8499f6,17.1330282188289
"MULTILINESTRING ((-97.73116787135 30.260371762338, -97.731201926305 30.260305112125))",422,59,5158733,2019262,,,ACTIVE,,CURBS,1,,PAINT,Red,,Unknown,OTHER,,SGOV,07/31/2018 10:02:04 PM +0000,CTREMEL,08/30/2019 03:48:13 PM +0000,81ae3ab6-6eee-483d-9c12-51288c4d7dae,26.5174682167143
"MULTILINESTRING ((-97.730119285937 30.342340364702, -97.730067147928 30.342313998987))",784,697,5158480,2011535,,,ACTIVE,,CONCRETE_DOMES,3,,,White,,Unknown,BIKE,,SGOV,03/01/2019 03:45:04 PM +0000,CTREMEL,08/30/2019 03:46:48 PM +0000,3d5708db-8a21-4758-8970-3c92c338582c,19.0379329728963
"MULTILINESTRING ((-97.779131374982 30.259059722471, -97.779122134 30.259065984518))",215,257,5152304,2021239,,,ACTIVE,,DELINEATORS,1,,,Yellow,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:44 PM +0000,e31a9023-73ef-489b-a036-cf4c5cc3e6bc,3.70119730458129
