the_geom,OBJECTID,MARKINGS_SPECIALTY_LINE_ID,INTERSECTION_ID,SEGMENT_ID,ALTERNATE_ID,LOCATION_DESCRIPTION,LOCATION_STATUS,DIRECTION,SPECIALTY_LINE_TYPE,NUMBER_OF_ASSETS,MARKING_TEXT_NOTE,MATERIAL,COLOR,INSTALL_DATE,ASSET_CONDITION,CREW_ASSIGNED,COMMENTS,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,GLOBALID,Shape__Length
"MULTILINESTRING ((-97.733647566678 30.343710715807, -97.73361046056 30.343698503729))",690,673,5157973,2011492,,,ACTIVE,,DELINEATORS,2,,,,,Unknown,,,SGOV,03/01/2019 03:31:06 PM +0000,SGOV,03/01/2019 03:31:10 PM +0000,855bb624-26c2-47c1-bb8a-d00c1df94aca,12.5191471004621
"MULTILINESTRING ((-97.736571594806 30.3449875688, -97.736019500974 30.344783113937))",726,660,5157561,2011444,,,ACTIVE,,CONCRETE_DOMES,19,,,White,,Unknown,BIKE,,SGOV,03/01/2019 03:26:18 PM +0000,CTREMEL,08/30/2019 03:46:47 PM +0000,1c6a552a-5089-4349-83ae-a6ca519d5fa7,189.361659621015
"MULTILINESTRING ((-97.774782885748 30.250753175917, -97.774773731834 30.250761348715))",113,641,5152798,2021475,,,ACTIVE,,DELINEATORS,1,,,Yellow,01/17/2019 12:00:00 AM +0000,Unknown,,,SGOV,01/22/2019 04:18:26 PM +0000,SGOV,01/22/2019 04:18:51 PM +0000,e1ac95cc-6844-4112-acd0-da26a64877b2,4.14594536197655
"MULTILINESTRING ((-97.860357191702 30.207816712983, -97.860439404713 30.207718985485, -97.86035622924 30.207639550916, -97.860380527011 30.20769970471, -97.860380111171 30.207737417076, -97.860356604735 30.207818133622))",551,519,5145241,2041816,,,ACTIVE,,DELINEATORS,14,,,,,Unknown,,,SGOV,10/08/2018 06:33:25 PM +0000,SGOV,10/08/2018 06:33:35 PM +0000,c1ad20b6-007c-4895-992a-4645c9604adf,150.251498791029
"MULTILINESTRING ((-97.785028158572 30.253042000662, -97.785026925602 30.253026218704))",337,217,5151657,2041305,,,ACTIVE,,DELINEATORS,1,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:42 PM +0000,4b47aa00-0bbc-40a8-b1d7-a95178cc3f64,5.75292920491872
"MULTILINESTRING ((-97.69591427806 30.308552400998, -97.695894664098 30.308585422383))",628,570,5162423,2016010,,,ACTIVE,,DELINEATORS,2,,,,11/28/2018 12:00:00 AM +0000,Unknown,,CONTRACTOR,SGOV,11/30/2018 09:18:22 PM +0000,SGOV,11/30/2018 11:10:16 PM +0000,a1f6e52f-9c49-4c27-8445-93850fe9a4ba,13.5105888924662
"MULTILINESTRING ((-97.746279871589 30.282995587924, -97.745896987503 30.282896657329))",685,474,5156444,2017702,,,ACTIVE,,DELINEATORS,5,Reinstall 2 delineators,,White,01/18/2019 12:00:00 AM +0000,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,01/22/2019 04:23:37 PM +0000,ecdb005e-9958-4887-83f2-3645fc98ed10,126.09603235522
"MULTILINESTRING ((-97.739713799054 30.276984963673, -97.739706583458 30.276983241238, -97.739704240011 30.276984483254, -97.739705984981 30.276987097467, -97.739712046191 30.276988795636))",631,1019,5157428,2018126,,,ACTIVE,,CURBS,1,,PAINT,Yellow,11/21/2019 12:00:00 AM +0000,Excellent,,,CTREMEL,01/17/2020 06:30:09 PM +0000,ADEANDA,01/18/2020 06:23:41 AM +0000,e3b043e6-2ead-4050-8db4-12874357aeb9,6.33828397918747
"MULTILINESTRING ((-97.71612038958 30.259365788571, -97.716208643085 30.259396361764))",906,769,5160614,2041252,,,ACTIVE,W,CURBS,1,,PAINT,Red,04/17/2019 12:00:00 AM +0000,Unknown,OTHER,,MSTEVENS,04/18/2019 06:52:10 PM +0000,CTREMEL,08/30/2019 03:48:11 PM +0000,d4a12c30-1e4c-4bb4-ae84-720f6fcdd6b4,29.9998991965759
"MULTILINESTRING ((-97.693015761855 30.313474692984, -97.692949763554 30.313573607646))",999,588,5162748,2015646,,,ACTIVE,,CONCRETE_DOMES,5,,,White,11/28/2018 12:00:00 AM +0000,Unknown,BIKE,CONTRACTOR,SGOV,11/30/2018 09:49:28 PM +0000,CTREMEL,08/30/2019 03:46:47 PM +0000,bfa8ab5e-1a5a-4efa-86aa-356cfaac4313,41.5671311495915
"MULTILINESTRING ((-97.710325759523 30.264775304937, -97.710370711438 30.26475501731, -97.710420035954 30.264730887653, -97.710473381274 30.264693786929, -97.710569524585 30.264651624822, -97.710619594411 30.264642951315))",309,332,5161052,2018949,,,ACTIVE,,DELINEATORS,6,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:47 PM +0000,ab318407-20ed-4382-a891-b96732e8ec2c,105.573715044069
"MULTILINESTRING ((-97.778857823279 30.164389086255, -97.778562722013 30.163807830477))",667,1057,5152718,3260093,,,ACTIVE,,DELINEATORS,64,,,Yellow,11/01/2019 12:00:00 AM +0000,Unknown,,,SGOV,01/29/2020 06:40:48 PM +0000,ADEANDA,01/29/2020 07:59:44 PM +0000,eb53870a-4ac7-4f11-9d23-d442b96572d1,231.056105614992
"MULTILINESTRING ((-97.764119408791 30.203475247729, -97.764140515753 30.203468615888))",627,1017,5154274,2025058,,,ACTIVE,,CURBS,1,,PAINT,Red,11/21/2019 12:00:00 AM +0000,Excellent,,,CTREMEL,01/17/2020 06:35:54 PM +0000,ADEANDA,01/18/2020 06:23:41 AM +0000,f92a76d9-caa2-43d5-8120-35de980a167c,7.09053791340583
"MULTILINESTRING ((-97.693038684301 30.325067677326, -97.693030002178 30.325083256333))",2,1003,5162706,2012197,,,ACTIVE,N,DELINEATORS,1,,,White,10/26/2019 12:00:00 AM +0000,Excellent,,,ADEANDA,10/30/2019 07:50:42 PM +0000,ADEANDA,10/30/2019 09:11:21 PM +0000,9ed2de77-8b0b-4448-ae44-c0a1d3ae8a2d,6.29332198383998
"MULTILINESTRING ((-97.784583547243 30.253013518627, -97.785020025425 30.25302715613))",85,247,5151657,2041305,,,ACTIVE,,CONCRETE_DOMES,8,,,White,,Unknown,BIKE,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:46:49 PM +0000,fc2d4315-7ecf-4a51-8fc9-a7ef2fe18108,137.902239862837
"MULTILINESTRING ((-97.731277981622 30.260390000795, -97.731301662844 30.260337808363))",436,293,5158733,2019262,,,ACTIVE,,CURBS,1,,PAINT,Red,,Unknown,OTHER,,SGOV,07/31/2018 10:03:19 PM +0000,CTREMEL,08/30/2019 03:48:13 PM +0000,ebb2aafe-7b5e-4193-a343-91eff4a12704,20.4012070578715
"MULTILINESTRING ((-97.699675855704 30.286537301301, -97.699711245627 30.286480371071, -97.699679921793 30.286479011792, -97.699647133352 30.286470816877, -97.699675433385 30.286537650856))",632,953,5162080,2040927,,,,,DELINEATORS,14,,,,,,,,SGOV,09/04/2019 08:19:46 PM +0000,SGOV,01/24/2020 03:34:53 PM +0000,d19c8a5b-c4dc-4bfa-894d-dcc166a88393,70.0905785504535
"MULTILINESTRING ((-97.703259278665 30.231029762586, -97.703253105447 30.231028832736, -97.703243697651 30.231026518137, -97.703234661631 30.231023372891, -97.703226052807 30.231019422501, -97.703217967553 30.231014714964, -97.703210491856 30.231009298067, -97.703203711359 30.23100323222, -97.703197693854 30.230996584688, -97.703192514329 30.230989425587, -97.703188223515 30.230981838075, -97.703184868113 30.230973900711, -97.703182486172 30.230965704512, -97.703181106514 30.230957335792, -97.703180741149 30.23094888774, -97.703181394843 30.230940452494, -97.703181486353 30.230939877774))",613,989,5161861,2041530,,,ACTIVE,S,CURBS,,,PAINT,Red,10/03/2019 12:00:00 AM +0000,Excellent,,,ADEANDA,10/14/2019 05:37:24 PM +0000,ADEANDA,10/21/2019 03:32:31 PM +0000,69ae6988-b807-4f38-9de0-da7e1a06c0bd,45.248563536777
"MULTILINESTRING ((-97.711184815581 30.264376484209, -97.71127362314 30.264335176674, -97.711340497498 30.264304070641, -97.71145266454 30.264240416142, -97.711536920683 30.264178866784, -97.711627897127 30.264134466833))",310,151,5160981,2018997,,,ACTIVE,,DELINEATORS,6,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:39 PM +0000,156d5626-9489-4baa-bcb1-510653966a6b,165.782641009911
"MULTILINESTRING ((-97.800930789606 30.224205572931, -97.80021834371 30.223854261501))",516,500,5150308,2041625,,,ACTIVE,,CONCRETE_DOMES,20,,,White,,Unknown,BIKE,,SGOV,09/13/2018 10:26:07 PM +0000,CTREMEL,08/30/2019 03:46:50 PM +0000,bbec8391-91b6-42e3-bd3e-5266581cba18,258.759069944573
"MULTILINESTRING ((-97.747507985061 30.213321887118, -97.747838905602 30.212789604849, -97.748113652464 30.212353236816))",777,815,5156363,2041737,,,ACTIVE,N,DELINEATORS,21,,,White,09/17/2018 12:00:00 AM +0000,Unknown,,,MSTEVENS,05/09/2019 04:14:58 PM +0000,MSTEVENS,05/09/2019 04:37:59 PM +0000,6dd38e6d-9aa4-44ae-872b-766794178ad5,400.885863921142
"MULTILINESTRING ((-97.783363008001 30.25356423694, -97.783380612494 30.253548472575))",82,414,5151825,2021388,,,ACTIVE,,CONCRETE_DOMES,1,,,White,,Unknown,BIKE,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:46:49 PM +0000,08de6468-238f-43a7-a6d0-4ba59f7f4484,7.98541792283058
"MULTILINESTRING ((-97.699366738063 30.303055532876, -97.69932977081 30.303119692008, -97.699295999564 30.303168559684, -97.699256758221 30.303222229149, -97.699199156268 30.303325640605, -97.699170852903 30.30336970551, -97.699149110692 30.303408008379, -97.699124174426 30.30346160363, -97.69910355216 30.303502764698, -97.699080689932 30.303538208448, -97.699070920239 30.303557354088, -97.69905678806 30.303582250994, -97.69903936805 30.303609074525, -97.699027396484 30.303628231758, -97.699013250896 30.303651219008))",229,84,5162129,3555775,,,ACTIVE,,DELINEATORS,16,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:35 PM +0000,fb1fec88-3df6-4f9b-9d1d-c461db35fa81,243.99913822996
"MULTILINESTRING ((-97.730774302836 30.3398148518, -97.730455358061 30.340325045864, -97.730419503244 30.340362834749))",116,71,5158540,2011601,,,ACTIVE,,CONCRETE_DOMES,21,,,White,,Unknown,BIKE,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:46:50 PM +0000,b85ff766-871c-48f5-af7c-f932a7ae9d8d,228.873125240595
"MULTILINESTRING ((-97.72244294193 30.255196854153, -97.722433729182 30.255215322375, -97.722433428432 30.255215681695, -97.722430203518 30.255219089097, -97.722426583778 30.255222183461, -97.722422611645 30.255224933165, -97.72241833264 30.255227307557, -97.722413790064 30.25522928135, -97.7224090334 30.25523083119, -97.72240411921 30.255231941085, -97.722399095644 30.255232598481, -97.722394021122 30.255232795544, -97.722388951766 30.255232532517, -97.722383939493 30.25523181136, -97.722379042307 30.255230639571, -97.722339548456 30.255216513376))",829,941,5159750,2019513,,,ACTIVE,S,CURBS,,,PAINT,Red,08/17/2019 12:00:00 AM +0000,Excellent,OTHER,,ADEANDA,08/22/2019 08:34:58 PM +0000,CTREMEL,08/30/2019 03:48:12 PM +0000,fb787979-0a5a-4303-9fc1-b6d8bb91bbe2,40.2130360006647
"MULTILINESTRING ((-97.744138190298 30.253993254515, -97.744139711976 30.253998060453, -97.744135723412 30.254003231464, -97.744130277112 30.254001212041, -97.744125994944 30.253996827651))",1066,1077,5156868,3188450,,,ACTIVE,E,DELINEATORS,,,,White,09/03/2019 12:00:00 AM +0000,Excellent,,,ADEANDA,02/03/2020 06:57:18 PM +0000,ADEANDA,02/10/2020 09:08:23 PM +0000,a362e0dc-0d5d-4fb2-8d73-86e38009c5b0,8.03651474915597
"MULTILINESTRING ((-97.754774995237 30.330305090474, -97.755442171395 30.33062594539))",292,34,5155158,2043806,,,ACTIVE,,DELINEATORS,7,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:33 PM +0000,fd09623c-8ed2-47a3-b714-a514f418bb34,240.666782107244
"MULTILINESTRING ((-97.741709125033 30.286899469406, -97.741698366468 30.287026032805))",1099,429,5157085,2017474,,,ACTIVE,,DELINEATORS,3,,,White,04/15/2020 12:00:00 AM +0000,Excellent,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,ADEANDA,04/21/2020 06:04:44 PM +0000,aa68eb0b-a587-4d17-a45f-bf675ba76605,46.1548354612339
"MULTILINESTRING ((-97.782629036196 30.254308230823, -97.782722109688 30.254194293754))",80,69,5151910,2021365,,,ACTIVE,,CONCRETE_DOMES,6,,,White,,Unknown,BIKE,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:46:49 PM +0000,0e92ecda-3ca8-43af-966b-4fcebe059b00,50.8001717540936
"MULTILINESTRING ((-97.708013112915 30.302266822077, -97.708020717339 30.302265425789, -97.708018469852 30.302257023995))",801,652,5161142,3324727,,,ACTIVE,,DELINEATORS,3,,,Yellow,03/18/2019 12:00:00 AM +0000,Unknown,,,MSTEVENS,02/20/2019 09:04:07 PM +0000,MSTEVENS,03/18/2019 01:31:34 PM +0000,5f803502-b1f7-451e-877a-66ea5703f1aa,5.58980060463184
"MULTILINESTRING ((-97.669065894458 30.292763690866, -97.669180090472 30.292813248074, -97.669199968272 30.292824605964, -97.669212368792 30.292828124851, -97.669293522146 30.292872116955, -97.669398628085 30.292919570213, -97.669502922928 30.292969175791, -97.669620461833 30.293025160086, -97.669741316284 30.293083275964, -97.669848911494 30.293151057439, -97.669992963557 30.293205186691, -97.670102243573 30.293259779822, -97.670211494614 30.293310076135, -97.670319967857 30.293367537147, -97.670445764069 30.293424195752, -97.670582342893 30.29348939347, -97.670711506904 30.293556059432, -97.670810001698 30.293611626211, -97.670950670578 30.293661561211, -97.671071227921 30.293724548675, -97.671206420045 30.293782333824, -97.671327110404 30.293811857201, -97.671454796808 30.29383991145, -97.671573277174 30.293855049345, -97.671719454016 30.293872547169, -97.67185235088 30.293879761017, -97.671977739934 30.293874840045, -97.67212040079 30.29386123958, -97.672192887955 30.293842260288, -97.672202765607 30.293838630367, -97.672223374784 30.293835663616, -97.672247255656 30.293828383852, -97.672370004648 30.293798413311, -97.672499244743 30.293751940671, -97.672625183809 30.293705485099, -97.67274697003 30.293654753555, -97.672867943979 30.2936061734, -97.672977376191 30.293559083374))",244,207,5164950,3189585,,,ACTIVE,,DELINEATORS,40,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:41 PM +0000,92f2e34b-6d2d-4417-91bb-e870ad02b6f0,1356.94803036049
"MULTILINESTRING ((-97.742656579844 30.292006972289, -97.7421416829 30.291972681809))",17,999,5156883,2017111,,,ACTIVE,E,DELINEATORS,8,,,Yellow,09/07/2019 12:00:00 AM +0000,Excellent,,,ADEANDA,10/30/2019 07:04:51 PM +0000,ADEANDA,10/30/2019 09:11:21 PM +0000,a25b0ac9-5e9b-44e2-ae53-9482cbb559b3,162.985071329127
"MULTILINESTRING ((-97.727182234824 30.342101420669, -97.727207567626 30.342084575256, -97.727220037016 30.342096441904))",251,435,5158959,2011519,,,ACTIVE,,DELINEATORS,3,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:51 PM +0000,cf970fec-6ed4-4b82-bcee-1fc7c71f1255,15.9087073002129
"MULTILINESTRING ((-97.73216546885 30.337208758921, -97.731723934243 30.337909515169))",846,179,5158417,2011699,,,ACTIVE,,CONCRETE_DOMES,25,,,White,,Unknown,BIKE,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:46:48 PM +0000,febfa598-51d6-4b49-9fb0-69ee044dd8ba,290.43589096245
"MULTILINESTRING ((-97.798839590543 30.223096435494, -97.801092282651 30.224206378434))",515,499,5150540,2041625,,,ACTIVE,,CONCRETE_DOMES,80,,,White,,Unknown,BIKE,,SGOV,09/13/2018 10:25:54 PM +0000,CTREMEL,08/30/2019 03:46:50 PM +0000,be86bb49-fcaa-436f-b0aa-b51cf08253b9,818.019372976338
"MULTILINESTRING ((-97.755804223113 30.197700699508, -97.755831862179 30.197661911432))",34,420,5155399,2025407,,,ACTIVE,NW,DELINEATORS,2,,,White,12/03/2019 12:00:00 AM +0000,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,01/16/2020 04:39:33 PM +0000,5ab567df-1f07-45d3-99bf-b68adfb662cf,16.5905903584605
"MULTILINESTRING ((-97.77913103261 30.238628062025, -97.779103862952 30.238678133))",574,557,5152224,5315521,,,ACTIVE,,CURBS,1,,PAINT,Red,11/17/2018 12:00:00 AM +0000,Unknown,OTHER,,SGOV,11/20/2018 06:00:17 PM +0000,CTREMEL,08/30/2019 03:48:09 PM +0000,6731e7c7-705d-4317-aa6e-f67f3c16a548,20.1303046023238
"MULTILINESTRING ((-97.724346783147 30.244808736405, -97.724187690082 30.244800882435))",352,273,5159593,2022477,,,ACTIVE,,DELINEATORS,7,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:44 PM +0000,bdd31a29-cdc2-4dc2-ab80-d53ecc3d6c4e,50.3172395956621
"MULTILINESTRING ((-97.741686628439 30.287159759949, -97.741663274406 30.287443925388))",1096,260,5157100,2017474,,,ACTIVE,,DELINEATORS,11,,,White,04/15/2020 12:00:00 AM +0000,Excellent,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,ADEANDA,04/21/2020 06:04:44 PM +0000,0bfa3db4-68c3-47e3-9b3a-36592394534f,103.610457519077
"MULTILINESTRING ((-97.797007976204 30.222282306808, -97.797647146921 30.222596493285))",525,512,5150629,2024399,,,ACTIVE,,CONCRETE_DOMES,24,,,White,,Unknown,BIKE,,SGOV,09/21/2018 02:31:26 PM +0000,CTREMEL,08/30/2019 03:46:50 PM +0000,8b81ff91-85b2-4511-8c46-a65aea1db0d6,231.970531324038
"MULTILINESTRING ((-97.744353967242 30.188145193603, -97.74434019559 30.188146348019, -97.744309777245 30.18813284032))",576,559,5157075,2023515,,,ACTIVE,,CURBS,1,,PAINT,Red,11/17/2018 12:00:00 AM +0000,Unknown,OTHER,,SGOV,11/20/2018 06:24:39 PM +0000,CTREMEL,08/30/2019 03:48:09 PM +0000,2321738a-5422-46a0-87b9-f5c95a0cc80a,15.1648699872301
"MULTILINESTRING ((-97.736304097017 30.362762438209, -97.736339274154 30.362712476474))",109,109,5157534,2010778,,,ACTIVE,,DELINEATORS,3,,,Yellow,07/17/2018 12:00:00 AM +0000,Unknown,,,SGOV,07/31/2018 09:25:09 PM +0000,SGOV,08/24/2018 10:01:37 PM +0000,7db00d73-f920-4e57-9525-b31d69bbd23c,21.2895904908333
"MULTILINESTRING ((-97.741746654042 30.281123334561, -97.741765945012 30.281173264186, -97.741753042924 30.281218364922, -97.741753838517 30.28129119824, -97.741727224538 30.281283497225, -97.741753090986 30.281216574744))",669,612,5157068,2017853,,,ACTIVE,,DELINEATORS,23,,,,10/17/2018 12:00:00 AM +0000,Unknown,,,SGOV,12/03/2018 07:33:09 PM +0000,SGOV,12/03/2018 07:33:20 PM +0000,0e4b8024-32fb-4b1e-8128-c905eff717bf,97.0702985922705
"MULTILINESTRING ((-97.710879135205 30.330881494767, -97.710896947401 30.330934980485))",1047,629,5160799,2011973,,,ACTIVE,,CURBS,1,,PAINT,Red,11/28/2018 12:00:00 AM +0000,Unknown,OTHER,,SGOV,12/11/2018 03:23:51 PM +0000,CTREMEL,08/30/2019 03:48:09 PM +0000,97cf08b9-6022-4c7e-a065-a0e3831b663e,20.2475648734223
"MULTILINESTRING ((-97.734741026529 30.298807742784, -97.735109176151 30.298223723787))",507,468,5158057,2016757,,,ACTIVE,,CONCRETE_DOMES,16,,,White,,Unknown,BIKE,,SGOV,08/07/2018 09:41:04 PM +0000,CTREMEL,08/30/2019 03:46:49 PM +0000,a5e905ad-321a-47a9-b647-0645b8585d55,242.101429714015
"MULTILINESTRING ((-97.748211021655 30.212196915473, -97.748242436977 30.212147771354))",775,819,5156363,2023180,,,ACTIVE,S,DELINEATORS,2,,,White,09/17/2018 12:00:00 AM +0000,Unknown,,,MSTEVENS,05/09/2019 04:16:56 PM +0000,MSTEVENS,05/09/2019 04:39:43 PM +0000,234c184c-f023-4705-a086-a08f83be6f3a,20.4432101177103
"MULTILINESTRING ((-97.733630611479 30.343705135747, -97.733406577266 30.343644233001))",733,675,5157973,2011492,,,ACTIVE,,CONCRETE_DOMES,8,,,White,,Unknown,BIKE,,SGOV,03/01/2019 03:31:28 PM +0000,CTREMEL,08/30/2019 03:46:47 PM +0000,fb5caee6-827f-4ff4-90e3-648782f9d7db,74.0596598921305
"MULTILINESTRING ((-97.744476570767 30.18820544938, -97.744445066837 30.188191442427, -97.744436585004 30.188179811254))",575,558,5157075,2034184,,,ACTIVE,,CURBS,1,,PAINT,Red,11/17/2018 12:00:00 AM +0000,Unknown,OTHER,,SGOV,11/20/2018 06:24:00 PM +0000,CTREMEL,08/30/2019 03:48:09 PM +0000,8d55a53a-7295-4b1f-bcc6-d9717f973f43,16.1891206225847
"MULTILINESTRING ((-97.707662561513 30.443509101965, -97.707668930328 30.443507978868, -97.707665025502 30.443502109487))",751,739,5160806,3272493,,,ACTIVE,E,RPM_LANE_SEPARATOR,3,,,Yellow,04/12/2019 12:00:00 AM +0000,Unknown,,,MSTEVENS,04/12/2019 03:52:19 PM +0000,MSTEVENS,04/12/2019 03:53:39 PM +0000,630cc857-23b4-4b6e-ba38-48b3fcadf800,4.51192799304603
"MULTILINESTRING ((-97.721873386779 30.282741625075, -97.721877873389 30.282743574434, -97.721883612082 30.282743015519, -97.721883959995 30.282739571134))",1079,1097,5159730,2017743,,,ACTIVE,S,DELINEATORS,4,,,,04/06/2020 12:00:00 AM +0000,Excellent,,,ADEANDA,04/16/2020 06:51:05 PM +0000,ADEANDA,04/20/2020 03:30:38 PM +0000,72f9c657-5774-44ef-b6d6-84c5fc2d1e7f,4.66393907264906
"MULTILINESTRING ((-97.907666879118 30.195386976942, -97.907379481632 30.195526301558))",1017,936,5143134,2045127,,,ACTIVE,,DELINEATORS,10,,,Yellow,08/20/2019 12:00:00 AM +0000,Excellent,,,ADEANDA,08/22/2019 07:34:43 PM +0000,ADEANDA,08/22/2019 07:37:03 PM +0000,c117b5df-d469-45a8-a7ad-c478d35c4f6b,103.978799417673
"MULTILINESTRING ((-97.747922821809 30.191709403519, -97.747875237204 30.191669765826))",819,928,5156530,2023453,,,ACTIVE,W,CURBS,,,PAINT,Red,07/09/2019 12:00:00 AM +0000,Excellent,OTHER,,ADEANDA,07/19/2019 06:05:54 PM +0000,CTREMEL,08/30/2019 03:48:12 PM +0000,b1b7a658-1ac4-46e0-b3eb-9d5f35dfd9e9,20.8287005560317
"MULTILINESTRING ((-97.727298688732 30.34218710576, -97.727317626467 30.342172689416, -97.727310017599 30.342150769239))",252,25,5158959,2011513,,,ACTIVE,,DELINEATORS,3,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:33 PM +0000,d57b0053-c496-4190-a7c9-952908bfc8f5,16.2739584491165
"MULTILINESTRING ((-97.771771391403 30.255273868782, -97.771831611386 30.255177863344, -97.771862394313 30.255171118457))",501,103,5153109,2021328,,,ACTIVE,NE,DELINEATORS,3,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,09/10/2018 05:09:34 PM +0000,d8189aa3-4d4c-4fc7-96f2-0510213bfc37,49.7813161842421
"MULTILINESTRING ((-97.719532481598 30.375273442862, -97.719439215471 30.375277261462, -97.719360352733 30.375281384338, -97.719305467498 30.37528659225, -97.719241025265 30.375295186806, -97.719176225365 30.375306379128))",805,88,5159686,3270137,,,ACTIVE,E,DELINEATORS,7,,,White,04/15/2019 12:00:00 AM +0000,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,MSTEVENS,04/15/2019 01:46:34 PM +0000,c50241f8-46ad-4fd3-b333-92939b29cf7a,113.163184854252
"MULTILINESTRING ((-97.695187958826 30.30983649817, -97.695208915488 30.309807525398))",747,575,5162541,2015949,,,ACTIVE,SW,DELINEATORS,2,,,White,04/04/2019 12:00:00 AM +0000,Unknown,,CONTRACTOR,SGOV,11/30/2018 09:27:26 PM +0000,MSTEVENS,04/04/2019 09:26:21 PM +0000,ac063694-e746-48d1-880e-eae1ab3ce2ec,12.4402897595918
"MULTILINESTRING ((-97.763895293727 30.186401866703, -97.763919798723 30.186358787631, -97.763933880789 30.186345939525, -97.763953155093 30.186344536124, -97.763977124784 30.186347404747, -97.764032811872 30.186371799775))",532,522,5154358,2042016,,,ACTIVE,,CURBS,1,,PAINT,Red,,Unknown,OTHER,,SGOV,10/10/2018 04:16:54 PM +0000,CTREMEL,08/30/2019 03:48:13 PM +0000,e58ec08e-b80d-4ce9-b18e-9d42528a8a33,57.3896182206117
"MULTILINESTRING ((-97.733898064504 30.264792594464, -97.733831231493 30.264947791436))",86,4,5158366,2018983,,,ACTIVE,,CONCRETE_DOMES,6,,,White,,Unknown,BIKE,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:46:49 PM +0000,72ce667b-f73b-4ec4-8f30-a9b35c50cbee,60.2581973776748
"MULTILINESTRING ((-97.688702005819 30.343578863077, -97.688552862521 30.343614282455, -97.688408008988 30.343667557528, -97.688320821309 30.343709584755))",470,115,5163115,2040187,,,ACTIVE,,CONCRETE_DOMES,14,,,White,,Unknown,BIKE,,SGOV,08/02/2018 03:05:17 PM +0000,CTREMEL,08/30/2019 03:46:49 PM +0000,bc7a892f-bbea-4952-bd33-b3fd1a28006a,129.873617469038
"MULTILINESTRING ((-97.73834977625 30.210050301378, -97.73859927753 30.209670374579))",375,223,5158116,2046436,,,ACTIVE,N,DELINEATORS,5,,,White,08/28/2019 12:00:00 AM +0000,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,ADEANDA,09/23/2019 07:22:48 PM +0000,e567d7e2-ed99-40e4-9595-9c94de80a7d3,159.072398553688
"MULTILINESTRING ((-97.758028280096 30.262068747568, -97.758084715597 30.26214195888))",327,38,5154849,2041241,,,ACTIVE,,DELINEATORS,11,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:33 PM +0000,06ff150d-3fab-4093-95e2-b98f9881383a,32.0375955708472
"MULTILINESTRING ((-97.740024606083 30.207519488197, -97.740072119162 30.207445322686))",385,104,5157563,2046436,,,ACTIVE,N,DELINEATORS,2,,,White,08/28/2019 12:00:00 AM +0000,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,ADEANDA,09/23/2019 07:22:48 PM +0000,2ff7e712-9dcb-4aec-b3ff-eb38162d34fa,30.8678790428973
"MULTILINESTRING ((-97.653785662728 30.403556559585, -97.65371327756 30.403534753737))",1030,611,5166049,2030659,,,ACTIVE,,CURBS,1,,PAINT,Red,12/03/2018 12:00:00 AM +0000,Unknown,OTHER,,SGOV,12/03/2018 07:04:33 PM +0000,CTREMEL,08/30/2019 03:48:09 PM +0000,db39e84e-74da-4f11-8de1-fdee21a96c42,24.1579709090266
