OBJECTID,Angle,Site_ID,the_geom,Status,Type,Street,XStreet1,XStreet2,Side
1426,171.4,B46-001,POINT (-73.9312380972813 40.693411026902396),Installed,Type D,Malcolm X Boulevard,DeKalb Avenue,Kosciuszko Street,W
1427,171.4,B46-002,POINT (-73.93033167409271 40.688687638410734),Installed,Type D,Malcolm X Boulevard,Gates Avenue,Quincy Street,W
1428,351.4,B46-024,POINT (-73.93015319075299 40.68884732456452),Installed,Type D,Malcolm X Boulevard,Gates Avenue,Quincy Street,E
1429,215.02,B46-004,POINT (-73.92893156197603 40.67954860298387),Installed,Type D,Malcolm X Boulevard,Fulton Street,Marion Street,W
1430,38.17,B46-022,POINT (-73.92921340525132 40.679016080843304),Installed,Type D,Utica Avenue,Fulton Street,Herkimer Street,E
1431,184,B46-005,POINT (-73.93126740188066 40.66812511248794),Removed Sign/Footing (Temporary),Type D,Utica Avenue,Eastern Parkway,Union Street,W
1432,4,B46-021,POINT (-73.931088211028 40.668191692994746),Removed Sign/Footing (Temporary),Type D,Utica Avenue,Eastern Parkway,Union Street,E
1433,4,B46-020,POINT (-73.93145776017995 40.663778439174656),Installed,Type D,Utica Avenue,Empire Boulevard,Montgomery Street,E
1435,356.2,B46-019,POINT (-73.93090701770815 40.657649574907),Pending Sign,Type D,Utica Avenue,Winthrop Street,Clarkson Avenue,E
1436,175.3,B46-007,POINT (-73.93120384987378 40.65810813578446),Pending Sign,Type D,Utica Avenue,Winthrop Street,Clarkson Avenue,W
1437,176.5,B46-018,POINT (-73.93031865065569 40.65214927002993),Pending Sign,Type D,Utica Avenue,Church Avenue,Linden Boulevard,E
1438,175.4,B46-008,POINT (-73.930491454915 40.65145367790538),Pending Sign,Type D,Utica Avenue,Church Avenue,Snyder Avenue,W
1439,175.33,B46-009,POINT (-73.92949144169178 40.64242071844448),Pending Sign,Type D,Utica Avenue,Avenue D,Clarendon Road,W
1440,175.33,B46-017,POINT (-73.92922200575926 40.64188281004466),Pending Sign,Type D,Utica Avenue,Avenue D,Foster Avenue,E
1441,355.3,B46-016,POINT (-73.92824122756726 40.63271216945675),Pending Sign,Type D,Utica Avenue,Avenue H,Avenue I,E
1442,175.27,B46-010,POINT (-73.92845103384535 40.6326466253143),Pending Sign,Type D,Utica Avenue,Avenue H,Avenue I,W
1443,175.33,B46-011,POINT (-73.92781716565693 40.62672577675929),Pending Sign,Type D,Utica Avenue,Flatlands Avenue,Avenue J,W
1444,175.33,B46-015,POINT (-73.92749397526578 40.625452501701865),Pending Sign,Type D,Utica Avenue,Avenue K,Avenue L,E
1445,175.33,B46-014,POINT (-73.92681581418888 40.61934960270803),Pending Sign,Type D,Utica Avenue,Avenue N,Avenue M,E
1446,175.33,B46-012,POINT (-73.92693218317214 40.61858891040354),Pending Sign,Type D,Utica Avenue,Avenue N,Avenue O,W
1447,319.6,B46-013,POINT (-73.9210582995841 40.6092093276496),Sign Held,Type D,Flatbush Avenue,Avenue U,Avenue V,E
1448,171.4,B46-003,POINT (-73.9293281910842 40.683781986510844),Installed,Type D,Malcolm X Boulevard,Halsey Street,Macon Street,W
1449,351.4,B46-023,POINT (-73.92926864758523 40.68442172382793),Installed,Type D,Malcolm X Boulevard,Halsey Street,Hancock Street,E
1461,119,UM-085,POINT (-73.9415319196979 40.831054208028895),Installed,Type A,W 155 Street,St. Nicholas Avenue,Amsterdam Avenue,N
