OBJECTID,Angle,Site_ID,the_geom,Status,Type,Street,XStreet1,XStreet2,Side
2267,158,CO-017,POINT (-73.85268578130486 40.74608646452954),Installed,Type B,111 Street,49 Avenue,50 Avenue,E
2268,114.08,CO-018,POINT (-73.8481430771404 40.7402989581437),Installed,Type B,Corona Avenue,Horace Harding Expressway,111 Street,N
2306,173.8,LM-192,POINT (-73.99217177414063 40.712300710636775),Installed,Type B,Pike Street,Madison Street,Monroe Street,E
2377,89.5,JM-032,POINT (-73.81733388050601 40.70248585663046),Installed,Type B,Jamaica Avenue,Metropolitan Avenue,Van Wyck Expressway,N
2378,156.36,JM-033,POINT (-73.816301847375 40.70126767218669),Installed,Type B,Van Wyck Expressway,89 Avenue,91 Avenue,W
2461,174.75,FG-043,POINT (-73.8324301353853 40.75174298902175),Installed,Type B,College Point Boulevard,Fowler Avenue,Blossom Avenue,W
2510,166,FG-045,POINT (-73.83399736653541 40.75692121237331),Installed,Type B,College Point Boulevard,40 Road,41 Avenue,W
2514,155.3,FG-037,POINT (-73.83224867892912 40.759602085108675),Installed,Type B,Prince Street,39 Avenue,Roosevelt Avenue,E
2559,177.5865,CI-016,POINT (-73.95956971944047 40.57568689149355),Installed,Type B,Coney Island Avenue,Brightwater Court,Boardwalk,W
2560,74.32,CI-017,POINT (-73.96179456799877 40.577627975819226),Installed,Type B,Brighton Beach Avenue,Brighton 6 Street,Brighton 5 Street,N
2576,152,SB-065,POINT (-73.97826703102955 40.68497691865244),Pending Sign,Type B,Flatbush Avenue,4 Avenue,State Street,S
2577,117,SB-066,POINT (-73.97853220585161 40.68457653063657),Pending Sign,Type B,Atlantic Avenue,4 Avenue,3 Avenue,N
2582,125.63,FG-040,POINT (-73.82758627018045 40.75751102495133),Installed,Type B,Kissena Boulevard,Barclay Avenue,Sanford Avenue,E
2583,163.02,FG-041,POINT (-73.82813160981969 40.75532023847853),Installed,Type B,Main Street,Maple Avenue,Franklin Avenue,E
2587,112.31,CO-016,POINT (-73.8496302887254 40.74076339810264),Installed,Type B,Corona Avenue,111 Street,Horace Harding Expressway,N
2588,158.72,CO-015,POINT (-73.85301383901587 40.745935063450965),Installed,Type A,111 Street,United Nations Avenue North,49 Avenue,W
2601,111.4,LM-194,POINT (-73.98621288681794 40.72205656727122),Installed,Type B,E Houston Street,Essex Street,Norfolk Street,S
2602,21.4,LM-195,POINT (-73.98137667919798 40.72050292087926),Installed,Type A,Pitt Street,E Houston Street,Stanton Street,E
2603,111.4,LM-196,POINT (-73.99726042148448 40.72147504478493),Installed,Type B,Kenmare Street,Cleveland Place,Mulberry Street,N
2604,121.3,LM-197,POINT (-73.9986134759686 40.71990581932426),Installed,Type B,Grand Street,Centre Street,Lafayette Street,N
2605,83.96,LM-198,POINT (-73.99027425752736 40.712699726304585),Installed,Type A,Madison Street,Rutgers Street,Pike Street,N
2606,173.62,LM-199,POINT (-73.98705160544665 40.71306722158252),Installed,Type B,Clinton Street,Madison Street,Henry Street,W
2607,111.4,LM-200,POINT (-73.99061171794344 40.7144341744606),Installed,Type B,Canal Street,Division Street,Rutgers Street,S
2608,43.79,NS-032,POINT (-74.08922468935774 40.63014811511286),Installed,Type A,Victory Boulevard,Forest Avenue,Silver Lake Park Road,W
2609,74.32,CI-018,POINT (-73.95994946583298 40.57803176294327),Installed,Type B,Brighton Beach Avenue,Coney Island Avenue,Brighton 7 Street,N
2610,82.11,CI-019,POINT (-73.95064473749767 40.583545863128045),Installed,Type B,Emmons Avenue,Sheepshead Bay Road,E 16 St,N
2618,29,UW-032,POINT (-73.9730753391597 40.78033654248782),Installed,Type B,Central Park West,W 77 Street,W 81 Street,W
2622,119,UM-126,POINT (-73.95868710585479 40.80088980507223),Installed,Type B,W 110 Street,Frederick Douglass Circle,Manhattan Avenue,N
2644,146.51,UM-132,POINT (-73.95620572503174 40.813120028356046),Installed,Type B,W 125 Street,Amsterdam Avenue,Hancock Place,S
2645,147.34,UM-133,POINT (-73.95487500601752 40.811567019697826),Installed,Type B,W 125 Street,Hancock Place,Amsterdam Avenue,S
2648,119,UM-137,POINT (-73.96109846957833 40.81858663429378),Installed,Type B,W 125 Street,Marginal Street,Riverside Drive,S
2651,29,UM-138,POINT (-73.94803146576565 40.809041212356256),Pending Sign,Type B,Adam Clayton Powell Jr Boulevard,W 125 Street,W 126 Street,E
2653,299,M79-002,POINT (-73.95056740018585 40.771552014802744),Installed,Type D,E 79 Street,York Avenue,1 Avenue,N
2654,299,M79-003,POINT (-73.9522881719888 40.77227866824965),Installed,Type D,E 79 Street,1 Avenue,York Avenue,N
2655,299,M79-004,POINT (-73.95541358446297 40.77358321989996),Installed,Type D,E 79 Street,2 Avenue,3 Avenue,N
2656,299,M79-005,POINT (-73.9574712469064 40.77444889384383),Installed,Type D,E 79 Street,3 Avenue,Lexington Avenue,N
2657,299,M79-006,POINT (-73.95913162218261 40.77514951764593),Installed,Type D,E 79 Street,Lexington Avenue,Park Avenue,N
2658,299,M79-007,POINT (-73.96171000185272 40.77623849593211),Installed,Type D,E 79 Street,Madison Avenue,Park Avenue,N
2661,299,M79-010,POINT (-73.97187704768153 40.78219051834428),Installed,Type D,W 81 Street,Central Park West,Columbus Avenue,N
2670,119,M79-019,POINT (-73.97422079283997 40.78299943059224),Installed,Type D,W 81 Street,Columbus Avenue,Central Park West,S
2671,119,M79-020,POINT (-73.97211374624464 40.78208580429029),Installed,Type D,W 81 Street,Central Park West,Columbus Avenue,S
2675,119,M79-024,POINT (-73.95867670114266 40.774757701536174),Installed,Type D,E 79 Street,Lexington Avenue,3 Avenue,S
2682,61.81,JM-037,POINT (-73.79695961873396 40.704721298573915),Installed,Type B,Jamaica Avenue,163 Street,162 Street,N
2687,172,JH-023,POINT (-73.88888398251375 40.75346882648854),Installed,Type B,78 Street,34 Avenue,Northern Boulevard,W
2696,91.26,NS-033,POINT (-74.11639992869641 40.62899129519841),Installed,Type B,Forest Avenue,Broadway,Elizabeth Street,N
2703,119,UW-039,POINT (-73.97967856287558 40.783816645865244),Installed,Type B,W 79 Street,Broadway,Amsterdam Avenue,N
2708,29,UW-044,POINT (-73.98340483311044 40.771232553453935),Installed,Type B,Columbus Avenue,W 62 Street,W 63 Street,W
2715,29,UW-051,POINT (-73.9824766680397 40.772510659463826),Installed,Type B,Columbus Avenue,W 64 Street,W 65 Street,W
2717,29,MT-225,POINT (-73.98138920009872 40.768589430242194),Pending Sign,Type B,Central Park West,Columbus Circle,W 61 Street,E
2857,75.43,SX-088,POINT (-73.90828007363871 40.81606663156239),Installed,Type B,Westchester Avenue,Jackson Avenue,Trinity Avenue,N
2858,105.45,DB-058,POINT (-73.96780782934077 40.68373713749385),Installed,Type B,Fulton Street,Vanderbilt Avenue,Clinton Avenue,N
2859,168.7,LM-215,POINT (-74.01274586603584 40.701474030878934),Installed,Type C,Whitehall Street,South Street,Water Street,W
2860,49.59,LM-216,POINT (-74.00620319700705 40.70436902762657),Installed,Type B,South Street,Wall Street,Pine Street,W
2867,250.84,QWH-035,POINT (-73.7962304710102 40.590802657673045),Installed,Type D,Rockaway Beach Boulevard,Beach 67 Street,Beach 69 Street,N
2870,250.74,QWH-036,POINT (-73.80135375573163 40.58909212492473),Installed,Type D,Rockaway Beach Boulevard,Beach 73 Street,Aquatic Place,N
2872,121.4,LM-219,POINT (-74.0095267660681 40.71260307853231),Installed,Type A,Barclay Street,Church Street,Broadway,S
2874,188.111,LM-220,POINT (-74.0101105872557 40.71974442211575),Installed,Type A,Greenwich Street,North Moore Street,Franklin Street,E
2879,38.45,LM-223,POINT (-74.00043428635294 40.71120001609182),Installed,Type B,St. James Place,Pearl Street,Madison Street,W
2881,122.05,LM-225,POINT (-73.99894405292838 40.71356319511027),Installed,Type A,Worth Street,Park Row,Centre Street,S
2883,82.42,QWH-021,POINT (-73.80940788998743 40.58768982636087),Installed,Type D,Rockaway Beach Boulevard,Beach 84 Street,Beach 81 Street,S
2884,261.11,QWH-037,POINT (-73.80966132719911 40.58786525278235),Installed,Type D,Rockaway Beach Boulevard,Beach 84 Street,Beach 84 Street,N
2885,62.5,QWH-020,POINT (-73.81518068511826 40.5865068090723),Installed,Type D,Rockaway Beach Boulevard,Beach 92 Street,Beach 91 Street,S
2887,58.47,QWH-032,POINT (-73.81779288218111 40.58536371445469),Installed,Type D,Rockaway Beach Boulevard,Beach 95 Street,Beach 96 Street,S
2888,237.63,QWH-026,POINT (-73.8178528601985 40.585448296853315),Installed,Type D,Rockaway Beach Boulevard,Beach 96 Street,Beach 95 Street,N
2889,68.94,QWH-031,POINT (-73.82347146481894 40.58366244729068),Installed,Type D,Rockaway Beach Boulevard,Beach 102 Street,Beach 105 Street,S
2892,69.14,QWH-030,POINT (-73.82921121160305 40.581996700921366),Installed,Type D,Rockaway Beach Boulevard,Beach 108 Street,Beach 105 Street,S
2897,119,QWH-003,POINT (-73.88689168582438 40.744671812751896),Installed,Type D,Broadway,78 Street,79 Street,S
2899,134.5,QWH-004,POINT (-73.88068727148506 40.74150973687111),Installed,Type D,Broadway,Whitney Avenue,45 Avenue,W
2900,314.5,QWH-054,POINT (-73.88056055893595 40.74160536463848),Installed,Type D,Broadway,Whitney Avenue,Elmhurst Avenue,E
2901,196.35,QWH-005,POINT (-73.87740333739293 40.73740864069972),Installed,Type D,Broadway,Queens Boulevard,51 Avenue,W
2902,16.66,QWH-053,POINT (-73.8771613830634 40.737539411353985),Installed,Type D,Broadway,Justice Avenue,Queens Boulevard,E
2903,93.86,QWH-006,POINT (-73.87130962302845 40.73315949006212),Installed,Type D,Hoffman Drive,Woodhaven Boulevard,58 Avenue,S
2904,291.1,QWH-052,POINT (-73.87117247991438 40.73403461708044),Installed,Type D,Queens Boulevard,59 Avenue,90 Street,N
2905,145.22,QWH-007,POINT (-73.86769174032766 40.72242823015612),Installed,Type D,Woodhaven Boulevard,Penelope Street,Fleet Street,W
2906,325.7,QWH-051,POINT (-73.86787795865001 40.72317395134711),Installed,Type D,Woodhaven Boulevard,Penelope Avenue,63 Drive,E
2907,182.64,QWH-008,POINT (-73.85996246549243 40.71204016753331),Installed,Type D,Woodhaven Boulevard,Metropolitan Avenue,Cooper Avenue,W
2908,2.55,QWH-050,POINT (-73.85951716149869 40.71227816064931),Installed,Type D,Woodhaven Boulevard,Metropolitan Avenue,Polo Place,E
2909,178.65,QWH-009,POINT (-73.85548121952878 40.70217947174538),Installed,Type D,Woodhaven Boulevard,Myrtle Avenue,Forest Park Drive,W
2910,1.47,QWH-049,POINT (-73.85506787217257 40.702390720263274),Installed,Type D,Woodhaven Boulevard,Myrtle Avenue,Forest Park Drive,E
2911,155.76,QWH-010,POINT (-73.85225788874344 40.693400732411895),Removed Sign Only (Temporary),Type D,Woodhaven Boulevard,Jamaica Avenue,88 Avenue,W
2912,337.33,QWH-048,POINT (-73.85204430184187 40.69386263247375),Installed,Type D,Woodhaven Boulevard,Jamaica Avenue,86 Drive,E
2913,156.42,QWH-011,POINT (-73.85034694699368 40.69005465629546),Installed,Type D,Woodhaven Boulevard,91 Avenue,89 Avenue,W
2914,335.23,QWH-047,POINT (-73.85007977953953 40.69012142840438),Installed,Type D,Woodhaven Boulevard,91 Avenue,90 Avenue,E
2915,159.38,QWH-012,POINT (-73.84632703889811 40.68441782001375),Installed,Type D,Woodhaven Boulevard,101 Avenue,97 Avenue,W
2916,339.44,QWH-046,POINT (-73.84606679611335 40.684494794012735),Installed,Type D,Woodhaven Boulevard,101 Avenue,97 Avenue,E
2919,94,BCM-056,POINT (-73.93163984610652 40.669004406276976),Installed,Type B,Eastern Parkway,Utica Avenue,Schenectady Avenue,N
2920,19.55,WO-008,POINT (-73.90322520216793 40.745794015295104),Installed,Type B,61 Street,Roosevelt Avenue,39 Avenue,E
2921,158.53,BA-003,POINT (-73.77102212224577 40.76348613438666),Installed,Type A,Bell Boulevard,41 Avenue,41 Road,W
2928,173.62,QWH-013,POINT (-73.84481293301133 40.68041908774885),Installed,Type D,Cross Bay Boulevard,Liberty Avenue,Rockaway Boulevard,W
2929,344.83,QWH-045,POINT (-73.84442843701378 40.68015143054041),Installed,Type D,Cross Bay Boulevard,Liberty Avenue,108 Avenue,E
2931,349,QWH-044,POINT (-73.84293580463012 40.67198427808935),Installed,Type D,Cross Bay Boulevard,Pitkin Avenue,149 Avenue,E
2932,168.89,QWH-015,POINT (-73.84079464527926 40.66208767641368),Installed,Type D,Cross Bay Boulevard,157 Avenue,158 Avenue,W
2933,349.78,QWH-043,POINT (-73.84044052553757 40.66226035982701),Installed,Type D,Cross Bay Boulevard,157 Avenue,158 Avenue,E
2935,349.43,QWH-042,POINT (-73.83795361055533 40.65224343038361),Installed,Type D,Cross Bay Boulevard,163 Avenue,164 Avenue,E
2944,158.75,DB-060,POINT (-73.9812133219299 40.68981160119113),Installed,Type B,Flatbush Avenue Extension,Dekalb Avenue,Fulton Street,E
2946,158,RW-014,POINT (-73.8311576602029 40.58417021687807),Installed,Custom,Beach Channel Drive,Beach 108 Street,Rockaway Freeway,N
2947,112.34,BR-074,POINT (-74.03678019587885 40.63905602630002),Installed,Custom,Bay Ridge Avenue,Shore Road,Ferry Terminal,E
2950,44.83,SB-068,POINT (-74.01356245648749 40.68079228981604),Installed,Custom,Red Hook Ferry Terminal,Clinton Wharf,,S
2951,109.77,SB-069,POINT (-74.00178142893353 40.69238977070874),Installed,Custom,BBP Pier 6,,,E
2952,120.56,LI-058,POINT (-73.957521164531 40.7483029311322),Installed,Custom,Gantry Plaza State Park,Center Blvd,,E
2954,121.88,RI-001,POINT (-73.95284847547828 40.75679214313595),Installed,Custom,Roosevelt Island Ferry Terminal,E Main Street,North Loop Road,E
2955,21.34,AS-059,POINT (-73.93574068761384 40.77201441414165),Installed,Custom,Astoria Ferry Terminal,,,N
2957,17.57,LM-226,POINT (-74.01413272940808 40.70479904544312),Installed,Type B,Broadway,Battery Place,Morris Street,W
2959,31.06,LM-227,POINT (-74.00549117558664 40.71821618898604),Installed,Type B,Church Street,Franklin Street,Leonard Street,N
2960,120.92,LM-228,POINT (-74.01046181906781 40.71081654707686),Installed,Type A,Dey Street,Church Street,Broadway,S
2976,119,UE-053,POINT (-73.94410487598957 40.78315092827829),Installed,Type B,E 96 Street,FDR Drive,1 Avenue,N
2978,29,UE-038,POINT (-73.9663884988806 40.764924713593516),Installed,Type A,Lexington Avenue,E 63 Street,E 62 Street,W
2979,119,UE-039,POINT (-73.96441591599637 40.76791722953961),Installed,Type B,E 68 Street,Lexington Avenue,Park Avenue,S
2985,119,UE-045,POINT (-73.95688666610718 40.77743816703962),Pending Sign,Type B,E 83 Street,Lexington Avenue,3 Avenue,S
2991,119,UE-058,POINT (-73.96134819249717 40.76010328474935),Installed,Type B,E 60 Street,1 Avenue,York Avenue,S
2992,119,UE-059,POINT (-73.9640512898964 40.76138728902112),Installed,Type B,E 60 Street,2 Avenue,3 Avenue,N
3031,119.08,LM-230,POINT (-74.00199682652472 40.71501922331519),Removed Sign Only (Temporary),Type B,Worth Street,Centre Street,Hamill Place,S
3032,85.09,LM-231,POINT (-73.97910320130617 40.71227443589203),Installed,Type B,Cherry Street,Jackson Street,FDR Drive,S
3033,178,FG-046,POINT (-73.83323494555023 40.763066366496105),Installed,Type B,Prince Street,Northern Boulevard,35th Avenue,E
3034,68.39,CO-024,POINT (-73.85616834599674 40.75157871360905),Installed,Type B,Roosevelt Avenue,111 Street,108 Street,N
3038,93,DB-062,POINT (-73.98655124449994 40.69987002012386),Pending Sign,Type B,Sands Street,Jay Street,Jay Street,S
3039,171.36,DB-061,POINT (-73.97459061333456 40.68671201745623),Sign Held,Type B,South Portland Avenue,Fulton Street,Lafayette Avenue,W
3041,77.28,FG-047,POINT (-73.83530658851144 40.75131159736138),Installed,Type A,Fowler Avenue,131 Street,College Point Blvd,N
3044,30.4,LM-233,POINT (-74.00659998617931 40.718996228071646),Installed,Type B,West Broadway,Franklin Street,Franklin Street,S
3050,65.96,LM-232,POINT (-74.00060623139056 40.712964865842366),Installed,Type B,Park Row,Pearl Street,Worth Street,S
3053,155.3,FG-048,POINT (-73.83288565327351 40.76072317495859),Installed,Type B,Prince Street,37 Avenue,38 Avenue,W
3056,119,UW-052,POINT (-73.97628515169127 40.78813435271357),Installed,Type B,W 86 Street,Broadway,Amsterdam Avenue,S
3057,119,UE-098,POINT (-73.95112067194566 40.78603956289397),Installed,Type B,E 96 Street,Lexington Avenue,Park Avenue,N
3059,119,UM-143,POINT (-73.9451424008151 40.80000914167524),Installed,Type B,E 116 Street,Madison Avenue,5 Avenue,S
3063,28.15,UW-053,POINT (-73.96841800442515 40.79893675613928),Installed,Type B,Broadway,W 103 Street,W 102 Street,E
3066,19,UW-054,POINT (-73.96842708119726 40.79973903147819),Installed,Type B,Broadway,W 104 Street,W 103 Street,W
3070,167.06,CH-058,POINT (-73.99466376406014 40.71554123372612),Sign Held,Type D,Manhattan Bridge Bike Path,Canal Street,,E
3074,66.15,B82-009,POINT (-73.95375784703798 40.610506575793224),Pending Sign,Type D,Kings Highway,Ocean Parkway,E 19 Street,S
3077,38.4,B82-003,POINT (-73.99355355575271 40.60208166713139),Installed,Type D,Bay Parkway,86 Street,85 Street,E
3078,38.4,B82-004,POINT (-73.98921453384477 40.6062526673832),Pending Sign,Type D,Bay Parkway,78 Street,79 Street,E
3080,97.5,B82-006,POINT (-73.9724673330867 40.604154172235404),Installed,Type D,Kings Highway,McDonald Avenue,Dahill Road,S
3081,64.35,B82-007,POINT (-73.96165548424685 40.60734437631206),Pending Sign,Type D,Kings Highway,Coney Island Avenue,E 12 Street,S
3082,38.37,B82-002,POINT (-73.9969581897755 40.5987856252391),Pending Sign,Type D,Bay Parkway,Bath Avenue,Benson Avenue,E
3083,45.63,B82-010,POINT (-73.94453281431119 40.6161947854636),Sign Held,Type D,Kings Highway,Nostrand Avenue,E 32 Street,S
3086,319.59,B82-023,POINT (-73.88173440728217 40.64806135120507),Pending Sign,Type D,Pennsylvania Avenue,Schroeders Avenue,Delmar Loop,E
3088,331.77,B82-024,POINT (-73.8845014119731 40.6506369127878),Installed,Type D,Pennsylvania Avenue,Vandalia Avenue,Delmar Loop,E
3089,151.77,B82-020,POINT (-73.88483181985795 40.650521876928025),Pending Sign,Type D,Pennsylvania Avenue,Vandalia Avenue,Croton Loop,W
3092,49.5,B82-018,POINT (-73.89405367000018 40.64780989865984),Pending Sign,Type D,Flatlands Avenue,E 105 Street,E 106 Street,S
3093,229.5,B82-026,POINT (-73.89507299557722 40.6474103122949),Sign Held,Type D,Flatlands Avenue,E 105 Street,E 103 Street,N
3095,49.51,B82-017,POINT (-73.90182858253037 40.64540312340378),Installed,Type D,Glenwood Road,Rockaway Parkway,E 98 Street,S
3096,229.65,B82-028,POINT (-73.90587024450234 40.64041213366667),Pending Sign,Type D,Flatlands Avenue,Remsen Avenue,E 92 Street,N
3097,49.65,B82-016,POINT (-73.90607597622754 40.64006340029592),Pending Sign,Type D,Flatlands Avenue,Remsen Avenue,E 89 Street,S
3098,49.65,B82-015,POINT (-73.91274829812868 40.635754552818725),Pending Sign,Type D,Flatlands Avenue,E 81 Street,E 80 Street,S
3099,229.65,B82-029,POINT (-73.9123500652568 40.63621546445191),Pending Sign,Type D,Flatlands Avenue,E 81 Street,E 82 Street,N
3100,49.65,B82-014,POINT (-73.91812685185367 40.63228050385366),Pending Sign,Type D,Flatlands Avenue,Ralph Avenue,E 76 Street,S
3101,229.65,B82-030,POINT (-73.91832415935882 40.63235248403776),Pending Sign,Type D,Flatlands Avenue,Ralph Avenue,E 78 Street,N
3102,50.2,B82-013,POINT (-73.92785952900574 40.62600203638788),Pending Sign,Type D,Flatlands Avenue,Utica Avenue,Avenue K,S
3103,229.65,B82-031,POINT (-73.92805321003964 40.62608331803784),Pending Sign,Type D,Flatlands Avenue,Utica Avenue,E 49 Street,N
3104,41.19,B82-012,POINT (-73.93360159594656 40.62529655250809),Pending Sign,Type D,Kings Highway,Troy Avenue,E 41 Street,S
3106,246.58,B82-033,POINT (-73.93719273369234 40.622300804020696),Pending Sign,Type D,Kings Highway,Flatbush Avenue,Ryder Street,N
3107,220.85,B82-034,POINT (-73.94466971641089 40.61628355996194),Installed,Type D,Kings Highway,Nostrand Avenue,E 31 Street,N
3108,261.81,B82-035,POINT (-73.95391284457192 40.61100027147602),Pending Sign,Type D,Kings Highway,Ocean Avenue,E 19 Street,N
3110,247.45,B82-037,POINT (-73.9622786488092 40.60728639711112),Pending Sign,Type D,Kings Highway,Coney Island Avenue,E 9 Street,N
3111,29,UE-118,POINT (-73.96721583443778 40.77237716205469),Pending Sign,Type B,5 Avenue,E 72 Street,E 71 Street,W
3112,71.8912619399,FG-050,POINT (-73.82796612815493 40.760175149848045),Installed,Type B,Roosevelt Avenue,Lippman Plaza,Main Street,N
3114,29,UE-119,POINT (-73.96134910553516 40.78037536219853),Installed,Type B,5 Avenue,E 84 Street,E 85 Street,W
3120,82.1,EH-023,POINT (-73.8909154393014 40.746829242601954),Installed,Type B,Roosevelt Avenue,75 Street,74 Street,S
3121,260.75,B82-038,POINT (-73.97184789320553 40.60427885432685),Pending Sign,Type D,Kings Highway,McDonald Avenue,E 2 Street,N
3125,218.4,B82-040,POINT (-73.98959681837479 40.60612765707461),Pending Sign,Type D,Bay Parkway,79 Street,78 Street,W
3126,218.4,B82-041,POINT (-73.99377249275543 40.60209209464183),Pending Sign,Type D,Bay Parkway,86 Street,85 Street,W
3127,218.37,B82-042,POINT (-73.99726753507039 40.598750224470685),Pending Sign,Type D,Bay Parkway,Bath Avenue,Benson Avenue,W
3128,26.5,EX-002,POINT (-73.8726680473689 40.841276696287075),Installed,Type B,Morris Park Avenue,E 180 Street,Adams Street,W
3130,27.0649357538,UE-122,POINT (-73.94425905813056 40.78792272467661),Installed,Fingerpost,2 Avenue,E 102 Street,E 101 Street,E
3131,81.95,JH-043,POINT (-73.89255656288832 40.748819385447696),Installed,Type B,37 Avenue,73 Street,74 Street,S
3132,119,M14-002,POINT (-74.00225753291511 40.73955947975693),Installed,Type D,W 14 Street,8 Avenue,7 Avenue,S
3139,299,M14-008,POINT (-73.98970629641198 40.734416837103765),Installed,Type D,E 14 Street,Union Square East,Irving Place,N
3140,299,M14-009,POINT (-73.99716446722532 40.737581484403464),Pending Sign,Type D,W 14 Street,6 Avenue,7 Avenue,N
3143,210,UE-125,POINT (-73.94209822258794 40.77738668790017),Installed,Custom,E 90 Street,FDR Drive,,S
3144,355,LM-237,POINT (-73.979276958561 40.710216881182866),Installed,Custom,East River Esplanade,FDR Drive,Jackson Street,S
3145,259,MS-015,POINT (-73.97302844764404 40.73188065528004),Installed,Custom,East River Esplanade,FDR Drive,E 20 Street,W
3146,349,CP-001,POINT (-73.84891796702455 40.80415932401451),Installed,Custom,Soundview Avenue,Shorehaven Greenway,,S
3155,119,UE-126,POINT (-73.94796881470907 40.790372958846646),Installed,Type B,E 103 Street,Lexington Avenue,Park Avenue,S
3157,35.1658775393,UW-057,POINT (-73.97683047593938 40.788190608961706),Installed,Type B,Broadway,W 86 Street,W 85 Street,W
3180,299.14,UE-127,POINT (-73.94831722463064 40.78969880625159),Installed,Fingerpost,E 102 Street,Lexington Avenue,Park Avenue,S
3181,209.02,UE-128,POINT (-73.94654495047048 40.788793356535685),Installed,Fingerpost,3 Avenue,E 102 Street,E 99 Street,E
3190,208.67,UM-146,POINT (-73.94464576069059 40.800093895183984),Installed,Type B,Madison Avenue,E 116 Street,E 117 Street,E
3195,0,UW-063,POINT (-73.98199715210424 40.772715943447764),Pending Sign,Type B,Broadway,W 65 Street,W 64 Street,E
3196,120,UW-064,POINT (-73.98193680951267 40.77370346962398),Installed,Type B,W 66 Street,Columbus Ave,Broadway,S
3199,18.36,DB-066,POINT (-73.99121397060219 40.69977438315956),Pending Sign,Type B,Cadman Plaza West,Middagh Street,Clark Street,W
3212,2.78,DB-074,POINT (-73.98886199125363 40.69906370521054),Pending Sign,Type A,Adams Street,Red Cross Place,Tillary Street,W
3214,3,DB-075,POINT (-73.98833391127951 40.69916502085224),Pending Sign,Type A,Adams Street,Sands Street,Tillary Street,E
3216,119,PS-001,POINT (-73.99247892757624 40.74996412787987),Installed,Custom,7 Avenue,31 Street,32 Street,W
3217,29,PS-002,POINT (-73.99238558797957 40.749820952101864),Installed,Custom,7 Avenue,31 Street,32 Street,N
3218,29,PS-003,POINT (-73.9924488499202 40.749704949481405),Installed,Custom,7 Avenue,31 Street,32 Street,S
3219,29,PS-003,POINT (-142.79870371803085 -90),Installed,Custom,7 Avenue,31 Street,32 Street,S
3220,29,PS-004,POINT (-73.99252260012804 40.74960171217848),Installed,Custom,7 Avenue,31 Street,32 Street,S
3221,119,PS-005,POINT (-73.99200604040294 40.750267980771476),Installed,Custom,7 Avenue,31 Street,32 Street,W
3222,119,PS-006,POINT (-73.991998611528 40.75015763135684),Installed,Custom,7 Avenue,31 Street,32 Street,W
3223,29,PS-007,POINT (-73.99200979006135 40.75002464811426),Installed,Custom,7 Avenue,31 Street,32 Street,S
3224,119,PS-008,POINT (-73.99226654981591 40.74965117717709),Installed,Custom,7 Avenue,31 Street,32 Street,W
3225,29,PS-009,POINT (-73.9921789203063 40.74936113807765),Installed,Custom,7 Avenue,31 Street,32 Street,N
3226,29,PS-010,POINT (-73.99174559685402 40.75030474536787),Installed,Custom,7 Avenue,31 Street,32 Street,N
3227,118.73,UW-069,POINT (-73.97614540815226 40.780702816378984),Installed,Type B,W 77 Street,Columbus Avenue,Central Park West,N
3228,28.3306000407,UE-055,POINT (-73.95657950561487 40.77797634682489),Installed,Type A,Lexington Avenue,E 84 Street,E 83 Street,E
3230,92,DB-076,POINT (-73.98706372370769 40.69227516325185),Installed,Type B,Willoughby Street,Jay Street,Lawrence Street,N
3231,29,UE-129,POINT (-73.97225207982704 40.7654322349117),Pending Sign,Type B,5 Avenue,E 61 Street,E 62 Street,W
3237,177.58,CO-030,POINT (-73.87591981934123 40.770074438806155),Installed,Type B,94 Street,Ditmars Boulevard,23 Avenue,E
3252,355.11,NR-159,POINT (-73.94945767925748 40.65056673205802),Installed,Type B,Nostrand Avenue,Church Avenue,Snyder Avenue,E
3257,110,DB-078,POINT (-73.99267340783284 40.68985968038506),Pending Sign,Type B,Atlantic Avenue,Court Street,Clinton Street,N
3264,119,UE-138,POINT (-73.96181002919089 40.76027876974674),Pending Blades,Fingerpost,E 60 Street,1 Avenue,2 Avenue,S
3277,34.93,UW-074,POINT (-73.97440082600451 40.79664619324071),Pending Sign,Type B,Riverside Drive,W 97 Street,W 97 Street,W
3278,316,LM-239,POINT (-74.0038427562049 40.71164751471961),Installed,Custom,Park Row,Frankfort Street,Pearl Street,S
3290,3.9,FG-051,POINT (-73.82467229903835 40.739591962987106),Sign Held,Type B,Main Street,Reeves Avenue,Gravett Road,E
3294,209,MT-231,POINT (-73.99306134576123 40.75804766687055),Pending Sign,Type B,9 Avenue,W 41 Street,W 42 Street,W
3295,29,MT-232,POINT (-73.97948205135833 40.752682269872444),Pending Sign,Type A,Madison Avenue,E 42 Street,E 41 Street,W
3296,119,MT-233,POINT (-73.99242845524093 40.75822480495483),Pending Sign,Type A,W 42 Street,9 Avenue,8 Avenue,S
3297,28.71,UW-075,POINT (-73.97627859208312 40.79540532899097),Pending Sign,Type B,Riverside Drive,Henry Hudson Parkway,W 79 Street,W
3298,29.02,UE-141,POINT (-73.96411140327373 40.773424944738615),Pending Sign,Type B,Madison Avenue,E 75 Street,E 74 Street,E
3306,29,MT-234,POINT (-73.97464117464038 40.753221874898955),Pending Sign,Type A,Lexington Avenue,E 45 Street,E 44 Street,E
3387,117.14,SB-085,POINT (-73.97527880186313 40.68076754689629),Pending Sign,Type B,Bergen Street,Flatbush Avenue,5 Avenue,S
