impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-126386,A610466,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2102933,LOST,Voldemort,Cat,,Male,Norwegian Forest Cat,Unknown,03/31/2020 12:00:00 AM,Date Lost,17655 SE AUBURN-BLACK DIAMOND ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2102933,Image Copyright HLP Inc. 2020,,
K20-127065,A612659,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Female,Domestic Shorthair,Gray,05/07/2020 12:00:00 AM,Received on,4800 S 145TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612659,Image Copyright HLP Inc. 2020,"Received on: 2020-05-07<p/> Found Near: 4800 S 145TH ST, TUKWILA WA 98168<p/> Description: Gray Female Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-126370,A610397,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2102217,LOST,Cheshire,Cat,,Male,Domestic Shorthair,Unknown,03/29/2020 12:00:00 AM,Date Lost,122ND PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2102217,Image Copyright HLP Inc. 2020,,
K20-126973,A612410,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2116728,In Public Home,,Dog,,Female,Siberian Husky,White / Unknown,05/04/2020 12:00:00 AM,Date Found,3841 20TH AVE SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2116728,Image Copyright HLP Inc. 2020,,
K20-127227,A612971,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612971,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 WEEKS,Female,Domestic Shorthair,Black / White,05/10/2020 12:00:00 AM,Received on,3500 S 130TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612971,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Found Near: 3500 S 130TH ST, TUKWILA WA 98168<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127198,A612886,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612886,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 WEEKS,Male,Chihuahua - Smooth Coated,Brown / Tan,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612886,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Brown / Tan Male Chihuahua - Smooth Coated Dog<p/> Age: 2 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127239,A612976,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2119289,LOST,Commie,Cat,Over 1 year,Male,Turkish Angora,Unknown,05/03/2020 12:00:00 AM,Date Lost,4210 S 173RD ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2119289,Image Copyright HLP Inc. 2020,Description: <p/>Age: Over 1 year<p/>Location Lost: 4210 S 173rd St<p/>Notes: <p/>Lost Date: 05/03/2020<p/>,
K20-126366,A610383,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2102132,LOST,Manny,Dog,,Male,Chihuahua - Long Haired,Unknown,03/31/2020 12:00:00 AM,Date Lost,17112 10TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2102132,Image Copyright HLP Inc. 2020,,
K20-126669,A611533,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2110374,LOST,Junsei,Cat,,Male,Domestic Longhair,Unknown,04/18/2020 12:00:00 AM,Date Lost,816 165TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2110374,Image Copyright HLP Inc. 2020,,
K20-127228,A612972,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612972,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 WEEKS,Female,Domestic Shorthair,Black / White,05/10/2020 12:00:00 AM,Received on,3500 S 130TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612972,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Found Near: 3500 S 130TH ST, TUKWILA WA 98168<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126555,A611150,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,2 YEARS,Male,Domestic Mediumhair,Brn Tabby,04/13/2020 12:00:00 AM,Received on,15100 42ND AVE S,TUKWILA,WA,98188,TUKWILA,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-13<p/> Found Near: 15100 42ND AVE S, TUKWILA WA 98188<p/> Description: Brn Tabby Male Domestic Mediumhair Cat<p/> Age: 2 YEARS<p/>",
K20-126570,A611196,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2107620,LOST,,Dog,,Female,German Shepherd,Unknown,03/29/2020 12:00:00 AM,Date Lost,S. 48TH STREET AND TALBOT ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2107620,Image Copyright HLP Inc. 2020,,
K20-127068,A612685,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612685,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pineapple,Dog,1 YEAR,Male,Chihuahua - Smooth Coated,Tan,05/07/2020 12:00:00 AM,Received on,10600 SE 232ND ST,KENT,WA,98031,KENT,47.394602,-122.199586,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612685,Image Copyright HLP Inc. 2020,"Received on: 2020-05-07<p/> Found Near: 10600 SE 232ND ST, KENT WA 98031<p/> Description: Tan Male Chihuahua - Smooth Coated Dog<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
