impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-127213,A612925,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,1 YEAR 6 MONTHS,Male,Chihuahua - Smooth Coated / Mix,Brown / Cream,05/09/2020 12:00:00 AM,Received on,9900 S 248TH ST,KENT,WA,98030,KENT,47.379776,-122.208458,,Image Copyright HLP Inc. 2020,"Received on: 2020-05-09<p/> Found Near: 9900 S 248TH ST, KENT WA 98030<p/> Description: Brown / Cream Male Chihuahua - Smooth Coated / Mix Dog<p/> Age: 1 YEAR 6 MONTHS<p/>",
K20-127191,A612870,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612870,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,NO AGE,Unaltered,Rabbit Sh,Gray,05/08/2020 12:00:00 AM,Received on,4800 88TH PL SE,MERCER ISLAND,WA,98040,MERCER ISLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612870,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 4800 88TH PL SE, MERCER ISLAND WA 98040<p/> Description: Gray Unaltered Rabbit Sh Rabbit Sh<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127194,A612875,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612875,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,4 WEEKS,Male,Chihuahua - Smooth Coated,Black / Brown,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612875,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Black / Brown Male Chihuahua - Smooth Coated Dog<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127236,A611930,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A611930,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,9 WEEKS,Neutered Male,Shih Tzu,Brown / Black,05/10/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A611930,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Description: Brown / Black<p/>  Neutered Male Shih Tzu Dog<p/> Age: 9 WEEKS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! I am an adorable 9 week old puppy who came into the shelter back in April.<p/><p/>I am currently in foster care, but will coming back to the shelter to be adopted. I will be available by appointment only starting on Monday May 11, 2020. <p/><p/>If you are interested in setting up an appointment, please go to our website at www.kingcounty.gov/pets. The link to sign up for an appointment will be going live at 6am Monday May 11th. See our website for more details!<p/><p/>Please be patient while we navigate this new adoption process. Thank you and we are excited to meet you!<p/>",
K20-126591,A611287,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2108365,LOST,Edith,Cat,,Female,Bengal,Unknown,04/13/2020 12:00:00 AM,Date Lost,6057 25TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2108365,Image Copyright HLP Inc. 2020,,
K20-127019,A612506,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117414,In Public Home,,Dog,,Female,German Shepherd,Black / Brown,05/05/2020 12:00:00 AM,Date Found,26040 SE 216 ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117414,Image Copyright HLP Inc. 2020,,
K20-126550,A611124,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2107277,LOST,Jayne,Cat,,Male,Domestic Shorthair,Unknown,03/31/2020 12:00:00 AM,Date Lost,166TH AVE CT E,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2107277,Image Copyright HLP Inc. 2020,,
K20-126661,A611497,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2110171,In Public Home,,Cat,,Male,Domestic Longhair,Black / White,04/19/2020 12:00:00 AM,Date Found,S 272ND ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2110171,Image Copyright HLP Inc. 2020,,
K20-126416,A610533,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2103628,In Public Home,,Dog,,Female,Alaskan Malamute,Black / White,04/03/2020 12:00:00 AM,Date Found,"5302 149TH ST SW , #24",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2103628,Image Copyright HLP Inc. 2020,,
K20-126489,A610816,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2105393,LOST,Cici,Dog,,Female,Pit Bull,Unknown,04/01/2020 12:00:00 AM,Date Lost,STOLEN FROM MY HOUSE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2105393,Image Copyright HLP Inc. 2020,,
K20-126828,A612022,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,3 YEARS,Male,Domestic Shorthair,Org Tabby,04/27/2020 12:00:00 AM,Received on,20000 3RD AVE NW,SHORELINE,WA,98177,SHORELINE,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-27<p/> Found Near: 20000 3RD AVE NW, SHORELINE WA 98177<p/> Description: Org Tabby Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/>",
K20-127237,A611931,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A611931,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,9 WEEKS,Neutered Male,Shih Tzu,Apricot,05/10/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A611931,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Description: Apricot<p/>  Neutered Male Shih Tzu Dog<p/> Age: 9 WEEKS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! I am an adorable 9 week old puppy who came into the shelter back in April.<p/><p/>I am currently in foster care, but will coming back to the shelter to be adopted. I will be available by appointment only starting on Monday May 11, 2020. <p/><p/>If you are interested in setting up an appointment, please go to our website at www.kingcounty.gov/pets. The link to sign up for an appointment will be going live at 6am Monday May 11th. See our website for more details!<p/><p/>Please be patient while we navigate this new adoption process. Thank you and we are excited to meet you!<p/>",
K20-126659,A611493,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2110091,LOST,Luna,Cat,,Female,Domestic Longhair,Unknown,04/19/2020 12:00:00 AM,Date Lost,70 BIG BEAR PL NW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2110091,Image Copyright HLP Inc. 2020,,
K20-126942,A612307,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A612307,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Hemingway,Cat,8 YEARS,Neutered Male,Domestic Shorthair,Flame Pt,05/02/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612307,Image Copyright HLP Inc. 2020,"Received on: 2020-05-02<p/> Description: Flame Pt<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 8 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Hemingway and I am available for adoption.<p/><p/>I was brought in by a good samaritan on MAy 2, 2020.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K20-126611,A611349,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2108698,In Public Home,,Cat,,,Domestic Longhair,Brown / Unknown,04/09/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2108698,Image Copyright HLP Inc. 2020,,
K20-126415,A610515,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2103513,In Public Home,,Dog,,Female,German Shepherd,Brown / Black,03/28/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2103513,Image Copyright HLP Inc. 2020,,
K20-126506,A610899,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2105689,LOST,Aero,Bird,,Male,Domestic,Unknown,04/09/2020 12:00:00 AM,Date Lost,240TH AVE SE AND 108TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2105689,Image Copyright HLP Inc. 2020,,
K20-127036,A612602,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,2 YEARS,Male,Domestic Mediumhair,Black,05/06/2020 12:00:00 AM,Received on,24400 180TH AVE SE,KENT,WA,98042,KING COUNTY,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 24400 180TH AVE SE, KENT WA 98042<p/> Description: Black Male Domestic Mediumhair Cat<p/> Age: 2 YEARS<p/>",
K20-126753,A611852,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2112661,LOST,Oliver,Cat,,Male,Abyssinian,Unknown,04/23/2020 12:00:00 AM,Date Lost,273RD AND 14TH CT S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2112661,Image Copyright HLP Inc. 2020,,
K20-126875,A612151,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Baron,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,04/29/2020 12:00:00 AM,Received on,700 CLARK AVE N,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612151,Image Copyright HLP Inc. 2020,"Received on: 2020-04-29<p/> Found Near: 700 CLARK AVE N, KENT WA 98031<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: In RASKC Foster Home <p/>",RED
K20-126498,A610889,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2105549,LOST,Lilu,Cat,,Female,Domestic Shorthair,Unknown,04/03/2020 12:00:00 AM,Date Lost,2264 157TH PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2105549,Image Copyright HLP Inc. 2020,,
K20-127032,A612576,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117565,LOST,Circe,Cat,,Female,Domestic Mediumhair,Unknown,05/05/2020 12:00:00 AM,Date Lost,133RD AND 134TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117565,Image Copyright HLP Inc. 2020,,
K20-127193,A612874,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612874,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,4 WEEKS,Male,Chihuahua - Smooth Coated,Black / Brown,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612874,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Black / Brown Male Chihuahua - Smooth Coated Dog<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126351,A610327,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2101643,LOST,Wheezy,Cat,,Male,Domestic Mediumhair,Unknown,03/30/2020 12:00:00 AM,Date Lost,N 117TH ST & PALATINE AVE N,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2101643,Image Copyright HLP Inc. 2020,,
K20-127030,A612554,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,05/06/2020 12:00:00 AM,Received on,11800 SE 227TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612554,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 11800 SE 227TH PL, KENT WA 98031<p/> Description: White Unaltered Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Current Location: In RASKC Foster Home <p/>",
K20-126867,A612142,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2114982,LOST,Janni,Cat,,Female,Domestic Mediumhair,Unknown,04/28/2020 12:00:00 AM,Date Lost,SAME,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2114982,Image Copyright HLP Inc. 2020,,
K20-126992,A612452,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612452,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bubba,Cat,8 YEARS,Neutered Male,Domestic Shorthair,Black,05/05/2020 12:00:00 AM,Received on,20400 196TH AVE SE,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612452,Image Copyright HLP Inc. 2020,"Received on: 2020-05-05<p/> Found Near: 20400 196TH AVE SE, RENTON WA 98058<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 8 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K20-126714,A611656,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2111561,LOST,Piper,Dog,,Female,Yorkshire Terrier,Unknown,04/16/2020 12:00:00 AM,Date Lost,,,WA,98108,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2111561,Image Copyright HLP Inc. 2020,,
K20-127211,A612922,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612922,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,9 MONTHS,Female,Labrador Retriever,Black,05/09/2020 12:00:00 AM,Received on,24000 64TH AVE S,KENT,WA,98032,KING COUNTY,47.389517,-122.254835,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612922,Image Copyright HLP Inc. 2020,"Received on: 2020-05-09<p/> Found Near: 24000 64TH AVE S, KENT WA 98032<p/> Description: Black Female Labrador Retriever Dog<p/> Age: 9 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126637,A611455,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Female,Domestic Shorthair,Brn Tabby / White,04/18/2020 12:00:00 AM,Received on,13500 MILITARY RD S,TUKWILA,WA,98168,TUKWILA,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-18<p/> Found Near: 13500 MILITARY RD S, TUKWILA WA 98168<p/> Description: Brn Tabby / White Female Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K20-126517,A610983,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2106016,LOST,Harley,Dog,,Female,Pit Bull,Unknown,04/10/2020 12:00:00 AM,Date Lost,116TH & 240TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2106016,Image Copyright HLP Inc. 2020,,
K20-126930,A612274,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2116136,LOST,Harley,Dog,,Female,German Shepherd,Unknown,05/01/2020 12:00:00 AM,Date Lost,SOUTHCENTER PARKWAY & 200TH NEAR BRIDGE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2116136,Image Copyright HLP Inc. 2020,,
K20-127222,A610846,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A610846,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Coco,Dog,9 MONTHS,Spayed Female,Pit Bull / Labrador Retriever,Brown / White,05/10/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A610846,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Description: Brown / White<p/>  Spayed Female Pit Bull / Labrador Retriever Dog<p/> Age: 9 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Coco and I am available for adoption. I weigh approximately 41 pounds! <p/><p/>I was brought in by my previous owner on April 9, 2020 because they don't have time for me. My previous owner described me as playful and full of energy.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other dogs. When meeting dogs in a new home, I would do best with <p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K20-126319,A610236,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2100687,LOST,Panda,Dog,,Female,Shih Tzu,Unknown,03/28/2020 12:00:00 AM,Date Lost,SOMERSET LANE & HAMPTON WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2100687,Image Copyright HLP Inc. 2020,,
K20-127018,A612505,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Male,Siberian Husky,Brown / White,05/06/2020 12:00:00 AM,Received on,26400 PACIFIC HWY S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 26400 PACIFIC HWY S, KENT WA 98032<p/> Description: Brown / White Male Siberian Husky Dog<p/> Age: NO AGE<p/>",
K20-126756,A611899,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2112798,LOST,Molly,Cat,,Female,American Shorthair,Unknown,04/21/2020 12:00:00 AM,Date Lost,148TH NEAR 208TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2112798,Image Copyright HLP Inc. 2020,,
K20-126743,A611725,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2112198,LOST,Bella,Cat,,Female,Bengal,Unknown,04/20/2020 12:00:00 AM,Date Lost,3859 S 305TH PLACE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2112198,Image Copyright HLP Inc. 2020,,
K20-126760,A611903,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2112870,LOST,Kitty,Cat,,Male,Maine Coon,Unknown,04/18/2020 12:00:00 AM,Date Lost,SW CAMPUS PARKWAY AND 10TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2112870,Image Copyright HLP Inc. 2020,,
K20-126995,A612458,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117085,In Public Home,,Cat,,Female,Domestic Shorthair,Black,04/10/2020 12:00:00 AM,Date Found,1419 W JAMES CT APT R1,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117085,Image Copyright HLP Inc. 2020,,
K20-127020,A612539,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117513,LOST,Mittens,Cat,,Female,Domestic Mediumhair,Unknown,05/04/2020 12:00:00 AM,Date Lost,8403 375TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117513,Image Copyright HLP Inc. 2020,,
