Area,Sub Area,Collection Sequence,Date Sign Posted (Round 1),Planned Start (Round 1),Date Area Started (Round 1),Date Area Ended (Round 1),Date Sign Posted (Round 2),Planned Start (Round 2),Date Area Started (Round 2),Date Area Ended (Round 2)
6,D,1,10/28/2019 12:00:00 AM,11/11/2019,11/11/2019,11/13/2019,11/19/2019,11/29/2019,11/29/2019,11/30/2019
6,B,3,10/30/2019 12:00:00 AM,11/14/2019,11/16/2019,11/18/2019,11/20/2019,12/03/2019,12/03/2019,12/04/2019
4,B,5,10/31/2019 12:00:00 AM,11/19/2019,11/19/2019,11/23/2019,11/23/2019,12/06/2019,12/06/2019,12/07/2019
4,C,1,10/28/2019 12:00:00 AM,11/11/2019,11/11/2019,11/12/2019,11/19/2019,11/29/2019,11/29/2019,11/30/2019
13,M,5,10/30/2019 12:00:00 AM,11/16/2019,11/29/2019,12/02/2019,12/02/2019,12/09/2019,12/09/2019,12/12/2012
5,C,5,10/29/2019 12:00:00 AM,11/19/2019,11/19/2019,11/19/2019,11/20/2019,12/03/2019,12/12/2019,12/18/2019
7,F,4,10/29/2019 12:00:00 AM,11/16/2019,11/16/2019,11/18/2019,11/20/2019,12/03/2019,12/05/2019,12/07/2019
12,F,2,10/29/2019 12:00:00 AM,11/13/2019,11/13/2019,11/15/2019,11/20/2019,12/02/2019,12/02/2019,12/03/2019
3,D,4,10/31/2019 12:00:00 AM,11/14/2019,11/15/2019,11/19/2019,11/19/2019,12/02/2019,12/06/2019,12/07/2019
6,E,5,10/31/2019 12:00:00 AM,11/19/2019,11/21/2019,11/23/2019,11/23/2019,12/06/2019,12/06/2019,12/07/2019
2,A,9,11/06/2019 12:00:00 AM,11/22/2019,11/27/2019,11/30/2019,11/30/2019,12/12/2019,12/12/2019,12/18/2019
9,C,1,10/22/2019 12:00:00 AM,11/11/2019,11/11/2019,11/12/2019,11/18/2019,11/29/2019,12/02/2019,12/03/2019
