ENUMBER,CEQR_NUM,the_geom,ULURP_NUM,BOROCODE,TAXBLOCK,TAXLOT,BBL
E-257,10DCP039M,POINT (-74.00606434517317 40.72154621731247),100369zmm,1,212,18,1002120018
E-257,10DCP039M,POINT (-74.00496955479714 40.7212914705947),100369zmm,1,212,70,1002120070
E-257,10DCP039M,POINT (-74.00618345673378 40.72062817206637),100369zmm,1,212,7505,1002127505
E-257,10DCP039M,POINT (-74.00968494202168 40.720916605339696),100369zmm,1,214,3,1002140003
E-257,10DCP039M,POINT (-74.00934727394406 40.72119618294575),100369zmm,1,214,12,1002140012
E-257,10DCP039M,POINT (-74.00923015060256 40.72161710046656),100369zmm,1,215,1,1002150001
E-162,06DCP067M,POINT (-74.01116104448323 40.72183520578244),040543ZMM,1,217,7503,1002177503
E-257,10DCP039M,POINT (-74.01022096822115 40.72191499536892),100369zmm,1,217,7504,1002177504
E-257,10DCP039M,POINT (-74.00747560099114 40.72237487320999),100369zmm,1,220,28,1002200028
E-257,10DCP039M,POINT (-74.0075515046972 40.72238285667586),100369zmm,1,220,29,1002200029
E-257,10DCP039M,POINT (-74.0077954823456 40.72240685340004),100369zmm,1,220,31,1002200031
E-162,06DCP067M,POINT (-74.01061490983199 40.72330274468143),040543ZMM,1,223,13,1002230013
R-76,06DCP067M,POINT (-74.01061490983199 40.72330274468143),040543 ZMM,1,223,13,1002230013
E-162,06DCP067M,POINT (-74.01067000554325 40.723088834401466),040543ZMM,1,223,18,1002230018
E-162,06DCP067M,POINT (-74.01068696495257 40.722995408584715),040543ZMM,1,223,20,1002230020
R-76,06DCP067M,POINT (-74.01068696495257 40.722995408584715),040543 ZMM,1,223,20,1002230020
E-257,10DCP039M,POINT (-74.01015665784357 40.72311660751279),100369zmm,1,223,23,1002230023
E-257,10DCP039M,POINT (-74.01012617666711 40.723300878721666),100369zmm,1,223,26,1002230026
E-257,10DCP039M,POINT (-74.00983292907462 40.72327159165972),100369zmm,1,223,29,1002230029
E-257,10DCP039M,POINT (-74.00985742337888 40.72312134318426),100369zmm,1,223,31,1002230031
E-257,10DCP039M,POINT (-74.00986720992687 40.723035549018974),100369zmm,1,223,33,1002230033
E-257,10DCP039M,POINT (-74.00988455570301 40.722946014387745),100369zmm,1,223,35,1002230035
E-162,06DCP067M,POINT (-74.01076938914144 40.723889573329686),040543ZMM,1,224,1,1002240001
R-76,06DCP067M,POINT (-74.01076938914144 40.723889573329686),040543 ZMM,1,224,1,1002240001
E-257,10DCP039M,POINT (-74.00995881624452 40.72368238237829),100369zmm,1,224,32,1002240032
E-257,10DCP039M,POINT (-74.00902345587944 40.72386240194544),100369zmm,1,225,4,1002250004
E-257,10DCP039M,POINT (-74.00879381584501 40.72369514831621),100369zmm,1,225,6,1002250006
E-288,12DCP045M,POINT (-74.00577716017487 40.7227340292765),120380ZMM,1,227,63,1002270063
R-124,07DCP038M,POINT (-74.00315920193437 40.720824698622714),070161 ZSM,1,229,1,1002290001
E-364,16DCP026M,POINT (-74.00269251760011 40.72033349057254),150384ZSM,1,230,5,1002300005
E-365,16DCP027M,POINT (-74.0027536665111 40.72037540334924),150385ZSM,1,230,6,1002300006
E-402,17DCP062M,POINT (-74.00268636318583 40.72069057611492),170137ZSM,1,230,13,1002300013
R-131,07DCP045M,POINT (-74.00224516720095 40.72006961120181),070055 ZSM,1,231,5,1002310005
R-89,06DCP097M,POINT (-74.0018704023359 40.72038400294364),070105 ZSM,1,231,16,1002310016
