InspectionID,CSNumber,MW,OvCond,isClosed,isOfficially,HandDryersAm,ChangingTablesAm,MirrorsAm,UrinalsAm,UrinalsComm,ToiletsAm,ToiletsComm,SinksAm,SinksComm,ToiletPaperDispAm,ToiletPaperDispComm,SoapDispAm,SoapDispComm,PaperTowelDispAm,PaperTowelDispComm,Comm
60284,1,W1,A,0,0,0,0,0,,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,bar soap present
42559,1,M1,A,0,0,0,0,0,1,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,0,,1,Metal-Painted White,
67269,1,M1,N,1,1,1,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,Plgd under construction.
101166,1,M1,A,0,0,1,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
80428,1,W1,A,0,0,1,1,1,,,4,Stainless Steel,2,Stainless Steel,4,2-ply or more,1,Stainless Steel,0,,
83271,1,M1,A,0,0,1,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Stainless Steel,1,Stainless Steel,
102740,1,W1,A,0,0,1,1,2,,,4,Stainless Steel,2,Stainless Steel,4,Tamper Proof Stainless Steel,2,Stainless Steel,0,,
73834,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
91911,1,W1,A,0,0,0,1,0,,,1,Porcelain,1,Porcelain,1,Fully Enclosed (Big Giant Roll),1,Stainless Steel,1,Metal-Painted White,
52794,1,W1,A,0,0,0,0,0,,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Soap Globe,1,Metal-Painted White,
67009,1,M1,N,1,0,1,0,0,3,Stainless Steel,2,Stainless Steel,1,Stainless Steel,2,Standard,1,Stainless Steel,,,Entire plgd closed for safety reasons due to leftover snow
64179,1,M1,A,0,0,1,0,1,1,Porcelain,1,Porcelain,1,Porcelain,1,Standard,1,Soap Globe,0,,
52215,1,M1,U,0,0,0,0,1,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,1,Metal-Painted White,
102801,1,W1,A,0,0,1,0,1,,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
88428,1,W1,N,1,1,,,,,,,,,,,,,,,,
98710,1,M1,U,0,0,1,0,0,6,Porcelain,3,Porcelain,1,Porcelain,3,2-ply or more,1,Stainless Steel,0,,
73433,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Porcelain,1,Tamper Proof Stainless Steel,2,Soap Globe,1,Stainless Steel,
96863,1,W1,U,1,0,1,1,0,,,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
92542,1,M1,A,0,0,1,0,0,2,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,0,,Men's room door being replaced during inspection
96393,1,M1,A,0,0,1,0,0,4,Porcelain,2,Porcelain,1,Porcelain,2,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
93121,1,W1,A,0,0,1,0,0,,,3,Porcelain,4,Porcelain,2,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
68175,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Stainless Steel,1,Stainless Steel,
69641,1,W1,A,0,0,0,0,0,,,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,
83143,1,M1,A,0,0,0,0,1,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Metal-Painted White,
43007,1,W1,A,0,0,1,0,2,,,3,Stainless Steel,2,Stainless Steel,3,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
69655,1,M1,N,1,1,0,0,0,,,,,,,,,,,,,
74180,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Porcelain,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Metal-Painted White,
