State,Year,Month,Period,Indicator,Data Value
UNITED STATES,2019,January,12 Month-ending,Number of Infant Deaths,21200
UNITED STATES,2019,February,12 Month-ending,Number of Infant Deaths,21100
UNITED STATES,2019,March,12 Month-ending,Number of Infant Deaths,20900
ALABAMA,2018,January,Monthly,Number of Deaths,5683
ALASKA,2018,January,Monthly,Number of Deaths,392
ARIZONA,2018,January,Monthly,Number of Deaths,6320
ARKANSAS,2018,January,Monthly,Number of Deaths,3348
CALIFORNIA,2018,January,Monthly,Number of Deaths,28445
COLORADO,2018,January,Monthly,Number of Deaths,3676
CONNECTICUT,2018,January,Monthly,Number of Deaths,3118
DELAWARE,2018,January,Monthly,Number of Deaths,884
DISTRICT OF COLUMBIA,2018,January,Monthly,Number of Deaths,529
FLORIDA,2018,January,Monthly,Number of Deaths,20357
GEORGIA,2018,January,Monthly,Number of Deaths,8754
HAWAII,2018,January,Monthly,Number of Deaths,1046
IDAHO,2018,January,Monthly,Number of Deaths,1315
ILLINOIS,2018,January,Monthly,Number of Deaths,11365
INDIANA,2018,January,Monthly,Number of Deaths,6736
IOWA,2018,January,Monthly,Number of Deaths,2916
KANSAS,2018,January,Monthly,Number of Deaths,2724
KENTUCKY,2018,January,Monthly,Number of Deaths,4916
LOUISIANA,2018,January,Monthly,Number of Deaths,4848
MAINE,2018,January,Monthly,Number of Deaths,1340
MARYLAND,2018,January,Monthly,Number of Deaths,4911
MASSACHUSETTS,2018,January,Monthly,Number of Deaths,5819
MICHIGAN,2018,January,Monthly,Number of Deaths,9598
MINNESOTA,2018,January,Monthly,Number of Deaths,4338
MISSISSIPPI,2018,January,Monthly,Number of Deaths,3459
MISSOURI,2018,January,Monthly,Number of Deaths,6654
MONTANA,2018,January,Monthly,Number of Deaths,856
NEBRASKA,2018,January,Monthly,Number of Deaths,1650
NEVADA,2018,January,Monthly,Number of Deaths,2507
NEW HAMPSHIRE,2018,January,Monthly,Number of Deaths,1195
NEW JERSEY,2018,January,Monthly,Number of Deaths,7476
NEW MEXICO,2018,January,Monthly,Number of Deaths,1793
NEW YORK,2018,January,Monthly,Number of Deaths,15850
NORTH CAROLINA,2018,January,Monthly,Number of Deaths,9352
NORTH DAKOTA,2018,January,Monthly,Number of Deaths,619
OHIO,2018,January,Monthly,Number of Deaths,12781
OKLAHOMA,2018,January,Monthly,Number of Deaths,4285
OREGON,2018,January,Monthly,Number of Deaths,3469
PENNSYLVANIA,2018,January,Monthly,Number of Deaths,13339
RHODE ISLAND,2018,January,Monthly,Number of Deaths,978
SOUTH CAROLINA,2018,January,Monthly,Number of Deaths,5063
SOUTH DAKOTA,2018,January,Monthly,Number of Deaths,733
TENNESSEE,2018,January,Monthly,Number of Deaths,7189
TEXAS,2018,January,Monthly,Number of Deaths,21506
UTAH,2018,January,Monthly,Number of Deaths,1706
VERMONT,2018,January,Monthly,Number of Deaths,587
VIRGINIA,2018,January,Monthly,Number of Deaths,6793
WASHINGTON,2018,January,Monthly,Number of Deaths,5409
WEST VIRGINIA,2018,January,Monthly,Number of Deaths,2485
WISCONSIN,2018,January,Monthly,Number of Deaths,5265
WYOMING,2018,January,Monthly,Number of Deaths,459
PUERTO RICO,2018,January,Monthly,Number of Deaths,2844
ALABAMA,2018,February,Monthly,Number of Deaths,4522
ALASKA,2018,February,Monthly,Number of Deaths,343
ARIZONA,2018,February,Monthly,Number of Deaths,4924
ARKANSAS,2018,February,Monthly,Number of Deaths,2705
CALIFORNIA,2018,February,Monthly,Number of Deaths,22568
COLORADO,2018,February,Monthly,Number of Deaths,3156
CONNECTICUT,2018,February,Monthly,Number of Deaths,2573
DELAWARE,2018,February,Monthly,Number of Deaths,796
DISTRICT OF COLUMBIA,2018,February,Monthly,Number of Deaths,424
FLORIDA,2018,February,Monthly,Number of Deaths,17565
GEORGIA,2018,February,Monthly,Number of Deaths,7105
HAWAII,2018,February,Monthly,Number of Deaths,942
IDAHO,2018,February,Monthly,Number of Deaths,1149
ILLINOIS,2018,February,Monthly,Number of Deaths,9121
INDIANA,2018,February,Monthly,Number of Deaths,5403
IOWA,2018,February,Monthly,Number of Deaths,2603
KANSAS,2018,February,Monthly,Number of Deaths,2348
KENTUCKY,2018,February,Monthly,Number of Deaths,3967
LOUISIANA,2018,February,Monthly,Number of Deaths,3760
MAINE,2018,February,Monthly,Number of Deaths,1207
MARYLAND,2018,February,Monthly,Number of Deaths,4207
MASSACHUSETTS,2018,February,Monthly,Number of Deaths,4960
MICHIGAN,2018,February,Monthly,Number of Deaths,8371
MINNESOTA,2018,February,Monthly,Number of Deaths,3691
MISSISSIPPI,2018,February,Monthly,Number of Deaths,2669
MISSOURI,2018,February,Monthly,Number of Deaths,5420
MONTANA,2018,February,Monthly,Number of Deaths,830
NEBRASKA,2018,February,Monthly,Number of Deaths,1373
NEVADA,2018,February,Monthly,Number of Deaths,1963
NEW HAMPSHIRE,2018,February,Monthly,Number of Deaths,1081
NEW JERSEY,2018,February,Monthly,Number of Deaths,6444
NEW MEXICO,2018,February,Monthly,Number of Deaths,1635
