the_geom,OBJECTID,TILE_NAME
"MULTIPOLYGON (((-97.750292313171 30.332241494749, -97.750291317382 30.320524994526, -97.771119795394 30.320524908767, -97.771120943479 30.332241361128, -97.750292313171 30.332241494749)))",1373,H27
"MULTIPOLYGON (((-97.500284098919 30.261933724, -97.500284149119 30.250216654465, -97.521112864202 30.250216262382, -97.52111296648 30.261933279591, -97.500284098919 30.261933724)))",1447,V21
"MULTIPOLYGON (((-98.187802909171 30.414267581435, -98.187802727915 30.402549291655, -98.208631382256 30.402546601303, -98.208631716121 30.414264852363, -98.187802909171 30.414267581435)))",1024,WL34
"MULTIPOLYGON (((-97.375279211701 30.14475145682, -97.375279388352 30.133034171041, -97.396108025535 30.133032674972, -97.396108708416 30.144752672879, -97.375279211701 30.14475145682)))",1876,EB11
"MULTIPOLYGON (((-97.833618105136 30.086156425738, -97.833618154306 30.074437651223, -97.854454926571 30.074438974558, -97.854455101268 30.086154954067, -97.833618105136 30.086156425738)))",2447,D6
"MULTIPOLYGON (((-97.583624463802 30.601763557835, -97.583623899204 30.590046613641, -97.604458248199 30.590044978736, -97.604458094018 30.601764603969, -97.583624463802 30.601763557835)))",114,R50
"MULTIPOLYGON (((-97.812782871427 30.121311113887, -97.812782283488 30.109592227751, -97.833618796141 30.10959404071, -97.833618818099 30.121310115905, -97.812782871427 30.121311113887)))",1905,E9
"MULTIPOLYGON (((-97.500281813586 30.039286788753, -97.500281943384 30.027567247136, -97.521110131567 30.027567901862, -97.521110234305 30.039284642521, -97.500281813586 30.039286788753)))",2349,V2
"MULTIPOLYGON (((-97.91695772283 30.203338683527, -97.916957159775 30.191619943418, -97.937786417077 30.191620824452, -97.937786341545 30.203339505056, -97.91695772283 30.203338683527)))",1599,WZ16
"MULTIPOLYGON (((-97.375282028648 30.437709232661, -97.375282206521 30.425991729591, -97.396118551159 30.425991706163, -97.396118527111 30.437709154612, -97.375282028648 30.437709232661)))",1132,EB36
"MULTIPOLYGON (((-97.333616441062 30.367401972854, -97.333616217506 30.35568161657, -97.354444676626 30.355683026076, -97.354445138513 30.367400577379, -97.333616441062 30.367401972854)))",949,ED30
"MULTIPOLYGON (((-97.854454725884 30.133030016406, -97.854454622658 30.121311222983, -97.875284032888 30.121311565706, -97.875283499115 30.133030298176, -97.854454725884 30.133030016406)))",2046,C10
"MULTIPOLYGON (((-97.833632536548 30.648633162615, -97.833632512775 30.636916872517, -97.85446635241 30.636915778038, -97.854466458685 30.648634770897, -97.833632536548 30.648633162615)))",382,D54
"MULTIPOLYGON (((-98.187802547765 30.390831004792, -98.187794439815 30.37911258963, -98.208631508494 30.379110124224, -98.208631049512 30.390828354062, -98.187802547765 30.390831004792)))",934,WL32
"MULTIPOLYGON (((-97.833624124086 30.484579824737, -97.83362417271 30.472860746356, -97.854460623616 30.472860391313, -97.854460729006 30.484579423545, -97.833624124086 30.484579824737)))",551,D40
"MULTIPOLYGON (((-97.291947381376 30.613486169806, -97.291947466336 30.601765693695, -97.312781700091 30.601767248023, -97.312781061519 30.613484900696, -97.291947381376 30.613486169806)))",23,EF51
"MULTIPOLYGON (((-97.750296229337 30.62519849904, -97.750296024571 30.613481993224, -97.771129919667 30.613480745849, -97.771130204625 30.625199952808, -97.750296229337 30.62519849904)))",447,H52
"MULTIPOLYGON (((-97.562786444159 30.320526487198, -97.562786112711 30.308806781319, -97.583615273453 30.308806968226, -97.583614965946 30.320526605886, -97.562786444159 30.320526487198)))",1423,S26
"MULTIPOLYGON (((-97.479445210285 30.051004978802, -97.479445494831 30.039285365582, -97.500281813586 30.039286788753, -97.500281763203 30.051003600664, -97.479445210285 30.051004978802)))",2241,W3
"MULTIPOLYGON (((-98.166971240687 30.51972919481, -98.166970419713 30.508010838595, -98.187804417741 30.508011235838, -98.187804598344 30.519729538684, -98.166971240687 30.51972919481)))",536,WM43
"MULTIPOLYGON (((-97.521120657909 30.496299882143, -97.521122933721 30.484582816554, -97.541952169785 30.484583443743, -97.541954808104 30.496300561236, -97.521120657909 30.496299882143)))",696,U41
"MULTIPOLYGON (((-98.166973108255 30.636912508789, -98.166973080753 30.625194198982, -98.187807025697 30.6251941695, -98.187807206843 30.636912439324, -98.166973108255 30.636912508789)))",439,WM53
"MULTIPOLYGON (((-98.146127786595 30.26192968824, -98.146127912605 30.250211404827, -98.166964210006 30.250210666468, -98.166964236306 30.26192890952, -98.146127786595 30.26192968824)))",1494,WN21
"MULTIPOLYGON (((-98.000298301565 30.355675092512, -98.00029712248 30.343956409641, -98.021125651347 30.343956876864, -98.021126983124 30.355675516477, -98.000298301565 30.355675092512)))",1320,WV29
"MULTIPOLYGON (((-97.729455612923 30.332243581312, -97.729454844588 30.32052428492, -97.750291317382 30.320524994526, -97.750292313171 30.332241494749, -97.729455612923 30.332243581312)))",1372,J27
"MULTIPOLYGON (((-97.312781319949 30.566611460234, -97.312781164198 30.554893773727, -97.333614781973 30.554892176036, -97.333615005826 30.56661255532, -97.312781319949 30.566611460234)))",212,EE47
"MULTIPOLYGON (((-98.062804547192 30.625196002902, -98.062804493259 30.613477468228, -98.083637931997 30.61347509535, -98.083638140629 30.625193588127, -98.062804547192 30.625196002902)))",41,WS52
"MULTIPOLYGON (((-98.021129812 30.484577861277, -98.021128478092 30.472859185228, -98.041964969294 30.472858662263, -98.041965663521 30.484577281255, -98.021129812 30.484577861277)))",606,WU40
"MULTIPOLYGON (((-97.416952999312 30.672075316287, -97.416952868435 30.660357968526, -97.437786485077 30.660358224276, -97.437786769775 30.672075518138, -97.416952999312 30.672075316287)))",274,Z56
"MULTIPOLYGON (((-98.166962315237 30.086153777099, -98.166962350786 30.074432988755, -98.18779069616 30.074434866449, -98.187790875308 30.08615286581, -98.166962315237 30.086153777099)))",2205,WM6
"MULTIPOLYGON (((-97.896133232127 30.601760488886, -97.896132819389 30.590041566202, -97.916966557031 30.590041540741, -97.916967918056 30.601760433291, -97.896133232127 30.601760488886)))",99,A50
"MULTIPOLYGON (((-97.562787032939 30.414273306915, -97.562787493868 30.40255357403, -97.583616292915 30.402553317329, -97.583616778112 30.414273016103, -97.562787032939 30.414273306915)))",881,S34
"MULTIPOLYGON (((-97.771123044831 30.472860943401, -97.771122689141 30.461144458342, -97.79195927471 30.461143295515, -97.791958917973 30.472862466392, -97.771123044831 30.472860943401)))",581,G39
"MULTIPOLYGON (((-97.812795787131 30.461141500553, -97.812795916809 30.449425127687, -97.833624199656 30.449425341613, -97.833624222364 30.461141668859, -97.812795787131 30.461141500553)))",1149,E38
"MULTIPOLYGON (((-97.541955243531 30.519737440624, -97.541955065108 30.508017626848, -97.562789289266 30.508017624081, -97.562789621795 30.519737386266, -97.541955243531 30.519737440624)))",479,T43
"MULTIPOLYGON (((-97.937784086936 30.051000469709, -97.937784161592 30.039281991051, -97.958620128325 30.039280220768, -97.958620205797 30.050998655191, -97.937784086936 30.051000469709)))",2345,WY3
"MULTIPOLYGON (((-97.604450029542 30.215061240681, -97.604450184101 30.203341740844, -97.625286517366 30.203341294165, -97.625286516612 30.215060743623, -97.604450029542 30.215061240681)))",1550,Q17
"MULTIPOLYGON (((-97.333606093733 30.168189885594, -97.333606662616 30.156469712295, -97.354442890755 30.156469556194, -97.354442475894 30.168189674163, -97.333606093733 30.168189885594)))",2135,ED13
"MULTIPOLYGON (((-98.021134673415 30.519731154938, -98.021134926903 30.508012507831, -98.041968704287 30.508011799142, -98.041968604365 30.51973040361, -98.021134673415 30.519731154938)))",527,WU43
"MULTIPOLYGON (((-98.18779069616 30.074434866449, -98.187790518092 30.062716884593, -98.208626612417 30.062715541358, -98.208626943479 30.074433483592, -98.18779069616 30.074434866449)))",2212,WL5
"MULTIPOLYGON (((-97.937802236866 30.660351015103, -97.937801515934 30.648632209735, -97.958635021338 30.648633444038, -97.958635896108 30.660352205064, -97.937802236866 30.660351015103)))",331,WY55
"MULTIPOLYGON (((-97.916962161865 30.437704249164, -97.91696159689 30.425985359623, -97.937797876277 30.425985421721, -97.937798596132 30.437704266578, -97.916962161865 30.437704249164)))",825,WZ36
"MULTIPOLYGON (((-97.958622871934 30.203337085866, -97.95862279401 30.191618449477, -97.979458244134 30.191618167493, -97.97945847642 30.203336760049, -97.958622871934 30.203337085866)))",1615,WX16
"MULTIPOLYGON (((-98.125288297423 30.027560187314, -98.125288576504 30.015842159247, -98.146124243504 30.015842915253, -98.146124907139 30.027560916132, -98.125288297423 30.027560187314)))",2279,WP1
"MULTIPOLYGON (((-97.791953735506 30.074438755159, -97.791953300354 30.062719889052, -97.812782233716 30.062719643937, -97.812782030197 30.074438447451, -97.791953735506 30.074438755159)))",2209,F5
"MULTIPOLYGON (((-97.33360723665 30.215062538135, -97.333606929219 30.203345043475, -97.354443772498 30.203344665641, -97.354443442315 30.215062086423, -97.33360723665 30.215062538135)))",1704,ED17
"MULTIPOLYGON (((-97.791954277905 30.191622721318, -97.791954633141 30.17990371799, -97.812790627801 30.179903112374, -97.812791217183 30.191622084404, -97.791954277905 30.191622721318)))",2097,F15
"MULTIPOLYGON (((-97.52111261224 30.20334280346, -97.521111798003 30.191623075844, -97.541949083378 30.191625262242, -97.541948547727 30.203342154552, -97.52111261224 30.20334280346)))",1575,U16
"MULTIPOLYGON (((-97.354448890651 30.531457578032, -97.354448427541 30.519739996602, -97.375283793478 30.519737362549, -97.375283532217 30.53145761923, -97.354448890651 30.531457578032)))",787,EC44
"MULTIPOLYGON (((-97.87529584535 30.390832064249, -97.875295587444 30.379113098447, -97.896124256932 30.379114471926, -97.896124737201 30.390830643354, -97.87529584535 30.390832064249)))",912,B32
"MULTIPOLYGON (((-97.687795102112 30.66035409582, -97.687794562865 30.648637446286, -97.708628423616 30.648635165169, -97.70862904136 30.660354514594, -97.687795102112 30.66035409582)))",365,L55
"MULTIPOLYGON (((-97.354443397383 30.191624490005, -97.354443727492 30.179907093943, -97.375280178136 30.17990618467, -97.37527991734 30.19162627435, -97.354443397383 30.191624490005)))",1598,EC15
"MULTIPOLYGON (((-97.479449144759 30.40255328592, -97.479448555824 30.390836062283, -97.50028552844 30.39083581587, -97.500286190328 30.402555735408, -97.479449144759 30.40255328592)))",1016,W33
"MULTIPOLYGON (((-97.562788185988 30.449427077305, -97.56278856792 30.43771008471, -97.583617033183 30.437709657317, -97.583616803924 30.449426598799, -97.562788185988 30.449427077305)))",1116,S37
"MULTIPOLYGON (((-97.771130430272 30.601761549722, -97.771130072159 30.590045082093, -97.791963586108 30.590043303393, -97.791964024922 30.60176247254, -97.771130430272 30.601761549722)))",94,G50
