FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
LEDO'S LEISURE WORLD,"3850 INTERNATIONAL DRIVE , SILVER SPRING, MD 20906",03/17/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/13/2017
PERUVIAN CHICKEN & GRILL,"26400 RIDGE RD , DAMASCUS, MD 20872",08/08/2018,SALE TO MINOR,SETTLED; $1000+ALERT,08/09/2018
BASSETT'S,"19950 FISHER AVE. , POOLESVILLE, MD 20837-2076",10/18/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/09/2017
ODALIS,"8215 GEORGIA AVENUE , SILVER SPRING, MD 20910",03/08/2018,SALE TO MINOR,SETTLED; $2500 + ALERT,08/29/2018
"KWIK-STOP BEER, WINE & DELI","15104 FREDERICK ROAD , ROCKVILLE, MD 20850",11/06/2018,SALE TO MINOR,SETTLED; $1000+ALERT,12/07/2018
ASI ES MI TIERRA,"2559 ENNALLS AVENUE , WHEATON, MD 20902",05/08/2016,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000.00 + ALERT,06/24/2016
RUAN THAI,"11407 AMHERST AVE. , WHEATON, MD 20902",03/24/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,07/24/2017
GODAVARI,"9011 GAITHER ROAD , GAITHERSBURG, MD 20877",08/23/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,09/27/2016
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",05/07/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,06/01/2018
HYATT SUMMERFIELD SUITES,"200 SKIDMORE BOULEVARD , GAITHERSBURG, MD 20877",05/25/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00,06/24/2016
WINGSTOP,"20201 GOSHEN ROAD UNIT G, GAITHERSBURG, MD 20879",10/10/2018,SALE TO MINOR,SETTLED;$2500 + ALERT,11/21/2018
UNION JACK'S,"4915 SAINT ELMO AVE. , BETHESDA, MD 20814",12/26/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,01/25/2018
ARADA MARKET,"6844 NEW HAMPSHIRE AVE , TAKOMA PARK, MD 20912",10/01/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/24/2018
SOLE D'ITALIA RESTAURANT,"14324 LAYHILL ROAD , SILVER SPRING, MD 20906-1909",03/10/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,05/31/2017
CAPTAIN'S MARKET,"7607 MACARTHUR BLVD. , CABIN JOHN, MD 20818",12/20/2015,SALE TO MINOR,"HEARING; $7,500 FINE + ALERT",03/17/2016
DOLLAR PLUS STORE #7,"11250 TRIANGLE LANE , SILVER SPRING, MD 20902",03/31/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/28/2017
BOBBY'S BURGER PALACE,"7101 DEMOCRACY BLVD. , BETHESDA, MD 20817",09/06/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,09/22/2017
RUMBA Y CARBON,"11222 GRANDVIEW AVENUE , GAITHERSBURG, MD 20902",02/18/2016,SALE TO MINOR,"HEARING; $2,500 + ALERT",05/05/2016
MISO CAFE,"33 MARYLAND AVENUE UNIT E , ROCKVILLE, MD 20850",01/26/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,02/27/2017
MI RANCHO,"8701 RAMSEY LANE , SILVER SPRING, MD 20910",11/03/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/20/2017
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",02/03/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,03/10/2017
