FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
RUAN THAI,"11407 AMHERST AVE. , WHEATON, MD 20902",03/24/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,07/24/2017
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",07/29/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.0 + ALERT,09/06/2016
I STAR COFFEE,"8777 B1 1ST AVENUE , SILVER SPRING, MD 20910",03/08/2018,SALE TO MINOR,SETTLED; $1000.00,10/30/2018
RIVERSIDE HOTPOT CUISINE,"820 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",10/12/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,12/07/2018
NORTHWEST PARK GOLF SNACK BAR,"15701 LAYHILL ROAD , SILVER SPRING, MD 20906",11/05/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,12/06/2017
EVA LOUNGE,"953 BONIFANT STREET , SILVER SPRING, MD 20910",07/01/2017,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED;$1000+ALERT,11/09/2018
CHUY'S,"12266 ROCKVILLE PIKE , ROCKVILLE, MD 20852",02/10/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,03/08/2017
WOK EXPRESS,"9615 LOST KNIFE ROAD , GAITHERSBURG, MD 20877",04/04/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,06/08/2016
ROCK BOTTOM BREWERY,"7900 NORFOLK AVE. , BETHESDA, MD 20814",12/08/2017,RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,12/28/2017
CHIPOTLE MEXICAN GRILL,"4471 WILLIARD AVENUE , CHEVY CHASE, MD 20815",12/14/2016,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,12/29/2016
HUNAN DELIGHT,"18220 VILLAGE MART DRIVE , OLNEY, MD 20832",03/10/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,03/31/2017
LIMARIA POLLO A LA BRASA,"74 BUREAU DRIVE , GAITHERSBURG, MD 20878",08/02/2018,SALE TO MINOR,SETTLED; 1000+ALERT,08/13/2018
MI PUEBLITO RESTAURANT,"6 NORTH SUMMIT AVENUE , GAITHERSBURG, MD 20877",02/22/2018,RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,03/22/2018
NOODLES & COMPANY,"177 KENTLANDS BLVD. SUITE 100, GAITHERSBURG, MD 20878",05/18/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,07/01/2016
CANCUN MEXICAN CUISINE,"117 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",09/10/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,11/06/2017
SENOR TEQUILA'S,"20021 CENTURY BLVD. , GERMANTOWN, MD 20874",07/30/2018,SALE TO MINOR,SETTLED;$1000+ALERT,09/06/2018
SHANGRI-LA,"7345 WISCONSIN AVENUE A, BETHESDA, MD 20814",01/04/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,01/29/2018
OGEI'S CHICKEN & SUBS,"293 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",01/01/2016,DISORDERLY HOUSE,HEARING; LICENSE REVOKED; STAY PENDING APPEAL,05/31/2016
WOK EXPRESS,"9615 LOST KNIFE ROAD , GAITHERSBURG, MD 20877",04/04/2016,SALE/SERVICE TO INTOXICATED PATRON,SETTLED; $1000.00 + ALERT,06/08/2016
IRON AGE,"1054 ROCKVILLE PIKE , ROCKVILLE, MD 20852",10/15/2018,SALE TO MINOR,SETTLED;$2500+ALERT,11/13/2018
SILVER SPRING HILTON HOTEL,"8727 COLESVILLE ROAD , SILVER SPRING, MD 20910",12/22/2015,SALE TO MINOR,"SETTLED; $2,500 + ALERT",02/04/2016
GLENMONT BEER WINE & DELI,"12351 GEORGIA AVE. , WHEATON, MD 20906-3649",03/17/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,05/16/2017
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",08/20/2017,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/09/2017
BUMP N GRIND,"1200 EAST WEST HWY , SILVER SPRING, MD 20910",01/23/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,02/20/2018
UPCOUNTY FINE WINE & BEER,"23229 STRINGTOWN RD. , CLARKSBURG, MD 20871",08/08/2018,SALE TO MINOR,SETTLED; $1000+ALERT,08/30/2018
SHANGRI-LA,"7345 WISCONSIN AVENUE A, BETHESDA, MD 20814",01/04/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,01/29/2018
POTOMAC BEER & WINE,"9700 TRAVILAH GATEWAY DRIVE , ROCKVILLE, MD 20850",03/03/2017,SALE TO MINOR,SETTLED; $1000.00 +ALERT,03/29/2017
NEW YORK J & P PIZZA,"26027 RIDGE ROAD , DAMASCUS, MD 20872",08/08/2018,AGE OF EMPLOYEE VIOLATION,SETTLED;$1000+ALERT,09/06/2018
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",02/03/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,03/10/2017
KEMP MILL BEER WINE & DELI,"1339 LAMBERTON DRIVE , SILVER SPRING, MD 20902-3414",01/17/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,04/20/2018
THE THAI CUISINE RESTAURANT,"757 HUNGERFORD DRIVE , ROCKVILLE, MD 20850",07/28/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,08/10/2017
IRENE'S PUPUSAS,"12391 GEORGIA AVENUE , SILVER SPRING, MD 20906",03/17/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,05/26/2017
SMASHBURGER (ROCKVILLLE),"1800 ROCKVILLE PIKE , ROCKVILLE, MD 20852",08/05/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 FINE + ALERT,11/02/2016
BONCHON OF GERMANTOWN,"19775 FREDERICK ROAD , GERMANTOWN, MD 20876",12/21/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/30/2017
FAIRFIELD INN-GERMANTOWN,"20025 CENTURY BLVD , GERMANTOWN, MD 20874",01/12/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/16/2017
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",05/30/2018,STORAGE,"SETTLED;$4,400+ALERT",08/02/2018
"CURACION NAILS, BODY & SUCESS SANCTUARY","11308 GRANDVIEW AVENUE , SILVER SPRING, MD 20902",09/28/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,10/25/2017
ABYSSINIA RESTAURANT,"8221 GEORGIA AVENUE , SILVER SPRING, MD 20910",02/14/2018,SALE TO MINOR,SETTLED; $2500 + ALERT,02/27/2018
MEZEH MEDITERRANEAN GRILL,"262 CROWN PARK AVENUE , GAITHERSBURG, MD 20878",08/17/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,10/30/2018
FLOWER CHILD,"10072 DARNESTOWN RD. , ROCKVILLE, MD 20860",03/05/2019,SALE TO MINOR,SETTLED;$1000+ALERT,03/05/2019
"TACOS, TORTAS & TEQUILA","8407 RAMSEY AVE. , SILVER SPRING, MD 20910",04/03/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED; 100+ ALERT,04/03/2019
DON POLLO OF POTOMAC,"10231 WESTLAKE DR. , BETHESDA, MD 20817",03/26/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,03/26/2019
GORDON BIERSCH BREWERY RESTAURANT,"200 EAST MIDDLE LANE UNIT A, ROCKVILLE, MD 20850",03/25/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,03/25/2019
TALBOTT BEER & WINE,"1071 ROCKVILLE PIKE , ROCKVILLE, MD 20852",10/15/2018,SALE TO MINOR,"TWO WEEK SUSPENSION FROM MAY 13-26, 2019",10/15/2018
ARMAND'S PIZZERIA & GRILLE,"190 HALPINE ROAD , ROCKVILLE, MD 20852",03/04/2019,SALE TO MINOR,SETTLED;$1000+ALERT,03/04/2019
GUAPOS II,"8130 WISCONSIN AVE. , BETHESDA, MD 20814",03/27/2019,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$800+ALERT,03/27/2019
GIUSEPPI'S PIZZA PLUS,"335 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",04/12/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,04/12/2019
GUAPOS II,"8130 WISCONSIN AVE. , BETHESDA, MD 20814",03/27/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,03/27/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
ETHIO ADDIS MARKET,"8107 FENTON STREET , SILVER SPRING, MD 20910",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
THAT'S AMORE,"15201 SHADY GROVE ROAD , ROCKVILLE, MD 20850",04/09/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,04/09/2019
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",03/08/2019,STORAGE,SETTLED;$400+ALERT,03/08/2019
THAI FARM,"800 KING FARM BLVD. #125, ROCKVILLE, MD 20850",01/22/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,01/22/2019
SARITA'S CHICKEN RESTAURANT,"2545 ENNALLS AVENUE , WHEATON, MD 20904",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
BOYDS COUNTRY STORE,"15110 BARNSVILLE ROAD , BOYDS, MD 20841",06/14/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,06/14/2019
CHIPOTLE MEXICAN GRILL,"7624 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",07/05/2019,RECORDS INVOICE VIOLATION,SETTLED;$500.00+ALERT,07/05/2019
URBAN CRAWFISH,"670 QUINCE ORCHARD RD , GAITHERSBURG, MD 20878",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
MYTHOS MEDITTERANEAN GREEK RESTAURANT,"8371 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",05/02/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/02/2019
ASIA NINE II,"254 CROWN PARK ROAD , GAITHERSBURG, MD 20878",03/22/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,03/22/2019
LIA'S,"4445 WILLARD AVE. , CHEVY CHASE, MD 20815",04/11/2019,STORAGE,SETTLED;$2300+ALERT,04/11/2019
ABOL RESTAURANT,"8626 COLESVILLE RD. , SILVER SPRING, MD 20910",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
COURTYARD BY MARRIOTT,"2500 RESEARCH BOULEVARD , ROCKVILLE, MD 20850",02/19/2019,SALE TO MINOR,SETTLED;$2500.00+ALERT,02/19/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",04/15/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,04/15/2019
HOLIDAY INN EXPRESS & SUITES,"20260 GOLDENROD LANE , GERMANTOWN, MD 20876",08/25/2017,CLASS LICENSE VIOLATION,SETTLED; $1000 + ALERT,09/13/2017
THAI FARM,"800 KING FARM BLVD. #125, ROCKVILLE, MD 20850",01/22/2019,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,01/22/2019
THE GRILLE AT FLOWER HILL,"18257 FLOWER HILL WAY , GAITHERSBURG, MD 20879",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
PORT AU PRINCE,"7912 GEORGIA AVE. , SILVER SPRING, MD 20910",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
PASSION NAIL SPA,"19847 H CENTURY BLVD. , GERMANTOWN, MD 20874",07/01/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,07/01/2019
TERRAIN CAFE,"7228 WOODMONT AVE. , BETHESDA, MD 20814",03/22/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,03/22/2019
TERRAIN CAFE,"7228 WOODMONT AVE. , BETHESDA, MD 20814",03/25/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,03/25/2019
OUTBACK STEAKHOUSE,"12609 WISTERIA DR , GERMANTOWN, MD 20874",05/21/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,05/21/2019
THAT'S AMORE,"15201 SHADY GROVE ROAD , ROCKVILLE, MD 20850",02/19/2019,SALE TO MINOR,SETTLED;$2500+ALERT,02/19/2019
FANTASY NAIL SPA,"9321 GEORGIA AVE. , SILVER SPRING, MD 20910",12/07/2018,RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,12/07/2018
MAMMA LUCIA'S,"14921 SHADY GROVE ROAD , ROCKVILLE, MD 20850",02/19/2019,SALE TO MINOR,SETTLED;$2500+ALERT,02/19/2019
PASSION NAIL SPA,"19847 H CENTURY BLVD. , GERMANTOWN, MD 20874",07/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,07/01/2019
WHEATON SPORT BAR & GRILL,"11300 GEORGIA AVE. , SILVER SPRING, MD 20902",03/18/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,03/18/2019
GOLF ULTRA LOUNGE,"8123 GEORGIA AVENUE , SILVER SPRING, MD 20910",05/26/2019,ACTS CONTRARY TO LAW,SETTLED;$1000+ALERT,05/26/2019
WISTERIA BEER AND WINE,"13220 WISTERIA DR., UNIT #4 , GERMANTOWN, MD 20874",07/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,07/01/2019
MINERVA INDIAN CUISINE,"16240 FREDERICK ROAD , GAITHERSBURG, MD 20877",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
MAKI BAR,"6831 WISCONSIN AVE. 300, BETHESDA, MD 20815",03/27/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,03/27/2019
TERRAIN CAFE,"7228 WOODMONT AVE. , BETHESDA, MD 20814",03/22/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,03/22/2019
NEW VILLAGE RESTAURANT,"11540 MIDDLEBROOK ROAD , GERMANTOWN, MD 20876",03/26/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,03/26/2019
EL ENCANTO,"8035 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
CUBANO'S,"1201 FIDLER LANE , SILVER SPRING, MD 20910",05/17/2019,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$200+ALERT,04/17/2019
JINYA RAMEN BAR,"910 PROSE ST. , ROCKVILLE, MD 20852",06/14/2019,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$400+ALERT,06/14/2019
THE VILLAGE AT ROCKVILLE,"9701 VEIRS DR. , ROCKVILLE, MD 20850",05/07/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,05/07/2019
GODAVARI,"9011 GAITHER ROAD , GAITHERSBURG, MD 20877",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
H RESTAURANT AND NIGHT CLUB,"11300 GEORGIA AVENUE , WHEATON, MD 20902",02/03/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,$500+ALERT; REVOCATION,02/03/2018
CIELO ROJO,"7056 CARROLL AVE. , TAKOMA PARK, MD 20912",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
BROADWAY PIZZA,"7965 TUCKERMAN LANE , POTOMAC, MD 20854",07/22/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,07/22/2019
CONGRESS RESTAURANT AND LOUNGE,"6834 NEW HAMPSHIRE AVENUE , TAKOMA PARK, MD 20912",06/13/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,07/27/2017
BANTA BAA RESTAURANT,"8000 FLOWER AVE. , TAKOMA PARK, MD 20912",06/11/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
ENGOCHA MARKET,"11406 GEORGIA AVE., STE.A , WHEATON, MD 20902",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
GREAT SHOALS,"7050 CARROLL AVE. #101 , TAKOMA PARK, MD 20912",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
LATINO MARKET GROCERY,"12 E. DIAMOND AVE. JK, GAITHERSBURG, MD 20877",08/09/2018,SALE TO MINOR,REVOKED,08/09/2018
SPICE XING,"100 GIBBS STREET B, ROCKVILL, MD 20850",04/11/2019,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$1000+ALERT,04/11/2019
H RESTAURANT AND NIGHT CLUB,"11300 GEORGIA AVENUE , WHEATON, MD 20902",02/03/2018,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,"$600.00, REVOCATION.",02/03/2018
LATINO MARKET GROCERY,"12 E. DIAMOND AVE. JK, GAITHERSBURG, MD 20877",08/09/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,REVOKED,08/09/2018
DOWNTOWN BEER & WINE,"70 UPPER ROCK CIRCLE 103-104, ROCKVILLE, MD 20850",07/31/2019,APPLICATION - FAILURE TO UPDATE,WARNING,07/31/2019
BUCA DI BEPPO,"122 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",07/24/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,07/24/2019
LE PAIN QUOTIDIEN,"7140 BETHESDA LANE , BETHESDA, MD 20814",07/25/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,07/25/2019
CANA BEER AND WINE,"13505 CLOPPER RD. , GERMANTOWN, MD 20874",06/28/2019,KEG REGISTRATION VIOLATION,SETTLED;$600+ALERT,06/28/2019
FOOD STOP MINI MART,"4820 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",03/05/2019,SALE TO MINOR,"TWO WEEK SUSPENSION; SEPTEMBER 16, 2019- SEPTEMBER 30, 2019 + ALERT",03/05/2019
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",06/19/2019,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$7200.00+ALERT,06/19/2019
LA COLOMBIANA RESTAURANT,"11216 GRANDVIEW AVENUE , WHEATON, MD 20902",06/16/2019,DISORDERLY HOUSE,SETTLED;$1000+ALERT,06/16/2019
URBAN BAR-B-QUE CO,"5566 NORBECK RD. , ROCKVILLE, MD 20853",05/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
HIBACHI SUSHI SUPREME BUFFET,"8 BUREAU DRIVE , GAITHERSBURG, MD 20878",04/17/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,"SIX WEEK SUSPENSION FROM SEPTEMBER 16-OCTOBER 27,2019",06/20/2019
ASIA NINE II,"254 CROWN PARK ROAD , GAITHERSBURG, MD 20878",03/22/2019,GAMBLING ON PREMISES,SETTLED;$1000.00+ ALERT,03/22/2019
KING'S CRAFT BEER & WINE DELI,"402 KING FARM BLVD. 100, ROCKVILLE, MD 20850",08/06/2019,SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
"TRAN DINH BEER, WINE, & DELI","20 MONTGOMERY VILLAGE AVENUE D, GAITHERSBURG, MD 20879",08/02/2019,AGE OF EMPLOYEE VIOLATION,SETTLED;$1000+ALERT,08/02/2019
EL ENCANTO,"8035 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",07/23/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100.00+ALERT,07/23/2019
NANDO'S PERI PERI - GAITHERSBURG,"224 BOARDWALK PLACE , GAITHERSBURG, MD 20878",08/13/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/13/2019
NIWANO HANA,"887 ROCKVILLE PIKE , ROCKVILLE, MD 20852",08/28/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/28/2019
VASILI'S KITCHEN,"705 CENTER POINT WAY , GAITHERSBURG, MD 20878",08/21/2019,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$600+ALERT,08/21/2019
BB.Q CHICKEN & BEER,"9712 TRAVILLE GATEWAY DR. , ROCKVILLE, MD 20850",08/06/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/06/2019
HOT POT LEGEND,"595 HUNGERFORD DR. , ROCKVILLE, MD 20850",08/06/2019,SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
VASILI'S KITCHEN,"705 CENTER POINT WAY , GAITHERSBURG, MD 20878",08/21/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/21/2019
BB.Q CHICKEN & BEER,"9712 TRAVILLE GATEWAY DR. , ROCKVILLE, MD 20850",08/06/2019,SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
NIWANO HANA,"887 ROCKVILLE PIKE , ROCKVILLE, MD 20852",08/28/2019,SALE TO MINOR,SETTLED;$1000+ALERT,08/28/2019
HOT POT LEGEND,"595 HUNGERFORD DR. , ROCKVILLE, MD 20850",08/06/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTELD;$100+ALERT,08/06/2019
LEDO PIZZA,"12619 WISTERIA DRIVE B, GERMANTOWN, MD 20874",08/19/2019,LICENSE NOT PROPERLY DISPLAYED,SETTELD;$100+ALERT,08/19/2019
LA TASCA,"141 GIBBS STREET 305, ROCKVILLE, MD 20850",08/28/2019,SALE TO MINOR,SETTLED;$1000+ALERT,08/28/2019
LEDO PIZZA,"12619 WISTERIA DRIVE B, GERMANTOWN, MD 20874",08/19/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/19/2019
NANDO'S PERI PERI - GAITHERSBURG,"224 BOARDWALK PLACE , GAITHERSBURG, MD 20878",08/13/2019,RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,08/13/2019
SOL AZTECA RESTAURANT,"18129 TOWN CENTER DRIVE , OLNEY, MD 20832",09/04/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,09/04/2019
MANNEQUIN PLS,"18064 GEORGIA AVE. , OLNEY, MD 20832",09/04/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,09/04/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",06/05/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,$500+ALERT,06/05/2019
BUFFALO WILD WINGS,"33 MARYLAND AVE. , ROCKVILLE, MD 20850",08/21/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/21/2019
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",08/06/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,08/06/2019
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",08/06/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/06/2019
SUPER CHICKEN,"2531 ENNALLS AVE. , WHEATON, MD 20902",07/29/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,07/29/2019
LIFETIME ATHLETIC,"10121 WASHINGTONIAN BLVD , GAITHERSBURG, MD 20878",07/29/2019,STORAGE,SETTLED;$2900+ALERT,07/29/2019
OWENS ORDINARY,"11820 TRADE STREET , NORTH BETHESDA, MD 20852",11/02/2018,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,WARNING+ALERT,11/02/2018
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",08/06/2019,SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
CAFE 20/20,"4870 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",09/25/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,500+ALERT,09/25/2019
CAFE 20/20,"4870 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",09/25/2019,LICENSE NOT PROPERLY DISPLAYED,$100+ALERT,09/25/2019
CAFE 20/20,"4870 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",09/25/2019,SALE TO MINOR,$2500+ALERT,09/25/2019
ST. ARNOLD'S MUSSEL BAR,"7525 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",04/15/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/01/2016
ST. ARNOLD'S MUSSEL BAR,"7525 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",01/06/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,02/13/2017
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",08/28/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,08/28/2019
