PRE DIR,PRE TYPE,STREET NAME,STREET TYPE,STATUS
,,PRIMWOOD,PATH,ACTIVE
,,PRAIRIE CLOVER,PATH,ACTIVE
,,POKEALONG,PATH,ACTIVE
,,PINTO,PATH,ACTIVE
,,PIKE,PATH,ACTIVE
,,PALMER,PATH,ACTIVE
,,NORTH,PATH,ACTIVE
,,NEVADA,PATH,ACTIVE
,,NAVAJO,PATH,ACTIVE
,,MOCCASIN,PATH,ACTIVE
,,ASHBROOK,PL,ACTIVE
,,BLUEJACK,PL,ACTIVE
,,KIRSCHNER,PL,ACTIVE
,,HARWOOD,PL,ACTIVE
,,HEDGEROW,PL,ACTIVE
,,HUME,PL,ACTIVE
,,HURST,PL,ACTIVE
,,HUNTINGDON,PL,ACTIVE
,,HOWELL TERRACE,PL,ACTIVE
,,HIDDEN VIEW,PL,ACTIVE
,,INWOOD,PL,ACTIVE
,,JEFFERY,PL,ACTIVE
,,PYEGRAVE,PL,ACTIVE
,,RHETT,PL,ACTIVE
,,PRESTWOOD,PL,ACTIVE
,,PLACID,PL,ACTIVE
,,PIONEER,PL,ACTIVE
,,PINELEAF,PL,ACTIVE
,,PINE,PL,ACTIVE
,,PILLION,PL,ACTIVE
,,PILGRIMS,PL,ACTIVE
,,PEYTON,PL,ACTIVE
,,PETROVE,PASS,ACTIVE
,,PASTEL,PL,ACTIVE
,,POYNETTE,PL,ACTIVE
,,PONTON,PL,ACTIVE
,,PONTEVEDRA,PL,ACTIVE
,,POINT VISTA,PL,ACTIVE
,,PLOVER,PL,ACTIVE
,,PLEASANT RUN,PL,ACTIVE
,,PARLIAMENT,PL,ACTIVE
,,PARKVIEW,PL,ACTIVE
,,PARKDALE,PL,ACTIVE
,,PARK,PL,ACTIVE
,,NORTH,PLZ,ACTIVE
,,OAK,PLZ,ACTIVE
,,PARK,PLZ,ACTIVE
,,PALMA,PLZ,ACTIVE
,,CENTRE,PLZ,ACTIVE
,,CRAGGY,PT,ACTIVE
,,CLIFF,PT,ACTIVE
