Address,BBL,BIN,Borough,CouncilDist,Latitude,Location,Longitude,NTAName,NUMBER,Notes,ObjectId,Operation_Date_Time,STREET,Site_Managed_By,Site_Name,Zipcode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
955 Columbus Ave,1018420000,1000000,Manhattan,7,40.79972,955 Columbus Ave,-73.9621,Morningside Heights,955,,40,"Everyday, dawn to dusk",Columbus Ave,Mobilization for Change Community Garden,Mobilization for Change Community Garden,10025,107,193,POINT (-73.96210100006614 40.799721000627386),12422,20,4,23,15
86-02 Broadway,4015490000,4038764,Queens,25,40.7384,86-02 Broadway,-73.87774,Elmhurst,86-02,,10,"1st and 3rd Sundays of every month, 10:00 AM - 12:00 PM",Broadway,St. James Compost,St. James Compost,11373,404,473,POINT (-73.87774200003219 40.73839700025188),14784,66,3,5,68
25-30 Skillman Ave,,,Queens,26,40.74344,"25-30 Skillman Ave, Long Island City, NY 11101",-73.94285,Hunters Point-Sunnyside-West Maspeth,25-30,"Requests that leaves be put in a leaf bay labeled ""Soft weeds and leaves, no branches or thorns"", and that they be brought in paper leaf bags, no plastic",8,"Everyday, dawn to dusk",Skillman Ave,Smiling Hogshead Ranch,Smiling Hogshead Ranch*,11101,402,1,POINT (-73.94285199979898 40.74343799950627),16858,53,3,33,66
193 FT WASHINGTON AVENUE,1021390000,1063403,Manhattan,10,40.84217,"168th Street at Fort Washington,New York,NY 10032",-73.94229,Washington Heights South,193,,25,"Tuesdays, 8:00 AM - 3:00 PM (Seasonal, June - November)",FT WASHINGTON AVENUE,GrowNYC,Fort Washington Greenmarket,10032,112,255,POINT (-73.94228900012479 40.84217160002403),13090,47,4,39,21
235 BROOK AVENUE,2022830000,2091055,Bronx,8,40.80766,"138th, Brook Ave - NW Corner",-73.9193,Mott Haven-Port Morris,235,,20,"Fridays, 6:45 AM - 10:45 AM",BROOK AVENUE,GrowNYC,Brook Ave,10454,201,39,POINT (-73.91929999977582 40.807660000431994),10932,49,5,35,23
340 EAST 93RD STREET,1015550000,1078668,Manhattan,5,40.78103,"1st Ave between 92nd and 93rd St,New York,NY,10128",-73.94632,Yorkville,340,,15,"Sundays 9:00 AM - 1:00 PM (Seasonal, June-November)",EAST 93RD STREET,GrowNYC,92nd Street Greenmarket,10128,108,154,POINT (-73.94631839983388 40.78103440017871),10099,23,4,1,11
854 Hunts Point Ave,2027620000,2006432,Bronx,17,40.81803,854 Hunts Point Ave,-73.88864,Hunts Point,854,,30,"Wednesdays, 3:00 PM - 6:30 PM",Hunts Point Ave,GrowNYC,Project H.O.P.E. Fresh Food Box,10474,202,11502,POINT (-73.88864400068114 40.818032000066104),12343,8,5,43,24
1257 Loring Avenue,3044880000,3326209,Brooklyn,42,40.66809,1257 Loring Avenue,-73.86553,East New York,1257,,35,"Tuesdays, 10:00 AM - 12:00 PM (Seasonal, June - November)",Loring Avenue,East New York Farms!,Pink Houses Community Farm,11208,305,1214,POINT (-73.8655329995543 40.66808999979255),17215,45,2,25,47
385 Beach 45th St,4158370000,4000000,Queens,31,40.5954,"385 Beach 45th St. Rockaway, NY 11691",-73.77654,Hammels-Arverne-Edgemere,385,,3,"Everyday, dawn to dusk",Beach 45th St,Edgemere Farm,Edgemere Farm,11691,414,97204,POINT (-73.7765410000974 40.59540100048003),20529,51,3,47,59
5 Hudson Blvd East,1007050000,1000000,Manhattan,3,40.75559,5 Hudson Blvd East,-73.99972,Hudson Yards-Chelsea-Flatiron-Union Square,5,,39,"Thursdays, 10:00 AM - 6:00 PM",Hudson Blvd East,Hudson Yards/ Hell's Kitchen Alliance,Hudson Blvd Park,10001,104,99,POINT (-73.99972100001158 40.75558800014944),11722,12,4,10,6
