CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2020,April,ROYAL WINE CORP,WINE,140813,BARKAN CLAS S/BLC - 750ML,14,Purchase order
2020,April,PARK STREET IMPORTS LLC,LIQUOR,74978,CARAVEDO ACHOLADO PISCO -750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,26482,BREWERS ART BEAZLY 4/6 12.0Z CAN,1,Purchase order
2020,April,SURVILLE ENTERPRISES CORP,WINE,60011,B&G VOUVRAY - 750ML,28,Purchase order
2020,April,WELL OILED WINE COMPANY LLC,WINE,415081,ANCIANO 10YR GRAN RES - 750ML,28,Purchase order
2020,April,MICHAEL R DOWNEY SELECTIONS INC,WINE,306789,BODEGAS CARRU S/BLC - 750ML,1,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,237288,THE LITTLE SHEEP OF FRANCE ROSE - 750ML,28,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,333976,RIO MADRE RIOJA TEMP - 750ML,1,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,353098,ROSE ALL DAY ROSE - 250ML,1,Purchase order
2020,April,PROXIMO SPIRITS INC,LIQUOR,79354,JOSE CUERVO AUTHENTIC LIGHT MARG - 1.75L,90,Purchase order
2020,April,ANHEUSER BUSCH INC,NON-ALCOHOL,94366,O'DOULS NA 4/6 LNNR - 12OZ,224,Purchase order
2020,April,ARTISANS & VINES LLC,WINE,355282,ESTANCIA DEL SILENCIO - 3L,10,Purchase order
2020,April,GRAPES OF SPAIN INC,WINE,237108,CASA LA RAD WHITE RIOJA - 750ML,1,Purchase order
2020,April,MILLER BREWING COMPANY,BEER,91170,COORS LT 30PK CAN - 12OZ,6630,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,355220,PAUL HOBBS CROSSBARN CAB - 750ML,1,Purchase order
2020,April,THE WINE GROUP,WINE,22683,CORBETT CANYON CAB - 3L,40,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,319641,ROSCATO BIANCO - 750ML,4,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,361690,LELLO RED - 750ML,1,Purchase order
2020,April,DOPS INC,BEER,6351,WEIHENSTEPHAN WEISS DARK NR 20/CS - 16.9OZ,1,Purchase order
2020,April,LEGENDS LTD,BEER,11354,STILLWATER EXTRA DRY - 16.OZ 6/4 CAN,1,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,LIQUOR,71211,RON BARCELO IMPERIAL DOMINICAN RUM - 750ML,40,Purchase order
2020,April,BACCHUS IMPORTERS LTD,WINE,42807,FOUR VINES NAKED CHARD - 750ML,14,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,69221,PENDLETON CANADIAN - 750ML,1,Purchase order
2020,April,THE BROOKLYN BREWERY CORPORATION,BEER,94420,BROOKLYN LAGER 4/6 NR - 12OZ,72,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,330952,MARIETTA CELLARS ARME LOT 1 BORD - 750ML,1,Purchase order
2020,April,CONSTANTINE WINES INC,WINE,354014,PIGRO CHIANTI CLASSICO DOCG - 750ML,3,Purchase order
2020,April,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,25704,STERLING VNT COLL MERLOT - 750ML,42,Purchase order
2020,April,FREE RUN WINE MERCHANTS LLC,WINE,235300,COSTERS DEL PRIORAT PETIT PISSARRES - 750ML,1,Purchase order
2020,April,SLIGO MILL BREWING LLC,BEER,60267,7 LOCKS SURRENDER DOROTHY RYEPA 4/6 CANS,20,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,144460,HEITZ NAPA CHARD - 750ML,1,Purchase order
2020,April,PERNOD RICARD USA LLC,LIQUOR,36048,ABSOLUT VODKA - 80 PROOF - 1.75L,390,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,WINE,42182,KAIKEN MENDOZA MAL - 750ML,3,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,412406,DARNO CHN - 750ML,1,Purchase order
2020,April,SUTTER HOME WINERY INC,WINE,83747,SUTTER HOME CAB - 1.5L,72,Purchase order
2020,April,LANTERNA DISTRIBUTORS INC,WINE,354754,PANIZA RESERVA - 750ML,3,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,309369,HENDRY NAPA ZIN HRW - 750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,25749,MAUI COCONUT PORTER 6/4 CANS - 12OZ,1,Purchase order
2020,April,THE RIVER WINE,WINE,108804,TISHBI VYDS EMERALD RIES - 750ML,1,Purchase order
2020,April,BACCHUS IMPORTERS LTD,WINE,56960,DELAPORTE SANCERRE - 750ML,2,Purchase order
2020,April,PUNTO VINO LLC,WINE,311621,BRICO TATI RSE - 750ML,7,Purchase order
2020,April,WILLIAM GRANT AND SONS INC,LIQUOR,27251,CLAN MACGREGOR SCOTCH - 750ML,1,Purchase order
2020,April,DEUTSCH FAMILY WINE & SPIRITS,WINE,431575,JOSH CELLARS CHARD - 750ML,252,Purchase order
2020,April,CROWN IMPORTS,BEER,28522,VICTORIA 2/12NR - 12OZ,315,Purchase order
2020,April,OPICI FAMILY DISTRIBUTING OF MD,WINE,329022,ALVERDI P/GRIG - 750ML,14,Purchase order
2020,April,TRI-VIN IMPORTS,WINE,318635,LES ALLIES CAB - 750ML,14,Purchase order
2020,April,PIPE CREEK WINES LLC,WINE,344329,CHATEAU DAVID BEAULIEU - 750ML,3,Purchase order
2020,April,THE EDRINGTON GROUP USA LLC,LIQUOR,40978,MACALLAN 12YR DOUBLE CASK - 750ML,28,Purchase order
2020,April,BRONCO WINE COMPANY,WINE,333477,FOXHOLLOW CAB - 750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,24413,LONG TRAIL AMBER ALE 4/6 NR - 12OZ,3,Purchase order
2020,April,LABATT USA OPERATING CO LLC,BEER,96202,LABATTS BLUE BEER 4/6NR - 11.5OZ,168,Purchase order
2020,April,MOET HENNESSY USA,LIQUOR,41254,HENNESSY COGNAC VS - 750ML,1139,Purchase order
2020,April,SCHUG CARNEROS ESTATE WINERY,WINE,80191,SCHUG SONOMA COAST P/NOIR - 750ML,14,Purchase order
2020,April,DIAGEO NORTH AMERICA INC,LIQUOR,35424,SMIRNOFF VODKA - RASPBERRY TW - 1.75L,52,Purchase order
2020,April,DIAGEO NORTH AMERICA INC,LIQUOR,48428,TANQUERAY RANGPUR GIN - 1.75L,24,Purchase order
2020,April,LUNEAU USA INC,WINE,334690,CH GRAVIERE ENT-D-MER - 750ML,1,Purchase order
2020,April,QUINTESSENTIAL LLC,WINE,342245,LUCA BOSIO BARBERA D'ASTI - 750ML,7,Purchase order
2020,April,BACKUP BEVERAGE,KEG,68326,GREAT LAKES DORTMUNDER GOLD 1/6 KEG,1,Purchase order
2020,April,JACK POUST & COMPANY INC,WINE,42349,ST HILAIRE SPARK SEMI SW - 750ML,6,Purchase order
2020,April,CROWN IMPORTS,BEER,56439,MODELO ESPECIAL TAMARINDO PICANTE CHELADA 24 OZ CAN,224,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,313703,CHAPPELLET CERVANTES MTN CUV - 750ML,1,Purchase order
2020,April,THE WINE GROUP,WINE,86445,FRANZIA P/GRIG COL- 5L,154,Purchase order
2020,April,PERNOD RICARD USA LLC,LIQUOR,32140,BEEFEATER GIN - 1.75L,288,Purchase order
2020,April,LEGENDS LTD,BEER,29876,LAGUNITAS IPA 2/12 NR,19,Purchase order
2020,April,DUCKHORN WINE COMPANY,WINE,300239,DECOY SONOMA CAB - 750ML,56,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,127469,VILLA MARIA CEL SEL S/BLC - 750ML,1,Purchase order
2020,April,DIAGEO NORTH AMERICA INC,LIQUOR,10634,SMIRNOFF VODKA - CHERRY - 1L,14,Purchase order
2020,April,CASTLE BRANDS USA CORP,LIQUOR,38199,GOSLING BLACK SEAL RUM - 750ML,28,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,300084,4 BEARS P/NOIR - 750ML,14,Purchase order
2020,April,BANVILLE & JONES WINE MERCHANTS,WINE,238292,SUBSOIL HH HILLS ROSE - 750ML,1,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",LIQUOR,303505,BOYD & BLAIR POTATO VODKA - 750ML,14,Purchase order
2020,April,BROWN-FORMAN BEVERAGES WORLDWIDE,LIQUOR,71488,SLANE IRISH WHISKEY - 750ML,56,Purchase order
2020,April,TRI-VIN IMPORTS,WINE,418730,CICONIA RED - 750ML,14,Purchase order
2020,April,BANFI PRODUCTS CORP,WINE,71951,WALNUT CREST RAPEL CAB - 750ML,4,Purchase order
2020,April,SUTTER HOME WINERY INC,WINE,332849,SEAGLASS CAB - 750ML,1,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,236218,HOUSE WINE P/NOIR CAN - 355ML,5,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,148555,KUROSAWA JUNMAI KIMOTO SAKE - 300ML,7,Purchase order
2020,April,HEAVEN HILL DISTILLERIES INC,LIQUOR,30449,ARISTOCRAT GIN - 1L,22,Purchase order
2020,April,BACCHUS IMPORTERS LTD,LIQUOR,41403,MCCLINTOCK HERITAGE WHITE WHISKEY - 750ML,4,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,423912,CLIFFORD BAY S/BLC - 750ML,3,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,109525,BOUDIN CHAB - 750ML,2,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,LIQUOR,46547,CATOCTIN CREEK ROUNDSTONE RYE 80- 750ML,7,Purchase order
2020,April,BANFI PRODUCTS CORP,WINE,34258,BANFI CHIANTI CLASSICO - 750ML,42,Purchase order
2020,April,ELITE WINES IMPORTS,WINE,418293,ZENTAS MAL - 750ML,5,Purchase order
2020,April,FREE RUN WINE MERCHANTS LLC,WINE,346295,CANTINE LONARDO IRPINIA AGLIANICO - 750ML,1,Purchase order
2020,April,VIGNOBLES LVDH USA INC,WINE,301981,CH GRAND ROUSEAU - 750ML,2,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,439193,TASCA D'ALMERITA LAMURI - 750ML,1,Purchase order
2020,April,E & J GALLO WINERY,WINE,81698,COPPERIDGE CHARD - 750ML,17,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,304127,ANGELINE RES MER - 750ML,4,Purchase order
2020,April,E & J GALLO WINERY,WINE,84430,DARK HORSE P/NOIR  - 750ML,45,Purchase order
2020,April,MHW LTD,WINE,319431,CONTI BERETTA S/BLC - 1.5L,0,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,82843,PICCINI P/GRIG - 750ML,1,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,238256,OLD SOUL CAB LODI - 750ML,35,Purchase order
2020,April,BACKUP BEVERAGE,BEER,69537,SCHLAFLY HOP VISION 2/12 NR,30,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,321043,RAINSTORM P/NOIR - 750ML,1,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,28549,GOOSE ISLAND SUMMERTIME KOLSCH CAN,378,Purchase order
2020,April,ROYAL WINE CORP,WINE,101915,WEINSTOCK CAB - 750ML,1,Purchase order
2020,April,ROYAL WINE CORP,WINE,309960,ELVI HERENZA CRIANZA - 750ML,1,Purchase order
2020,April,KYSELA PERE ET FILS LTD,WINE,331728,LEXICON MALBEC - 750ML,1,Purchase order
2020,April,JACKSON FAMILY ENTERPRISES INC,WINE,61310,K JACKSON VINT RES RIES - 750ML,56,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,339537,DIBON BRUT ROSE - 750ML,3,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,389544,CRISTOM MT JEFFERSON P/NOIR - 750ML,1,Purchase order
2020,April,BACCHUS IMPORTERS LTD,WINE,24120,FROGS LEAP MER - 750ML,1,Purchase order
2020,April,JIM BEAM BRANDS CO,LIQUOR,41106,COURVOISIER COGNAC VS - 1.75L,53,Purchase order
2020,April,PARK STREET IMPORTS LLC,WINE,430334,RASBERRY CHOCOVINE - 750ML,2,Purchase order
2020,April,LEGENDS LTD,BEER,12184,LAGUNITAS HOP STOOPID - 12.OZ 4/6 NR,7,Purchase order
2020,April,TREFETHEN VINEYARDS,WINE,13773,TREFETHEN EB NAPA MERLOT - 750ML,2,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,83059,ST MICHAELS GOLLYWOBBLER RED  338751 - 750ML,6,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,LIQUOR,40945,ZYR RUSSIAN VODKA - 750ML,2,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,40260,MCMANIS FAMILY VYDS CAB - 750ML,1,Purchase order
2020,April,LUXCO SPIRITED BRANDS,LIQUOR,70658,LADY BLIGH SPICED RUM - 1.75L,26,Purchase order
2020,April,LEGENDS LTD,BEER,69600,DOWN EAST CIDER WHITE 6/4 CANS,8,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,337189,SUTTER HOME SANGRIA - 750ML,4,Purchase order
2020,April,MILLER BREWING COMPANY,BEER,3999,BLUE MOON 4/6 NR - 12OZ,2048,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,322899,BARGEMONE ROSE - 750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,3697,OMMEGANG HENNEPIN FARMHOUSE ALE 750ML,1,Purchase order
2020,April,NEXTERRA WINE COMPANY,WINE,64072,COOPER'S HAWK UNOAKED CHARDONNAY 750ML,11,Purchase order
2020,April,SUTTER HOME WINERY INC,WINE,84212,SUTTER HOME CAB - 187ML,285,Purchase order
2020,April,FREDERICK WILDMAN & SONS,WINE,71013,BOLLA VALPOLICELLA - 750ML,7,Purchase order
2020,April,DMV DISTRIBUTING LLC,WINE,234930,CH VIRCOULON BORD BLANC - 750ML,2,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,235610,VILLA JOLANDA MOSCATO THE BLUE - 750ML,2,Purchase order
2020,April,HEINEKEN USA,BEER,31177,TECATE 30 PACK CAN,540,Purchase order
2020,April,LEGENDS LTD,BEER,68374,FLYING EMBERS GRAPEFRUIT AND THYME 6/4 CANS,4,Purchase order
2020,April,ST KILLIAN IMPORTING CO INC,BEER,94188,KRONENBOURG 4/6 NR - 12OZ,72,Purchase order
2020,April,ARTISANS & VINES LLC,WINE,140031,FOUR SISTERS SHZ - 750ML,4,Purchase order
2020,April,PIPE CREEK WINES LLC,WINE,347008,CHAT BEAUCHENE CDR LE PAVILLON 750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,26613,MAINE LUNCH NR 12/CS - 16.9OZ,15,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,429174,FLEUR DE LYETH CAB/MAL/MER - 750ML,1,Purchase order
2020,April,IMPERO WINE DISTRIBUTORS,WINE,62039,IMPERO PINOT GRIGIO TREBBIANO 750ML,28,Purchase order
2020,April,O'NEILL BEVERAGES CO LLC,WINE,345824,DAY OWL ROSE - 750ML,28,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,349215,VINS AUVIGUE POUILLY FUISSE SOLUTRE - 750ML,1,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,51019,DEVILS BACKBONE HIBISCUS HARD LEMONADE 4/6PK 12.OZ NR,42,Purchase order
2020,April,BOSTON BEER CORPORATION,BEER,36793,TRULY WTRMLN KIWI 4/6PK 12OZ SLIM CANS,216,Purchase order
2020,April,GRAPES OF SPAIN INC,WINE,236860,PAGO DE LA JARABA S/BLC - 750ML,2,Purchase order
2020,April,LEGENDS LTD,BEER,6920,GOLDEN PHEASANT 4/6 NR - 12OZ,2,Purchase order
2020,April,STOLI GROUP (USA) LLC,LIQUOR,35335,STOLICHNAYA VODKA - 750ML,30,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,406040,CARTA VIEJA S/BLC - 1.5L,7,Purchase order
2020,April,CONSTANTINE WINES INC,WINE,312204,AVELEDA VIN VERDE - 1.5L,1,Purchase order
2020,April,ROYAL WINE CORP,WINE,317978,BARON HERZOG JEUNESSE PINK MOSCATO - 750ML,3,Purchase order
2020,April,MILLER BREWING COMPANY,BEER,23203,COORS LIGHT SUITCASE CANS 24/12OZ,104,Purchase order
2020,April,GRAPES OF SPAIN INC,WINE,233780,LEGADO DE MONCAYO DRY MUSCAT - 750ML,5,Purchase order
2020,April,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,296893,19 CRIMES THE UPRISING RED BLEND - 750ML,64,Purchase order
2020,April,BUCK DISTRIBUTING COMPANY INC,BEER,5487,REGIA 12/32OZ NR - 32OZ,220,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,339595,SANTA JULIA BL/BL ORG - 750ML,1,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,LIQUOR,43254,ROWANS CREEK BOURBON - 750ML,3,Purchase order
2020,April,CONSTELLATION BRANDS,WINE,87394,R MONDAVI PR SEL CAB - 750ML,56,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,LIQUOR,336473,DISTRICT MADE GIN - 750ML,1,Purchase order
2020,April,THE WINE GROUP,WINE,80893,BIG HOUSE BIRDMAN P/GRIG - 750ML,3,Purchase order
2020,April,E & J GALLO WINERY,WINE,74390,GALLO FAMILY VYDS CAB - 187ML,15,Purchase order
2020,April,IMPERO WINE DISTRIBUTORS,WINE,68285,PELLEGRINO NERO D'AVOLA TARENI 750ML,2,Purchase order
2020,April,LEGENDS LTD,BEER,60028,FIRESTONE WALKER NITRO MERLIN 4/6 CANS,3,Purchase order
2020,April,E & J GALLO WINERY,WINE,313972,BAREFOOT CEL RED MOSCATO - 1.5L,160,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,239762,VANDERPUMP ROSE - 750ML,1,Purchase order
2020,April,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,67881,DYNAMITE VYDS CAB - 750ML,3,Purchase order
2020,April,OPICI FAMILY DISTRIBUTING OF MD,WINE,353010,WHITEHALL LANE NAPA CAB - 750ML,1,Purchase order
2020,April,CONSTANTINE WINES INC,WINE,337117,CASAL GARCIA SANGRIA - 750ML,1,Purchase order
2020,April,CLIPPER CITY BREWING CO,DLC,1236,DLC BEER PALLET,17,Purchase order
2020,April,COMETE WINES LLC,WINE,353816,BOTALCURA EL DELIRIO CARM/MLT - 750ML,6,Purchase order
2020,April,DOPS INC,WINE,340289,CASA NATAL RES MALB - 750ML,3,Purchase order
2020,April,E & J GALLO WINERY,WINE,81214,BAREFOOT ON THE GO  CHARD  - 500ML,20,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,BEER,6203,S SMITH TADDY PORTER NR 12/CS - 18.7OZ,1,Purchase order
2020,April,DOPS INC,WINE,312048,LEFT COAST CHARD - 750ML,1,Purchase order
2020,April,WINE BRIDGE IMPORTS INC,WINE,332209,VALDIVIESO BRUT SPARK - 750ML,3,Purchase order
2020,April,KYSELA PERE ET FILS LTD,WINE,340909,PRIME BRUME SOAVE - 750ML,5,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,427160,VAL DE SALIS CHARD - 750ML,1,Purchase order
2020,April,KYSELA PERE ET FILS LTD,WINE,330954,MT MONSTER CAB - 750ML,1,Purchase order
2020,April,BANVILLE & JONES WINE MERCHANTS,WINE,237316,PALA IFIORI VERMENTINO - 750ML,1,Purchase order
2020,April,KYSELA PERE ET FILS LTD,WINE,341702,ALAIN DE LA TREILLE VOUV 15 - 750ML,4,Purchase order
2020,April,DIAGEO NORTH AMERICA INC,LIQUOR,79813,SMIRNOFF VODKA - KISS CARAMEL - 750ML,14,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,37478,GOLAN HEIGHTS MT HERMON WHITE - 750ML,2,Purchase order
2020,April,KOBRAND CORPORATION,WINE,313696,MONTES ALPHA CAB - 750ML,1,Purchase order
2020,April,LABATT USA OPERATING CO LLC,DLC,1236,DLC BEER PALLET,20,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,236162,CH ST CYRGUES COSTIERES DE NIMES RED - 750ML,2,Purchase order
2020,April,CONSTANTINE WINES INC,WINE,310468,STEPHEN VINCENT CRIMSON - 750ML,7,Purchase order
2020,April,PATERNO IMPORTS LTD,WINE,140570,CHAPOUTIER CDR BELLLRUCHE RGE - 750ML,84,Purchase order
2020,April,THE WINE GROUP,WINE,80245,CUPCAKE RIESLING - MOSEL - 750ML,14,Purchase order
2020,April,MILLER BREWING COMPANY,BEER,94080,COORS LT 4/6 LNNR - 12OZ,320,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,51175,BUD NITRO RESERVE GOLD 4/6 CANS,126,Purchase order
2020,April,LEGENDS LTD,BEER,10997,FOUNDERS KENTUCKY BREAKFAST STOUT - 6/4,3,Purchase order
2020,April,PWSWN INC,WINE,232412,CH BURGOZONE COLLECT CHARD - 750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,69551,HOOF HEARTED $60 NACHOS 6/4 16OZ CANS,1,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,357731,ARCENO CHIANTI CLS RES RED - 750ML,2,Purchase order
2020,April,CONSTANTINE WINES INC,WINE,323935,PACIFIC REDWOOD MER - 750ML,3,Purchase order
2020,April,NEXTERRA WINE COMPANY,WINE,64024,COOPER'S HAWK CHARDONNAY 750ML,16,Purchase order
2020,April,YUENGLING BREWERY,DLC,736,YUENGLING LARGE CASE PALLET,65,Purchase order
2020,April,E & J GALLO WINERY,WINE,82447,GHOST PINES CAB - 750ML,28,Purchase order
2020,April,DOPS INC,WINE,329760,SAN NICOLA P/GRIG - 1.5L,1,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,311708,TABOEXA ALBARINO RIAS BAIXAS - 750ML,1,Purchase order
2020,April,FRANCIS COPPOLA WINERY LLC,WINE,302381,COPPOLA DIAMOND P/GRIG - 750ML,42,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,WINE,324232,MYX FUSIONS MOSCATO COCONUT - 187ML,1,Purchase order
2020,April,PABST BREWING CO,BEER,88463,NATIONAL BOHEMIAN 2/12-CAN - 12OZ,735,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,NON-ALCOHOL,311544,ARIEL CAB - 750ML,3,Purchase order
2020,April,LANTERNA DISTRIBUTORS INC,WINE,319922,CANALS CANALS RES BRUT - 750ML,1,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,237436,JAM CELLARS CANDY ROSE - 750ML,1,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,LIQUOR,70298,CASA DRAGONES TEQ JOVEN - 750ML,1,Purchase order
2020,April,ELITE WINES IMPORTS,WINE,239112,TE AWANGA WILDSONG HAWKE'S BAY S/BLC WILDFLOWER VYD - 750ML,4,Purchase order
2020,April,PROXIMO SPIRITS INC,LIQUOR,48102,BUSHMILL'S IRISH WHISKEY - 1.75L,60,Purchase order
2020,April,CONSTELLATION BRANDS,WINE,87084,COOKS IMPERIAL BRUT CHAMP - 750ML,60,Purchase order
2020,April,LUXCO SPIRITED BRANDS,LIQUOR,11037,EZRA BROOKS BOURBON - 750ML,14,Purchase order
2020,April,JACKSON FAMILY ENTERPRISES INC,WINE,88589,LA CREMA MONTEREY P/NOIR - 750ML,98,Purchase order
2020,April,LEGENDS LTD,BEER,69633,GRAFT BOOK OF NOMAD: MIDNITE CITY 6/4 CANS,3,Purchase order
2020,April,OPICI FAMILY DISTRIBUTING OF MD,WINE,349950,GARZON CAB FRANC RS - 750ML,2,Purchase order
2020,April,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,296894,CH ST JEAN CREAMY CHARD - 750ML,5,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,311407,BIOKULT GRUN VELT - 750ML,1,Purchase order
2020,April,INTERBALT PRODUCTS CORP,WINE,44798,POMEGRANTE WINE S/D - 750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,12611,ACE CIDER PERRY - 4/6 12.OZ,7,Purchase order
2020,April,MACK & SCHUHLE INC,WINE,320997,BARONE MONTALTO CAB/NERO D'AVOLA - 750ML,2,Purchase order
2020,April,DOPS INC,BEER,96245,NORTH COAST ACME IPA 4/6NR - 12OZ,1,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,433947,TOUZOT MACON VIL - 750ML,1,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,40240,STARMONT S/BLANC - 750ML,1,Purchase order
2020,April,PARK STREET IMPORTS LLC,LIQUOR,77434,TANTEO TEQUILA - JALAPENO - 750ML,3,Purchase order
2020,April,NEXTERRA WINE COMPANY,WINE,69275,COOPER'S HAWK 2020 BARREL RESERVE 1.5L,1,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,51077,RITAS SPRITZ VARIETY 2/12PK 12OZ CAN,81,Purchase order
2020,April,ROYAL WINE CORP,WINE,190470,HAGAFEN EB CAB - 750ML,1,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,236364,LOU SOMEWHERE IN THE SUNSHINE CHARD KOS - 750ML,1,Purchase order
2020,April,YOUNG WON TRADING INC,WINE,313629,DASSAI 50 JUNMAI DAIGINJO - 720ML,1,Purchase order
2020,April,CROWN IMPORTS,BEER,56437,CORONA EXTRA 16OZ CAN 6/4PK,90,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,235290,GATO NEGRO CAB - 750ML,14,Purchase order
2020,April,INTERBALT PRODUCTS CORP,WINE,352986,HAN JAN ORIGINAL - 375ML,11,Purchase order
2020,April,IMPERO WINE DISTRIBUTORS,WINE,60356,POLETTI SANGIOUESE SUPERIORE LA SAGRESTANA 750ML,1,Purchase order
2020,April,LUXCO SPIRITED BRANDS,LIQUOR,70200,PEARL VODKA - 1.75L,1,Purchase order
2020,April,INTERBALT PRODUCTS CORP,BEER,355274,HEMPTATION LAGER - 330ML,2,Purchase order
2020,April,DIAGEO NORTH AMERICA INC,BEER,96067,GUINNESS STOUT 4/6 NR - 11.2OZ,1932,Purchase order
2020,April,FERRARI CARANO WINERY,WINE,46652,FERRARI CARANO SONOMA CHARD - 750ML,15,Purchase order
2020,April,BARON FRANCOIS LTD,WINE,315802,X14 SECOLO CHN - 750ML,42,Purchase order
2020,April,AREL GROUP WINE & SPIRITS,WINE,307283,CARLETTO P/GRIG - 750ML,12,Purchase order
2020,April,GRAPES OF SPAIN INC,WINE,234652,FATUM RED - 750ML,49,Purchase order
2020,April,JIM BEAM BRANDS CO,LIQUOR,15270,BASIL HAYDEN BOURBON 6/C - 750ML,336,Purchase order
2020,April,MILLER BREWING COMPANY,BEER,23968,MILLER LITE BIG 18 PK CANS - 16OZ,629,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,70442,SEACRETS ORANGE VODKA - 750ML,22,Purchase order
