Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,05/30/2009,STEWARDS/VETS LIST,Tioga Downs,Tioga Downs,Racing,Harness,Clear,LOCKRIDGE,KEVIN W. JOHNSON, ,Lockridge-Tr. Kevin Johnson-sustained RF splint bone fx-surgery-condition unknown,Accident
2009,05/31/2009,EQUINE DEATH,Belmont Park (NYRA),After 1/4 pole,Racing,Thoroughbred,Sunny,Sassification,MICHAEL J. JABLOW, ,Sassification-Tr. Michael Jablow-LF sesamoid fx-euthanized,Euthanasia
2009,05/31/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont barn 43,Training,Thoroughbred,Cloudy,Teapot Dome,MICHAEL E. HUSHION, ,Teapot Dome-Tr. Michael Hushion-CV collapse after breezing-died in stall,Equine Death
2009,06/05/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred, ,Munro Bank,RAFAEL G. ROHENA SR, ,Munro Bank-Tr. Rafael G Rohena Sr.-fx-lame-surgery not an option-euthanized,Equine Death
2009,06/06/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Barn 31,Racing,Thoroughbred, ,Dunkirk,TODD A. PLETCHER, ,Dunkirk-Tr. Todd Pletcher-fx LH cannon bone-surgery to correct-sent to Kentucky for stud,Injury
2009,06/06/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga,Racing,Harness, ,Shorty's Boy N,DAVID J. CORLEW, ,Shorty's Boy N-Tr. David Corlew-lame L/F ankle-turned out to rest,Steward's List
2009,06/09/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Training,Thoroughbred, ,A SONG FOR HOPE,RAFAEL G. ROHENA SR, ,A Song For Hope-Tr. Rafael Rohena  Sr.-sustained mid-body humeral fx during workout-euthanized,Euthanasia
2009,06/12/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Belmont Race Track,Racing,Thoroughbred, ,Dance Lesson,GREGORY J. DIPRIMA, ,Dance Lesson-Tr. Gregory Diprima-bowed RF tendon-retired  broodmare,Injury
2009,06/13/2009,ACCIDENT - ON TRACK,Vernon Downs,Vernon Downs,Racing,Harness,Sunny  Clear,Steuben Paul,MARY BETH NELSON, ,Steuben  Paul-Tr. Mary Beth Fisher-hit by another sulky-superficial injuries to horse-driver not injured,Accident
2009,06/13/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes Racetrack,Training,Thoroughbred, ,LILITH'S DREAM,JONATHAN B. BUCKLEY, ,Lilith's Dream- Tr. Jonathan Buckley-fx sesamoid RF limb-euthanized,Euthanasia
2009,06/13/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Harness,Racing,Harness,70  Rain,Seeshark,DAVID J. CORLEW, ,Seeshark-Tr. David Corlew-lame-scratched-6/24/09-ok to race,Steward's List
