the_geom,OBJECTID,CELL_TOWER_ID,CREATED_DATE,CREATED_BY,MODIFIED_DATE,MODIFIED_BY,FOLDERRSN,CASE_NUMBER,CELL_TOWER_LOCATION,CELL_TOWER_HEIGHT
POINT (-97.799354040625 30.23284525609),222,225,,,,,,,2416 W BEN WHITE BLVD WB,120
POINT (-97.716346649477 30.394708317533),487,375,,,,,,SP-01-0196CS,2526 1/2 KRAMER LN,120
POINT (-97.747293004867 30.41635074454),81,437,,,,,,,5351 1/2 THUNDER CREEK RD,97
POINT (-97.698857961072 30.339239368211),193,30,,,,,,SPX-03-0760; SPX 04/29/99,7805 N IH 35 SVRD NB,80
POINT (-97.758320026607 30.262688905504),6,202,,,,,,,302 S LAMAR BLVD,0
POINT (-97.822639760628 30.318991482241),431,193,,,,,,,1500 N CAPITAL OF TEXAS HWY SB,0
POINT (-97.796851980688 30.473110842648),344,344,,,,,,,13979 N US 183 HWY NB,0
POINT (-97.726688001181 30.350560678841),543,70,06/04/2010 12:00:00 AM +0000,castrot,,,,,,
POINT (-97.714174727496 30.355370722689),117,478,,,,,,,8315 JAMESTOWN DR,0
POINT (-97.799921848765 30.291006477674),354,96,,,,,,,911 WESTLAKE DR,0
POINT (-97.685905601049 30.380330583014),357,98,,,,,,,11128 MOTHERAL DR,0
POINT (-97.972188922123 30.328479311843),388,139,,,,,,,3222 S FM 620 RD,0
POINT (-97.802501149978 30.319513814565),231,234,,,,,,,2724 TRAIL OF MADRONES,0
POINT (-97.708942828592 30.415070708863),496,386,,,,,,SP-95-0366C,12215 WATERS PARK RD,100
POINT (-97.668209159718 30.100884326247),48,406,,,,,,SP-06-0646DS,12709 1/2 VON QUINTUS RD,195
POINT (-97.743936750415 30.391163318704),169,6,,,,,,SP-92-0365C & SPX 4/2/99,9700 RESEARCH BLVD NB,120
POINT (-97.741312457247 30.28058825081),126,486,,,,,,SPX-04-0795,1800 1/2 LAVACA ST,85
POINT (-97.712686659253 30.209883025166),138,496,,,,,,SPX 1/26/99,3217 MONTOPOLIS DR,0
POINT (-97.65944710781 30.214128337907),468,356,,,,,,SPX 6/5/95,2439 E SH 71 WB,70
POINT (-97.834358084452 30.166181305359),504,393,,,,,,SPX 8/16/96,2212 LYNNBROOK DR,150
POINT (-97.658908112587 30.214278282304),158,513,,,,,,SPX 5/8/97,2420 CARDINAL LOOP,80
POINT (-97.716110297037 30.320197569733),490,378,,,,,,SP-01-0397CS,5613 1/2 AVENUE F,75
POINT (-97.755214717546 30.097595445065),474,362,,,,,,,12425 WRIGHT RD,0
POINT (-97.739351610243 30.333687772132),57,414,,,,,,SPX 2/6/97,5807 BURNET RD,75
POINT (-97.739138850856 30.266220139242),151,507,,,,,,,410 E 5TH ST,0
POINT (-97.8289297973 30.297288275481),20,537,,,,,,SPX 1/28/97,6106 FM 2244 RD,80
POINT (-97.800768659615 30.253731596445),290,293,,,,,,BP-01-6423Q,2600 1/2 VIA FORTUNA,0
POINT (-97.773828671388 30.205885047284),160,515,,,,,,SPX 12/8/00 & 2/07/98,5501 S CONGRESS AVE,100
POINT (-97.676918652959 30.401708021534),489,377,,,,,,SP-01-0394CS,804 1/2 W YAGER LN,120
POINT (-97.750946473606 30.290325197105),228,231,,,,,,,2501 N LAMAR BVLD,100
POINT (-97.830843392493 30.448861970023),527,56,,,,,,SPX 12/15/99,10906 N FM 620 RD,100
POINT (-97.886990008176 30.369661868066),398,149,,,,,,,3409 N QUINLAN PARK RD,120
POINT (-97.70947150681 30.393865642874),144,501,,,,,,,2120 W BRAKER LN,0
POINT (-97.774187444191 30.247676993736),217,220,,,,,,SP-96-0438C,2300 S LAMAR BLVD,100
POINT (-97.746318458477 30.287863897813),297,300,,,,,,SPX-06-0460,801 W 24TH ST,0
POINT (-97.77483891924 30.343228438553),499,389,,,,,,BP-99-3345Q,4311 SMALL DR,100
POINT (-97.757601495583 30.334772506543),7,203,,,,,,,3307 NORTHLAND DR,0
POINT (-97.696585952808 30.268406265),120,481,,,,,,SP-04-0094CS,1132 1/2 AIRPORT BLVD,75
POINT (-97.74395515441 30.275877366707),43,523,,,,,,,1212 GUADALUPE ST,0
POINT (-97.745897748895 30.306252465722),367,107,,,,,,,1301 W 38TH ST,0
POINT (-97.754586902359 30.335475051519),391,142,,,,,,SPX 2/12/99,3207 NORTHLAND DR,60
POINT (-97.705517963891 30.334131972309),342,342,,,,,,SPX-06-0155,620 1/2 E ST JOHNS AVE,100
POINT (-97.663026844057 30.278974503909),19,536,,,,,,SPX 2/9/95,6500 TRACOR LN,100
POINT (-97.673738610456 30.377271489398),400,150,,,,,,,900 E BRAKER LN,120
POINT (-97.639771323785 30.311407883339),540,122,,,,,,SPX-06-0236 & SPX 10/10/00,7710 JOHNNY MORRIS RD,210
POINT (-98.065661953947 30.363480727839),351,93,,,,,,,4305 CRAWFORD RD,0
POINT (-97.517648352572 30.351399021977),369,109,,,,,,,13105 BOIS D ARC RD,0
POINT (-97.789785846578 30.293835744785),449,81,,,,,,,3602 REDBUD TRL,0
POINT (-97.69541955305 30.414767275266),87,443,,,,,,SPX 4/7/98,12425 LAMPLIGHT VILLAGE AVE,100
POINT (-97.640152736915 30.401517944373),309,310,,,,,,SPC-06-0327CS,13208 1/2 DESSAU RD,100
POINT (-97.800833706348 30.252499287423),417,524,,,,,,,2700 VIA FORTUNA,0
POINT (-97.586150597928 30.494000859071),363,103,,,,,,,1300 PRIEM LN,0
POINT (-97.906054340576 30.389560695619),62,418,,,,,,SPX 11/4/96,4400 N FM 620 RD,120
POINT (-97.758260465755 30.243028869829),403,153,,,,,,SP-00-2302CS,2301 S FIRST ST,100
POINT (-97.803369569854 30.322433281724),508,467,,,,,,SP-02-0036DS,2400 WAYMAKER WAY,120
POINT (-97.831987400304 30.298292709654),214,217,,,,,,,6400 FM 2244 RD,348
POINT (-97.799875642427 30.323266335304),308,309,,,,,,SP-97-0273D,5319 BUCKMAN MOUNTAIN RD,0
POINT (-97.866104047731 30.314778878552),264,267,,,,,,,9063 FM 2244 RD,0
POINT (-97.8654470251 30.198747883009),289,292,,,,,,BP-00-8600Q,4915 1/2 W SLAUGHTER LN,0
POINT (-97.677332378196 30.407000129064),122,482,,,,,,,12417 N LAMAR BLVD,0
POINT (-97.609962933279 30.263398705534),502,391,,,,,,SPX-03-0788,5150 1/2 N FM 973 RD,179
POINT (-97.717720915137 30.337715593798),47,405,,,,,,SP-06-0458CS,6929 1/2 AIRPORT BLVD,100
POINT (-97.737505905697 30.25639961071),258,261,,,,,,,50 N IH 35 SVRD SB,75
POINT (-97.760332306653 30.278874031789),139,497,,,,,,,1601 W 9TH HALF ST,0
POINT (-97.955550219051 30.224562618942),356,127,,,,,,,10800 W US 290 HWY,0
POINT (-97.715776399207 30.392432520916),71,427,,,,,,SPX 6/23/95,2401 KRAMER LN,120
POINT (-97.510013329351 30.349748059941),370,110,,,,,,,13623 E US 290 HWY,0
POINT (-97.859335517848 30.190688484832),68,424,,,,,,SP-92-0384D,4301 W SLAUGHTER LN,0
POINT (-97.739300842404 30.234314241437),464,352,,,,,,SPX 03/25/98 & 02/05/02,1616 E OLTORF ST,108
POINT (-97.761406612949 30.271955682886),95,451,,,,,,SP-91-0100A,410 PRESSLER ST,0
POINT (-97.617147924153 30.306456172829),147,504,,,,,,,8031 DECKER LN,0
POINT (-97.865367145966 30.33947043074),124,484,,,,,,,1500 VILLAGE WEST DR,0
POINT (-97.669027552523 30.453793127053),486,374,,,,,,SPX 5/6/97; 10/04/00,15607 SCARLET ST,170
POINT (-97.750043656451 30.416173822842),326,326,,,,,,SPC-01-0362CS,11602 1/2 JOLLYVILLE RD,120
POINT (-97.723454544299 30.288092147915),453,85,,,,,,SPC-06-0731C,3007 1/2 N IH 35 SVRD NB,100
POINT (-97.643304395348 30.148974204223),13,530,,,,,,,7610 MC ANGUS RD,185
POINT (-97.765670530844 30.253666226296),295,298,,,,,,SPX-06-0290,1414 1/2 S LAMAR BLVD,100
POINT (-97.82417287434 30.232001911086),277,280,,,,,,,5017 W US 290 HWY EB,120
POINT (-97.672966135305 30.446274094853),94,450,,,,,,,1904 FLEISCHER DR,79
POINT (-97.707786502732 30.256321072777),384,135,,,,,,SP-2008-0442CS,618 1/2 TILLERY ST,100
POINT (-97.71343262059 30.374521432563),492,383,,,,,,BP-95-7472S,1647 RUTLAND DR,80
POINT (-97.861701182432 30.396193800769),294,297,,,,,,,6400 N FM 620 RD,0
POINT (-97.741124619975 30.261825841983),416,180,,,,,,,85 TRINITY ST,0
POINT (-97.663131501455 30.279062029361),256,259,,,,,,,6500 TRACOR LN,100
POINT (-97.663702727929 30.323898040286),189,26,,,,,,,3212 DUKE RD,230
POINT (-97.555446530579 30.18734287755),215,218,,,,,,,4313 CALDWELL LN,195
POINT (-97.807257570181 30.196062251411),402,152,,,,,,SP-00-2269CS,7415 MANCHACA RD,98
POINT (-97.740757210233 30.367065752909),188,25,,,,,,,3405 STECK AVE,75
POINT (-97.599514057926 30.332808758598),76,432,,,,,,,10711 DECKER LN,150
POINT (-97.740320424828 30.274673091154),119,480,,,,,,,1099 CONGRESS AVE,0
POINT (-97.883222073601 30.148580224299),165,2,,,,,,SPX-06-0987 & 6/24/98,3906 BLISS SPILLAR ROAD,195
POINT (-97.750376526383 30.259371104698),239,242,,,,,,BP-02-0876Q,400 S 1ST ST,20
POINT (-97.901967555506 30.212383884926),227,230,,,,,,,9408 GRANADA HILLS DR,190
POINT (-97.747783483531 30.356113069648),182,19,,,,,,,7320 N MOPAC EXPY SVRD,0
POINT (-97.717513502338 30.350594667417),341,341,,,,,,SPX 9/1/98; 01,7930 ANDERSON SQ,100
POINT (-97.677787024815 30.372535707804),340,340,,,,,,SPX 5/6/97&10/26/00,807 RUBY DR,160
POINT (-97.617682119031 30.108598754808),185,22,,,,,,SP-01-0396DS,15416 FM 812 RD,0
POINT (-97.740460573866 30.339686255478),56,413,,,,,,SPC-01-0471CS,2110 1/2 WHITE HORSE TRL,100
POINT (-97.696477483984 30.22247090969),50,469,,,,,,SP-92-0459CS,7000 E RIVERSIDE DR,150
POINT (-97.703614819791 30.428181288907),133,492,,,,,,SP-2008-0441CS,3110 1/2 OAK CREEK DR,0
POINT (-97.680648232239 30.473403461041),253,256,,,,,,SPX-03-0476,3906 PRAIRIE LN,100
POINT (-97.736701952298 30.279716866609),373,113,,,,,,,1801 BRAZOS ST,0
POINT (-97.690322322929 30.394133863952),541,68,02/25/2010 12:00:00 AM +0000,sigmonr,02/25/2010 12:00:00 AM +0000,sigmonr,10394877,SP-2010-0022CS,11900-1/2 KNOLLPARK DRIVE UNIT D,120
POINT (-97.740209103809 30.324312632051),472,360,,,,,,SP-05-1474CS,5222 1/2 BURNET RD,100
POINT (-97.975810234156 30.467144050048),536,64,,,,,,,7301 LOMAN FORD RD,0
POINT (-97.534842491949 30.190183816855),461,349,,,,,,,4111 BUCK LANE,0
POINT (-97.80164201606 30.231450221567),437,71,,,02/02/2010 12:00:00 AM +0000,Oneillt,,,4514 1/2 WEST GATE BLVD,0
POINT (-97.801262618347 30.173953890037),328,328,,,,,,SPC-00-2011C,620 W SLAUGHTER LN,100
POINT (-97.684928988521 30.355746988619),497,387,,,,,,SPX 8/15/97,933 E RUNDBERG LN,98
POINT (-97.712594066664 30.42384208056),90,446,,,,,,SP-05-0390CS,3719 1/2 W PARMER LN,100
POINT (-97.845966936518 30.253961100578),152,508,,,,,,,4351 FOSTER RANCH RD,0
POINT (-97.748065496587 30.260280592546),393,144,,,,,,,210 BARTON SPRINGS RD,0
POINT (-97.759481601642 30.436230604539),230,233,,,,,,,12402 TECHNOLOGY BLVD,100
POINT (-97.733496861021 30.483847568402),59,415,,,,,,,15605 N FM 620 RD,120
POINT (-97.731717397418 30.220974590331),312,313,,,,,,SPX-03-0462,3113 S PLEASANT VALLEY RD,0
POINT (-97.938624751258 30.505803664799),360,101,,,,,,,11505 MOUNTAIN TOP CIR,0
POINT (-97.797617793417 30.216172724033),467,355,,,,,,,5532 MANCHACA RD,100
POINT (-97.686850224008 30.239819427082),179,16,,,,,,SPX 6/30/97,403 BASTROP HWY NB,100
POINT (-97.609913016501 30.264041660466),396,147,,,,,,,"5214 N FM 973 RD, UNIT B",179
POINT (-97.84288388361 30.144033768727),195,32,,,07/15/2010 12:00:00 AM +0000,Oneillt,,SPX-06-0154; SPX 1/7/99,12316 1/2 RANCHO ALTO RD,0
POINT (-97.770582046336 30.17715638784),53,410,,,,,,,7500 BLUFF SPRINGS RD,150
POINT (-97.825540394511 30.171385193597),286,289,,,,,,SPX-04-0856,10010 1/2 MANCHACA RD,100
POINT (-97.738766367619 30.318303985567),542,69,03/03/2010 12:00:00 AM +0000,cookj,03/03/2010 12:00:00 AM +0000,cookj,10393516,SP-2010-0017CS,4709 1/2 BURNET RD,100
POINT (-97.673414636988 30.446119355113),454,125,,,,,,,1905 FLEISCHER DR,90
POINT (-97.668711971943 30.177159531846),161,516,,,,,,,5106 GENERAL AVIATION AVE,160
POINT (-97.774358126717 30.438537098663),411,160,,,,,,SPX 4/30/96,12949 N US 183 HWY SVRD NB,150
POINT (-97.705048172989 30.384543257799),339,339,,,,,,SP-93-0336C,1701 KRAMER LN,100
POINT (-97.804417000663 30.197462320011),415,179,,,,,,,1613 MATTHEWS LN,0
POINT (-97.705176697328 30.339311497292),194,31,,,,,,SPX 10/17/95,7581 CHEVY CHASE DR,100
POINT (-97.876796426692 30.243804780534),3,200,,,,,,,7400 OLD BEE CAVES RD,116
POINT (-97.979226931779 30.352036561736),392,143,,,,,,,1718 LOHMANS CROSSING RD,0
POINT (-97.925953839476 30.396349046448),524,54,,,,,,SPX 9/25/96,3721 N FM 620 RD,150
POINT (-97.813866485322 30.464068067413),362,128,,,,,,,12322 N FM 620 RD,0
POINT (-97.75210211201 30.237072573106),265,268,,,,,,,401 E OLTORF ST,100
POINT (-97.743086444653 30.231670357815),131,490,,,,,,,2512 S IH 35 SVRD SB,0
POINT (-97.785532520432 30.197878541627),471,359,,,,,,SPX-06-0287,500 W WILLIAM CANNON DR,94
POINT (-97.654661372126 30.455698269012),143,500,,,,,,SPX 8/30/96,16107 WHITE RIVER BLVD,120
POINT (-97.816882030477 30.20843493237),51,408,,,,,,SPC-01-0005A,2716 W WILLIAM CANNON DR,125
POINT (-97.639451697791 30.398813096226),460,348,,,,,,SPX 2-5-01 & SPX 9/25/96,13107 DESSAU RD,150
POINT (-97.724452022537 30.289401686814),1,198,,,,,,,1015 E 32ND ST,0
POINT (-97.718811965348 30.369436564295),220,223,,,,,,,8833 RESEARCH BLVD NB,120
POINT (-97.67977241588 30.321213654634),75,431,,,,,,SPX 2/26/96,7224 NORTHEAST DR,75
POINT (-97.717342959537 30.2118822129),511,399,,,,,,SP-03-0455CS,5827 1/2 E BEN WHITE BLVD EB,95
POINT (-97.74187269374 30.267633387828),211,214,,,,,,,121 E 6TH ST,0
POINT (-97.759694611048 30.294741170405),291,294,,,,,,,2503 WINSTED LN,0
POINT (-97.763733677488 30.196624763656),156,40,04/29/2009 12:00:00 AM +0000,BV,04/29/2009 12:00:00 AM +0000,BV,,SP-2009-0110CS,5809 1/2 S IH35 SVC RD NB,120
POINT (-97.769076895405 30.185306514048),38,171,,,,,,,1824 BOGGY CREEK DR,130
POINT (-97.657656982725 30.400491623767),405,155,,,,,,SP-2007-0573CS,12601 1/2 TECH RIDGE BLVD,120
POINT (-97.669367939862 30.34916602684),73,429,,,,,,SPX 11/7/97,9407 BROWN LN,100
POINT (-97.729040923683 30.43317501819),321,321,,,,,,SPX 6/21/96,5300 W PARMER LANE,150
POINT (-97.52969874089 30.296606179277),175,12,,,,,,,10113 TAYLOR LN,0
POINT (-97.512990197316 30.36124417778),368,108,,,,,,,13014 TOWER RD,0
POINT (-97.671206730003 30.336242036983),183,20,,,,,,,8317 CROSS PARK DR,0
POINT (-97.742968690062 30.266406179372),349,126,,,,,,,401 CONGRESS AVE,0
POINT (-97.887006635049 30.511586294249),514,402,,,,,,,12900 TRAILS END RD,0
POINT (-97.923434332156 30.250872311066),244,247,,,,,,SPX-05-0549,7614 THOMAS SPRINGS RD,150
POINT (-97.859198199657 30.23398132467),34,168,,,,,,SP-04-0233CS,5915 1/2 MC CARTY LN,120
POINT (-97.741579304102 30.367112978732),493,465,,,,,,SPX 01/12/00;10-11-0,3419 STECK AVE,85
POINT (-97.714441353335 30.405247194349),346,346,,,,,,SPX-05-1010,11901 1/2 BURNET RD,120
POINT (-97.821064481138 30.130179957472),491,379,,,,,,SP-01-0437DS,401 1/2 ELM VIEW WAY,0
POINT (-97.772866757903 30.188103575784),534,62,,,,,,,6808 S IH 35 SVRD SB,0
POINT (-97.715027743468 30.319008429051),206,209,,,,,,,603 E 56TH ST,75
POINT (-97.759582493881 30.215668421346),470,358,,,,,,SPX 7/15/97,4322 TERRY O LN,120
POINT (-97.733427868057 30.26143269954),456,87,,,,,,,1012 E 2ND ST,0
POINT (-97.721559761515 30.260977698955),127,487,,,,,,,1905 E 6TH ST,0
POINT (-97.726798016815 30.326992692085),80,436,,,,,,SPX 10/2/97,5710 N LAMAR BLVD,75
POINT (-97.692535179691 30.383543534151),141,499,,,,,,SP-01-0248CS,1108 1/2 KRAMER LN,100
POINT (-97.833115089667 30.438968066702),455,86,,,,,,,10013 N FM 620 RD,0
POINT (-97.621578079829 30.321580915671),506,395,,,,,,,7500 DAFFAN LN,0
POINT (-97.696679547017 30.367960975786),65,421,,,,,,SP-01-0341CS,822 1/2 RUTLAND DR,120
POINT (-97.505551207948 30.422349231735),372,112,,,,,,,17604 N FM 973 RD,0
POINT (-97.72508897403 30.242820333445),509,397,,,,,,SP-03-0178CS,1307 1/2 TINNIN FORD RD,80
POINT (-97.946939967302 30.373841363328),389,140,,,,,,,911 N FM 620 RD,0
POINT (-97.753098572118 30.25909404274),116,477,,,,,,SPX-02-0942,811 BARTON SPRINGS  RD,0
POINT (-97.742090772993 30.29565762608),245,248,,,,,,SP-04-0130CS,2915 1/2 GUADALUPE ST,60
POINT (-97.709267815501 30.414684820474),418,181,,,,,,,12215 WATERS PARK RD,100
POINT (-97.695597605906 30.44368583115),306,381,,,,,,SPX-04-0910,14205 BURNET RD,0
POINT (-97.740943269115 30.263743149294),422,185,,,,,,,340 E 2ND ST,0
POINT (-97.760724754952 30.225353308949),221,224,,,,,,,3708 WOODBURY DR,98
POINT (-97.685527836437 30.228134634205),177,14,,,,,,,830 BASTROP HWY SB,120
POINT (-97.919475780456 30.201261760695),164,1,,,,,,,11004 FM 1826 RD,0
POINT (-97.939642226883 30.504901294381),358,99,,,,,,,11152 MOUNTAIN TOP CIR,0
POINT (-97.686302872778 30.33900954162),180,17,,,,,,,1312 RUTHERFORD LN,120
POINT (-97.73499060087 30.242383563126),434,195,,,,,,,1512 SUMMIT ST,0
POINT (-97.516902432343 30.44540199152),374,114,,,,,,,19106 ENGELMANN LN,0
POINT (-97.703417936795 30.3558267405),136,494,,,,,,SP-01-0530CS,821 1/2 FAIRFIELD DR,100
POINT (-97.682411782053 30.364597502674),538,66,,,,,,,10001 N IH 35 SVRD NB,100
POINT (-97.739965704935 30.216692528852),159,514,,,,,,SPC 7/28/96,2230 E BEN WHITE BLVD WB,100
POINT (-97.838643327841 30.305280892141),99,455,,,,,,SP-89-0099DS,410 S ST STEPHENS SCHOOL RD,0
POINT (-97.79643691505 30.353118933167),111,473,,,,,,,5918 WEST COURTYARD DR,0
POINT (-97.638056995668 30.204742059979),157,512,,,,,,SPX 3/25/98,3104 ALICE AVE,235
POINT (-97.699772508018 30.145994564597),482,370,,,,,,SPX 2/12/99,7718 FM 1625 RD,100
POINT (-97.720633643775 30.452402440812),476,364,,,,,,SPX 4/6/99,14001 MC NEIL RD,150
POINT (-97.615130047679 30.424987440676),513,401,,,,,,,909 IMMANUEL RD,0
POINT (-97.780936131755 30.242991402035),202,45,,,,,,SP-01-0444CS,2823 1/2 MANCHACA RD,100
POINT (-97.768636735286 30.384446630816),149,506,,,,,,,8310 N CAPITAL OF TEXAS HWY SB,0
POINT (-97.798442195191 30.366380576459),112,474,,,,,,,6601 FM 2222 RD,0
POINT (-97.733818713354 30.353031675313),114,34,,,,,,BP-06-6082Q,7600 BURNET RD,0
POINT (-97.759902655944 30.37414901039),171,8,,,,,,SPX 12/10/96,4505 SPICEWOOD SPRINGS RD,60
POINT (-97.730477525767 30.353292739031),440,74,,,,,,SPX 9/5/96,7601 BURNET RD,100
POINT (-97.728088481393 30.279665259069),30,164,,,,,,,2015 N IH 35 SVRD,0
POINT (-97.747329374987 30.494895076551),331,331,,,,,,SPX 6/21/96,8815 NEENAH AVE,150
POINT (-97.913825063061 30.281391891834),479,367,,,,,,SPX 2/12/99&3/05/01,10702 W SH 71,190
POINT (-97.796934405665 30.447732543514),247,250,,,,,,,9908 ANDERSON MILL RD,150
POINT (-97.706160133449 30.311488553406),435,196,,,,,,SP-05-0654CS,5341 1/2 CAMERON RD,100
POINT (-97.765807731947 30.280931692987),288,291,,,,,,,900 THERESA AVE,0
POINT (-97.681247656976 30.474165189442),332,332,,,,,,,4000 PRAIRIE LN,0
POINT (-97.733806540833 30.483643104294),58,470,,,,,,SPX 4/8/96,15527 N FM 620 RD,120
POINT (-97.72035331863 30.393787552971),54,411,,,,,,SP-00-2335CS,10811 1/2 BURNET RD,80
POINT (-97.648862001671 30.385485994892),107,463,,,,,,SPX-03-0208; SPX 1/26/95,12227 1/2 DESSAU RD,120
POINT (-97.718893813567 30.297569261181),96,452,,,,,,SP-95-0410C,1033 E 41ST ST,0
POINT (-97.799453467725 30.251087326311),176,13,,,,,,,2801 VIA FORTUNA,0
POINT (-98.042584008002 30.509977258373),145,502,,,,,,,7730 SINGLETON BEND RD,0
POINT (-97.66866313213 30.392877661764),459,347,,,,,,SP-00-2392CS,500 VFW RD,100
POINT (-97.812088153104 30.263798930051),36,169,,,,,,SPX-06-0976,3400 1/2 TARLTON LN,161
POINT (-97.665427941679 30.207025724648),301,303,,,,,,BP-00-4478Q,3011 1/2 EMPLOYEE AVE,0
POINT (-97.829461536106 30.237351136078),92,448,,,,,,,5148 W US 290 HWY WB,122
POINT (-97.788836193262 30.168566033096),266,269,,,,,,,9000 S CONGRESS AVE,0
POINT (-97.840045859339 30.194722673117),216,219,,,,,,,3402 DAVIS LN,0
POINT (-97.769549115252 30.46081224007),172,9,,,,,,BP-00-2524Q,8800 HAZELHURST DR,100
POINT (-97.68241910786 30.406873185624),316,316,,,,,,SPX-06-0357,12318 BLUE WATER DR,110
POINT (-98.078768211675 30.293791536108),387,138,,,,,,,19412 HAMILTON POOL RD,0
POINT (-97.689760393727 30.334711638348),86,442,,,,,,,1212 E ANDERSON LN WB,0
POINT (-97.804317459564 30.246927343418),314,314,,,,,,BP-04-5658Q,3512 1/2 S CAPITAL OF TEXAS HWY SB,0
POINT (-97.650107922461 30.209491123532),196,33,,,,,,SPX-06-0239 & SPX 1/27/98,2725 LYLE RD,156
POINT (-97.818873845181 30.208095770601),383,134,,,,,,SPC-2008-0288CS,2909 1/2 W WILLIAM CANNON DR,0
POINT (-97.795023432056 30.187338112093),516,47,,,,,,SP-02-0316CS,7600 1/2 COOPER LN,100
POINT (-97.722798349476 30.390411299612),304,306,,,,,,SPX-04-0610,10620 1/2 BURNET RD,0
POINT (-97.901765308516 30.24933375021),303,305,,,,,,SPX-03-0773,8835 W SH 71,580
POINT (-97.769629083909 30.18349252349),512,400,,,,,,SP-92-0060D,7010 BLUFF SPRINGS RD,0
POINT (-97.576933593884 30.283474000129),205,208,,,,,,,7717 GILBERT RD,0
POINT (-97.676968405743 30.327117412848),16,533,,,,,,SPX 4/23/96,2315 E ANDERSON LN EB,80
POINT (-97.657886520272 30.137445909347),134,493,,,,,,SPX 11/13/95,11900 FM 812 RD,120
POINT (-97.709177897526 30.414947705861),22,539,,,,,,,12215 WATERS PARK RD,100
POINT (-97.774824832948 30.494513587816),102,458,05/27/2010 12:00:00 AM +0000,castrot,05/27/2010 12:00:00 AM +0000,castrot,10435606,SP-2010-0121CS,10213 1/2 W PARMER LN,120
POINT (-97.753867810672 30.244353750173),275,278,,,,,,,211 W JOHANNA ST,75
POINT (-97.780919063488 30.207670488691),438,72,,,02/02/2010 12:00:00 AM +0000,Oneillt,,SPX 8/4/97,607 1/2 STASSNEY LN,75
POINT (-97.741233452425 30.283417088478),44,176,,,,,,,2021 GUADALUPE ST,0
POINT (-97.702884834446 30.324471716375),457,88,,,,,,,6300 LA CALMA DR,0
POINT (-97.696981731048 30.440541802301),313,382,,,,,,SPX-04-0599,13907  BURNET RD,0
POINT (-97.753097898528 30.218340542212),14,531,,,,,,,4002 S IH 35 SVRD SB,0
POINT (-97.786433897317 30.239736425814),25,542,,,,,,SPX 3/4/98,3415 S LAMAR BLVD,75
POINT (-97.781603477191 30.444408729513),445,78,,,,,,SPX-06-0350,12212 ROXIE DR,440
POINT (-97.725666037397 30.233738447563),404,154,,,,,,SPX-06-0237,2500 WILLOW HILL DR,120
POINT (-97.547913327884 30.331047611775),366,106,,,,,,,17110 BLAKE MANOR RD,0
POINT (-97.883098344317 30.311883206992),234,237,,,,,,,9861 FM 2244 RD,0
POINT (-97.668436677986 30.177554886895),199,118,,,,,,SPX 1/14/99,5016 GENERAL AVIATION AVE,100
POINT (-97.895037218586 30.387083248661),420,183,,,,,,BP-01-5695Q,4503 N FM 620 RD,150
POINT (-97.627772696108 30.405472627776),17,534,,,,,,SPX 3/8/96,2300 CRYSTAL BEND DR,120
POINT (-97.602431709631 30.193392279912),224,227,,,,,,,3900 BURCH DR,0
POINT (-97.698185271811 30.432403144315),327,327,,,,,,SP-00-2519CS,13505 BURNET RD,80
POINT (-97.7361909336 30.253894378669),42,175,,,,,,,1106 FLORES ST,0
POINT (-97.679722541469 30.310327529149),397,148,,,,,,SP-2007-0527CS,6119 1/2 WHELESS COVE,75
POINT (-97.706180535716 30.395410084208),444,77,,,,,,SPX 4/21/99,11609  METRIC BLVD,127
POINT (-97.684416418481 30.322941305006),225,228,,,,,,,7103 CREEKSIDE DR,120
POINT (-97.756839614507 30.308695223995),128,36,,,,,,,2005 W 35TH ST,0
POINT (-97.840822919031 30.180935302665),481,369,,,,,,SPX 9/25/96&08/14/00,9814 WESTGATE BLVD,160
POINT (-97.704326708157 30.286005863119),84,440,,,,,,SP-00-2303CS,3121 MANOR RD,70
POINT (-97.798101686417 30.412955563302),173,10,,,,,,SPX 2/11/97,7621 SPICEWOOD SPRINGS RD,120
POINT (-97.851065157584 30.245881068358),320,320,,,,,,SP-00-2315CS,5903 1/2 SOUTHWEST PKWY,120
POINT (-97.721813037215 30.261976811822),259,262,,,,,,BP-00-7929Q,1910 1/2  E 6TH ST,0
POINT (-97.685793119905 30.299417280478),27,162,,,,,,SP-01-0472CS,5209 1/2 MANOR RD,100
POINT (-97.759555295584 30.464600763615),517,48,,,,,,SP-03-0197DS,8601 1/2 W PARMER LN,0
POINT (-97.670261575615 30.277704758471),12,529,,,,,,,4116 ED BLUESTEIN BLVD SB,119
POINT (-97.777989355718 30.119530590535),427,189,,,,,,SP-2007-0349DS,11821 1/2 BRADSHAW RD,0
POINT (-97.704261900296 30.324097088016),525,55,,,,,,SPX 1/5/95,6121 N IH 35 SVRD NB,60
POINT (-97.737419712215 30.343973786938),498,388,,,,,,SPX 7/19/99 & 2/16/01,6801 BURNET RD,100
POINT (-97.723072055407 30.332026678579),236,239,,,,,,SPX 6/23/95,6404 1/2 N LAMAR BLVD,80
POINT (-97.686273508072 30.299080847094),412,161,,,,,,SP-01-0395CS,5201 1/2 MANOR RD,64
POINT (-97.844992500284 30.426580773975),310,311,,,,,,SP-05-1502CS,8708 1/2 N FM 620 RD,0
