the_geom,OBJECTID,CELL_TOWER_ID,CREATED_DATE,CREATED_BY,MODIFIED_DATE,MODIFIED_BY,FOLDERRSN,CASE_NUMBER,CELL_TOWER_LOCATION,CELL_TOWER_HEIGHT
POINT (-97.747580632222 30.41423942473),268,271,,,,,,,11571 JOLLYVILLE RD,50
POINT (-97.734306323022 30.292091166651),281,284,,,,,,,3000 DUVAL ST,100
POINT (-97.693197064284 30.461472769531),280,283,,,,,,,15311 BURNET RD,100
POINT (-97.715705669348 30.343823552571),192,29,,,,,,SPX-04-0832 & SPX 1/20/00,7544 N LAMAR BLVD,58
POINT (-97.692940213719 30.259302961294),11,528,,,,,,SP-93-0123C,5115 BOLM RD,150
POINT (-97.703440780562 30.114858007468),63,419,,,,,,,9915 RODRIGUEZ RD,190
POINT (-97.760254356895 30.22766862544),238,241,,,,,,,3601 1/2 S CONGRESS AVE,180
POINT (-97.930816839014 30.506513497326),359,100,,,,,,,11337 MOUNTAIN TOP CIR,0
POINT (-97.752531611037 30.053760790641),419,182,,,,,,,1700 WILLIAMSON RD,0
POINT (-97.747823491738 30.402397373121),32,166,,,,,,,10805 JOLLYVILLE RD,0
POINT (-97.379859268622 30.416043567282),125,485,,,,,,,17008 S SH 95,0
POINT (-97.743629755396 30.385037024866),272,275,,,,,,,9430 RESEARCH BLVD SVRD SB,0
POINT (-97.755763851604 30.268784806599),414,178,,,,,,,220 N LAMAR BLVD,0
POINT (-97.871396914874 30.314882752289),263,266,,,,,,,9415 FM 2244 RD,0
POINT (-97.796129427264 30.35525471903),432,526,,,,,,SPX 03/28/00 & 12/4/96,6034 WEST COURTYARD DR,100
POINT (-97.63311201798 30.290438687022),148,505,,,,,,,8208 BAGBY DR,0
POINT (-97.626302874495 30.328021010562),500,466,,,,,,SPX 12/12/96,9606 OLD MANOR RD,150
POINT (-97.765060463967 30.436833153779),287,290,,,,,,,7200 MC NEIL DR,240
POINT (-97.77656225657 30.400734008182),33,167,,,,,,SPX-06-0182,6525 YAUPON DR,120
POINT (-97.704856442963 30.320435880328),106,462,,,,,,,6007 N IH 35 SVRD SB,100
POINT (-97.645235454404 30.352832527046),66,422,,,,,,SPX-04-0739,10520 1/2 CAMERON RD,120
POINT (-97.750833592684 30.275314975909),278,281,,,,,,,825 W 11TH ST,75
POINT (-97.743965857576 30.1933780542),452,84,,,,,,SPC-06-0654CS,5405 S PLEASANT VALLEY RD,100
POINT (-97.732457871694 30.299074082199),204,207,,,,,,,3701 GROOMS ST,91
POINT (-97.729246743651 30.298132512085),140,498,,,,,,,509 E 38TH STREET,0
POINT (-97.713954955606 30.375497948885),439,73,,,,,,SPX-06-0197 & SPX 04/30/9,9622 BECK CIR,120
POINT (-97.717062190195 30.271025621897),93,449,,,,,,,2103 S L DAVIS AVE,79
POINT (-97.885975121661 30.368303939819),478,366,,,,,,SPX 3/2/99,3315 N QUINLAN PARK RD,0
POINT (-97.829904965945 30.456138659343),335,335,,,,,,SPX 9/25/97,12007 ANDERSON MILL RD,120
POINT (-97.659884044428 30.302371299854),83,439,,,,,,SPX-05-1616,5537 1/2 LOYOLA LN,100
POINT (-97.752837072869 30.269220792675),488,376,,,,,,SP-01-0279CS,311 BOWIE ST,100
POINT (-97.820174748538 30.461830743477),8,204,,,,,,,3500 HATCH RD,0
POINT (-97.750417347286 30.055516116755),428,190,,,,,,,5322 WILLIAMSON RD,0
POINT (-97.641341601419 30.449078804539),386,137,,,,,,,16200 YELLOW SAGE,0
