the_geom,Proj_Name,SIP_YR,DateComplt,SIP_Proj_T,Shape_Leng
"MULTILINESTRING ((-73.96317447498492 40.65567458359704, -73.96316097780756 40.65557773767433, -73.96312405756011 40.65547948844034, -73.96306261198049 40.655384734331214, -73.9629779034385 40.65529873473376, -73.96287376043362 40.655226173521285, -73.96275591585584 40.65517037540589, -73.96263109678813 40.65513283738988, -73.9625058539574 40.65511319237448, -73.96190028541803 40.65487096139689), (-73.97404458256038 40.657347252585076, -73.97354931347316 40.657696945505506), (-73.96374501448383 40.659864922638896, -73.96372662161615 40.65996094792774, -73.96368799516083 40.66005847159023, -73.96362788355064 40.660153853322264, -73.96354653724052 40.66024304174576, -73.96344595679598 40.66032205716853, -73.9633297980247 40.660387514763826, -73.96320294601017 40.66043711072519, -73.96307084093404 40.66046986520124, -73.96293880402959 40.660486104074536, -73.9628113754474 40.6604872786449), (-73.97292948294019 40.667937858236186, -73.97309196206346 40.66794999928543, -73.97325371385017 40.667977053376376, -73.97341117866978 40.66801892783668, -73.97356092604657 40.6680748744673, -73.97369982610857 40.668143544510684, -73.97382528606897 40.66822308865722))",Prospect Park,2009,04/28/2009 12:00:00 AM +0000,-,1334.28759501
"MULTILINESTRING ((-73.91377104960357 40.83872164823447, -73.91313156349094 40.83981054073344, -73.91296000922252 40.84019622701552, -73.91277823125642 40.84069106401988, -73.91269769173427 40.84093013005164, -73.91262256250693 40.84115715871736, -73.91246930256382 40.841620256354, -73.912403816815 40.84181649619549, -73.9122218045597 40.842356591709155, -73.91197045588758 40.84310439488866, -73.91193751611236 40.84320238752953, -73.9119130321572 40.843272455119724, -73.91169441202308 40.84389812978779, -73.91158073486112 40.84425252179873, -73.91149384467752 40.844445583899216, -73.9114057272634 40.844615961567655, -73.91130713157565 40.84478290022964, -73.91107727384798 40.8450961308226, -73.9110409637621 40.84514117249562, -73.91100152908237 40.845181754306346, -73.91062402804496 40.84554486533212, -73.90973950401123 40.846179582330414, -73.90944100614439 40.84639147745189, -73.90905566015157 40.8466614481695, -73.90875379615689 40.846869853938024, -73.90842424615593 40.84710728682703, -73.90821387386869 40.847265831450855, -73.90789711415964 40.84751429502606, -73.9075312526079 40.8478161626045, -73.90678099116388 40.84854382303912, -73.9060008585597 40.84945302044071, -73.90562192817887 40.84992546948007, -73.90528069193985 40.850340460777545, -73.90513490040921 40.85053029979603, -73.90467389614668 40.851100822749835, -73.90454100134446 40.85126765507573, -73.90433691537885 40.85151711140531, -73.90422919114204 40.85166253252248, -73.90374618369763 40.85225061100224, -73.90366377405365 40.85235599881591, -73.9033478024433 40.85274293700611, -73.90305163411149 40.853105091409006, -73.90272379728552 40.85352351707289, -73.90241501214926 40.8539105037225, -73.90185996053673 40.85458614897472, -73.90153703473393 40.85499464292692, -73.90130126715604 40.85530349012818, -73.90116591027235 40.8554956741888, -73.9007792266333 40.85604710934568, -73.90067256143777 40.85622056024357, -73.90051658023029 40.85648149627265, -73.90027829604813 40.85688010010253, -73.90003092380205 40.85729391384019, -73.89995669938965 40.85742242162156, -73.89921362851273 40.858679139481346, -73.89883814513897 40.85930730755863, -73.89880457622273 40.85936427108392, -73.8985909711142 40.859766783007274, -73.89828973450341 40.860334421308316, -73.89822728950759 40.86044886362878, -73.89802453000497 40.860820461152095, -73.8977381536846 40.86135113690892, -73.89714379842563 40.86244506464689, -73.89579308384202 40.864215567126216, -73.89530216589577 40.864846779546454, -73.89504212176536 40.86520349840894, -73.89493225921078 40.86535333809605, -73.89438130340045 40.866068850585144, -73.89408697086354 40.86645343300728, -73.89397201809952 40.86660230445468, -73.89376139090723 40.86687505814888, -73.89368435691057 40.8669808217467, -73.89300269915873 40.86788106846633, -73.8924350901312 40.86862059900125, -73.89221258769787 40.86891549885354, -73.8919171840157 40.86930210967333, -73.89174633477954 40.86951054696145, -73.89157400018286 40.86968425162507, -73.8913894708334 40.869850993673325, -73.89119350473196 40.870010032660474, -73.8909869700818 40.87016071469357, -73.89042763953357 40.87048705439515, -73.88991744504987 40.87078063163781, -73.8895004923571 40.87102055565092, -73.88884301678432 40.87139806745676, -73.88868449946337 40.871495112535314, -73.88825993869423 40.8717688443676, -73.88785196359336 40.87211417691292, -73.88767752152732 40.872323176409175, -73.88754430594959 40.872503808996754, -73.88738522927908 40.872712007167955, -73.88708793883596 40.8733644809597, -73.88680657315466 40.87401232211376, -73.88649939921372 40.87468737780833, -73.88645469635425 40.8747858562779, -73.88618141421824 40.87536777084771, -73.8861233625272 40.87550873005712, -73.88597318702276 40.87585263134755, -73.88590060716186 40.876018051349135, -73.8858231138294 40.87619822544177, -73.88559491607865 40.876730692250646, -73.88543066468286 40.87706774410481, -73.88531544889689 40.877333462756425))",Grand Concourse,2009,06/12/2009 12:00:00 AM +0000,-,16368.6941399
"MULTILINESTRING ((-74.0961689127396 40.58304378700444, -74.09663154988122 40.582672490890616, -74.09705565616233 40.582335643492485, -74.09771863094518 40.581814263263844, -74.09844000873983 40.58124170547689, -74.09908893762262 40.580725228157, -74.09974044168058 40.58020781826324, -74.10039083462169 40.57968866669955, -74.10105235425586 40.579169014450216, -74.10167004248761 40.57862378713358, -74.1023160728589 40.57794424496992, -74.10297212400747 40.57725383070935, -74.10368897500487 40.57650392224359, -74.10377268668307 40.57642048506767, -74.10454243754921 40.575653251337634, -74.10508143745943 40.575110553474076, -74.10523234239177 40.5749656379315, -74.1056436771291 40.57455704338746, -74.10580317416665 40.57439528836978, -74.10642262589181 40.57378588915797, -74.10699163750381 40.57321988483444, -74.1075421300203 40.57267353544889, -74.10808829798394 40.57213134788625, -74.1086350535908 40.57158560906658, -74.10918377561342 40.57104181988064, -74.10976111215297 40.570467977182076, -74.11031093448312 40.569915086181275, -74.11088602494502 40.569351514906565, -74.11148239181867 40.56876347980271, -74.11203279431443 40.5682142720417, -74.11261276485388 40.567627786879974, -74.1131546751759 40.56708854181042, -74.11376161093554 40.566497188380275, -74.11430477308231 40.56594740042036, -74.11489902615283 40.56536698590584))",Hylan Blvd & New Dorp Lane,2009,06/08/2009 12:00:00 AM +0000,-,8289.72685563
"MULTILINESTRING ((-73.98184737857326 40.766287166640225, -73.98171761581374 40.76710877478635, -73.98163412233632 40.76764472329977))",BB: Columbus Circle,2009,08/15/2009 12:00:00 AM +0000,-,498.118148961
"MULTILINESTRING ((-73.89964261609974 40.86221043619673, -73.89867421594487 40.86177058275417, -73.89791733141008 40.86143142122039, -73.8977381536846 40.86135113690892), (-73.8980393931138 40.86283168361397, -73.89785788700114 40.862402132386464))",Fordham Road,2009,07/10/2009 12:00:00 AM +0000,-,777.160509052
"MULTILINESTRING ((-73.9572093549097 40.66351739679032, -73.95384851147828 40.663727808884026, -73.95097410081426 40.6639048679463, -73.94940638910481 40.66400530719574, -73.94816604130197 40.66408182206782, -73.94546293596851 40.66422610473386, -73.94489227642872 40.66417414314268, -73.94408198610651 40.66412857231771, -73.94269629044062 40.664055129577896, -73.93992612664955 40.66390388748765, -73.93715847300066 40.66375259896148, -73.93489688401216 40.66363011464635, -73.93447784812479 40.6635347831037, -73.93406953561914 40.66357960264223, -73.93160743419799 40.66355672207037))",Empire Boulevard,2009,08/09/2009 12:00:00 AM +0000,-,7127.52801007
"MULTILINESTRING ((-74.00649162807242 40.677193518198116, -74.00678896834026 40.67654493234955, -74.00709837868513 40.67590354005045, -74.00741999988219 40.6752292682845, -74.00771092759206 40.67462542689859, -74.0080306102852 40.67396562472701, -74.00834130745487 40.673297870717995))",Columbia Street,2009,09/16/2009 12:00:00 AM +0000,Pedestrian Safety - Bicycle Network Expansion,1509.21831019
"MULTILINESTRING ((-74.00067409061755 40.67555578911674, -73.99935169641098 40.67520056407361, -73.99776979507284 40.674741487908086, -73.99666043533935 40.67414278160751, -73.99626531849029 40.67401531957377, -73.99337906131439 40.672604153699716, -73.99102303839115 40.671458466596114))",9th Street,2009,07/30/2009 12:00:00 AM +0000,-,3081.74592318
"MULTILINESTRING ((-74.13008855245387 40.565255826879685, -74.13047065918867 40.564972412141806, -74.1306227489554 40.564990177766944, -74.13078241224892 40.56499146394369, -74.13078251734228 40.56499146382404, -74.13078262359883 40.56499145469779, -74.13094511948195 40.56497455579924, -74.13094522691927 40.5649745466715, -74.13094533195967 40.564974519535966, -74.13110519308225 40.56493883843785, -74.13110551176315 40.564938766032, -74.13110581974594 40.56493865761732, -74.13125759045828 40.564884740879954, -74.13125777926594 40.56488467762736, -74.13125794440413 40.56488458738604, -74.13139663566817 40.56481425981186, -74.13139684800342 40.56481415150581, -74.13139703668682 40.56481402521627, -74.13151835593136 40.56473017345131, -74.13151853164301 40.564730056181695, -74.13151867307543 40.56472992094081, -74.13162000331043 40.5646359970543, -74.13162003866401 40.564635960992746, -74.13170008966823 40.56453574872733, -74.13264384137604 40.56350333500519, -74.13310979284492 40.56286769073652, -74.1334074014659 40.56212980530093, -74.13367116386726 40.56184093393443, -74.1339716000074 40.561576324391766, -74.13480973431332 40.56082861809217, -74.13519379643476 40.55974841812309, -74.13523859433857 40.5595855141381, -74.13530363473059 40.55942508885183, -74.13538846144672 40.55926934185377, -74.13549208675991 40.55912034457627, -74.13561300316877 40.55898002587586, -74.13574932483336 40.55885004489633, -74.13660029399814 40.55838893879964, -74.13739437956308 40.55802093776307, -74.13818001030218 40.55759386502201, -74.1388509276614 40.556951178279576, -74.1390408977978 40.55679700336794, -74.13921843835095 40.55663334264715, -74.13938237052324 40.55646108912677, -74.13953165747331 40.55628125271467, -74.13966545152282 40.55609495115212, -74.139819708237 40.55581955609105, -74.1402035541597 40.5549018697791, -74.14042826059463 40.55436010195854, -74.14052466105585 40.55411988818727, -74.14063198297373 40.55392405154426, -74.14074202150253 40.553813700317754, -74.1408690355566 40.55371382020587, -74.14101030244139 40.55362657576093, -74.14116251974669 40.55355353610627, -74.14233013857312 40.55309558076094, -74.14262207461876 40.55298726426529, -74.14262214541509 40.552987245266316, -74.14290608352535 40.552865906448, -74.1431805843988 40.552732089277924, -74.14344422085273 40.55258646920029, -74.14369573130006 40.55242985023787, -74.14384547960661 40.552281948360395, -74.14384564456094 40.55228179506411, -74.1438458213426 40.55228165165886, -74.14400978881974 40.55214173834215, -74.14400995381021 40.55214160215564, -74.14401013062997 40.552141476760575, -74.14418737498502 40.55201057882776, -74.14418754001562 40.552010461552, -74.14418771687161 40.552010353266695, -74.14437689451914 40.551889534968026, -74.14437705958804 40.551889435702485, -74.14437722467638 40.551889345442184, -74.14457700332206 40.5517794179704, -74.14478568460763 40.55168114165643, -74.14529298691023 40.55156259578938, -74.14589647649842 40.551360561887826, -74.14736372111692 40.55156940380031, -74.14767378463276 40.55160913210937, -74.14796505549462 40.55163376574075, -74.14825791609904 40.551645832421514, -74.1485509730356 40.551645265501634, -74.14884282137116 40.551632126235184, -74.14901500117115 40.55158555369439, -74.149181231069 40.551523345560476, -74.14933791197343 40.55144630800878, -74.14948175313602 40.551355852886054, -74.149609960955 40.55125395333345, -74.14972045112012 40.55114298140851, -74.15010584248377 40.55082961251308, -74.15033097377075 40.55062705501786, -74.1504860164135 40.55047412246589, -74.15062342185178 40.550311243995374, -74.15074163589583 40.55014023177002, -74.15083957588703 40.549963094547145, -74.1509068734812 40.54985526789977, -74.15099523037655 40.549752464583186, -74.15110354583972 40.549658171939996, -74.15122946603992 40.549575625007606, -74.15136943180237 40.549507514694135, -74.15148622662653 40.54946702514612, -74.15151906743567 40.54945565408113, -74.15167361717569 40.549420824767, -74.15182838208018 40.54940282582351, -74.15265529393935 40.54937450570452, -74.15337043739983 40.549241157219996, -74.15355796421792 40.54917289965506, -74.15432952617779 40.54881134802661, -74.15460713550605 40.54869106031829, -74.15487649880978 40.5485584818475, -74.15513622295353 40.5484141188494, -74.1553847184582 40.548258811030536, -74.15538499078322 40.548258648567035, -74.15538524890003 40.54825846811219, -74.15542125542328 40.5482332226147, -74.15562160805712 40.54809279311187, -74.15584499067054 40.54791740953138, -74.1560542117302 40.54773342670586, -74.1562129737684 40.5476246341896, -74.15638131720709 40.54752426635145, -74.15655806319893 40.54743302716846, -74.15706835778349 40.54719878739136, -74.15886567714539 40.54625588447464, -74.15929458429672 40.54602154921166, -74.16344487725716 40.54376843049451, -74.16423140946402 40.54330115872135, -74.16476496477952 40.54267173544234, -74.16537515311227 40.54215083905329, -74.16608892661374 40.54165522953072, -74.16628570876873 40.541582109968545, -74.16647341071976 40.5414938113159, -74.16664909592524 40.54139144552905, -74.16681014760815 40.54127652935249, -74.16695439849293 40.54115093909825, -74.16751203301139 40.54063713177221, -74.16779325414636 40.54045508451852, -74.16821255897709 40.54025550818791, -74.16873826788371 40.540109922790855, -74.1689630425189 40.540097948407436))",Amboy Road,2009,08/11/2009 12:00:00 AM +0000,Pedestrian Safety - Senior Safety,15035.0577091
"MULTILINESTRING ((-73.84319845505908 40.860896464669864, -73.84343486009068 40.86276761930071, -73.84340748909503 40.863561590123915, -73.8433827352408 40.86431678924594, -73.84335439085162 40.86521125328134, -73.84436539311835 40.86522978471954, -73.84530527507556 40.86524778784048, -73.84624728200687 40.86526524674257, -73.84718546911937 40.865283081006055))",Eastchester Road,2009,07/31/2009 12:00:00 AM +0000,-,2635.42721716
