POLE_ATTACH_ID,SIGNAL_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,POLE_ATTACH_DESCRIPTION,POLE_ATTACH_PROVIDER,CREATED_DATE,MODIFIED_DATE,INTERSECTION_QUADRANT,INSTALL_DATE,STATUS,SIGNAL_ID,ATD_LOCATION_ID,INFRASTRUCTURE_OWNER,INFRASTRUCTURE_TYPE,PROVIDER_ID
977,,30.37885,-97.70246,10505-1/2 GOLDEN QUAIL DRIVE,VERIZON,02/07/2020,02/07/2020,N/A,,OCCUPIED,0,LOC20-015995,AE,Steel Utility Pole,TX_AUS_METRIC_MEARNS_009
978,,30.36534,-97.69144,9708-1/2 PLOVER DRIVE,VERIZON,02/07/2020,02/07/2020,N/A,,OCCUPIED,0,LOC20-016000,AE,Steel Utility Pole,TX_AUS_NLAMARE_017
979,,30.20558,-97.7592,1213 1/2 Colonial Park Blvd,T-MOBILE,02/18/2020,02/18/2020,N/A,,UNDER_REVIEW,0,LOC20-016015,Carrier,Steel Utility Pole,AU1065BA_21LAB
980,,30.24075,-97.73131,1515 1/2 Parker Lane,AT&T,02/18/2020,02/18/2020,N/A,,UNDER_REVIEW,0,LOC20-016020,AE,Wood Utility Pole,CRAN_RSTX_AUSTC_045B
981,,30.26842,-97.73637,801 1/2 Red River St NE,,02/18/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016030,,,CRAN_RSTX_0010_27
982,,30.27752,-97.77179,2303 1/2 Lake Austin Blvd,,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016035,ATD,Signal Pole,CRAN_RSTX_AustC_031
983,,30.38013,97.70794,1715 1/2 Mearns Meadow,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016040,AE,Steel Utility Pole,TX_AUS_METRIC_MEARNS_007
984,,30.35998,-97.69196,303 1/2 Rundberg,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,342,LOC16-001675,ATD,,TX_AUS_NLAMARE_021
985,,30.36371,-97.71361,8806 1/2 Colonial Dr,AT&T,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016045,Carrier,,8806 1/2 Colonial Dr
986,,30.3708,-97.68514,10501 1/2 Jean Dr,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016050,AE,Signal Pole,TX_AUS_NLAMARE_010
987,,30.3504,-97.71858,1300 1/2 W Anderson Ln,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016055,Carrier,Wood Utility Pole,TX_AUS_WOOTEN_016
988,,30.34198,-97.71243,7521 1/2 Guadalupe St,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016060,AE,Wood Utility Pole,TX_AUS_CRESTVIEWEAST_004
989,,30.26278,-97.76232,1627 1/2 Barton Springs Blvd,AT&T,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016070,Carrier,Steel Utility Pole,BARTON_SPRINGS_3_SC
990,,30.36558,-97.71216,8606-1/2 PUTNAM DRIVE,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016075,AE,Wood Utility Pole,TX_AUS_WOOTEN_003
991,,30.33862,-97.71196,409-1/2 W CROSLIN STREET,VERIZON,02/19/2020,03/09/2020,N/A,,UNDER_REVIEW,0,LOC20-016080,AE,Wood Utility Pole,TX_AUS_CRESTVIEWEAST_009
992,,30.32854,-97.69494,1116 1/2 E ST JOHNS AVE,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016085,AE,Wood Utility Pole,TX_AUS_STJOHN_009
993,,30.33882,-97.7103,213-1/2 W CRESTLAND DRIVE,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016090,AE,Wood Utility Pole,TX_AUS_CRESTVIEWEAST_007
