Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
UTAH,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,15,,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
ALASKA,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,6,,,-,4,,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,1,,4,,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,1,,,-,1,,,-,2,,,-,,-,3,,21,,12,,10,,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,,-,5,,,-,2,,,-,12,,1,,5,,118,,1411,,247,,679,,,TOTAL,20200270,
WEST SOUTH CENTRAL,2020,1,,-,2,,,-,,-,,-,6,,,-,,-,3,,338,,3,,6,,,WEST SOUTH CENTRAL,20200143,
INDIANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
WASHINGTON,2020,1,,-,1,,,-,1,,,-,2,,,-,,-,6,,21,,6,,5,,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
HAWAII,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,,-,2,,HAWAII,,20200160,POINT (-157.854309 21.361013)
IDAHO,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,1,,12,,1,,3,,IDAHO,,20200151,POINT (-114.659366 44.389073)
MICHIGAN,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
MARYLAND,2020,1,,-,1,,,-,,-,,-,2,,,-,,-,7,,46,,7,,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
NORTH CAROLINA,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,108,,,-,24,,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
NEBRASKA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,18,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
MAINE,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,1,,7,,1,,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
MONTANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,3,,MONTANA,,20200152,POINT (-109.645127 47.033521)
