ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Touch Screen,"Notebooks, Desktops, Integrated Computers, Slate/Tablets, Two-in-one Notebooks, and Portable All-in-ones Category for TEC (Typical Energy Consumption) Criteria",Category 0: Processor Brand,Category 0: Processor Name,Category 0: Operating System Name,Category 0: Base Processor Speed Per Core (GHz),Category 0: Physical CPU Cores (count),Category 0: System Memory (GB),Category 0: Graphics Category,Category 0: Default Low-power Mode,Category 0: Long Idle Power Used for Sleep Mode,Category 0: Off Mode (watts),Category 0: Sleep Mode (watts),Category 0: Long Idle (watts),Category 0: Short Idle (watts),Category 0: Base TEC Allowance (kWh),Category 0: Functional Adder Allowances (kWh),Category 0: TEC of Model (kWh),Category 1: Processor Brand,Category 1: Processor Name,Category 1: Operating System Name,Category 1: Base Processor Speed Per Core (GHz),Category 1: Physical CPU Cores (count),Category 1: System Memory (GB),Category 1: Default Low-power Mode,Category 1: Long Idle Power Used for Sleep Mode,Category 1: Off Mode (watts),Category 1: Sleep Mode (watts),Category 1: Long Idle (watts),Category 1: Short Idle (watts),Category 1: Base TEC Allowance (kWh),Category 1: Functional Adder Allowances (kWh),Category 1: TEC of Model (kWh),Category 2: Processor Brand,Category 2: Processor Name,Category 2: Operating System Name,Category 2: Base Processor Speed Per Core (GHz),Category 2: Physical CPU Cores (count),Category 2: System Memory (GB),Category 2: Default Low-power Mode,Category 2: Long Idle Power Used for Sleep Mode,Category 2: Off Mode (watts),Category 2: Sleep Mode (watts),Category 2: Long Idle (watts),Category 2: Short Idle (watts),Category 2: Base TEC Allowance (kWh),Category 2: Functional Adder Allowances (kWh),Category 2: TEC of Model (kWh),Category I1: Processor Brand,Category I1: Processor Name,Category I1: Operating System Name,Category I1: Base Processor Speed Per Core (GHz),Category I1: Physical CPU Cores (count),Category I1: System Memory (GB),Category I1: Default Low-power Mode,Category I1: Long Idle Power Used for Sleep Mode,Category I1: Off Mode (watts),Category I1: Sleep Mode (watts),Category I1: Long Idle (watts),Category I1: Short Idle (watts),Category I1: Base TEC Allowance (kWh),Category I1: Functional Adder Allowances (kWh),Category I1: TEC of Model (kWh),Category I2: Processor Brand,Category I2: Processor Name,Category I2: Operating System Name,Category I2: Base Processor Speed Per Core (GHz),Category I2: Physical CPU Cores (count),Category I2: System Memory (GB),Category I2: Default Low-power Mode,Category I2: Long Idle Power Used for Sleep Mode,Category I2: Off Mode (watts),Category I2: Sleep Mode (watts),Category I2: Long Idle (watts),Category I2: Short Idle (watts),Category I2: Base TEC Allowance (kWh),Category I2: Functional Adder Allowances (kWh),Category I2: TEC of Model (kWh),Category D1: Processor Brand,Category D1: Processor Name,Category D1: Operating System Name,Category D1: Base Processor Speed Per Core (GHz),Category D1: Physical CPU Cores (count),Category D1: System Memory (GB),Category D1: Default Low-power Mode,Category D1: Long Idle Power Used for Sleep Mode,Category D1: Off Mode (watts),Category D1: Sleep Mode (watts),Category D1: Long Idle (watts),Category D1: Short Idle (watts),Category D1: Base TEC Allowance (kWh),Category D1: Functional Adder Allowances (kWh),Category D1: TEC of Model (kWh),Category D2: Processor Brand,Category D2: Processor Name,Category D2: Operating System Name,Category D2: Base Processor Speed Per Core (GHz),Category D2: Physical CPU Cores (count),Category D2: System Memory (GB),Category D2: Default Low-power Mode,Category D2: Long Idle Power Used for Sleep Mode,Category D2: Off Mode (watts),Category D2: Sleep Mode (watts),Category D2: Long Idle (watts),Category D2: Short Idle (watts),Category D2: Base TEC Allowance (kWh),Category D2: Functional Adder Allowances (kWh),Category D2: TEC of Model (kWh),WLAN Capability,Ethernet Capability,Bluetooth Capability,Motherboard Form Factor,Motherboard Form Factor Other,Product DIMM Count,Product PCIex16 Slot Count,Product PCIex8 Slot Count,Product PCIex4 Slot Count,Product PCIex1 Slot Count,Product M.2 (except Key M) Port Count,Product M.2 Key M Port Count,Product USB 2.0 Port Count,Product USB 3.X (5Gb/s) Port Count,Product USB 3.X (10Gb/s) Port Count,Product USB X.X (> 10Gb/s) Port Count,Product USB X.X Port Speed,Product Thunderbolt Port Count,Product Thunderbolt 2 Port Count,Product Thunderbolt 3 Port Count,Product Thunderbolt X Port Count,Product Thunderbolt X Port Speed,Product Total USB 2.0 Header Count,Product USB 3.X (5 Gb/s) Header Count,Product USB 3.X (10. Gb/s) Header Count,Product USB X.X (> 10 Gb/s) Header Count,Product SATA and eSATA Port Count,Product SATA Express Port Count,Multi-Channel Memory Support,Thin Clients: Processor Brand,Thin Clients: Processor Name,Thin Clients: Operating System Name,Thin Clients: Base Processor Speed Per Core (GHz),Thin Clients: System Memory (GB),Thin Clients: Long Idle Power Used for Sleep Mode,Thin Clients: Off Mode (watts),Thin Clients: Sleep Mode (watts),Thin Clients: Long Idle (watts),Thin Clients: Short Idle (watts),Thin Clients: TEC of Model (kWh),Thin Clients: TEC Requirement (kWh),Workstations: Processor Brand,Workstations: Processor Name,Workstations: Operating System Name,Workstations: Base Processor Speed Per Core (GHz),Workstations: System Memory (GB),Workstations: Hard Drives (count),Workstations: Off Mode (watts),Workstations: Sleep Mode (watts),Workstations: Long Idle (watts),Workstations: Short Idle (watts),Workstations: Weighted Power of Model (watts),Sleep Mode Default Time Upon Shipment (min.),Display Sleep Mode Default Time Upon Shipment (min.),WOL (Wake on LAN) From Sleep,Will the Speed of Any Active 1 GB/s or Higher Ethernet Network Links be Reduced to Less Than 1 GB/s When Transitioning to Sleep or Off Mode?,Date Available On Market,Date Certified,Markets,CB Model Identifier
2357504,Fujitsu Limited,Fujitsu,7U14A1,U7410,,Notebook,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i7,Windows 10,1.8,4,64,,,,,,,8,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,Shipped Enabled Under All Conditions,Yes,03/26/2020,04/01/2020,"United States, Switzerland, Taiwan, Canada",ES_20230_U7410_04012020204028_3628385
2357443,HP Inc.,HP,HP ProBook x360 11 G5 EE ENERGY STAR,ProBook x360 ENERGY STAR,"HP ProBook x360 11 G5 Education Edition ENERGY STAR,,; HSN-I33C,,",Notebook,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Celeron,Windows 10,1.1,4,4,Sleep Mode,No,0.2,0.3,1.3,3.5,8,8.7,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,Shipped Enabled Under All Conditions,Yes,12/06/2019,03/31/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_1024439_ProBook x360 ENERGY STAR_03312020210624_8491771
2357442,HP Inc.,HP,HP EliteBook x360 830 G6 Notebook PC ENERGY STAR,HSN-I22C,"103C_5336AN HP EliteBook x360 ENERGY STAR,,; 103C_5336AN HP Zhan X ENERGY STAR,,; HP EliteBook x360 830 G6 ENERGY STAR,,; HP EliteBook x360 G6 ENERGY STAR,,; HP Zhan X 13 G2 ENERGY STAR,,; HP Zhan X 13 G2 Notebook PC ENERGY STAR,,; HP Zhan X ENERGY STAR,,",Notebook,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i7,Windows 10,1.9,4,32,Sleep Mode,No,0.4,0.9,2.7,4.3,8,21.3,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,05/31/2019,03/31/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_1024439_HSN-I22C_03312020205856_5198240
2357441,Lenovo Group Limited,Lenovo,ThinkPad X280,20KE,",20KF (Compliance ID: TP00093A),",Notebook,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i7,Windows 10,1.9,4,16,None,No,0.3,0.4,3.5,5.8,8,14.1,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,Shipped Enabled When Operating on Ac Power Only,No,02/02/2018,03/31/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_1037540_20KE_03312020205059_7764345
2357440,Lenovo Group Limited,Lenovo,ThinkPad X1 Yoga,20QF,"ThinkPad X1 Yoga 4th, ThinkPad X1 Yoga 4th LTE,20QG, 20SA, 20SB,",Notebook,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i5,Windows 10,1.9,4,8,None,No,0.3,0.4,1.5,3.6,8,14.9,12.7,Intel,Core i7,Windows 10,2.1,4,16,None,No,0.3,0.4,1.5,3.4,14,17.3,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,Shipped Disabled,Yes,06/14/2019,03/31/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_1037540_20QF_03312020203853_4731139
2357439,Lenovo Group Limited,Lenovo,ThinkPad X1 Carbon,20QE,",20R2,; ThinkPad X1 Carbon 7th LTE,20R1,; ThinkPad X1 Carbon 7th,20QD,",Notebook,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i7,Windows 10,1.9,4,16,None,No,0.2,0.8,1.4,5.8,8,22.2,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,Shipped Enabled Under All Conditions,Yes,06/14/2019,03/31/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_1037540_20QE_03312020203228_7132672
2357433,Lenovo Group Limited,Lenovo,Lenovo 100e Chromebook 2nd Gen AST******,82CD******,"Lenovo 300e Chromebook 2nd GenAST******,82CE******,“*” in the model name can be 0 to 9, A to Z, a to z , “-” or blank, it represents different sales customer code",Notebook,Yes,1,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD,A4-9120C,Chrome,1.6,2,4,Off Mode with Hibernation,No,0.4,0.5,0.5,3.3,8,8.7,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,7,Shipped Disabled,No,03/08/2020,02/12/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_1037540_82CD****** _03312020152315_6578433
2357432,Lenovo Group Limited,Lenovo,Lenovo ThinkBook Plus********,20TG********,"Lenovo ThinkBook Plus********,20TG********,“*” in the model name can be 0 to 9, A to Z, a to z , “-” or blank, it represents different sales customer code",Notebook,Yes,1,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i7,Windows 10,1.1,6,16,Off Mode with Hibernation,No,0.4,0.8,1.8,3.9,8,14.6,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,Shipped Disabled,No,03/17/2020,03/07/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_1037540_20TG********_03312020144225_7640011
2357385,Dell Inc.,DELL,P86G,Latitude 7424 Rugged Extreme,"P85G,Latitude 5420 Rugged,; P85G,Latitude 5424 Rugged,",Notebook,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i7,"Ubuntu,Windows 10",1.9,4,32,Sleep Mode,No,0.4,0.8,3,4.8,8,19.9,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,Shipped Disabled,Yes,10/23/2018,03/31/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_Latitude 7424 Rugged Extreme_09142018021437_1277181
2357384,Lenovo Group Limited,Lenovo,ThinkPad E14,20RA,",20RG,; ThinkPad R14,20RB,; ThinkPad S3 Gen 2,20RC,",Notebook,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i7,Windows 10,1.8,4,16,Off Mode with Hibernation,No,0.5,1,3.2,5.3,8,17.8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,Shipped Enabled When Operating on Ac Power Only,Yes,09/30/2019,03/30/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_1037540_20RA_03312020120949_1089595
2357383,Lenovo Group Limited,Lenovo,ThinkPad E15,20RD,",20RE,",Notebook,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i7,Windows 10,1.8,4,16,Off Mode with Hibernation,No,0.5,0.8,3.2,6.8,8,19.2,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,Shipped Enabled When Operating on Ac Power Only,Yes,11/04/2019,03/30/2020,"United States, Switzerland, Taiwan, Japan, Canada",ES_1037540_20RD_03312020120110_6247572
