Levy Year,School District Name,School District Code,Number of Basic Exemptions,Amount of Basic Reimbursement ,Number of Enhanced Exemptions,Amount of Enhanced Reimbursement ,Total Amount of Reimbursement ,Data Preparation Date
2016,West Babylon,472002,4822,6006991,1063,2782959,8789950,03/11/2020
2016,North Babylon,472003,5723,6854032,1460,3710868,10564900,03/11/2020
2016,Lindenhurst,472004,7360,9713287,1774,4952900,14666187,03/11/2020
2016,Copiague,472005,4206,5064168,1177,2870050,7934218,03/11/2020
2016,Amityville,472006,3697,4440777,1089,2208307,6649084,03/11/2020
2016,Deer Park,472007,4551,5666456,1334,3479543,9145999,03/11/2020
2016,Wyandanch,472009,912,1198056,206,563159,1761215,03/11/2020
2016,Three Village,472201,8127,9350631,1594,3895527,13246158,03/11/2020
2016,Brookhaven-Comsewogue,472203,3891,4399140,969,2350469,6749609,03/11/2020
2016,South Country,472204,4373,4567626,830,1838456,6406082,03/11/2020
2016,Sachem,472205,15454,14318032,3116,6083147,20401179,03/11/2020
2016,Port Jefferson,472206,1352,881440,252,353052,1234492,03/11/2020
2016,Mount Sinai,472207,2833,3376197,652,1659011,5035208,03/11/2020
2016,Miller Place,472208,3362,4007120,491,1247176,5254296,03/11/2020
2016,Rocky Point,472209,3611,4706961,518,1420137,6127098,03/11/2020
2016,Middle Country,472211,10710,12185850,2594,6201419,18387269,03/11/2020
2016,Longwood,472212,10685,12782083,3416,7749328,20531411,03/11/2020
2016,Patchogue-Medford,472224,8364,9723783,1839,4387926,14111709,03/11/2020
2016,William Floyd,472232,7845,9870993,1601,4081423,13952416,03/11/2020
2016,Center Moriches,472233,1581,1995848,283,754254,2750102,03/11/2020
2016,East Moriches,472234,1261,1555502,180,478313,2033815,03/11/2020
2016,Eastport- South Manor,472235,3757,4430991,886,1954994,6385985,03/11/2020
2016,East Hampton,472401,863,162160,326,127750,289910,03/11/2020
2016,Wainscott,472402,65,3412,22,2494,5906,03/11/2020
2016,Amagansett,472403,134,13866,81,18082,31948,03/11/2020
2016,Springs,472404,726,251640,316,237161,488801,03/11/2020
2016,Sag Harbor,472405,958,251007,415,237581,488588,03/11/2020
2016,Montauk,472406,408,77970,213,88326,166296,03/11/2020
2016,Elwood,472601,2753,3235002,549,1403793,4638795,03/11/2020
2016,Cold Spring Harbor,472602,1202,1161512,93,196007,1357519,03/11/2020
2016,Huntington,472603,6202,6405364,1150,2533702,8939066,03/11/2020
2016,Northport-East Northport,472604,7751,6143446,1436,2470351,8613797,03/11/2020
2016,Half Hollow Hills,472605,8762,8154079,1895,3618493,11772572,03/11/2020
2016,Harborfields,472606,3929,4342691,657,1577153,5919844,03/11/2020
2016,Commack,472610,8179,9547317,1735,4422817,13970134,03/11/2020
2016,South Huntington,472613,7215,8237125,1624,4018885,12256010,03/11/2020
2016,Bay Shore,472801,5146,6322673,1090,2803617,9126290,03/11/2020
2016,Islip,472802,3528,4610411,746,1967140,6577551,03/11/2020
2016,East Islip,472803,5038,5958808,1132,3109802,9068610,03/11/2020
2016,Sayville,472804,3822,4526380,849,2165893,6692273,03/11/2020
2016,Bayport-Blue Point,472805,2818,3804630,501,1464089,5268719,03/11/2020
2016,Hauppauge,472806,4673,3301584,1039,1579131,4880715,03/11/2020
2016,Connetquot,472807,7828,8875470,1894,4469717,13345187,03/11/2020
2016,West Islip,472809,6035,6707375,1274,3078466,9785841,03/11/2020
2016,Brentwood,472812,8186,6514656,2074,3575286,10089942,03/11/2020
2016,Central Islip,472813,4747,6600031,1159,3400988,10001019,03/11/2020
2016,Fire Island,472814,83,9426,20,4946,14372,03/11/2020
2016,Shoreham-Wading River,473001,2878,3039181,702,1522539,4561720,03/11/2020
2016,Riverhead,473002,5759,4554110,2596,3836234,8390344,03/11/2020
2016,Shelter Island,473201,451,72213,185,64441,136654,03/11/2020
2016,Smithtown,473401,12126,12836575,2510,5547158,18383733,03/11/2020
2016,Kings Park,473405,4780,4575789,957,1997298,6573087,03/11/2020
2016,Remsenburg-Speonk,473601,333,96906,86,54433,151339,03/11/2020
2016,Westhampton Beach,473602,800,262476,230,158430,420906,03/11/2020
2016,Quogue,473603,164,16416,41,8931,25347,03/11/2020
2016,Hampton Bays,473605,1872,1309495,713,1072743,2382238,03/11/2020
2016,Southhampton,473606,1182,140254,423,108697,248951,03/11/2020
2016,Bridgehampton,473609,165,14637,60,11586,26223,03/11/2020
2016,Sagaponack,473610,29,541,6,243,784,03/11/2020
2016,Tuckahoe Common,473613,388,147548,164,134083,281631,03/11/2020
2016,East Quogue,473617,929,551610,284,356737,908347,03/11/2020
2016,Oysterponds,473802,324,70638,143,67728,138366,03/11/2020
2016,Fishers Island,473804,30,6559,3,1425,7984,03/11/2020
2016,Southold,473805,1308,645757,480,517351,1163108,03/11/2020
2016,Greenport,473810,527,290907,246,304724,595631,03/11/2020
2016,Mattituck-Cutchogue,473812,1841,954074,606,681524,1635598,03/11/2020
2016,New Suffolk,473815,70,13260,33,13580,26840,03/11/2020
2016,Fallsburg,482801,939,637726,375,509594,1147320,03/11/2020
2016,Eldred,483401,903,358220,365,305558,663778,03/11/2020
2016,Liberty,483601,1121,785975,541,780003,1565978,03/11/2020
2016,Tri-Valley,484201,1088,576127,388,409110,985237,03/11/2020
2016,Roscoe,484401,299,126253,169,151057,277310,03/11/2020
2016,Livingston Manor,484402,519,216286,243,202818,419104,03/11/2020
2016,Monticello,484601,2583,1241899,1081,1056863,2298762,03/11/2020
2016,Sullivan West,484802,1763,682520,935,749055,1431575,03/11/2020
2016,Waverly,492001,1671,741576,653,586440,1328016,03/11/2020
2016,Candor,492401,919,523087,406,443010,966097,03/11/2020
2016,Newark Valley,492602,1539,870901,574,677374,1548275,03/11/2020
2016,Owego-Apalachin,493001,2582,1514461,1016,1214744,2729205,03/11/2020
2016,Spencer-Van Etten,493401,1141,521825,495,468190,990015,03/11/2020
2016,Tioga,493603,995,289372,411,251441,540813,03/11/2020
2016,Ithaca,500700,7232,3860137,1777,1860351,5720488,03/11/2020
2016,Dryden,502401,2187,1488834,704,900310,2389144,03/11/2020
2016,Groton,502801,1173,717620,399,493874,1211494,03/11/2020
2016,Lansing,503201,1588,957516,375,475476,1432992,03/11/2020
2016,Newfield,503401,932,510623,360,350610,861233,03/11/2020
2016,Trumansburg,503601,1534,841352,492,551112,1392464,03/11/2020
2016,Kingston,510800,7600,5073272,2922,4049556,9122828,03/11/2020
2016,Highland,513203,2098,1452830,594,860352,2313182,03/11/2020
2016,Rondout Valley,513401,3146,1769571,1100,1302200,3071771,03/11/2020
2016,Marlboro,513601,2148,1734202,583,954180,2688382,03/11/2020
2016,New Paltz,513801,2850,1850854,745,1034594,2885448,03/11/2020
2016,Onteora,514001,2721,977737,1400,1065407,2043144,03/11/2020
2016,Saugerties,514801,3764,2328214,1441,1892867,4221081,03/11/2020
2016,Wallkill,515201,3652,3111559,1004,1536794,4648353,03/11/2020
2016,Ellenville,515602,1399,996771,579,774416,1771187,03/11/2020
2016,Glens Falls,520500,2371,1214220,923,1012693,2226913,03/11/2020
2016,Bolton,522001,319,47546,177,57276,104822,03/11/2020
2016,Lake George,522201,1252,234275,531,215631,449906,03/11/2020
2016,North Warren,522402,873,169457,503,206245,375702,03/11/2020
2016,Johnsburg,523001,446,140752,246,166500,307252,03/11/2020
2016,Hadley-Luzerne,523201,1189,390867,581,385815,776682,03/11/2020
2016,Queensbury,523402,4015,1803215,1318,1224711,3027926,03/11/2020
2016,Glens Falls Common,523418,211,80113,83,65277,145390,03/11/2020
2016,Warrensburg,524001,1013,435622,521,466518,902140,03/11/2020
2016,Argyle,532001,804,377511,323,312422,689933,03/11/2020
2016,Fort Ann,532802,737,288301,246,206516,494817,03/11/2020
2016,Fort Edward,533001,469,232761,197,210780,443541,03/11/2020
2016,Granville,533201,1279,598766,588,555362,1154128,03/11/2020
2016,Greenwich,533401,1332,645710,502,519635,1165345,03/11/2020
2016,Hartford,533801,601,306431,265,282691,589122,03/11/2020
2016,Hudson Falls,534401,2378,954283,970,825240,1779523,03/11/2020
2016,Putnam,534601,149,23856,62,20609,44465,03/11/2020
2016,Salem,534801,769,318846,347,296228,615074,03/11/2020
2016,Cambridge,535010,1199,509904,556,480467,990371,03/11/2020
2016,Whitehall,535201,769,235471,383,224817,460288,03/11/2020
2016,Newark,542001,2451,1543203,974,1275461,2818664,03/11/2020
2016,Clyde-Savannah,542401,998,623232,428,529608,1152840,03/11/2020
2016,Lyons,542801,1092,688647,414,483307,1171954,03/11/2020
2016,Gananda,543002,1331,1213787,194,378968,1592755,03/11/2020
2016,Marion,543201,1214,874134,388,583856,1457990,03/11/2020
2016,Wayne,543401,3315,2033566,1019,1333763,3367329,03/11/2020
2016,Palmyra-Macedon,543601,2325,1781212,878,1388589,3169801,03/11/2020
2016,Sodus,544201,1315,810448,595,723629,1534077,03/11/2020
2016,Williamson,544602,1387,1025818,482,779135,1804953,03/11/2020
2016,North Rose-Wolcott,544801,1563,703538,725,665975,1369513,03/11/2020
2016,Red Creek,544803,1052,442613,423,364586,807199,03/11/2020
2016,Mount Vernon,550800,4443,13205442,1184,5812778,19018220,03/11/2020
2016,New Rochelle,551000,7522,15461552,1403,5589663,21051215,03/11/2020
2016,Peekskill,551200,2802,5847088,629,2204830,8051918,03/11/2020
2016,Rye,551400,1555,1794631,275,703631,2498262,03/11/2020
2016,White Plains,551700,6338,13602902,1081,4176002,17778904,03/11/2020
2016,Yonkers,551800,15278,25268580,4076,11471032,36739612,03/11/2020
2016,Katonah-Lewisboro,552001,3829,7203752,510,1061200,8264952,03/11/2020
2016,Bedford,552002,3686,4698075,725,1817809,6515884,03/11/2020
2016,Croton-Harmon,552202,1932,3577911,314,1163761,4741672,03/11/2020
2016,Hendrick Hudson,552203,3007,4913061,501,1541909,6454970,03/11/2020
2016,Eastchester,552401,2673,6324564,608,2786326,9110890,03/11/2020
2016,Tuckahoe,552402,1084,2099932,175,688822,2788754,03/11/2020
2016,Bronxville,552403,423,962963,40,254380,1217343,03/11/2020
2016,Tarrytowns,552601,2045,4517296,468,2010545,6527841,03/11/2020
2016,Irvington,552602,1388,3123252,211,980731,4103983,03/11/2020
2016,Dobbs Ferry,552603,1169,2998745,203,1059880,4058625,03/11/2020
2016,Hastings On Hudson,552604,1481,3923765,252,1334619,5258384,03/11/2020
2016,Ardsley,552605,2136,4255574,327,1410107,5665681,03/11/2020
2016,Edgemont,552606,1097,2806215,104,583915,3390130,03/11/2020
2016,Greenburgh,552607,3557,6339551,898,2852220,9191771,03/11/2020
2016,Elmsford,552609,1145,1834887,303,1039452,2874339,03/11/2020
2016,Harrison,552801,2345,2732206,600,1398495,4130701,03/11/2020
2016,Mamaroneck,553201,3286,5129792,532,1643139,6772931,03/11/2020
2016,Mount Pleasant,553401,2462,3624276,676,2137891,5762167,03/11/2020
2016,Pocantico Hills,553402,380,313548,87,147710,461258,03/11/2020
2016,Valhalla,553405,1620,2791779,363,1310126,4101905,03/11/2020
2016,Pleasantville,553409,1670,3321421,324,1178992,4500413,03/11/2020
2016,Chappaqua,553604,2672,4647868,266,982245,5630113,03/11/2020
2016,Byram Hills,553801,1827,2258005,203,538406,2796411,03/11/2020
2016,North Salem,554001,1476,2017348,278,764134,2781482,03/11/2020
2016,Ossining,554201,4923,11089992,869,3833447,14923439,03/11/2020
2016,Briarcliff Manor,554202,1244,2555319,107,465991,3021310,03/11/2020
2016,Pelham,554401,1830,3342378,305,1122193,4464571,03/11/2020
2016,Rye Neck,554801,1141,1643613,267,988733,2632346,03/11/2020
2016,Port Chester-Rye,554804,2435,3436721,862,3470288,6907009,03/11/2020
2016,Blind Brook-Rye,554805,1256,1881924,175,568722,2450646,03/11/2020
2016,Scarsdale,555001,2232,2995472,218,635000,3630472,03/11/2020
2016,Somers,555201,4303,7039117,1296,3957269,10996386,03/11/2020
2016,Lakeland,555401,7514,15643206,1890,6782650,22425856,03/11/2020
2016,Yorktown,555402,4559,9278182,698,2951881,12230063,03/11/2020
2016,Attica,562201,2093,1046489,707,750878,1797367,03/11/2020
2016,Letchworth,562601,1220,518667,426,355077,873744,03/11/2020
2016,Wyoming,563802,368,180325,128,130868,311193,03/11/2020
2016,Perry,564201,1057,549166,472,486628,1035794,03/11/2020
2016,Warsaw,564801,1216,775281,409,543252,1318533,03/11/2020
2016,Penn Yan,573001,2606,813905,1087,718569,1532474,03/11/2020
2016,Dundee,573401,1021,325236,465,298690,623926,03/11/2020
2016,New York City School,650000,457203,134925029,115894,69493520,204418549,03/11/2020
2015,Albany,010100,9536,6053689,2975,3805284,9858973,03/11/2020
2015,Cohoes,010300,2073,1210026,712,873079,2083105,03/11/2020
2015,Watervliet,011800,1188,501811,452,397692,899503,03/11/2020
2015,Berne-Knox-Westerlo,012001,1598,872776,447,498968,1371744,03/11/2020
2015,Bethlehem,012206,6733,4129544,1140,1508950,5638494,03/11/2020
2015,Ravena-Coeymans-Selkirk,012402,2787,1629922,799,982509,2612431,03/11/2020
2015,South Colonie,012601,8931,4694913,2728,3040008,7734921,03/11/2020
2015,North Colonie,012605,7949,3814517,1723,1768202,5582719,03/11/2020
2015,Menands,012615,375,192806,93,102467,295273,03/11/2020
2015,Green Island,012801,244,146281,120,153919,300200,03/11/2020
2015,Guilderland,013002,7356,3898916,1620,1850626,5749542,03/11/2020
2015,Voorheesville,013403,1957,1074407,412,489061,1563468,03/11/2020
2015,Alfred-Almond,022001,828,578192,294,401475,979667,03/11/2020
2015,Andover,023001,423,326326,180,249677,576003,03/11/2020
2015,Genesee Valley,023202,734,336659,364,310652,647311,03/11/2020
2015,Belfast,023401,458,227639,215,194045,421684,03/11/2020
2015,Canaseraga,024002,349,198078,167,170976,369054,03/11/2020
2015,Cuba-Rushford,024801,1298,556368,609,490786,1047154,03/11/2020
2015,Friendship,025001,378,247771,160,173338,421109,03/11/2020
2015,Fillmore,025801,758,299170,284,212735,511905,03/11/2020
2015,Whitesville,026001,221,120360,98,94166,214526,03/11/2020
2015,Scio,026601,455,309458,205,240547,550005,03/11/2020
2015,Wellsville,027001,1568,1035485,762,909907,1945392,03/11/2020
2015,Bolivar-Richburg,027602,898,459402,392,330756,790158,03/11/2020
2015,Binghamton,030200,5402,3403820,2274,2792924,6196744,03/11/2020
2015,Chenango Forks,032001,2021,1327291,696,942129,2269420,03/11/2020
2015,South Mountain-Hickory,032201,130,20090,15,5045,25135,03/11/2020
2015,Harpursville,032601,1093,460836,372,302995,763831,03/11/2020
2015,Susquehanna Valley,032801,2318,1836413,881,1456544,3292957,03/11/2020
2015,Chenango Valley,033001,2552,1973548,1063,1742402,3715950,03/11/2020
2015,Maine-Endwell,033801,3427,2599768,1196,1869989,4469757,03/11/2020
2015,Deposit,034201,591,222317,315,247546,469863,03/11/2020
2015,Whitney Point,034401,1700,922402,569,637859,1560261,03/11/2020
2015,Union-Endicott,034601,5344,3674962,2257,3275267,6950229,03/11/2020
2015,Johnson City,034602,2955,1950451,1334,1778507,3728958,03/11/2020
2015,Vestal,034801,5367,3439471,1784,2431635,5871106,03/11/2020
2015,Windsor,035001,2045,1180105,728,867894,2047999,03/11/2020
2015,Olean,041200,2584,1785085,1024,1248881,3033966,03/11/2020
2015,Salamanca,041600,854,145473,503,148132,293605,03/11/2020
2015,Allegany-Limestone,042001,1489,848933,633,630669,1479602,03/11/2020
2015,West Valley,042204,478,336296,192,274657,610953,03/11/2020
2015,Ellicottville,043601,638,150745,285,147361,298106,03/11/2020
2015,Franklinville,044001,920,506542,378,393321,899863,03/11/2020
2015,Hinsdale,044601,596,282530,256,229029,511559,03/11/2020
2015,Cattaraugus - Little Valley,046402,1422,652070,503,433504,1085574,03/11/2020
2015,Gowanda,047201,1414,648127,585,498543,1146670,03/11/2020
2015,Portville,047401,1003,650287,453,551514,1201801,03/11/2020
2015,Randolph,047601,1143,381593,453,288233,669826,03/11/2020
2015,Yorkshire-Pioneer,048401,3282,1283367,1132,886727,2170094,03/11/2020
2015,Auburn,050100,5175,2737772,1905,2097128,4834900,03/11/2020
2015,Weedsport,052201,1118,695808,397,516479,1212287,03/11/2020
2015,Cato-Meridian,052401,1318,721115,414,439839,1160954,03/11/2020
2015,Southern Cayuga,053001,1210,492482,383,319882,812364,03/11/2020
2015,Port Byron,053801,1256,788131,495,610799,1398930,03/11/2020
2015,Moravia,054201,1305,556287,451,367306,923593,03/11/2020
2015,Union Springs,055401,1193,548544,436,416374,964918,03/11/2020
2015,Dunkirk,060300,2137,1137846,1142,1103915,2241761,03/11/2020
2015,Jamestown,060800,4364,2536276,1838,1830306,4366582,03/11/2020
2015,Southwestern,062201,2049,1226346,879,1055972,2282318,03/11/2020
2015,Frewsburg,062401,1029,744743,407,605503,1350246,03/11/2020
2015,Cassadaga Valley,062601,1339,646345,603,551965,1198310,03/11/2020
2015,Chautauqua Lake,062803,1081,272613,514,256871,529484,03/11/2020
2015,Pine Valley,063001,795,424387,330,335674,760061,03/11/2020
2015,Clymer,063201,554,222989,259,220326,443315,03/11/2020
2015,Bemus Point,063601,1056,445113,459,386564,831677,03/11/2020
2015,Falconer,063801,1434,831595,655,731175,1562770,03/11/2020
2015,Silver Creek,064601,1190,632331,530,556047,1188378,03/11/2020
2015,Forestville,064603,844,452877,364,393971,846848,03/11/2020
2015,Panama,064801,761,437863,294,334442,772305,03/11/2020
2015,Fredonia,065801,2074,1447205,791,1164934,2612139,03/11/2020
2015,Brocton,066001,706,543153,351,537481,1080634,03/11/2020
2015,Ripley,066201,417,285099,190,245694,530793,03/11/2020
2015,Sherman,066601,528,285517,196,208118,493635,03/11/2020
2015,Westfield,067201,948,550841,459,530197,1081038,03/11/2020
2015,Elmira,070400,7334,4321482,2895,3365427,7686909,03/11/2020
2015,Horseheads,073401,5545,3044640,2056,2418459,5463099,03/11/2020
2015,Elmira Heights,073402,1231,793230,494,655692,1448922,03/11/2020
2015,Norwich,081100,2135,1142175,814,837350,1979525,03/11/2020
2015,Afton,082001,735,395371,377,415897,811268,03/11/2020
2015,Bainbridge-Guilford,082201,1097,591645,461,511361,1103006,03/11/2020
2015,Greene,083001,1313,648474,591,606417,1254891,03/11/2020
2015,Unadilla Valley,083803,955,386152,435,352633,738785,03/11/2020
2015,Georgetown-So Otselic Valley,084401,504,254200,186,181794,435994,03/11/2020
2015,Oxford Academy,084601,966,515410,428,442220,957630,03/11/2020
2015,Sherburne-Earlville,085601,1582,734514,639,593547,1328061,03/11/2020
2015,Plattsburgh,091300,1999,1293070,810,1072699,2365769,03/11/2020
2015,Ausable Valley,092201,1814,879116,751,687383,1566499,03/11/2020
2015,Beekmantown,092401,2643,1323489,938,907643,2231132,03/11/2020
2015,Northeastern Clinton,092801,1854,1081256,695,816528,1897784,03/11/2020
2015,Chazy,093001,660,377101,236,280149,657250,03/11/2020
2015,Northern Adirondack,093601,1257,410598,454,272991,683589,03/11/2020
2015,Peru,094001,2581,1493910,711,816088,2309998,03/11/2020
2015,Saranac,094401,2320,1364432,739,875065,2239497,03/11/2020
2015,Hudson,100600,1907,920895,851,847632,1768527,03/11/2020
2015,Taconic Hills,102801,1900,661933,769,557834,1219767,03/11/2020
2015,Germantown,103602,840,356481,377,334866,691347,03/11/2020
2015,Chatham,103801,1731,800130,573,553731,1353861,03/11/2020
2015,Kinderhook,104401,2822,1424663,868,926221,2350884,03/11/2020
2015,New Lebanon,104801,814,335948,279,241290,577238,03/11/2020
2015,Cortland,110200,2869,1474149,1099,1207081,2681230,03/11/2020
2015,Cincinnatus,112001,663,329631,308,302162,631793,03/11/2020
2015,Mc Graw,112204,726,389558,243,260364,649922,03/11/2020
2015,Homer,113001,2570,1475878,860,1040507,2516385,03/11/2020
2015,Marathon,113401,883,407540,330,287417,694957,03/11/2020
2015,Andes,122002,207,45075,171,78100,123175,03/11/2020
2015,Downsville,122401,365,101270,237,138134,239404,03/11/2020
2015,Charlotte Valley,122601,516,187518,278,202236,389754,03/11/2020
2015,Delhi,122801,1186,467966,561,476961,944927,03/11/2020
2015,Franklin,123201,409,156055,195,159186,315241,03/11/2020
2015,Hancock,123606,412,171670,232,196649,368319,03/11/2020
2015,Margaretville,124601,569,138178,390,202115,340293,03/11/2020
2015,Roxbury,124802,454,174302,265,215404,389706,03/11/2020
2015,Sidney,125001,1225,575193,672,651666,1226859,03/11/2020
2015,Stamford,125201,486,228321,251,247326,475647,03/11/2020
2015,South Kortright,125202,495,210264,273,237772,448036,03/11/2020
2015,Walton,125601,1121,405164,585,439028,844192,03/11/2020
2015,Beacon,130200,3488,2428523,850,1300486,3729009,03/11/2020
2015,Poughkeepsie,131300,2641,1614259,913,1181272,2795531,03/11/2020
2015,Dover,132602,1484,1402208,349,717345,2119553,03/11/2020
2015,Hyde Park,133201,5091,4616643,1659,3012436,7629079,03/11/2020
2015,Northeast,133801,867,445428,321,353541,798969,03/11/2020
2015,Pawling,134001,1727,1511656,390,736283,2247939,03/11/2020
2015,Pine Plains,134201,1668,824275,590,617276,1441551,03/11/2020
2015,Arlington,134601,10909,10607609,2113,4311373,14918982,03/11/2020
2015,Spackenkill,134602,1752,1670061,399,766386,2436447,03/11/2020
2015,Red Hook,134801,2241,1857079,675,1210501,3067580,03/11/2020
2015,Rhinebeck,135001,1668,1072445,629,865136,1937581,03/11/2020
2015,Wappingers,135601,15325,10187621,3627,5058275,15245896,03/11/2020
2015,Millbrook,135801,1376,792649,364,452477,1245126,03/11/2020
2015,Buffalo,140200,25782,8922892,7623,4127723,13050615,03/11/2020
2015,Lackawanna,140900,2488,864662,1205,703559,1568221,03/11/2020
2015,Tonawanda,141600,3194,1660750,1199,1327194,2987944,03/11/2020
2015,Alden,142001,2643,1463920,943,1111966,2575886,03/11/2020
2015,Amherst,142201,5364,3414364,1380,1864610,5278974,03/11/2020
2015,Williamsville,142203,16088,9046315,4086,4759795,13806110,03/11/2020
2015,Sweet Home,142207,5088,2195212,2125,1984796,4180008,03/11/2020
2015,East Aurora,142401,3001,1331211,885,844555,2175766,03/11/2020
2015,Cheektowaga,143001,3882,1932575,1615,1549385,3481960,03/11/2020
2015,Cheektowaga-Maryvale,143002,3737,1982543,1757,1982826,3965369,03/11/2020
2015,Cleveland Hill,143003,2544,2080014,791,1354807,3434821,03/11/2020
2015,Depew,143007,3130,1958487,1350,1834291,3792778,03/11/2020
2015,Cheektowaga-Sloan,143009,2437,2221140,1138,2175682,4396822,03/11/2020
2015,Clarence,143201,6422,2802166,1664,1431147,4233313,03/11/2020
2015,Springville-Griffith,143801,2838,1442014,983,1011187,2453201,03/11/2020
2015,Eden,144001,2391,1340586,774,935796,2276382,03/11/2020
2015,Iroquois,144201,4187,2056215,1433,1512331,3568546,03/11/2020
2015,Evans-Brant,144401,3717,1947756,1271,1300249,3248005,03/11/2020
2015,Grand Island,144601,4881,2793163,1268,1557300,4350463,03/11/2020
2015,Hamburg,144801,5577,3180937,1672,2057572,5238509,03/11/2020
2015,Frontier,144804,7989,3609754,2569,2402736,6012490,03/11/2020
2015,Holland,145001,1600,667863,471,418969,1086832,03/11/2020
2015,Lancaster,145201,9915,4656531,3041,2922025,7578556,03/11/2020
2015,Akron,145601,1974,939482,775,705054,1644536,03/11/2020
2015,North Collins,145801,929,582341,306,387331,969672,03/11/2020
2015,Orchard Park,146001,7542,4074574,1983,2312788,6387362,03/11/2020
2015,Kenmore,146401,14569,8706575,5646,7296904,16003479,03/11/2020
2015,West Seneca,146801,11385,5911072,4795,5221190,11132262,03/11/2020
2015,Crown Point,152203,354,114512,184,117685,232197,03/11/2020
2015,Elizabethtown-Lewis,152401,461,179265,206,163743,343008,03/11/2020
2015,Keene,153001,236,59784,81,44454,104238,03/11/2020
2015,Minerva,153401,179,54824,114,69912,124736,03/11/2020
2015,Moriah,153601,867,467932,449,439289,907221,03/11/2020
2015,Newcomb,153801,100,7259,65,9479,16738,03/11/2020
2015,Lake Placid,154002,860,178337,370,162506,340843,03/11/2020
2015,Schroon Lake,154601,414,95812,212,100191,196003,03/11/2020
2015,Ticonderoga,154801,947,260309,516,284513,544822,03/11/2020
2015,Westport,155001,262,108009,146,121050,229059,03/11/2020
2015,Willsboro,155201,477,158619,275,175532,334151,03/11/2020
2015,Tupper Lake,162001,1111,404878,443,308014,712892,03/11/2020
2015,Chateaugay,163401,647,275690,287,241890,517580,03/11/2020
2015,Salmon River,164201,705,239662,336,218879,458541,03/11/2020
2015,Saranac Lake,164601,1971,539095,628,354867,893962,03/11/2020
2015,Malone,164801,2894,1335230,1138,1009122,2344352,03/11/2020
2015,Brushton-Moira,165001,939,468630,381,378473,847103,03/11/2020
2015,St. Regis Falls,165401,417,211892,220,209433,421325,03/11/2020
2015,Gloversville,170500,2747,1744999,1310,1499030,3244029,03/11/2020
2015,Johnstown,170800,2000,921455,787,733281,1654736,03/11/2020
2015,Broadalbin-Perth,172201,2189,1123097,886,907459,2030556,03/11/2020
2015,Wheelerville,172401,308,72731,163,81493,154224,03/11/2020
2015,Mayfield,173001,1242,595909,576,556643,1152552,03/11/2020
2015,Northville,173201,552,171951,287,191103,363054,03/11/2020
2015,Batavia,180200,2968,2034130,1091,1491076,3525206,03/11/2020
2015,Alexander,182202,1140,754199,375,522697,1276896,03/11/2020
2015,Byron-Bergen,183001,1465,1096111,519,721474,1817585,03/11/2020
2015,Elba,183401,557,350183,209,271417,621600,03/11/2020
2015,Le Roy,183601,1622,1158885,578,842462,2001347,03/11/2020
2015,Oakfield-Alabama,183801,1040,713887,377,531497,1245384,03/11/2020
2015,Pavilion,184001,1031,668332,351,460566,1128898,03/11/2020
2015,Pembroke,184202,1452,864014,522,639101,1503115,03/11/2020
2015,Cairo-Durham,192401,1570,604194,798,628871,1233065,03/11/2020
2015,Catskill,192601,1940,923737,760,757136,1680873,03/11/2020
2015,Coxsackie-Athens,192801,1844,843357,658,632447,1475804,03/11/2020
2015,Greenville,193201,1781,937128,721,792524,1729652,03/11/2020
2015,Hunter-Tannersville,193601,521,156520,340,209406,365926,03/11/2020
2015,Windham-Ashland-Jewett,194601,434,96670,278,131287,227957,03/11/2020
2015,Piseco,202001,75,4836,41,5751,10587,03/11/2020
2015,Indian Lake,202601,284,56203,177,73457,129660,03/11/2020
2015,Inlet,202801,71,8503,50,12942,21445,03/11/2020
2015,Lake Pleasant,203001,163,35942,112,53061,89003,03/11/2020
2015,Long Lake,203201,133,15377,97,22669,38046,03/11/2020
2015,Raquette Lake,203202,17,193,16,395,588,03/11/2020
2015,Wells,203601,196,55330,120,72434,127764,03/11/2020
2015,Little Falls,210900,1213,958977,518,744121,1703098,03/11/2020
2015,West Canada Valley,212402,1003,506549,345,365044,871593,03/11/2020
2015,Frankfort-Schuyler,212602,1319,812198,581,741411,1553609,03/11/2020
2015,Central Valley,212803,2471,1356018,1034,1130334,2486352,03/11/2020
2015,Herkimer,213001,1345,824825,722,869828,1694653,03/11/2020
2015,Dolgeville,213602,974,382171,448,348068,730239,03/11/2020
2015,Poland,213803,908,343111,349,270407,613518,03/11/2020
2015,Van Hornesville-Owen D. Young,215001,289,144054,124,126368,270422,03/11/2020
2015,Town Of Webb,215401,445,37439,305,54849,92288,03/11/2020
2015,Mount Markham,215601,1407,766949,510,556210,1323159,03/11/2020
2015,Watertown,221800,3534,982099,1206,701132,1683231,03/11/2020
2015,South Jefferson,222001,2169,720247,633,426357,1146604,03/11/2020
2015,Alexandria,222202,793,237374,303,188573,425947,03/11/2020
2015,Indian River,222401,1714,217261,500,129123,346384,03/11/2020
2015,General Brown,222601,1844,493123,566,316592,809715,03/11/2020
2015,Thousand Islands,223201,1462,446781,623,400626,847407,03/11/2020
2015,Belleville-Henderson,223402,681,161458,315,156023,317481,03/11/2020
2015,Sackets Harbor,223801,590,207379,184,137268,344647,03/11/2020
2015,Lyme,224401,555,160334,254,153987,314321,03/11/2020
