the_geom,DOCUMENT_I,DOCUMENT_T,FILE_NUMBE,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-97.74008001566112 30.263713860532295, -97.73999431470575 30.2636901231936, -97.73989127295688 30.26366328445547, -97.7397859281315 30.26363364867172, -97.73974030689021 30.263621723822812, -97.73957682200533 30.263574408897167, -97.73959880842013 30.26352259747309, -97.73980628877175 30.263581170006915, -97.73980798681578 30.263581649590378, -97.739808706113 30.26358185323641, -97.73984317532016 30.263591467222298, -97.74000340219506 30.26363615288622, -97.74001076124065 30.26363819957242, -97.74017978811045 30.26368562610271, -97.74021914993538 30.26369467376878, -97.74043062973766 30.263753960518688, -97.74041777435586 30.26380666679685, -97.74008001566112 30.263713860532295)))",,,3150,5508.43693867,594.071136805
"MULTIPOLYGON (((-97.71122312387232 30.265979628431133, -97.7111907396387 30.26597621533602, -97.71115748708824 30.265975534822047, -97.71112502819769 30.265974870542006, -97.71109731938904 30.265974303467175, -97.7110770613224 30.26564109536061, -97.7113223340321 30.26565161555756, -97.71155540160525 30.26570314093117, -97.71176597447287 30.265795461014175, -97.71155521834113 30.266084489973604, -97.71155452950768 30.266085426471648, -97.7114725168981 30.266042489472312, -97.71144273163202 30.266030878545013, -97.71142071387524 30.26602492727694, -97.71141287172061 30.266022016442594, -97.71138150508604 30.266010373141018, -97.7113508535061 30.266001494823723, -97.71131933559624 30.265995349129998, -97.71128702600998 30.26598918722746, -97.7112617668942 30.26598591995959, -97.71125550810821 30.265983041518048, -97.71122312387232 30.265979628431133)))",7752/36,TRAVIS COUNTY DOCUMENT,3301.01,23160.5480816,626.615496783
"MULTIPOLYGON (((-97.71053111689365 30.26636591730567, -97.71069440252757 30.26628845407651, -97.71088531743985 30.266591243315936, -97.71099242516057 30.26676109739407, -97.71086444926146 30.266794920409644, -97.7108537020951 30.266781141169727, -97.7108352226326 30.26675807247347, -97.71081655018739 30.266735109838905, -97.7107976523454 30.266712280106056, -97.71077856152085 30.26668955643477, -97.71075927622039 30.266666993801465, -97.71073979793746 30.266644537229574, -97.71072012517877 30.266622241695476, -97.71070022777032 30.266600051574375, -97.71068016830026 30.266577995650863, -97.7106598826872 30.266556100116716, -97.71063940409195 30.266534310643472, -97.7106187626885 30.266512682855787, -97.7105978958889 30.266491187968928, -97.71057683536053 30.266469826630974, -97.7105556127708 30.266448599490015, -97.71053684964778 30.26643014554688, -97.71052415503632 30.26641924179556, -97.71051778344241 30.266408852525945, -97.71051524628326 30.266397276581582, -97.71051676777181 30.266385591192794, -97.7105222252737 30.266374811482393, -97.71053111689365 30.26636591730567)))",7752/36,TRAVIS COUNTY DOCUMENT,3301.01,10433.16725,492.311561401
"MULTIPOLYGON (((-97.64970981965804 30.175703833308006, -97.6500711159239 30.17523718920131, -97.65053282522072 30.175690555260875, -97.65017131332282 30.176157005352653, -97.64970981965804 30.175703833308006)))",12580/536,TRAVIS COUNTY DOCUMENT,3395.06,43575.8839811,849.296222292
"MULTIPOLYGON (((-97.65986128857772 30.168079241725376, -97.65985860707637 30.168083421283175, -97.65973274162475 30.16817656010053, -97.6594731893152 30.16836864229316, -97.65928475665227 30.16817658073222, -97.65893430298614 30.167819302102842, -97.65931944380189 30.167533774417134, -97.65986128857772 30.168079241725376)))",12314/399,TRAVIS COUNTY DOCUMENT,3395.06,42226.6066844,846.29995425
"MULTIPOLYGON (((-97.6571594527841 30.172485282684235, -97.65658084444428 30.17297086231975, -97.65461707889817 30.17095771127927, -97.65522304683816 30.170512868500637, -97.6571594527841 30.172485282684235)))",12498/1756,TRAVIS COUNTY DOCUMENT,3395.06,239913.75181,2407.54615055
"MULTIPOLYGON (((-97.61804550955439 30.16685961569684, -97.61700527983503 30.166364347914417, -97.61730948427142 30.16588219277013, -97.61835088954473 30.166375482159403, -97.61804550955439 30.16685961569684)))",10570/268,TRAVIS COUNTY DOCUMENT,3020,75111.9846785,1150.4487595
"MULTIPOLYGON (((-97.7107897167196 30.266042267534186, -97.71060597090982 30.265749718704324, -97.71083534799095 30.265674653300984, -97.71092715316053 30.26599832439458, -97.71090008669259 30.266003271143425, -97.71086891446276 30.266013634571976, -97.71083774024704 30.26602399795241, -97.71080814938601 30.26603439373332, -97.7107897167196 30.266042267534186)))",7752/36,TRAVIS COUNTY DOCUMENT,3301.01,7389.5859375,366.175193295
"MULTIPOLYGON (((-97.71591726277046 30.268907342917178, -97.71649387920776 30.269954385738874, -97.71649833149404 30.269965476376175, -97.71649875060764 30.269979238440666, -97.71649370228015 30.269990136769497, -97.71648548709489 30.270000970422394, -97.71647346235952 30.27000622555874, -97.71645906252671 30.270011430468678, -97.7151391478951 30.270214292246937, -97.71509766332208 30.269845663262423, -97.7151772869662 30.269450881143946, -97.71591726277046 30.268907342917178)))",7752/36,TRAVIS COUNTY DOCUMENT,3301.01,127908.01985,1459.14923631
"MULTIPOLYGON (((-97.70097917416668 30.258387300002838, -97.70105541290205 30.25826952810374, -97.70113343683686 30.258147859820745, -97.70121205620636 30.258026423757276, -97.70128689826392 30.257905241812672, -97.70151713005349 30.257547361810506, -97.70159837721397 30.25756311264094, -97.70129497798288 30.258036543428013, -97.7011634930617 30.25824011944975, -97.70105766984919 30.25840296712821, -97.70104863324484 30.258419061901474, -97.70097917416668 30.258387300002838)))",,,3340.01,8811.32553418,757.023940524
"MULTIPOLYGON (((-97.7480512324106 30.26499094424588, -97.7479510703017 30.265263381165695, -97.7478201487855 30.26522440739271, -97.74792244616606 30.26495506824983, -97.7480512324106 30.26499094424588)))",5650/360,TRAVIS COUNTY DOCUMENT,1233,4473.7564375,293.543110054
"MULTIPOLYGON (((-97.7420055052714 30.17036630004616, -97.74236476731959 30.170189301097476, -97.74259954666641 30.170375574218156, -97.7424940369058 30.17053295551578, -97.7424937867611 30.170532914354823, -97.74202310627294 30.17045469409571, -97.74202291917054 30.17045466280484, -97.7420260289602 30.170427222562456, -97.7420212297223 30.170399622209715, -97.74200931236598 30.170371877756907, -97.7420055052714 30.17036630004616)))",2004178612,TRAVIS COUNTY DOCUMENT,3913.02,13914.959674,482.105847471
"MULTIPOLYGON (((-97.74289549104627 30.16993326163134, -97.74246532636843 30.169685277760696, -97.74256204203591 30.169560720636383, -97.7429812811977 30.169802982451873, -97.74289549104627 30.16993326163134)))",2009105638,TRAVIS COUNTY DOCUMENT,6000.140,8790.25,431.478549539
"MULTIPOLYGON (((-97.7398338062905 30.179346719059943, -97.7396404409621 30.179232659614783, -97.73911622500499 30.179451662032363, -97.73903257622848 30.179426645847553, -97.73893411257966 30.179397200441937, -97.73886651239683 30.179289844969148, -97.73878782278665 30.179164879219577, -97.73871353580776 30.179046904246043, -97.73868540573393 30.17884573407051, -97.73863583180038 30.178491194057464, -97.73853631072254 30.17838136415047, -97.73853488143367 30.178325177004847, -97.73853415761276 30.178296577874097, -97.73853038699826 30.178148099130315, -97.73855747579617 30.178128378323372, -97.7397117743752 30.178091060222478, -97.74057470266519 30.178063155177675, -97.74061362558876 30.178061896235445, -97.7413718697099 30.179990621087867, -97.74146135311423 30.18021823088458, -97.74147028602347 30.180240955793955, -97.74149677960102 30.180308337060325, -97.74144814771887 30.180334874581344, -97.74140823613153 30.18035665697012, -97.74137518829507 30.180364563704277, -97.74108914212768 30.180432990985555, -97.74097292100285 30.180460793116183, -97.74086571649333 30.180486438244728, -97.7407899409862 30.180504561628997, -97.74031127159189 30.180401630970636, -97.74022378355085 30.180305828724258, -97.74009058752009 30.18015997286127, -97.7400767972697 30.180027782843556, -97.74006518645636 30.179916491301707, -97.74005140541986 30.17978440288777, -97.74001701294112 30.179454786420305, -97.73989776228737 30.179384442777888, -97.7398338062905 30.179346719059943)))",2000005044,TRAVIS COUNTY DOCUMENT,3688.04,473144.744309,3158.86849665
"MULTIPOLYGON (((-97.74426569779766 30.167790982685375, -97.74428692349504 30.167766659157465, -97.74428765086431 30.167767125953326, -97.74453330353272 30.16792478181778, -97.74484003699449 30.16812163539259, -97.74474128563344 30.168174644707605, -97.74460628167775 30.16825167191095, -97.74451494531378 30.168175567808664, -97.74416411272595 30.167890689637463, -97.7441811631714 30.16787453090393, -97.74420303245613 30.167855722761633, -97.74422418453995 30.16783414807206, -97.74424533661433 30.16781257337904, -97.74426569779766 30.167790982685375)))",2005094215,TRAVIS COUNTY DOCUMENT,3913.03,14496.5848816,556.324047257
"MULTIPOLYGON (((-97.74767333817539 30.17126198598143, -97.74777227239156 30.17102236907159, -97.74780940700336 30.171038740944574, -97.74783835661117 30.17105225217238, -97.7478669449895 30.171066251154276, -97.74789523467588 30.17108076665683, -97.74792319550511 30.171095743064537, -97.74795079510568 30.17111120722704, -97.74797803421325 30.17112713165624, -97.74785988455977 30.171299390394882, -97.74767333817539 30.17126198598143)))",2009106483,TRAVIS COUNTY DOCUMENT,6000.201,5596.7104,301.44300189
"MULTIPOLYGON (((-97.74655198898671 30.171288863381843, -97.7468070337185 30.17098446899069, -97.74690191554535 30.17104771825626, -97.74672198907905 30.171396893270195, -97.74670196394435 30.17138700002438, -97.74667428500507 30.171372139056327, -97.746647295456 30.171356356905317, -97.74662102546243 30.17133970918757, -97.74659547502465 30.17132219590358, -97.74657073831656 30.171303846460116, -97.74655198898671 30.171288863381843)))",2009186263,TRAVIS COUNTY DOCUMENT,6000.222,7206.03865,380.595414615
"MULTIPOLYGON (((-97.74715368087593 30.17113902755282, -97.74712723651687 30.17113125994079, -97.74727538087431 30.170844782114738, -97.74729950543221 30.170855253147867, -97.74732852479998 30.17086733573791, -97.74735777666261 30.170879010470607, -97.74738726101978 30.17089027734583, -97.7474232808664 30.170903353935596, -97.74730496849598 30.171188124347736, -97.74715368087593 30.17113902755282)))",2009131181,TRAVIS COUNTY DOCUMENT,6000.204,6203.67365,335.567188066
"MULTIPOLYGON (((-97.74744944666942 30.170741723855627, -97.74741954298042 30.170729568421528, -97.74739028305713 30.170717013438164, -97.74736128873596 30.17070399625987, -97.74733256001723 30.17069051688686, -97.74730412706624 30.170676630935123, -97.7472759597183 30.170662282788957, -97.74725423661589 30.17065078764386, -97.74747590913286 30.17040693983609, -97.74763937030423 30.17051326873169, -97.74762602068478 30.170525980561134, -97.7476041566041 30.170549329138147, -97.74758384637363 30.17057375422061, -97.74756515694385 30.170599119645818, -97.74754815305894 30.17062537171609, -97.74753286929804 30.170652401117867, -97.7475193704058 30.170680154153388, -97.74750772259797 30.170708522148168, -97.74750360849379 30.170719137770327, -97.74749639549887 30.170728453148733, -97.74748663981717 30.170735791939638, -97.74747501978504 30.170740645285758, -97.7474623042352 30.17074267117678, -97.74744944666942 30.170741723855627)))",2010082110,TRAVIS COUNTY DOCUMENT,6000.309,7478.5281,354.991426555
"MULTIPOLYGON (((-97.74708751859784 30.17055025062345, -97.74733357322111 30.17031434904361, -97.74747590913286 30.17040693983609, -97.74725423661589 30.17065078764386, -97.74722051306303 30.170632339273315, -97.74719326539235 30.17061674454338, -97.74716631422628 30.170600715747327, -97.74713968972988 30.17058430850114, -97.74711342501074 30.170567468467542, -97.74708751859784 30.17055025062345)))",2010090301,TRAVIS COUNTY DOCUMENT,6000.310,6892.4164,349.151594487
"MULTIPOLYGON (((-97.74849199887896 30.17054935624286, -97.74819149730271 30.170310968526667, -97.74821794336306 30.170293818091604, -97.74822806534225 30.17028698170174, -97.74823910625534 30.170281291499027, -97.74825084170863 30.170276852964093, -97.74826314368744 30.170273718517798, -97.74827575836808 30.170271910537128, -97.74828858863687 30.170271509570245, -97.74832105759114 30.17027296287088, -97.74835320641361 30.170268634034727, -97.74837096152328 30.170262804379412, -97.74864286134506 30.170423797813385, -97.74863538356192 30.170430000049386, -97.74851744502888 30.17052817009233, -97.74849199887896 30.17054935624286)))",2011122201,TRAVIS COUNTY DOCUMENT,6000.319,6826.79175,359.860490343
"MULTIPOLYGON (((-97.9701302650207 30.299649780058168, -97.97141360878071 30.29765339707657, -97.9714302371507 30.297627933920342, -97.97176421934961 30.297116470492345, -97.9718256637495 30.297022362426116, -97.97187254906817 30.296950592913607, -97.97189642364951 30.29691401480287, -97.97189205177798 30.296897020399914, -97.97188279293614 30.29686093021695, -97.97256151811386 30.29707417339746, -97.97286414658112 30.2971692374289, -97.97817042702502 30.2996479041762, -97.97944443217312 30.297681938903214, -97.9798078142044 30.297110708745766, -97.98421889512302 30.290331330526456, -97.98593144868991 30.291140550551255, -97.98204822434647 30.2971090047182, -97.98184684337515 30.297426480513096, -97.9828234718527 30.297905469195918, -97.98627194326464 30.299592303293267, -97.98864081441337 30.3007537565615, -97.98875394774238 30.30080920759942, -97.98996703427926 30.30139342416321, -97.98799847097956 30.304544888057467, -97.98793211512115 30.304548103519195, -97.98739435034672 30.304860450414647, -97.98551810668984 30.305572204928996, -97.9854487148759 30.3057758232451, -97.98432440669464 30.30576991138458, -97.9842320621059 30.305740526184817, -97.98412183666144 30.305668348175043, -97.98404101136774 30.305561588640533, -97.98400624962696 30.305515653777476, -97.98392525899709 30.305398770342205, -97.98384208594261 30.30525176121033, -97.98381931030409 30.305118398328244, -97.98381602634075 30.30476246022477, -97.98380432034703 30.30442828525793, -97.9838487347413 30.30390983113547, -97.98364997383362 30.30363889442656, -97.98358012118793 30.30354369409934, -97.98328154856566 30.303457943470796, -97.98305061293942 30.303443671100137, -97.98272320484398 30.30359319224867, -97.98233992741596 30.30366143659042, -97.98195259866607 30.303659337448593, -97.98160415387395 30.303592301141215, -97.98102737290318 30.303426633120115, -97.98043883865901 30.303139903904864, -97.98007607930381 30.302928380957383, -97.97975472437054 30.302741021550453, -97.97836328144236 30.301712075813732, -97.9778077105538 30.301496178676828, -97.97739415719143 30.30138321740981, -97.97683077273929 30.301304463276157, -97.97624077509253 30.30126165766723, -97.97576383578895 30.301378323879405, -97.97557079145088 30.301470095747003, -97.97531036568571 30.30171615271077, -97.97498455560283 30.302272056077616, -97.97408575684368 30.302852534184197, -97.97374137638428 30.30322247871834, -97.97346890204662 30.30360183529154, -97.97329768148057 30.3039363001186, -97.97323268109207 30.30410190254495, -97.97309260596853 30.30446139176477, -97.97292298941305 30.304686096857306, -97.9727976631098 30.304826167979666, -97.97267811472345 30.304921626791682, -97.97253538752759 30.30510174875009, -97.97253313083881 30.30510459663996, -97.972478388387 30.305025702151852, -97.97199120067917 30.304277798803064, -97.97101511908052 30.30377068714788, -97.97007829520545 30.30328392826324, -97.96836594635661 30.3023942221387, -97.96859508975356 30.30203778539234, -97.96896802596251 30.301457659072117, -97.9701302650207 30.299649780058168)))",1999067970,TRAVIS COUNTY DOCUMENT,3628.57,13018035.1465,24265.2172235
"MULTIPOLYGON (((-97.73620291957194 30.183607020507175, -97.73621073591009 30.183595725684025, -97.7363172643004 30.18372645247962, -97.73735173367591 30.18498169720666, -97.73807032674226 30.185836738555622, -97.73915247086968 30.187130337201253, -97.73961968510888 30.18736643204027, -97.73918146005556 30.188050470267235, -97.73871423615999 30.188792004649333, -97.73808156866681 30.1885004100094, -97.73477399602962 30.186913845303508, -97.73478533069103 30.18688313417299, -97.73528621490905 30.186170376047855, -97.735315530372 30.186150370999957, -97.73595912344115 30.18570726063685, -97.73610868578102 30.184963773635573, -97.73612871048557 30.184869883202015, -97.73613452174898 30.18483683043404, -97.73602260492065 30.183867397179196, -97.73611989997877 30.183726911031357, -97.73620291957194 30.183607020507175)))",11212/922,TRAVIS COUNTY DOCUMENT,3180,1218924.07252,5147.04701202
"MULTIPOLYGON (((-97.7363172643004 30.18372645247962, -97.73621073591009 30.183595725684025, -97.73649526238997 30.18318390339369, -97.73696974615135 30.183169353562, -97.73719705417768 30.18316238277075, -97.73748119028043 30.18304998360774, -97.7376635718771 30.182977836224687, -97.73766661764114 30.18297663111028, -97.73799535878942 30.183230825346573, -97.73861937140038 30.183895301382414, -97.7387770339494 30.184152276139088, -97.73924645515655 30.184917378734514, -97.73943467311354 30.185512512294846, -97.73954427147044 30.185822769248098, -97.73991400679407 30.186840844232773, -97.73992160869692 30.18686178552685, -97.73961968510888 30.18736643204027, -97.73915247086968 30.187130337201253, -97.73807032674226 30.185836738555622, -97.73735173367591 30.18498169720666, -97.7363172643004 30.18372645247962)))",11352/1124,TRAVIS COUNTY DOCUMENT,3195,769493.50252,4134.47732103
"MULTIPOLYGON (((-97.73502942711198 30.208616714043785, -97.73480092876845 30.20848831243379, -97.7347728147655 30.208473991977595, -97.73474549203003 30.208459685853274, -97.73471816930265 30.208445379723138, -97.73469084658338 30.20843107358719, -97.73466431508473 30.208416783501985, -97.73463699238151 30.208402477354596, -97.73461046287672 30.208388187298425, -97.73458393144796 30.208373895478573, -97.7345574739303 30.208356856538416, -97.73453094247176 30.208342566425653, -97.73450441102108 30.208328276307462, -97.7344787447416 30.208311253408674, -97.73445307847115 30.20829423050473, -97.73442733627863 30.208279956388356, -97.73440167002556 30.208262933474174, -97.73437600571334 30.208245912313085, -97.73435113068932 30.208228905447168, -97.73432546446324 30.208211882517794, -97.7343005895031 30.20819487392407, -97.73427571450551 30.208177867043574, -97.73425163072706 30.2081608762174, -97.73422675376881 30.20814386928731, -97.73420274392058 30.208124131337406, -97.73417866021458 30.208107138779518, -97.73415457647084 30.208090147935224, -97.73413135790656 30.208070424313693, -97.73410735012035 30.20805068466811, -97.73408405761253 30.20803370987063, -97.73406083907622 30.208013986236416, -97.73403841171216 30.20799428037649, -97.73401511923007 30.207977305566526, -97.73399269193007 30.20795759798064, -97.73397026463923 30.207937890390813, -97.73394783537952 30.207918182756973, -97.73392619931518 30.20789849122051, -97.73390456325963 30.207878799680408, -97.73388300118118 30.207856359304333, -97.73387135699363 30.207847870207953, -97.73386057591424 30.207836651735633, -97.733849003676 30.207825415482805, -97.73383742950865 30.2078141774707, -97.73382578330595 30.207805690048104, -97.73381421102923 30.20779445551018, -97.73437943202687 30.20691206835566, -97.73462499481259 30.20652375445012, -97.73456639248826 30.20649506352959, -97.73482663863551 30.20609054356752, -97.73485712346347 30.20610491557104, -97.73538855601468 30.20636047649789, -97.73627864335569 30.206791083389763, -97.73648500770662 30.206888778144112, -97.73645957208312 30.206951521674252, -97.73644941262185 30.206976068631043, -97.73612629147365 30.2078056164188, -97.73611605600136 30.207832910426465, -97.7360839860009 30.2078185083028, -97.73566420968761 30.20762022047164, -97.73502942711198 30.208616714043785)))",2001215133,TRAVIS COUNTY DOCUMENT,3807.01,409074.565859,2745.30171202
"MULTIPOLYGON (((-97.64610864304709 30.183199775429085, -97.64610964776475 30.183161372000534, -97.64611095476491 30.183142834375072, -97.64611279810923 30.183124363015537, -97.6461151793263 30.183105902946412, -97.64611809612242 30.18308753663093, -97.64611968897839 30.183058720306256, -97.64612291979232 30.18303133933819, -97.64612618300848 30.18300393154651, -97.6461295720644 30.1829765521811, -97.6461330243497 30.18294917586191, -97.6461365399122 30.18292180087106, -97.64614018121866 30.182894457742396, -97.64614385502259 30.182867084354115, -97.64614765457037 30.18283974282807, -97.64615151663052 30.182812430117977, -97.64615544273201 30.18278509124838, -97.64687977533033 30.18281134988442, -97.64690120898699 30.183103944903745, -97.6469081059658 30.1832248054818, -97.64610864304709 30.183199775429085)))",12284/1294,TRAVIS COUNTY DOCUMENT,3395.06,36465.3954219,784.091143025
"MULTIPOLYGON (((-97.74662758622546 30.176684861347216, -97.74679813405359 30.176493017638176, -97.7468093545521 30.176487743715697, -97.74682136600255 30.176482485773594, -97.74683402125297 30.1764827414756, -97.74684667650345 30.176482997176343, -97.74685925817883 30.176486001707808, -97.74687018437366 30.176491723107727, -97.74707682315378 30.176616900030012, -97.74689806037972 30.176843512329487, -97.74689789805002 30.176843737669916, -97.74662758622546 30.176684861347216)))",2007193751,TRAVIS COUNTY DOCUMENT,3972.10,10032.7811943,395.333745319
"MULTIPOLYGON (((-97.74744859490154 30.17716481021142, -97.74716101993073 30.176997849335663, -97.74733648522707 30.176769131385992, -97.74761070298993 30.176929889977465, -97.74761732677696 30.176938766345152, -97.74762177714295 30.176948570017963, -97.7476239370503 30.17695894280957, -97.74762371985767 30.176969499644482, -97.74762110371708 30.17697980003048, -97.74761621963843 30.17698945813126, -97.74759258758121 30.177022778759827, -97.74757355650402 30.177046299769938, -97.74755349495962 30.177069143324157, -97.74753243256258 30.17709131173913, -97.74751040642296 30.17711274903864, -97.74748741322944 30.17713343109003, -97.74746351786776 30.17715329904031, -97.74744859490154 30.17716481021142)))",2013036912,TRAVIS COUNTY DOCUMENT,6000.102,11522.2887695,420.07756502
"MULTIPOLYGON (((-97.74906953935124 30.175847472784906, -97.74884016184494 30.175724578306802, -97.74883175549893 30.17571340731664, -97.74882572199616 30.175702284233047, -97.74882364322978 30.175691240994457, -97.74882480177023 30.175677512799187, -97.74882905057892 30.175666597312855, -97.74883646317352 30.17565574570229, -97.74910050439857 30.175399796224628, -97.74933552989583 30.175577810587967, -97.74906953935124 30.175847472784906)))",2008078680,TRAVIS COUNTY DOCUMENT,3972.12,13656.625,465.030240322
"MULTIPOLYGON (((-97.74556642524 30.18376970557964, -97.74556667098068 30.183768065511085, -97.74571165733262 30.183836838805924, -97.74572097440866 30.1838412780912, -97.74578886647377 30.183873630978333, -97.74588021158338 30.18391689702932, -97.74588802396192 30.18392055986604, -97.74592220063577 30.183936585365306, -97.74592076903112 30.183937364338313, -97.74593035842753 30.183941905373032, -97.74563824197577 30.184100717905153, -97.74563205985262 30.184094325651696, -97.74561707908263 30.184078837633738, -97.74560981937017 30.18407389501959, -97.74559118035695 30.184061207139518, -97.74556163260569 30.184048618477718, -97.7455332128034 30.18404237834804, -97.74553376260594 30.18403876763227, -97.74557413338367 30.183773343982583, -97.74556642524 30.18376970557964)))",11392/959,TRAVIS COUNTY DOCUMENT,3218,7799.35227813,383.35248961
"MULTIPOLYGON (((-97.64610864304709 30.183199775429085, -97.6469081059658 30.1832248054818, -97.6469112947624 30.183252374467248, -97.64691527643471 30.183279963528715, -97.64692076376623 30.183310331126517, -97.64692632742847 30.18333795338492, -97.64693347515218 30.183365605445694, -97.64694133542523 30.18339602455631, -97.64695006311852 30.183423711489663, -97.64696037280353 30.18345143161917, -97.64697068249446 30.18347915174787, -97.6469825741789 30.18350690507224, -97.6469953332852 30.183531926218368, -97.64700880697173 30.183559712736635, -97.64702314808069 30.18358476707618, -97.64703820377196 30.183612586787337, -97.64705412688618 30.1836376743192, -97.64757165732709 30.184437891494404, -97.64751673132474 30.185132585047644, -97.64744847022368 30.185538209056695, -97.64743329054475 30.185628653100586, -97.64738323385342 30.185721115795843, -97.64657893663806 30.186523852010087, -97.64644998683252 30.186180098628846, -97.64628939412465 30.185750419187073, -97.64628058996747 30.185725480978064, -97.6462718622581 30.185697793993096, -97.64626384912165 30.185672872385656, -97.64625591243302 30.185645202002355, -97.64624789930504 30.185620280394023, -97.64624075363604 30.185592626612657, -97.64623360797113 30.18556497283095, -97.64622638586587 30.185540067824284, -97.64622003121906 30.185512430644817, -97.64621367657588 30.185484793465122, -97.64620811294596 30.18545717288811, -97.64620175830981 30.185429535707982, -97.64619690925052 30.185404680508984, -97.64619134563002 30.185377059931476, -97.64618657302144 30.185349455956924, -97.64618180041559 30.18532185198227, -97.64617781882077 30.185294264610654, -97.64617383722823 30.185266677239007, -97.64616985563796 30.185239089867277, -97.64616658861172 30.185214267873995, -97.6461633980331 30.18518669710545, -97.64616020745629 30.185159126336895, -97.64615780788827 30.18513157217161, -97.64615540832163 30.18510401800636, -97.64615300875636 30.185076463841124, -97.64615140019873 30.185048926279265, -97.64610864304709 30.183199775429085)))",12281/1329,TRAVIS COUNTY DOCUMENT,3395.06,398024.301875,2832.60451251
"MULTIPOLYGON (((-97.74374045495792 30.173778801082587, -97.74385131683603 30.173687532894917, -97.74396136482878 30.17374476540309, -97.74423616356292 30.173885089432677, -97.74450550016061 30.174022553792522, -97.74452347266937 30.174031168222566, -97.74444250151745 30.17411140594456, -97.74438487951097 30.174166752750885, -97.74419121502703 30.174351734599846, -97.74399449996808 30.17410297719702, -97.74374045495792 30.173778801082587)))",2002033657,TRAVIS COUNTY DOCUMENT,3666.29,24976.9812623,704.008404929
"MULTIPOLYGON (((-97.74608676535081 30.177779235406668, -97.74621381547722 30.17753270670854, -97.74623401031708 30.17754458367135, -97.74626184621152 30.177558375256602, -97.7462908086468 30.177570290162983, -97.74632074099344 30.1775801928653, -97.7463514903917 30.17758810262017, -97.74638283164597 30.17759393236659, -97.74641457823454 30.177597628485334, -97.74644657136513 30.177599210113637, -97.74647412481383 30.17759872178837, -97.74650107857161 30.17788115525633, -97.74636654322434 30.177911404298435, -97.7462546022669 30.177858508711154, -97.74608676535081 30.177779235406668)))",1999144311,TRAVIS COUNTY DOCUMENT,3666.42,11831.8335414,433.143645628
"MULTIPOLYGON (((-97.74709988166558 30.176962358958075, -97.74705696886495 30.17693714994616, -97.74697315571932 30.176887903606282, -97.74689789805002 30.176843737669916, -97.74689806037972 30.176843512329487, -97.74707682315378 30.176616900030012, -97.7470770506902 30.17661660381092, -97.74707795233364 30.176617141149617, -97.74733804594571 30.17677039883865, -97.74716101993073 30.176997849335663, -97.74709988166558 30.176962358958075)))",2005233621,TRAVIS COUNTY DOCUMENT,3666.97,10000.6082809,399.924565735
"MULTIPOLYGON (((-97.74706922548545 30.173560065409642, -97.74716652715482 30.173295250447147, -97.74751124136644 30.173395725109604, -97.74752374910663 30.17340147840634, -97.747533738934 30.17341268147385, -97.74754056109609 30.173423820552856, -97.74754494087601 30.17343766061218, -97.74754536403758 30.17345142074676, -97.7475419041325 30.173462352125192, -97.74741085235445 30.17365772763404, -97.74706922548545 30.173560065409642)))",2005139376,TRAVIS COUNTY DOCUMENT,3666.92,12446.9603125,440.451084541
"MULTIPOLYGON (((-97.74761985318113 30.17476194933243, -97.74734523822133 30.17462535622039, -97.74752068776397 30.17436333494017, -97.74779557931802 30.174498666404094, -97.74761985318113 30.17476194933243)))",2013060363,TRAVIS COUNTY DOCUMENT,6000.119,11037.1607844,420.769530532
"MULTIPOLYGON (((-97.75084899300079 30.17350095361323, -97.75085091024583 30.173501538917705, -97.75115338153202 30.17359411580228, -97.7511046779318 30.173666286574765, -97.75104869102029 30.173747666635364, -97.75096770725756 30.17372331533568, -97.75074487790236 30.173656277733727, -97.75079762783572 30.173577582812815, -97.75084899300079 30.17350095361323)))",2007143632,TRAVIS COUNTY DOCUMENT,3972.22,6509.25523145,333.856290516
"MULTIPOLYGON (((-97.74909969163538 30.17371383566068, -97.74879415157058 30.173627907860613, -97.74897951258089 30.1731475945437, -97.74928742209569 30.173233569755993, -97.74927461484603 30.17326631501513, -97.74909969163538 30.17371383566068)))",2007104860,TRAVIS COUNTY DOCUMENT,3972.39,18773.1021875,572.395235026
"MULTIPOLYGON (((-97.7491130048412 30.17516902195782, -97.74888373986362 30.17498287251566, -97.74905843916447 30.1747828760335, -97.74933080390126 30.17492589011218, -97.749293741469 30.174980148300094, -97.74927898801234 30.174999102699473, -97.74926337207997 30.17502079000372, -97.74924624974062 30.17503969658023, -97.74922833447532 30.175058587148044, -97.74920962826099 30.17507746174671, -97.74919020460499 30.175093571543005, -97.7491130048412 30.17516902195782)))",2007190645,TRAVIS COUNTY DOCUMENT,3972.44,10373.51,403.516614797
"MULTIPOLYGON (((-97.74694046950638 30.173521709838134, -97.74676764235458 30.173474212674034, -97.74686336291106 30.17320936598067, -97.74716652715482 30.173295250447147, -97.74706922548545 30.173560065409642, -97.74694046950638 30.173521709838134)))",2005083462,TRAVIS COUNTY DOCUMENT,3666.93,10126,403.115562984
