NCESSCH,School Name,School Year,Number of Applications,lastUpdated,recordId
292187501219,NEW BLOOMFIELD HIGH,2018,32,06/29/2018 02:33:00 AM,2921875012192018
291860001014,LICKING HIGH,2018,23,06/29/2018 02:33:00 AM,2918600010142018
292843001757,SOUTH CALLAWAY HIGH,2018,42,06/29/2018 02:33:00 AM,2928430017572018
292331001342,OTTERVILLE HIGH,2018,6,06/29/2018 02:33:00 AM,2923310013422018
292685001624,LAFAYETTE SR. HIGH,2018,287,06/29/2018 02:33:00 AM,2926850016242018
291314000556,GRANDVIEW SR. HIGH,2018,138,06/29/2018 02:33:00 AM,2913140005562018
292112001162,MONETT HIGH,2018,79,06/29/2018 02:33:00 AM,2921120011622018
292194001223,NEW FRANKLIN MIDDLE-HIGH,2018,10,06/29/2018 02:33:00 AM,2921940012232018
292358000459,FERN RIDGE HIGH,2018,*,06/29/2018 02:33:00 AM,2923580004592018
290612000149,BUFFALO HIGH,2018,49,06/29/2018 02:33:00 AM,2906120001492018
292250001233,NIANGUA HIGH,2018,7,06/29/2018 02:33:00 AM,2922500012332018
292214001229,NEWBURG HIGH,2018,21,06/29/2018 02:33:00 AM,2922140012292018
291830002614,HILLTOP SCHOOL,2018,*,06/29/2018 02:33:00 AM,2918300026142018
292565001508,PUXICO HIGH,2018,25,06/29/2018 02:33:00 AM,2925650015082018
290817000219,CASSVILLE HIGH,2018,86,06/29/2018 02:33:00 AM,2908170002192018
290564000109,BOURBON HIGH SCHOOL,2018,26,06/29/2018 02:33:00 AM,2905640001092018
291854001011,LIBERTY HIGH,2018,204,06/29/2018 02:33:00 AM,2918540010112018
290000901364,EXCEL SCHOOL,2018,*,06/29/2018 02:33:00 AM,2900009013642018
A0701425,PARK AVENUE CHRISTIAN SCHOOL,2018,*,06/29/2018 02:33:00 AM,A07014252018
292676001604,NORTH TECHNICAL,2018,53,06/29/2018 02:33:00 AM,2926760016042018
00755889,LOGOS SCHOOL,2018,*,06/29/2018 02:33:00 AM,007558892018
A1101347,ACE LEARNING CENTERS,2018,*,06/29/2018 02:33:00 AM,A11013472018
291563000741,NORTH DAVIESS HIGH,2018,*,06/29/2018 02:33:00 AM,2915630007412018
290873000257,CHILHOWEE HIGH,2018,*,06/29/2018 02:33:00 AM,2908730002572018
291619000749,JEFFERSON CITY HIGH,2018,243,06/29/2018 02:33:00 AM,2916190007492018
292928003231,COLLEGIATE SCHOOL OF MED/BIO,2018,34,06/29/2018 02:33:00 AM,2929280032312018
292533001461,PLEASANT HILL HIGH,2018,97,06/29/2018 02:33:00 AM,2925330014612018
290643000161,CABOOL HIGH,2018,29,06/29/2018 02:33:00 AM,2906430001612018
292928001882,BEAUMONT CTE HIGH SCHOOL,2018,*,06/29/2018 02:33:00 AM,2929280018822018
292037001080,MARQUAND-ZION HIGH,2018,*,06/29/2018 02:33:00 AM,2920370010802018
290712000186,CENTRAL HIGH,2018,106,06/29/2018 02:33:00 AM,2907120001862018
290603000145,BRUNSWICK HIGH,2018,10,06/29/2018 02:33:00 AM,2906030001452018
