the_geom,OBJECTID,REGULATING_PLAN_SUBDISTRICT_ID,PLAN_NAME,PLAN_TYPE,SUBDISTRICT_MAP,MAX_FAR_BY_RIGHT,MAX_FAR_WITH_BONUS,MINIMUM_HEIGHT,MAX_HEIGHT_WITH_BONUS,MINIMUM_DENSIT,MAXIMUM_DENSITY,MAX_DENSITY_WITH_BONUS,MAXIMUM_IMPERVIOUS_COVER,MINIMUM_LOT_SIZE_SQFT,MINIMUM_LOT_WIDTH_FT,MIN_SETBACK_INTERIOR_SIDE_YRD,MAX_SETBACK_REAR_YRD,MAX_BLDG_COVERAGE_PCT,HYPERLINK_URL,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,HUB,Shape__Area,Shape__Length
"MULTIPOLYGON (((-97.724520001753 30.242768351887, -97.724572059204 30.242684670303, -97.725172744674 30.242970355319, -97.725101318633 30.243082163137, -97.724928105204 30.242998028986, -97.724880532609 30.242973972929, -97.724835892746 30.24294599724, -97.724753775401 30.242888982528, -97.724709601254 30.242860966649, -97.72466359995 30.242835264149, -97.724520001753 30.242768351887)))",230,1289,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:38:10 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,8782.134765625,514.014640067636
"MULTIPOLYGON (((-97.719434426763 30.337083846489, -97.719585620401 30.336828394629, -97.719862603443 30.3369624818, -97.719862205757 30.336963107144, -97.719693602552 30.337247963938, -97.719438759784 30.337086603068, -97.719434426763 30.337083846489)))",1178,536,LJ,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,11057.18359375,422.442379858541
"MULTIPOLYGON (((-97.700244291182 30.225002839379, -97.698788076045 30.227024814395, -97.69871104557 30.227131786721, -97.698510407811 30.227018965308, -97.698378178544 30.226944597735, -97.69824888059 30.226871913655, -97.698113563478 30.226795832781, -97.697982051581 30.226721891922, -97.697852537521 30.226649037854, -97.697720495551 30.226574811498, -97.697586177579 30.226499273071, -97.69745157799 30.226423590646, -97.697311114168 30.226344624652, -97.697175330699 30.226268285016, -97.697053553201 30.226199797906, -97.696919890136 30.226124629572, -97.696783607999 30.226048004029, -97.69670061863 30.226001932589, -97.696789272182 30.225921741469, -97.698667866413 30.224219928969, -97.700244291182 30.225002839379)))",522,914,ERC,Regulating Plan,ERCNMU,1:1,,50,Not Bonus Eligible,,,,80%,"1,600 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 09:15:38 AM +0000,VanallenC,11/20/2018 01:46:11 PM +0000,,595017.955078125,3140.910573066
"MULTIPOLYGON (((-97.732587683488 30.265690841522, -97.732449679163 30.266020832561, -97.732416650651 30.266011911087, -97.732265905541 30.265962095176, -97.732408661526 30.265632200781, -97.732554729126 30.265679171245, -97.732587683488 30.265690841522)))",1088,115,PS,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,7844.01171875,378.095536608239
"MULTIPOLYGON (((-97.731839059025 30.265840665276, -97.731939912161 30.26562543497, -97.732000468251 30.265494647988, -97.732058534002 30.265515079254, -97.732131493548 30.265541313545, -97.732213161603 30.265567724584, -97.732054128062 30.26591379036, -97.731971742143 30.265884614307, -97.73195764001 30.26587882731, -97.731900291674 30.26586116091, -97.731839059025 30.265840665276)))",1083,129,PS,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,9797.736328125,416.441947309841
"MULTIPOLYGON (((-97.718229601863 30.390875743817, -97.718235693302 30.390855854726, -97.718242237202 30.390834480563, -97.71825014031 30.390808622348, -97.71828780337 30.390685651474, -97.718307365164 30.390621800967, -97.718327487217 30.390555982118, -97.718327693978 30.390555381757, -97.718340134677 30.390557560051, -97.718352540426 30.390559875691, -97.718364945135 30.390562191308, -97.718377318918 30.390564534267, -97.718391648153 30.390567273511, -97.718402094146 30.390569274887, -97.71840534577 30.390569890695, -97.718414497672 30.39057167259, -97.718423774999 30.390573512084, -97.718426868192 30.390574097591, -97.718439237978 30.390576549647, -97.718451608047 30.390579029681, -97.718463944827 30.390581509035, -97.718476314139 30.390584017023, -97.718488649453 30.390586550486, -97.718500985025 30.390589112828, -97.718513320623 30.390591674267, -97.718525654423 30.390594263641, -97.718537988529 30.390596880091, -97.71855028963 30.390599523839, -97.718562590731 30.390602167587, -97.718574922614 30.390604866101, -97.718587222224 30.390607564859, -97.718599490627 30.39061026298, -97.718611788747 30.390613016749, -97.718624055683 30.390615768979, -97.718636353071 30.390618549801, -97.718651203266 30.390621961056, -97.718653567974 30.390622503739, -97.718754555748 30.390645740063, -97.718754775838 30.390645799592, -97.718734447299 30.39071221887, -97.718714919511 30.390776015087, -97.718697026766 30.390834481046, -97.71865128814 30.390983856287, -97.718645545104 30.391002607413, -97.718645162316 30.391003864708, -97.7185105268 30.39096140551, -97.718249027408 30.390878899171, -97.71823017049 30.390875847447, -97.718229601863 30.390875743817)))",1230,644,NBG,Regulating Plan,TOD,Figure 4-2,Figure 4-3,Two Stories,Figure 4-5,None,None,Waived with Bonus,Figure 4-6,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,17718.013671875,533.05399193239
"MULTIPOLYGON (((-97.715093596846 30.389594200396, -97.715093628055 30.389594201033, -97.715127141626 30.389601981085, -97.715159108939 30.389607061316, -97.715181299174 30.389610044366, -97.715191257346 30.389611375529, -97.715208305288 30.389613263751, -97.715223488327 30.389614948783, -97.715255835928 30.3896177538, -97.715288235628 30.389619790166, -97.715288299085 30.389619791461, -97.715320719674 30.389621058538, -97.715353223873 30.389621584678, -97.715385717494 30.389621312011, -97.715418200034 30.389620297377, -97.715450641068 30.389618511279, -97.715483006241 30.389615953919, -97.715515266424 30.389612624701, -97.71552258791 30.3896117012, -97.715615929519 30.390186454111, -97.71561215477 30.390187587144, -97.714920945766 30.390393346129, -97.714921053853 30.390392853846, -97.715093596846 30.389594200396)))",566,650,NBG,Regulating Plan,TOD,Figure 4-2,Figure 4-3,Two Stories,Figure 4-5,None,None,Waived with Bonus,Figure 4-6,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,43248.568359375,874.72276913849
"MULTIPOLYGON (((-97.740462153008 30.390524836241, -97.740188917808 30.388823166797, -97.740729184399 30.388759839515, -97.741280975164 30.389833796841, -97.741281457684 30.389834742323, -97.740985394771 30.389950463468, -97.740986072177 30.389954767817, -97.74106904016 30.390486741135, -97.741069121516 30.390487238168, -97.741065812256 30.390487638718, -97.741053270262 30.390489172848, -97.741040698826 30.390490679311, -97.741028126373 30.39049218485, -97.741015554624 30.390493664234, -97.741002983938 30.390495142735, -97.740990412212 30.390496621215, -97.740977842253 30.390498072658, -97.740965240797 30.390499495492, -97.740952670524 30.390500919856, -97.740940100276 30.390502343317, -97.740927499545 30.390503739091, -97.740914931815 30.390505107558, -97.740902330044 30.390506503308, -97.740889730791 30.390507844065, -97.740877163812 30.39050918457, -97.740864564559 30.390510525324, -97.740851966033 30.390511839021, -97.740839366491 30.390513151795, -97.740826768716 30.390514437532, -97.740814170941 30.390515723268, -97.740801573917 30.390516981045, -97.740788944619 30.390518239071, -97.740776348322 30.39051946979, -97.740763752049 30.390520699606, -97.74075112527 30.390521902636, -97.74074991588 30.390522015353, -97.740738529723 30.390523105394, -97.740733598801 30.390523583251, -97.740725901903 30.390524308401, -97.740713307084 30.3905254841, -97.740700680767 30.390526631189, -97.740688055465 30.3905277792, -97.740675429875 30.39052889923, -97.740653232519 30.390530870744, -97.740462153008 30.390524836241)))",1252,674,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,139307.884765625,1716.46416839578
"MULTIPOLYGON (((-97.719173596123 30.334218147982, -97.719225741727 30.3341367003, -97.719277887267 30.334055251695, -97.719373957748 30.333903190085, -97.719423067904 30.33382599097, -97.719475361216 30.333746294059, -97.719565263012 30.333789071767, -97.719920995813 30.333958347013, -97.719823267171 30.334113126481, -97.719724671531 30.334270637668, -97.719622039889 30.334430816874, -97.719212761229 30.33423544865, -97.719173596123 30.334218147982)))",956,396,LJ,Regulating Plan,TODLWF,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,17 Dwelling Units/acre although LJ differs by street,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,31553.943359375,713.853475622462
"MULTIPOLYGON (((-97.710840066246 30.281614966057, -97.710835195726 30.281590113165, -97.711149135518 30.28154158436, -97.711149453943 30.281541535832, -97.711400859438 30.281502674116, -97.711413603002 30.281500184491, -97.711426271901 30.281500443695, -97.711437999666 30.281506184357, -97.71144814382 30.281511892618, -97.711455881301 30.281519889622, -97.711460772608 30.281529973277, -97.711621032631 30.282296395856, -97.711621651501 30.282299296031, -97.711622144677 30.28231030755, -97.71161860413 30.282323986904, -97.711611178137 30.282334836411, -97.711601452401 30.282342888512, -97.711589017379 30.282348024741, -97.7115755663 30.282350912284, -97.711320533218 30.282390195556, -97.711007846461 30.282438006944, -97.7108694835 30.281759274247, -97.710840066246 30.281614966057)))",933,452,MLK,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/mlk_regplan_revised.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,62229.171875,1011.47299814065
