the_geom,OBJECTID,REGULATING_PLAN_SUBDISTRICT_ID,PLAN_NAME,PLAN_TYPE,SUBDISTRICT_MAP,MAX_FAR_BY_RIGHT,MAX_FAR_WITH_BONUS,MINIMUM_HEIGHT,MAX_HEIGHT_WITH_BONUS,MINIMUM_DENSIT,MAXIMUM_DENSITY,MAX_DENSITY_WITH_BONUS,MAXIMUM_IMPERVIOUS_COVER,MINIMUM_LOT_SIZE_SQFT,MINIMUM_LOT_WIDTH_FT,MIN_SETBACK_INTERIOR_SIDE_YRD,MAX_SETBACK_REAR_YRD,MAX_BLDG_COVERAGE_PCT,HYPERLINK_URL,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,HUB,Shape__Area,Shape__Length
"MULTIPOLYGON (((-97.715543966506 30.341922425358, -97.715969785569 30.342128857876, -97.715886975097 30.342259185026, -97.715685753191 30.342170048105, -97.715685819186 30.342169954706, -97.715528535134 30.3420999645, -97.715512863405 30.342089688928, -97.715496922422 30.34207472917, -97.715495157768 30.342071478972, -97.715488295293 30.342056732525, -97.715484450031 30.342038336309, -97.715486000438 30.342020958914, -97.715491626026 30.342008981364, -97.715494365682 30.342003636727, -97.715514792078 30.341969659748, -97.715543966506 30.341922425358)))",908,369,LJ,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,8581.0859375,409.168341851383
"MULTIPOLYGON (((-97.717687820851 30.334462883202, -97.71791799354 30.334373626725, -97.718146051185 30.334285205593, -97.718238653561 30.334465867802, -97.717779630271 30.334643530484, -97.717687820851 30.334462883202)))",635,56,LJ,Regulating Plan,TODLWF,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,17 Dwelling Units/acre although LJ differs by street,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,11385.837890625,460.621734175598
"MULTIPOLYGON (((-97.725870654391 30.242866821023, -97.725865115371 30.242864153743, -97.725960349135 30.242715084208, -97.726004655024 30.242736422287, -97.725909422345 30.242885491875, -97.725870654391 30.242866821023)))",183,1227,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:34:03 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,991.884765625,155.991528036369
"MULTIPOLYGON (((-97.728300659758 30.264344092534, -97.728352066646 30.264229622348, -97.728483088462 30.264276291631, -97.728430964203 30.264387996939, -97.728300659758 30.264344092534)))",1097,162,PS,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,1965.755859375,177.35376954038
"MULTIPOLYGON (((-97.694174495463 30.220379707068, -97.693964374141 30.220262309992, -97.694254707693 30.219998647402, -97.694466649993 30.22011894287, -97.694592171945 30.22019028808, -97.694303974054 30.220451134096, -97.694174495463 30.220379707068)))",496,985,ERC,Regulating Plan,ERCCOMU,2:1,,60',160',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 09:00:49 AM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,16531.666015625,518.869866383508
"MULTIPOLYGON (((-97.707302203802 30.397443344439, -97.70775824116 30.396745114887, -97.707914024454 30.395992443431, -97.707748434015 30.395966969732, -97.707875449917 30.395347873408, -97.708250245556 30.395531978789, -97.708164138239 30.395697440242, -97.707944926459 30.396752125819, -97.708316785937 30.396810066889, -97.708651936386 30.397450693411, -97.708943027619 30.397336978696, -97.708950863224 30.39735218301, -97.709001692864 30.397332320585, -97.709097337793 30.397513518601, -97.708484302467 30.398451152341, -97.708320865127 30.398370908236, -97.708023083056 30.398487866738, -97.707216931058 30.398091707191, -97.707521341671 30.397626521687, -97.707428692609 30.397505506688, -97.707302203802 30.397443344439)))",1266,833,NBG,Regulating Plan,NBGNR,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,271064.46484375,3154.49144020395
"MULTIPOLYGON (((-97.726636610182 30.241662585859, -97.726433938242 30.241396353422, -97.726581140981 30.241165157736, -97.726785204089 30.241438486295, -97.726693556009 30.241577246084, -97.726636610182 30.241662585859)))",124,1143,ERC,Regulating Plan,ERCCOMU,2:1,,60',120',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:44:50 PM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,9903.8203125,424.652700335091
"MULTIPOLYGON (((-97.733383589508 30.266314821605, -97.733526119089 30.265993172455, -97.733680030591 30.266043051113, -97.733817464926 30.26608709461, -97.733954108742 30.266131121919, -97.733820213881 30.266455697048, -97.733678820589 30.26641157324, -97.733542177541 30.266367545657, -97.733383589508 30.266314821605)))",1077,121,PS,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,18295.615234375,541.908734794332
"MULTIPOLYGON (((-97.716730857464 30.379364584641, -97.717413762963 30.379640788253, -97.71741420264 30.37964096235, -97.717412109089 30.379646777723, -97.716646318537 30.38083519033, -97.716645955146 30.380835733352, -97.716258086622 30.380652126773, -97.716239632362 30.380640143332, -97.716231453841 30.380631753348, -97.716227941989 30.380626703427, -97.716224920871 30.380622324039, -97.716221594408 30.38061516008, -97.716220185159 30.380612132814, -97.71621892379 30.380607184752, -97.716217398033 30.380601432714, -97.716216618084 30.380590442401, -97.716217866776 30.380579521447, -97.716221104875 30.380568888325, -97.716226231579 30.380558844168, -97.716357498546 30.380349605753, -97.716366156924 30.380335673217, -97.716368279262 30.380332251483, -97.716374253074 30.38032255396, -97.716380163128 30.380312828066, -97.71638604271 30.380303074479, -97.71639185884 30.380293319598, -97.71639764528 30.380283508165, -97.716403398715 30.380273724031, -97.716409121372 30.380263885128, -97.716414781641 30.38025404405, -97.716420409663 30.380244202314, -97.716425975726 30.38023430427, -97.716431510558 30.380224406491, -97.716431676889 30.380224106694, -97.716436981963 30.380214506516, -97.716442422613 30.38020455087, -97.716443790706 30.380202076557, -97.716447831299 30.380194622544, -97.716453176985 30.380184637889, -97.716458492504 30.380174652619, -97.716463776536 30.380164638733, -97.716468996076 30.380154623532, -97.716474186183 30.380144580659, -97.716479311798 30.380134536471, -97.716484406966 30.380124463688, -97.716489471661 30.380114363214, -97.716494471864 30.380104261423, -97.716499441595 30.38009413194, -97.716504347898 30.38008400026, -97.716509223729 30.380073840889, -97.716514036109 30.380063680222, -97.716518817 30.380053490941, -97.716523567419 30.380043273967, -97.716528253346 30.380033055677, -97.716532909107 30.380022836772, -97.71653750111 30.380012589495, -97.716540576795 30.380005638257, -97.716542062666 30.380002313625, -97.716545342567 30.37999481702, -97.716546559729 30.379992036438, -97.716551026627 30.379981758636, -97.71655546277 30.379971425163, -97.716558749375 30.379963681451, -97.716559834728 30.379961117452, -97.716564175174 30.379950782026, -97.716568453942 30.379940418272, -97.716572700463 30.37993005386, -97.716576883558 30.379919687252, -97.71658103514 30.37990929293, -97.716582398585 30.379905800669, -97.716585125045 30.37989887028, -97.716589182704 30.379888446971, -97.71659320918 30.379878022124, -97.7165971719 30.379867568906, -97.716601072207 30.379857114415, -97.716604941003 30.37984663221, -97.716608778592 30.379836149368, -97.716612552755 30.37982566433, -97.716616295381 30.379815152481, -97.716619976378 30.379804610499, -97.716621214411 30.379801060636, -97.716623623331 30.379794095796, -97.716627240851 30.379783553421, -97.716630763434 30.379772981137, -97.716633112597 30.379765878822, -97.716634285991 30.379762409755, -97.716637745121 30.379751836176, -97.716641141534 30.379741234247, -97.716644505725 30.379730630759, -97.716647838686 30.379720027536, -97.716651109994 30.379709395083, -97.716654316786 30.379698762215, -97.716657492116 30.379688099831, -97.716660637254 30.379677437733, -97.716663717902 30.379666774319, -97.716666735098 30.379656109612, -97.716669753052 30.379645416946, -97.716672676349 30.37963472235, -97.716675569175 30.379624000062, -97.716678429755 30.379613277115, -97.716681225843 30.379602552854, -97.71668399179 30.379591827075, -97.716686693956 30.379581073826, -97.716688797196 30.379572563338, -97.716689333735 30.379570318403, -97.716691972473 30.379559562959, -97.716694518329 30.379548778549, -97.716696741294 30.379539307693, -97.71669703014 30.379538021418, -97.716699512263 30.379527207735, -97.716701930176 30.379516420716, -97.716704316884 30.379505633059, -97.716705043892 30.379502237, -97.716706640898 30.379494816152, -97.716708932643 30.379483999488, -97.716710944498 30.379474139022, -97.71671116172 30.379473152671, -97.716713327603 30.379462333439, -97.716715461998 30.379451485593, -97.716717564148 30.379440637089, -97.716719602871 30.379429786389, -97.716721610364 30.379418935954, -97.716723555141 30.379408057169, -97.716725436491 30.379397176188, -97.71672728661 30.379386295473, -97.716730819248 30.379364804035, -97.716730857464 30.379364584641)))",1290,688,NBG,Regulating Plan,NBGCI,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,5 ft,5 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,90541.224609375,1379.65793211334
"MULTIPOLYGON (((-97.718333221616 30.238679271498, -97.718505095543 30.238761109952, -97.718675632059 30.238491096014, -97.718768669188 30.238541181151, -97.719253719 30.238772951867, -97.719265066274 30.238779673998, -97.719274914472 30.238787988853, -97.719282982907 30.238797669628, -97.719288964003 30.238808407764, -97.719292739954 30.238819871499, -97.719294161087 30.238831754594, -97.719293205318 30.238843644225, -97.719289881889 30.238855237393, -97.719284329685 30.238866125465, -97.719171599674 30.239043808227, -97.718553783152 30.240022149828, -97.717732211299 30.2396309984, -97.718333221616 30.238679271498)))",503,1020,ERC,Regulating Plan,ERCUR,,,,Not Bonus Eligible,,,,,,,,,,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:24:33 PM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,142446.341796875,1592.55290092671
"MULTIPOLYGON (((-97.716959091324 30.240877345782, -97.714454603481 30.239681745162, -97.714502878878 30.23960228448, -97.714512775259 30.239585434293, -97.714527400295 30.239560072409, -97.714571531168 30.239480416886, -97.714572598281 30.239478430985, -97.71457366719 30.239476417148, -97.714574766196 30.239474404828, -97.714575835105 30.239472390991, -97.714576902951 30.239470378034, -97.71457797186 30.239468364197, -97.714620167757 30.239386441211, -97.714653923753 30.239316750208, -97.714697599114 30.239220005752, -97.714750324211 30.239090908633, -97.714797518761 30.23896018701, -97.714829534409 30.238860040543, -97.714849484232 30.238791332357, -97.714872572383 30.238703848264, -97.714892195049 30.238620335833, -97.715053563366 30.237890885341, -97.715981815412 30.237457313131, -97.716050662727 30.2374298142, -97.716124923702 30.23741062094, -97.716200722721 30.237396603328, -97.716277551801 30.237387831291, -97.716354933716 30.237384351925, -97.71643239266 30.23738623672, -97.716509421457 30.237393449144, -97.716585579198 30.237405923344, -97.717063695433 30.23763833061, -97.717952613458 30.238124565687, -97.718508787573 30.23840130252, -97.718333221616 30.238679271498, -97.717732211299 30.2396309984, -97.718553783152 30.240022149828, -97.718478133925 30.240142912931, -97.717668819268 30.239756440026, -97.716959091324 30.240877345782)))",504,1021,ERC,Regulating Plan,ERCUR,,,,Not Bonus Eligible,,,,,,,,,,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:24:33 PM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,993007.65234375,4432.3968566077
"MULTIPOLYGON (((-97.732920277332 30.248496353214, -97.733291132688 30.248086103528, -97.73330994918 30.248089675207, -97.733329186922 30.248090533067, -97.733348338266 30.248088693875, -97.733366866147 30.248084147633, -97.733384321891 30.248077075631, -97.733400193801 30.248067606444, -97.733414127835 30.248056035173, -97.733425670231 30.248042654892, -97.733434559968 30.248027818535, -97.733446634733 30.248002926151, -97.733446702541 30.248002762399, -97.733464625049 30.248010084091, -97.733700811914 30.248106958508, -97.733645751355 30.248202351133, -97.733256472171 30.248650952803, -97.733088537408 30.24857113934, -97.732920277332 30.248496353214)))",291,1163,ERC,Regulating Plan,ERCCOMU,2:1,,60',Not Bonus Eligible,,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:46:21 PM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,26859.787109375,706.245673601978
"MULTIPOLYGON (((-97.725909532714 30.242579220868, -97.725940269287 30.24253114164, -97.726111932734 30.242613867702, -97.72608119622 30.242661946971, -97.725909532714 30.242579220868)))",221,1277,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:34:56 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,1239.869140625,163.991066980254
"MULTIPOLYGON (((-97.732906703751 30.266786454727, -97.733029021955 30.266450644166, -97.73316336386 30.266491875259, -97.733041837761 30.266827702016, -97.732906703751 30.266786454727)))",794,354,PS,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,5772.365234375,346.316201169242
"MULTIPOLYGON (((-97.717703062185 30.230243760761, -97.717744832498 30.230175002468, -97.717813586646 30.230061827804, -97.717973169406 30.230133845084, -97.718113115562 30.230199960529, -97.718000499663 30.230381934048, -97.717967405439 30.230366571741, -97.717703062185 30.230243760761)))",543,1087,ERC,Regulating Plan,ERCUR,,,,Not Bonus Eligible,,,,,,,,,,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:20:22 PM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,8035.677734375,363.5870125902
"MULTIPOLYGON (((-97.708966071893 30.280539412044, -97.708967772882 30.280546790192, -97.708972341724 30.280561763487, -97.708978282264 30.28057637957, -97.708985565562 30.280590555734, -97.708994131984 30.2806041527, -97.709003920655 30.280617115078, -97.709014870166 30.280629330622, -97.709026949041 30.280640771617, -97.709040035554 30.280651326385, -97.709054067561 30.280660909736, -97.709068917226 30.280669519953, -97.709084526234 30.280677045755, -97.709095464122 30.280681505367, -97.709101162569 30.280684070133, -97.709107827527 30.280688332156, -97.709113548819 30.280693536759, -97.709118139686 30.28069951679, -97.70912147787 30.280706103716, -97.709123246955 30.28071216312, -97.709295522907 30.281563903046, -97.708700818441 30.281657558021, -97.708701048261 30.281652585373, -97.708705290041 30.281573516413, -97.708710955681 30.281494504589, -97.70871804548 30.281415576977, -97.708726527248 30.281336732015, -97.708736399435 30.281258026519, -97.708747661328 30.281179486642, -97.708760345871 30.281101085988, -97.708774420088 30.281022851855, -97.708789882505 30.280944838352, -97.708806702706 30.280867016884, -97.708824941488 30.280789445542, -97.708844535791 30.280712149204, -97.708865518585 30.280635100571, -97.70888785479 30.280558327799, -97.708889945879 30.280551357571, -97.708966071893 30.280539412044)))",65,472,MLK,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/mlk_regplan_revised.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,50077.859375,1020.54827901197
"MULTIPOLYGON (((-97.700822860292 30.222868980152, -97.701258114117 30.223068659481, -97.700844309904 30.223704369368, -97.700495860818 30.223544231858, -97.700760176615 30.223226223668, -97.700597229874 30.223141408494, -97.70066963605 30.223054004955, -97.700822860292 30.222868980152)))",277,1188,ERC,Regulating Plan,ERCCOMU,2:1,,60',120',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 09:16:57 AM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,36528.28125,870.253974903666
"MULTIPOLYGON (((-97.701939196061 30.223566496564, -97.702145100263 30.223663771447, -97.701838385754 30.22414777586, -97.701623394851 30.224051578867, -97.701939196061 30.223566496564)))",34,955,ERC,Regulating Plan,ERCCOMU,2:1,,60',120',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 09:21:00 AM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,15171.5859375,554.00180189223
"MULTIPOLYGON (((-97.717572332201 30.342421994629, -97.718048917127 30.341676789778, -97.718081964628 30.341625096816, -97.718685379195 30.341908946291, -97.718923778636 30.341962543953, -97.718927771816 30.34189243609, -97.718757792564 30.341062319575, -97.718887760994 30.341042719431, -97.718930835482 30.340974370301, -97.719458067745 30.340137621209, -97.719919222386 30.339405714628, -97.719995379941 30.339595838891, -97.719952174815 30.339603815795, -97.720096476228 30.339964048317, -97.720139724248 30.339956183223, -97.720140045769 30.339956987453, -97.720240505135 30.339938716522, -97.720242046951 30.339943169455, -97.720243902839 30.339948432781, -97.720245725456 30.339953695429, -97.720247581346 30.339958958756, -97.720249403939 30.339964222306, -97.720251227596 30.339969484975, -97.720253051254 30.339974747644, -97.720254874154 30.339980038271, -97.72025666558 30.339985300283, -97.720258489238 30.339990562953, -97.720260279907 30.339995852922, -97.720262071333 30.340001114935, -97.720263894992 30.340006377604, -97.720265685661 30.340011667573, -97.720267445896 30.34001692895, -97.720269236566 30.34002221892, -97.7202710283 30.340027508009, -97.720272787471 30.340032770266, -97.720274546973 30.340038058698, -97.720276338684 30.340043348689, -97.72027809788 30.340048610044, -97.720279857358 30.340053899378, -97.720281585645 30.340059188076, -97.720283344108 30.340064476487, -97.720285072395 30.340069765185, -97.720286830835 30.340075054497, -97.720288559146 30.340080342294, -97.720290286394 30.34008563097, -97.720292013642 30.340090919647, -97.720293741929 30.340096208345, -97.720295469202 30.34010149612, -97.720297164525 30.340106811217, -97.720298891773 30.340112099894, -97.720300587829 30.340117387935, -97.720302283153 30.340122703031, -97.72030397921 30.340127991072, -97.720305675291 30.340133278212, -97.720307369551 30.340138594189, -97.72030903444 30.340143880692, -97.720310729764 30.340149195789, -97.720312392832 30.34015451113, -97.720314056682 30.340159797613, -97.720315720815 30.340165112073, -97.720317383883 30.340170427415, -97.720319047734 30.340175713897, -97.720320711867 30.340181028358, -97.720322343744 30.340186343064, -97.720324006837 30.340191657503, -97.720325638739 30.340196971307, -97.72032727064 30.340202285111, -97.720328902542 30.340207598915, -97.720330534444 30.340212912718, -97.720332165282 30.340218227403, -97.720333765992 30.340223540571, -97.720335397894 30.340228854375, -97.720336997565 30.340234167522, -97.720338597518 30.340239508647, -97.720340197189 30.340244821794, -97.720341796859 30.340250134941, -97.720343396813 30.340255476066, -97.720344996484 30.340260789213, -97.720346564963 30.340266101724, -97.720348164917 30.340271442849, -97.720349732357 30.340276755339, -97.720351300079 30.340282095808, -97.720352867826 30.340287435375, -97.720354436306 30.340292747886, -97.720355972836 30.340298087718, -97.720357540559 30.340303428187, -97.720359076807 30.340308740041, -97.72036064453 30.340314080509, -97.720362180046 30.340319419419, -97.720363716577 30.340324759252, -97.720365252068 30.340330099063, -97.720366756392 30.340335437337, -97.720368293681 30.340340749213, -97.72036979798 30.340346088388, -97.720371333472 30.3403514282, -97.720372837039 30.340356794431, -97.720374341364 30.340362132705, -97.720375845664 30.340367471881, -97.720377349964 30.340372811057, -97.720378822057 30.340378148674, -97.720380326357 30.34038348785, -97.720381798733 30.340388853445, -97.720383303034 30.340394192621, -97.720384775127 30.340399530238, -97.720386247478 30.340404896735, -97.720387719572 30.340410234352, -97.720389159716 30.340415599291, -97.720390632825 30.340420937831, -97.720392072969 30.34042630277, -97.720393513847 30.340431640653, -97.720394985184 30.340437006227, -97.720396425328 30.340442371166, -97.720397866206 30.340447709049, -97.720399275159 30.340453073352, -97.720400715304 30.340458438291, -97.720402123217 30.340463802572, -97.720403564095 30.340469140455, -97.720404973048 30.340474504758, -97.720406380962 30.34047986904, -97.720407789915 30.340485233343, -97.720409197829 30.340490597625, -97.72041057455 30.340495961271, -97.72041198348 30.340501326476, -97.720413360201 30.340506690122, -97.720414736923 30.340512053768, -97.720416145877 30.340517418071, -97.7204175226 30.340522781717, -97.720418866332 30.340528172663, -97.720420243055 30.340533536309, -97.720421619777 30.340538899955, -97.720422965307 30.340544262966, -97.720424309041 30.340549653912, -97.720425685764 30.340555017558, -97.720427031294 30.340560380568, -97.720428343836 30.340565770879, -97.720429689366 30.34057113389, -97.720431033125 30.340576523934, -97.720432346424 30.340581886288, -97.720433691198 30.340587277255, -97.72043500374 30.340592667566, -97.720436317039 30.34059802992, -97.720437629606 30.340603419329, -97.720438910955 30.340608809004, -97.720440224255 30.340614171357, -97.720458561951 30.340692110981, -97.72045921592 30.340695006411, -97.720460466079 30.340700395451, -97.720461682967 30.340705783812, -97.720462900161 30.34071119925, -97.720464118113 30.340716586731, -97.720465335001 30.340721975092, -97.720466552196 30.34072739053, -97.720467769084 30.340732778892, -97.720468955087 30.340738193694, -97.720470140807 30.340743580518, -97.720471357695 30.340748968879, -97.720472543698 30.340754383682, -97.720473728661 30.340759798463, -97.720474882125 30.340765185532, -97.720476068129 30.340770600334, -97.720477253849 30.340775987158, -97.720478406556 30.340781402184, -97.720479560328 30.34078681633, -97.720480714099 30.340792230476, -97.720481867588 30.340797616643, -97.72048302136 30.340803030788, -97.720484175132 30.340808444934, -97.720485296647 30.340813859324, -97.720486450419 30.34081927347, -97.720487572716 30.340824659001, -97.720488694255 30.34083007249, -97.720489815795 30.340835485979, -97.720490938351 30.34084090039, -97.720491076291 30.340841645835, -97.720491270632 30.340842613504, -97.718812945492 30.341095843002, -97.71897553371 30.341889833864, -97.71896842486 30.342015215708, -97.718667840901 30.341947644182, -97.718100716011 30.341680844738, -97.717614220988 30.342441554829, -97.717572332201 30.342421994629)))",974,429,LJ,Regulating Plan,TODHDR,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,25 Dwelling Units/acre,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.85,"2,500 SF",20 ft,0 ft,0 ft,0.85,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,162237.8515625,3797.84215801408
"MULTIPOLYGON (((-97.719735912574 30.394834008392, -97.720049769646 30.393949803371, -97.720039437733 30.393947034756, -97.720115536383 30.393733340597, -97.720135231688 30.393738279681, -97.720135515529 30.393738368479, -97.720171922475 30.393635888245, -97.72017237523 30.393628554131, -97.720178521084 30.393617210424, -97.720178987361 30.393616367199, -97.720260191375 30.39363452333, -97.720255684523 30.39364749578, -97.720253411836 30.393654078164, -97.720175006112 30.393880322231, -97.720175227275 30.393880380877, -97.720604943053 30.393991281425, -97.720660993363 30.394005735237, -97.720660649253 30.394006718109, -97.720641759617 30.3940598555, -97.720302068693 30.395042934234, -97.720300658009 30.39504697601, -97.720295342275 30.395058144431, -97.720291468378 30.395061778708, -97.720289123748 30.395063985932, -97.720275181958 30.395072695718, -97.720265547722 30.39507582737, -97.720252955492 30.395076836001, -97.720252924281 30.395076835366, -97.720231681124 30.395071617535, -97.720096280635 30.395006838419, -97.719842987906 30.394885668225, -97.719829019151 30.394878975178, -97.71974988089 30.394840755582, -97.719735912574 30.394834008392)))",1256,678,NBG,Regulating Plan,TOD,Figure 4-2,Figure 4-3,Two Stories,Figure 4-5,None,None,Waived with Bonus,Figure 4-6,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,78097.16015625,1354.84031515333
"MULTIPOLYGON (((-97.702215793233 30.223057116484, -97.701866437263 30.222901973003, -97.701945279553 30.222781752747, -97.702184386245 30.222418117349, -97.702570514024 30.222605317713, -97.702371053737 30.222905217144, -97.702260470113 30.223074542742, -97.702216942689 30.223056725922, -97.702215793233 30.223057116484)))",650,925,ERC,Regulating Plan,ERCNR,,,,65',,,,,,,,,,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 09:16:57 AM +0000,VanallenC,01/17/2018 11:13:23 AM +0000,,27856.25,678.552924722432
