Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2020†","Malaria, Cum 2020†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2020†","Measles§, Imported, Cum 2020†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Indigenous, Current week","Measles§, Indigenous, Current week, flag","Measles§, Indigenous, Previous 52 weeks Max†","Measles§, Indigenous, Previous 52 weeks Max†, flag","Measles§, Indigenous, Cum 2020†","Measles§, Indigenous, Cum 2020†, flag","Measles§, Indigenous, Cum 2019†","Measles§, Indigenous, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
VIRGINIA,2020,2,1,,6,,1,,2,,,-,1,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,,-,3,,1,,2,,,-,1,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,,-,1,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,,-,2,,1,,1,,,-,1,,,-,,-,,-,2,,,-,,-,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,9,,,-,1,,,-,1,,,-,,-,,-,5,,,-,,-,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,2,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
US RESIDENTS,2020,8,7,,70,,137,,192,,,-,8,,3,,14,,,-,86,,6,,198,,,US RESIDENTS,20200801,
US RESIDENTS,2020,3,6,,60,,26,,61,,,-,8,,,-,5,,,-,86,,,-,50,,,US RESIDENTS,20200301,
NEW ENGLAND,2020,3,1,,7,,5,,4,,,-,1,,,-,,-,,-,2,,,-,2,,,NEW ENGLAND,20200302,
CONNECTICUT,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,2,,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MAINE,2020,3,,-,3,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,3,1,,6,,4,,3,,,-,1,,,-,,-,,-,1,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,3,,-,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
VERMONT,2020,3,,-,1,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,3,,-,15,,1,,12,,,-,5,,,-,1,,,-,70,,,-,24,,,MIDDLE ATLANTIC,20200309,
NEW JERSEY,2020,3,,-,7,,1,,5,,,-,1,,,-,,-,,-,3,,,-,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW YORK,2020,3,,-,4,,,-,2,,,-,4,,,-,,-,,-,35,,,-,6,,NEW YORK,,20200311,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,4,,,-,1,,,-,2,,,-,,-,,NEW YORK CITY,20200312,
PENNSYLVANIA,2020,3,,-,9,,,-,5,,,-,2,,,-,,-,,-,66,,,-,18,,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,3,1,,9,,5,,6,,,-,2,,,-,,-,,-,17,,,-,1,,,EAST NORTH CENTRAL,20200314,
ILLINOIS,2020,3,,-,6,,1,,2,,,-,1,,,-,,-,,-,2,,,-,1,,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
INDIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
MICHIGAN,2020,3,,-,3,,,-,2,,,-,1,,,-,,-,,-,17,,,-,,-,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
OHIO,2020,3,1,,5,,4,,,-,,-,0,,,-,,-,,-,1,,,-,,-,OHIO,,20200318,POINT (-82.70936 40.415534)
WISCONSIN,2020,3,,-,2,,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,3,,-,5,,,-,3,,,-,1,,,-,,-,,-,1,,,-,,-,,WEST NORTH CENTRAL,20200320,
IOWA,2020,3,,-,3,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,IOWA,,20200321,POINT (-93.500061 42.074659)
KANSAS,2020,3,,-,1,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
MINNESOTA,2020,3,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
MISSOURI,2020,3,,-,3,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,MISSOURI,,20200324,POINT (-92.477244 38.3675)
NEBRASKA,2020,3,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
US RESIDENTS,2020,1,14,,70,,14,,15,,,-,8,,,-,4,,,-,86,,,-,3,,,US RESIDENTS,20200101,
