Reporting Area,MMWR Year,MMWR Week,"Pertussis§, Current week","Pertussis§, Current week, flag","Pertussis§, Previous 52 weeks Max†","Pertussis§, Previous 52 weeks Max†, flag","Pertussis§, Cum 2020†","Pertussis§, Cum 2020†, flag","Pertussis§, Cum 2019†","Pertussis§, Cum 2019†, flag","Plague, Current week","Plague, Current week, flag","Plague, Previous 52 weeks Max†","Plague, Previous 52 weeks Max†, flag","Plague, Cum 2020†","Plague, Cum 2020†, flag","Plague, Cum 2019†","Plague, Cum 2019†, flag","Poliomyelitis, paralytic, Current week","Poliomyelitis, paralytic, Current week, flag","Poliomyelitis, paralytic, Previous 52 weeks Max†","Poliomyelitis, paralytic, Previous 52 weeks Max†, flag","Poliomyelitis, paralytic, Cum 2020†","Poliomyelitis, paralytic, Cum 2020†, flag","Poliomyelitis, paralytic, Cum 2019†","Poliomyelitis, paralytic, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WEST VIRGINIA,2020,2,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
MISSISSIPPI,2020,2,,-,3,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
ARKANSAS,2020,2,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
MOUNTAIN,2020,2,17,,134,,35,,70,,,-,1,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200248,
IDAHO,2020,2,,-,17,,4,,3,,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,95,,,-,20,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
WYOMING,2020,2,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
CALIFORNIA,2020,2,,-,64,,3,,107,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
US TERRITORIES,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
KANSAS,2020,16,,-,3,,,-,36,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,20,,93,,112,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,11,,,-,85,,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,9,,33,,61,,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,17,,125,,809,,748,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,2,,14,,66,,59,,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,5,,4,,15,,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,,-,6,,16,,28,,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,10,,11,,69,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,10,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,17,,51,,377,,254,,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,15,,51,,129,,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,,-,5,,15,,28,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,,-,4,,10,,10,,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20201660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,16,9,,78,,480,,452,,,-,0,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20201628,
PENNSYLVANIA,2020,16,3,,50,,321,,101,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
UTAH,2020,16,,-,15,,43,,107,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,6,,21,,139,,136,,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,,-,5,,11,,6,,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,,-,14,,42,,47,,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201667,POINT (-66.414655 18.215692)
MAINE,2020,16,,-,13,,27,,169,,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20201604,POINT (-69.06137 45.117911)
TOTAL,2020,3,108,,433,,400,,866,,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL,20200370,
US RESIDENTS,2020,3,108,,433,,400,,866,,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,5,,,-,7,,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,11,,30,,19,,18,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,2,,86,,35,,205,,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,3,,63,,5,,10,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,2,,10,,11,,7,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,3,,28,,14,,35,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,6,,,-,5,,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,44,,5,,32,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,17,,,-,21,,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,1,,61,,1,,3,,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,4,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,4,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,24,,13,,38,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,2,,25,,7,,64,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,6,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,2,,18,,7,,18,,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,3,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,2,,14,,4,,18,,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,5,,,-,11,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,20,,2,,23,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,11,,,-,18,,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,9,,4,,11,,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,39,,112,,136,,179,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,1,,14,,8,,7,,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,5,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,1,,6,,4,,9,,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,11,,11,,15,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,10,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,38,,43,,119,,72,,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,15,,,-,26,,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,5,,1,,4,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,4,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,8,,58,,40,,86,,,-,0,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,16,,50,,58,,19,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,12,,1,,20,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,12,,21,,24,,26,,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,5,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,9,,1,,7,,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,2,,17,,6,,37,,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,2,,25,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,10,,13,,32,,19,,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,42,,3,,33,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,17,,4,,6,,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,18,,3,,32,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,5,,,-,17,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,15,,,-,19,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,2,,7,,3,,3,,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,3,,1,,3,,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,11,,,-,12,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,19,,10,,17,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,27,,80,,77,,74,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,64,,14,,147,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,5,,15,,20,,20,,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,95,,,-,32,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,2,,46,,21,,94,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,13,,,-,18,,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,22,,134,,65,,119,,,-,1,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200348,
INDIANA,2020,3,1,,11,,6,,10,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
VIRGINIA,2020,16,1,,43,,64,,48,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
ARIZONA,2020,16,6,,28,,260,,128,,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20201649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201664,
WISCONSIN,2020,16,,-,42,,55,,155,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,-,17,,21,,29,,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20201651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
MICHIGAN,2020,16,,-,21,,70,,119,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,1,,23,,97,,90,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,,-,15,,35,,49,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,,-,7,,28,,29,,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,3,,5,,14,,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,8,,2,,65,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,7,,11,,4,,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20201656,POINT (-107.55145 42.999627)
MISSOURI,2020,16,,-,19,,56,,83,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20201624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,16,8,,82,,473,,396,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20201609,
CALIFORNIA,2020,16,1,,65,,277,,698,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,16,,-,5,,15,,4,,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20201637,POINT (-80.613729 38.642579)
FLORIDA,2020,16,7,,22,,166,,95,,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20201631,POINT (-82.420978 28.260731)
MONTANA,2020,16,,-,95,,28,,86,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20201652,POINT (-109.645127 47.033521)
TOTAL,2020,4,109,,437,,638,,1130,,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL,20200470,
US RESIDENTS,2020,4,109,,437,,638,,1130,,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS,20200401,
NEW HAMPSHIRE,2020,4,,-,5,,,-,9,,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,15,,30,,34,,30,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200411,POINT (-75.59655 42.921241)
PACIFIC,2020,4,3,,86,,86,,251,,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200457,
WEST SOUTH CENTRAL,2020,4,2,,66,,8,,22,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200443,
NEBRASKA,2020,4,2,,10,,13,,10,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,4,2,,28,,20,,49,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200438,
NORTH DAKOTA,2020,4,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
NEVADA,2020,4,,-,6,,,-,6,,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200453,POINT (-114.916992 39.283294)
ILLINOIS,2020,4,1,,44,,28,,39,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,17,,,-,22,,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200421,POINT (-93.500061 42.074659)
TEXAS,2020,4,,-,62,,1,,9,,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200447,POINT (-99.317341 31.447238)
ALASKA,2020,4,,-,4,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,4,,-,4,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
WASHINGTON,2020,4,2,,24,,36,,45,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,4,3,,25,,11,,78,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20200402,
RHODE ISLAND,2020,4,,-,6,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
OREGON,2020,4,1,,18,,16,,20,,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200461,POINT (-120.605279 43.940449)
DELAWARE,2020,4,,-,3,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200429,POINT (-75.452394 38.994926)
ALABAMA,2020,4,1,,14,,5,,23,,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KANSAS,2020,4,,-,5,,,-,13,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,4,,-,20,,2,,25,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
GUAM,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
NEW JERSEY,2020,4,,-,11,,,-,26,,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,4,,-,9,,9,,14,,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,4,30,,113,,197,,243,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200414,
TENNESSEE,2020,4,1,,14,,12,,11,,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,4,,-,5,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MARYLAND,2020,4,1,,6,,5,,10,,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,11,,11,,20,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,4,,-,10,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
OHIO,2020,4,29,,51,,148,,100,,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20200418,POINT (-82.70936 40.415534)
MINNESOTA,2020,4,,-,15,,,-,32,,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
LOUISIANA,2020,4,,-,5,,1,,4,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
HAWAII,2020,4,,-,4,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,4,7,,59,,51,,105,,,-,0,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200428,
PENNSYLVANIA,2020,4,17,,50,,86,,24,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
UTAH,2020,4,,-,12,,1,,27,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200455,POINT (-111.678222 39.323779)
COLORADO,2020,4,12,,21,,36,,32,,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20200450,POINT (-105.547832 38.998552)
VERMONT,2020,4,3,,5,,4,,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200408,POINT (-72.662695 44.075252)
KENTUCKY,2020,4,,-,9,,1,,11,,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
MAINE,2020,4,,-,17,,7,,45,,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20200404,POINT (-69.06137 45.117911)
VIRGINIA,2020,4,2,,25,,7,,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
ARIZONA,2020,4,16,,13,,53,,30,,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
WISCONSIN,2020,4,,-,42,,8,,45,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IDAHO,2020,4,,-,17,,12,,9,,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200451,POINT (-114.659366 44.389073)
