Reporting Area,MMWR Year,MMWR Week,"Pertussis§, Current week","Pertussis§, Current week, flag","Pertussis§, Previous 52 weeks Max†","Pertussis§, Previous 52 weeks Max†, flag","Pertussis§, Cum 2020†","Pertussis§, Cum 2020†, flag","Pertussis§, Cum 2019†","Pertussis§, Cum 2019†, flag","Plague, Current week","Plague, Current week, flag","Plague, Previous 52 weeks Max†","Plague, Previous 52 weeks Max†, flag","Plague, Cum 2020†","Plague, Cum 2020†, flag","Plague, Cum 2019†","Plague, Cum 2019†, flag","Poliomyelitis, paralytic, Current week","Poliomyelitis, paralytic, Current week, flag","Poliomyelitis, paralytic, Previous 52 weeks Max†","Poliomyelitis, paralytic, Previous 52 weeks Max†, flag","Poliomyelitis, paralytic, Cum 2020†","Poliomyelitis, paralytic, Cum 2020†, flag","Poliomyelitis, paralytic, Cum 2019†","Poliomyelitis, paralytic, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEVADA,2020,2,,-,6,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,-,9,,,-,8,,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,12,,,-,10,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200255,POINT (-111.678222 39.323779)
PACIFIC,2020,2,1,,86,,6,,146,,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200257,
ALASKA,2020,2,,-,4,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
HAWAII,2020,2,1,,4,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,18,,1,,10,,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,24,,1,,27,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
TOTAL,2020,2,112,,423,,211,,548,,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL,20200270,
US TERRITORIES,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
