Reporting Area,MMWR Year,MMWR Week,"Syphilis, Congenital, Current week","Syphilis, Congenital, Current week, flag","Syphilis, Congenital, Previous 52 weeks Max†","Syphilis, Congenital, Previous 52 weeks Max†, flag","Syphilis, Congenital, Cum 2020†","Syphilis, Congenital, Cum 2020†, flag","Syphilis, Congenital, Cum 2019†","Syphilis, Congenital, Cum 2019†, flag","Syphilis, Primary and secondary, Current week","Syphilis, Primary and secondary, Current week, flag","Syphilis, Primary and secondary, Previous 52 weeks Max†","Syphilis, Primary and secondary, Previous 52 weeks Max†, flag","Syphilis, Primary and secondary, Cum 2020†","Syphilis, Primary and secondary, Cum 2020†, flag","Syphilis, Primary and secondary, Cum 2019†","Syphilis, Primary and secondary, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ARKANSAS,2020,1,,-,2,,,-,2,,,-,14,,,-,6,,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
IDAHO,2020,1,,-,1,,,-,,-,,-,4,,,-,2,,IDAHO,,20200151,POINT (-114.659366 44.389073)
WEST SOUTH CENTRAL,2020,1,,-,12,,,-,4,,,-,85,,,-,48,,,WEST SOUTH CENTRAL,20200143,
UTAH,2020,1,,-,1,,,-,,-,,-,4,,,-,2,,UTAH,,20200155,POINT (-111.678222 39.323779)
MOUNTAIN,2020,1,,-,6,,,-,2,,,-,74,,,-,53,,,MOUNTAIN,20200148,
TOTAL,2020,1,,-,37,,,-,25,,43,,779,,43,,561,,,TOTAL,20200170,
LOUISIANA,2020,1,,-,3,,,-,,-,,-,21,,,-,11,,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WISCONSIN,2020,1,,-,0,,,-,,-,,-,9,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MONTANA,2020,1,,-,0,,,-,,-,,-,5,,,-,1,,MONTANA,,20200152,POINT (-109.645127 47.033521)
RHODE ISLAND,2020,1,,-,0,,,-,,-,,-,8,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
INDIANA,2020,1,,-,0,,,-,,-,,-,12,,,-,4,,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
DISTRICT OF COLUMBIA,2020,1,,-,1,,,-,1,,,-,11,,,-,9,,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
OKLAHOMA,2020,1,,-,4,,,-,1,,,-,19,,,-,8,,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
NEVADA,2020,1,,-,3,,,-,,-,,-,23,,,-,13,,NEVADA,,20200153,POINT (-114.916992 39.283294)
PUERTO RICO,2020,1,,-,1,,,-,1,,,-,14,,,-,3,,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
COLORADO,2020,1,,-,1,,,-,,-,,-,19,,,-,5,,COLORADO,,20200150,POINT (-105.547832 38.998552)
NEW MEXICO,2020,1,,-,2,,,-,,-,,-,19,,,-,14,,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
MISSISSIPPI,2020,1,,-,1,,,-,1,,,-,22,,,-,7,,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
NORTH CAROLINA,2020,1,,-,2,,,-,1,,,-,34,,,-,23,,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
